"Hours since thread went live","Shingeki no Kyojin: The Final Season • Attack on Titan Final Season THE FINAL CHAPTERS - Special Episode 1"
0,17
0.08333333333333333,65
0.16666666666666666,127
0.25,209
0.3333333333333333,308
0.4166666666666667,385
0.5,490
0.5833333333333334,583
0.6666666666666666,675
0.75,764
0.8333333333333334,862
0.9166666666666666,971
1,1050
1.0833333333333333,1136
1.1666666666666667,1203
1.25,1279
1.3333333333333333,1341
1.4166666666666667,1420
1.5,1515
1.5833333333333333,1599
1.6666666666666667,1671
1.75,1739
1.8333333333333333,1821
1.9166666666666667,1894
2,1954
2.0833333333333335,2019
2.1666666666666665,2079
2.25,2146
2.3333333333333335,2204
2.4166666666666665,2253
2.5,2319
2.5833333333333335,2364
2.6666666666666665,2431
2.75,2492
2.8333333333333335,2553
2.9166666666666665,2603
3,2670
3.0833333333333335,2744
3.1666666666666665,2813
3.25,2877
3.3333333333333335,2937
3.4166666666666665,2992
3.5,3064
3.5833333333333335,3120
3.6666666666666665,3186
3.75,3251
3.8333333333333335,3299
3.9166666666666665,3339
4,3384
4.083333333333333,3420
4.166666666666667,3464
4.25,3520
4.333333333333333,3566
4.416666666666667,3630
4.5,3678
4.583333333333333,3719
4.666666666666667,3765
4.75,3800
4.833333333333333,3836
4.916666666666667,3882
5,3938
5.083333333333333,3988
5.166666666666667,4050
5.25,4105
5.333333333333333,4146
5.416666666666667,4182
5.5,4228
5.583333333333333,4273
5.666666666666667,4326
5.75,4379
5.833333333333333,4420
5.916666666666667,4467
6,4497
6.083333333333333,4544
6.166666666666667,4579
6.25,4615
6.333333333333333,4666
6.416666666666667,4707
6.5,4743
6.583333333333333,4796
6.666666666666667,4832
6.75,4866
6.833333333333333,4911
6.916666666666667,4937
7,4990
7.083333333333333,5024
7.166666666666667,5044
7.25,5085
7.333333333333333,5122
7.416666666666667,5151
7.5,5197
7.583333333333333,5228
7.666666666666667,5263
7.75,5310
7.833333333333333,5344
7.916666666666667,5371
8,5416
8.083333333333334,5442
8.166666666666666,5482
8.25,5528
8.333333333333334,5554
8.416666666666666,5580
8.5,5621
8.583333333333334,5654
8.666666666666666,5685
8.75,5724
8.833333333333334,5760
8.916666666666666,5814
9,5855
9.083333333333334,5885
9.166666666666666,5909
9.25,5928
9.333333333333334,5958
9.416666666666666,5996
9.5,6021
9.583333333333334,6061
9.666666666666666,6099
9.75,6126
9.833333333333334,6161
9.916666666666666,6188
10,6214
10.083333333333334,6252
10.166666666666666,6285
10.25,6312
10.333333333333334,6343
10.416666666666666,6363
10.5,6387
10.583333333333334,6412
10.666666666666666,6433
10.75,6472
10.833333333333334,6486
10.916666666666666,6517
11,6535
11.083333333333334,6560
11.166666666666666,6593
11.25,6616
11.333333333333334,6646
11.416666666666666,6676
11.5,6692
11.583333333333334,6727
11.666666666666666,6743
11.75,6759
11.833333333333334,6787
11.916666666666666,6825
12,6837
12.083333333333334,6860
12.166666666666666,6891
12.25,6915
12.333333333333334,6939
12.416666666666666,6961
12.5,6988
12.583333333333334,7022
12.666666666666666,7027
12.75,7058
12.833333333333334,7082
12.916666666666666,7101
13,7132
13.083333333333334,7158
13.166666666666666,7175
13.25,7199
13.333333333333334,7232
13.416666666666666,7269
13.5,7293
13.583333333333334,7317
13.666666666666666,7342
13.75,7364
13.833333333333334,7389
13.916666666666666,7413
14,7436
14.083333333333334,7455
14.166666666666666,7489
14.25,7497
14.333333333333334,7532
14.416666666666666,7541
14.5,7581
14.583333333333334,7599
14.666666666666666,7637
14.75,7652
14.833333333333334,7672
14.916666666666666,7695
15,7718
15.083333333333334,7748
15.166666666666666,7773
15.25,7794
15.333333333333334,7826
15.416666666666666,7842
15.5,7855
15.583333333333334,7891
15.666666666666666,7907
15.75,7920
15.833333333333334,7947
15.916666666666666,7970
16,7988
16.083333333333332,8007
16.166666666666668,8029
16.25,8050
16.333333333333332,8066
16.416666666666668,8093
16.5,8122
16.583333333333332,8149
16.666666666666668,8163
16.75,8185
16.833333333333332,8197
16.916666666666668,8220
17,8240
17.083333333333332,8264
