"Hours since thread went live","Jigokuraku • Hell's Paradise - Episode 10 discussion"
0,1
0,5
0.08333333333333333,14
0.16666666666666666,19
0.25,34
0.4166666666666667,64
0.5,82
0.5833333333333334,91
0.6666666666666666,106
0.75,120
0.8333333333333334,145
0.9166666666666666,178
1,194
1.1666666666666667,239
1.25,262
1.3333333333333333,278
1.4166666666666667,296
1.5,318
1.5833333333333333,337
1.6666666666666667,364
1.75,389
1.8333333333333333,407
1.9166666666666667,431
2,445
2.0833333333333335,469
2.1666666666666665,486
2.25,503
2.3333333333333335,524
2.4166666666666665,545
2.5,563
2.5833333333333335,583
2.6666666666666665,604
2.75,616
2.8333333333333335,635
2.9166666666666665,648
3,664
3.0833333333333335,683
3.1666666666666665,703
3.25,721
3.3333333333333335,733
3.4166666666666665,747
3.5,766
3.5833333333333335,788
3.6666666666666665,811
3.75,822
3.8333333333333335,836
3.9166666666666665,854
4,876
4.083333333333333,892
4.166666666666667,903
4.25,916
4.333333333333333,930
4.416666666666667,947
4.5,968
4.583333333333333,980
4.666666666666667,997
4.75,1010
4.833333333333333,1031
4.916666666666667,1051
5,1073
5.083333333333333,1092
5.166666666666667,1098
5.25,1111
5.333333333333333,1133
5.416666666666667,1141
5.5,1156
5.583333333333333,1166
5.666666666666667,1183
5.75,1196
5.833333333333333,1207
6,1234
6.083333333333333,1251
6.166666666666667,1261
6.25,1276
6.333333333333333,1286
6.416666666666667,1302
6.5,1305
6.583333333333333,1327
6.666666666666667,1339
6.75,1356
6.833333333333333,1357
6.916666666666667,1375
7,1376
7.083333333333333,1398
7.166666666666667,1400
7.25,1417
7.333333333333333,1426
7.416666666666667,1440
7.5,1451
7.583333333333333,1463
7.666666666666667,1473
7.75,1486
7.833333333333333,1498
7.916666666666667,1515
8,1516
8.083333333333334,1533
8.25,1552
8.333333333333334,1559
8.416666666666666,1567
8.5,1580
8.583333333333334,1595
8.666666666666666,1605
8.75,1608
8.833333333333334,1614
8.916666666666666,1625
9,1631
9.166666666666666,1642
9.25,1664
9.333333333333334,1673
9.416666666666666,1682
9.5,1691
9.583333333333334,1700
9.666666666666666,1717
9.75,1720
9.833333333333334,1721
9.916666666666666,1731
10,1742
10.083333333333334,1751
10.25,1770
10.333333333333334,1775
10.416666666666666,1788
10.5,1791
10.666666666666666,1803
10.75,1816
10.833333333333334,1821
11,1841
11.083333333333334,1846
11.166666666666666,1860
11.25,1867
11.333333333333334,1877
11.416666666666666,1879
11.5,1890
11.666666666666666,1904
11.75,1904
11.833333333333334,1920
11.916666666666666,1917
12,1943
12.083333333333334,1949
12.166666666666666,1953
12.25,1964
12.333333333333334,1963
12.416666666666666,1979
12.5,1981
12.583333333333334,1994
12.666666666666666,1997
12.75,2001
12.833333333333334,2016
12.916666666666666,2015
13,2025
13.083333333333334,2030
13.166666666666666,2033
13.25,2048
13.333333333333334,2054
13.416666666666666,2059
13.5,2066
13.583333333333334,2072
13.666666666666666,2074
13.75,2080
13.833333333333334,2089
13.916666666666666,2091
14,2100
14.166666666666666,2111
14.25,2118
14.333333333333334,2119
14.416666666666666,2131
14.5,2137
14.583333333333334,2142
14.666666666666666,2147
14.75,2154
14.833333333333334,2158
14.916666666666666,2169
15,2171
15.083333333333334,2184
15.166666666666666,2185
15.25,2196
15.333333333333334,2206
15.416666666666666,2205
15.5,2210
15.666666666666666,2223
15.75,2229
15.833333333333334,2229
16,2238
16.083333333333332,2235
16.166666666666668,2248
16.25,2254
16.333333333333332,2256
16.416666666666668,2259
16.5,2263
16.583333333333332,2261
16.666666666666668,2263
16.75,2269
16.833333333333332,2274
16.916666666666668,2274
17,2278
17.083333333333332,2280
17.166666666666668,2287
17.25,2294
17.333333333333332,2296
17.416666666666668,2300
17.5,2306
17.583333333333332,2315
17.666666666666668,2311
17.75,2312
17.833333333333332,2319
17.916666666666668,2327
18,2324
18.166666666666668,2332
18.25,2328
18.333333333333332,2338
18.416666666666668,2343
18.5,2340
18.583333333333332,2351
18.666666666666668,2348
18.75,2345
18.833333333333332,2347
18.916666666666668,2350
19,2354
19.083333333333332,2360
19.166666666666668,2362
19.25,2361
19.333333333333332,2357
19.416666666666668,2364
19.5,2368
19.583333333333332,2374
19.666666666666668,2370
19.916666666666668,2378
23.5,2487
23.5,2489
23.583333333333332,2487
23.666666666666668,2493
23.75,2501
23.833333333333332,2499
23.916666666666668,2500
24,2500
24.083333333333332,2503
24.166666666666668,2507
24.25,2511
24.333333333333332,2509
24.416666666666668,2516
24.5,2515
24.583333333333332,2522
24.666666666666668,2531
24.75,2533
24.833333333333332,2532
24.916666666666668,2530
25,2531
25.083333333333332,2531
25.166666666666668,2532
25.25,2533
25.333333333333332,2541
25.416666666666668,2544
25.5,2548
25.583333333333332,2546
25.666666666666668,2545
25.75,2554
25.833333333333332,2551
25.916666666666668,2549
26,2559
26.083333333333332,2556
26.166666666666668,2559
26.25,2553
26.333333333333332,2559
26.416666666666668,2559
26.5,2558
26.583333333333332,2562
26.666666666666668,2566
26.75,2563
26.833333333333332,2571
26.916666666666668,2566
27,2570
27.083333333333332,2573
27.166666666666668,2571
27.25,2569
27.333333333333332,2576
27.416666666666668,2575
27.5,2575
27.583333333333332,2571
27.666666666666668,2582
27.75,2579
27.833333333333332,2585
27.916666666666668,2588
28,2591
28.083333333333332,2589
28.166666666666668,2590
28.25,2596
28.333333333333332,2597
28.416666666666668,2590
28.5,2593
28.583333333333332,2594
28.666666666666668,2601
28.75,2602
28.833333333333332,2600
28.916666666666668,2598
29,2600
29.083333333333332,2600
29.166666666666668,2607
29.25,2603
29.333333333333332,2602
29.416666666666668,2607
29.5,2607
29.583333333333332,2610
29.666666666666668,2613
29.75,2618
29.833333333333332,2617
29.916666666666668,2614
30,2615
30.083333333333332,2622
30.166666666666668,2622
30.25,2624
30.333333333333332,2626
30.416666666666668,2626
30.5,2628
30.583333333333332,2630
30.666666666666668,2634
30.75,2633
30.833333333333332,2632
30.916666666666668,2631
31,2638
31.083333333333332,2631
31.166666666666668,2634
31.25,2630
31.333333333333332,2638
31.416666666666668,2633
31.5,2638
31.583333333333332,2640
31.666666666666668,2643
31.75,2647
31.833333333333332,2649
31.916666666666668,2645
32,2650
32.083333333333336,2651
32.166666666666664,2648
32.25,2650
32.333333333333336,2644
32.416666666666664,2651
32.5,2647
32.583333333333336,2644
32.666666666666664,2652
32.75,2653
32.833333333333336,2657
32.916666666666664,2657
33,2653
33.083333333333336,2658
33.166666666666664,2654
33.25,2655
33.333333333333336,2660
33.416666666666664,2658
33.5,2660
33.583333333333336,2657
33.666666666666664,2660
33.75,2667
33.833333333333336,2668
33.916666666666664,2662
34,2665
34.083333333333336,2659
34.166666666666664,2662
34.25,2665
34.333333333333336,2664
34.416666666666664,2669
34.5,2664
34.583333333333336,2661
34.666666666666664,2670
34.75,2667
34.833333333333336,2675
34.916666666666664,2673
35,2669
35.083333333333336,2678
35.166666666666664,2678
35.25,2678
35.333333333333336,2680
35.416666666666664,2683
35.5,2679
35.583333333333336,2676
35.666666666666664,2685
35.75,2680
35.833333333333336,2678
35.916666666666664,2685
36,2678
36.083333333333336,2681
36.166666666666664,2687
36.25,2683
36.333333333333336,2687
36.416666666666664,2688
36.5,2692
36.583333333333336,2690
36.666666666666664,2685
36.75,2695
36.833333333333336,2689
36.916666666666664,2696
37,2695
37.083333333333336,2694
37.166666666666664,2694
37.25,2687
37.333333333333336,2691
37.416666666666664,2694
37.5,2692
37.583333333333336,2693
37.666666666666664,2692
37.75,2698
37.833333333333336,2694
37.916666666666664,2696
38,2696
38.083333333333336,2696
38.166666666666664,2701
38.25,2698
38.333333333333336,2698
38.416666666666664,2700
38.5,2705
38.583333333333336,2701
38.666666666666664,2701
38.75,2703
38.833333333333336,2696
38.916666666666664,2700
39,2703
39.083333333333336,2702
39.166666666666664,2709
39.25,2706
39.333333333333336,2705
39.416666666666664,2705
39.5,2706
39.583333333333336,2706
39.666666666666664,2706
39.75,2707
39.833333333333336,2706
39.916666666666664,2705
40,2712
40.083333333333336,2707
40.166666666666664,2704
40.25,2711
40.333333333333336,2714
40.416666666666664,2710
40.5,2713
40.583333333333336,2708
40.666666666666664,2713
40.75,2708
40.833333333333336,2712
40.916666666666664,2712
41,2717
41.083333333333336,2711
41.166666666666664,2720
41.25,2715
41.333333333333336,2717
41.416666666666664,2716
41.5,2721
41.583333333333336,2716
41.666666666666664,2713
41.75,2714
41.833333333333336,2711
41.916666666666664,2717
42,2716
42.083333333333336,2723
42.166666666666664,2717
42.25,2720
42.333333333333336,2720
