"Hours since thread went live","Jigokuraku • Hell's Paradise - Episode 13 discussion - FINAL"
0,1
0,2
0.08333333333333333,15
0.16666666666666666,34
0.25,53
0.3333333333333333,70
0.4166666666666667,89
0.5,118
0.5833333333333334,145
0.6666666666666666,173
0.75,198
0.8333333333333334,224
0.9166666666666666,243
1,271
1.0833333333333333,296
1.1666666666666667,320
1.25,335
1.3333333333333333,361
1.4166666666666667,394
1.5,423
1.5833333333333333,441
1.6666666666666667,465
1.75,489
1.8333333333333333,516
1.9166666666666667,542
2,573
2.0833333333333335,593
2.1666666666666665,617
2.25,638
2.3333333333333335,669
2.4166666666666665,686
2.5,703
2.5833333333333335,723
2.6666666666666665,747
2.75,774
2.8333333333333335,792
2.9166666666666665,802
3,826
3.0833333333333335,852
3.1666666666666665,863
3.25,868
3.3333333333333335,892
3.4166666666666665,900
3.5,918
3.5833333333333335,927
3.6666666666666665,941
3.75,970
3.8333333333333335,979
3.9166666666666665,996
4,1016
4.083333333333333,1025
4.166666666666667,1045
4.25,1065
4.333333333333333,1084
4.416666666666667,1097
4.5,1110
4.583333333333333,1126
4.666666666666667,1148
4.75,1160
4.833333333333333,1163
4.916666666666667,1184
5,1188
5.083333333333333,1201
5.166666666666667,1220
5.25,1229
5.333333333333333,1245
5.416666666666667,1248
5.5,1257
5.583333333333333,1276
5.666666666666667,1274
5.75,1298
5.833333333333333,1304
5.916666666666667,1315
6,1327
6.083333333333333,1331
6.166666666666667,1350
6.25,1365
6.333333333333333,1376
6.416666666666667,1382
6.5,1396
6.583333333333333,1416
6.666666666666667,1422
6.75,1428
6.833333333333333,1431
6.916666666666667,1440
7,1447
7.083333333333333,1456
7.166666666666667,1465
7.25,1470
7.333333333333333,1479
7.416666666666667,1492
7.5,1500
7.583333333333333,1513
7.666666666666667,1518
7.75,1540
7.833333333333333,1546
7.916666666666667,1559
8,1570
8.083333333333334,1585
8.166666666666666,1594
8.25,1605
8.333333333333334,1616
8.416666666666666,1621
8.5,1631
8.583333333333334,1636
8.666666666666666,1639
8.75,1642
8.833333333333334,1645
8.916666666666666,1651
9,1657
9.083333333333334,1665
9.166666666666666,1669
9.25,1682
9.333333333333334,1693
9.416666666666666,1691
9.5,1698
9.583333333333334,1708
9.666666666666666,1712
9.75,1714
9.833333333333334,1727
9.916666666666666,1730
10,1731
10.083333333333334,1737
10.166666666666666,1742
10.25,1748
10.333333333333334,1754
10.416666666666666,1754
10.5,1761
10.583333333333334,1764
10.666666666666666,1769
10.75,1778
10.833333333333334,1781
10.916666666666666,1781
11,1791
11.083333333333334,1786
11.166666666666666,1799
11.25,1805
11.333333333333334,1812
11.416666666666666,1816
11.5,1824
11.583333333333334,1828
11.666666666666666,1832
11.75,1840
11.833333333333334,1842
11.916666666666666,1840
12,1840
12.083333333333334,1849
12.166666666666666,1860
12.25,1864
12.333333333333334,1871
12.416666666666666,1877
12.5,1885
12.583333333333334,1887
12.666666666666666,1894
12.75,1892
12.833333333333334,1896
12.916666666666666,1905
13,1908
13.083333333333334,1907
13.166666666666666,1916
13.25,1916
13.333333333333334,1924
13.416666666666666,1937
13.5,1945
13.583333333333334,1943
13.666666666666666,1948
13.75,1951
13.833333333333334,1955
13.916666666666666,1964
14,1968
14.083333333333334,1971
14.166666666666666,1971
14.25,1974
14.333333333333334,1986
14.416666666666666,1981
14.5,1997
14.583333333333334,2002
14.666666666666666,2006
14.75,2012
14.833333333333334,2017
14.916666666666666,2023
15,2025
15.083333333333334,2021
15.166666666666666,2026
15.25,2030
15.333333333333334,2034
15.416666666666666,2035
15.5,2039
15.583333333333334,2049
15.666666666666666,2046
15.75,2057
15.833333333333334,2057
15.916666666666666,2059
16,2064
16.083333333333332,2065
16.166666666666668,2075
16.25,2076
16.333333333333332,2072
16.416666666666668,2079
16.5,2085
16.583333333333332,2087
16.666666666666668,2085
16.75,2089
16.833333333333332,2093
16.916666666666668,2099
17,2107
17.083333333333332,2113
17.166666666666668,2110
17.25,2117
17.333333333333332,2119
17.416666666666668,2119
17.5,2124
17.583333333333332,2125
17.666666666666668,2133
17.75,2129
17.833333333333332,2130
17.916666666666668,2138
18,2139
18.083333333333332,2147
18.166666666666668,2150
18.25,2159
18.333333333333332,2162
18.416666666666668,2164
18.5,2168
18.583333333333332,2167
18.666666666666668,2177
18.75,2183
18.833333333333332,2177
18.916666666666668,2182
19,2189
19.083333333333332,2195
19.166666666666668,2187
19.25,2193
19.333333333333332,2192
19.416666666666668,2194
19.5,2200
19.583333333333332,2196
19.666666666666668,2204
19.75,2202
19.833333333333332,2212
19.916666666666668,2211
20,2218
20.083333333333332,2212
20.166666666666668,2220
20.25,2224
20.333333333333332,2224
20.416666666666668,2229
20.5,2233
20.583333333333332,2234
20.666666666666668,2233
20.75,2237
20.833333333333332,2244
20.916666666666668,2242
21,2246
21.083333333333332,2243
21.166666666666668,2248
21.25,2251
21.333333333333332,2248
21.416666666666668,2249
21.5,2256
21.583333333333332,2256
21.666666666666668,2259
21.75,2263
21.833333333333332,2271
21.916666666666668,2274
22,2284
22.083333333333332,2277
22.166666666666668,2290
22.25,2286
22.333333333333332,2289
22.416666666666668,2289
22.5,2294
22.583333333333332,2292
22.666666666666668,2301
22.75,2300
22.833333333333332,2299
22.916666666666668,2301
23,2301
23.083333333333332,2302
23.166666666666668,2310
23.25,2308
23.333333333333332,2312
23.416666666666668,2310
23.5,2318
23.583333333333332,2316
23.666666666666668,2318
23.75,2324
23.833333333333332,2330
23.916666666666668,2333
24,2331
24.083333333333332,2333
24.166666666666668,2337
24.25,2345
24.333333333333332,2347
24.416666666666668,2344
24.5,2345
24.583333333333332,2349
24.666666666666668,2355
24.75,2358
24.833333333333332,2366
24.916666666666668,2363
25,2367
25.083333333333332,2373
25.166666666666668,2373
25.25,2372
25.333333333333332,2376
25.416666666666668,2374
25.5,2378
25.583333333333332,2376
25.666666666666668,2380
25.75,2387
25.833333333333332,2390
25.916666666666668,2391
26,2395
26.083333333333332,2399
26.166666666666668,2407
26.25,2402
26.333333333333332,2403
26.416666666666668,2405
26.5,2412
26.583333333333332,2419
26.666666666666668,2416
26.75,2417
26.833333333333332,2419
26.916666666666668,2418
27,2421
27.083333333333332,2422
27.166666666666668,2431
27.25,2434
27.333333333333332,2424
27.416666666666668,2431
27.5,2432
27.583333333333332,2434
27.666666666666668,2432
27.75,2440
27.833333333333332,2436
27.916666666666668,2438
28,2439
28.083333333333332,2441
28.166666666666668,2444
28.25,2450
28.333333333333332,2449
28.416666666666668,2456
28.5,2456
28.583333333333332,2455
28.666666666666668,2459
28.75,2464
28.833333333333332,2462
28.916666666666668,2467
29,2472
29.083333333333332,2469
29.166666666666668,2474
29.25,2474
29.333333333333332,2467
29.416666666666668,2478
29.5,2474
29.583333333333332,2477
29.666666666666668,2482
29.75,2480
29.833333333333332,2481
29.916666666666668,2481
30,2480
30.083333333333332,2489
30.166666666666668,2483
30.25,2492
30.333333333333332,2492
30.416666666666668,2495
