"Hours since thread went live","Mushoku Tensei: Isekai Ittara Honki Dasu Season 2 • Mushoku Tensei: Jobless Reincarnation Season 2 - Episode 0 discussion"
0,4
0.08333333333333333,73
0.16666666666666666,141
0.25,196
0.3333333333333333,256
0.4166666666666667,308
0.5,369
0.5833333333333334,436
0.6666666666666666,505
0.75,576
0.8333333333333334,642
0.9166666666666666,695
1,743
1.0833333333333333,801
1.1666666666666667,859
1.25,895
1.3333333333333333,934
1.4166666666666667,1003
1.5,1053
1.5833333333333333,1090
1.6666666666666667,1140
1.75,1200
1.8333333333333333,1241
1.9166666666666667,1276
2,1320
2.0833333333333335,1354
2.1666666666666665,1415
2.25,1442
2.3333333333333335,1482
2.4166666666666665,1537
2.5,1578
2.5833333333333335,1626
2.6666666666666665,1677
2.75,1714
2.8333333333333335,1755
2.9166666666666665,1777
3,1833
3.0833333333333335,1867
3.1666666666666665,1898
3.25,1935
3.3333333333333335,1963
3.4166666666666665,1992
3.5,2025
3.5833333333333335,2062
3.6666666666666665,2103
3.75,2143
3.8333333333333335,2168
3.9166666666666665,2213
4,2249
4.083333333333333,2270
4.166666666666667,2303
4.25,2326
4.333333333333333,2370
4.416666666666667,2401
4.5,2425
4.583333333333333,2470
4.666666666666667,2498
4.75,2525
4.833333333333333,2555
4.916666666666667,2567
5,2591
5.083333333333333,2610
5.166666666666667,2630
5.25,2656
5.333333333333333,2679
5.416666666666667,2712
5.5,2736
5.583333333333333,2757
5.666666666666667,2770
5.75,2799
5.833333333333333,2822
5.916666666666667,2847
6,2864
6.083333333333333,2892
6.166666666666667,2909
6.25,2928
6.333333333333333,2945
6.416666666666667,2960
6.5,2982
6.583333333333333,3004
6.666666666666667,3023
6.75,3044
6.833333333333333,3067
6.916666666666667,3085
7,3102
7.083333333333333,3122
7.166666666666667,3144
7.25,3165
7.333333333333333,3187
7.416666666666667,3191
7.5,3214
7.583333333333333,3226
7.666666666666667,3237
7.75,3258
7.833333333333333,3280
7.916666666666667,3302
8,3312
8.083333333333334,3328
8.166666666666666,3336
8.25,3361
8.333333333333334,3387
8.416666666666666,3396
8.5,3414
8.583333333333334,3424
8.666666666666666,3437
8.75,3468
8.833333333333334,3481
8.916666666666666,3492
9,3492
9.083333333333334,3513
9.166666666666666,3533
9.25,3544
9.333333333333334,3543
9.416666666666666,3573
9.5,3579
9.583333333333334,3597
9.666666666666666,3608
9.75,3619
9.833333333333334,3635
9.916666666666666,3653
10,3663
10.083333333333334,3677
10.166666666666666,3686
10.25,3694
10.333333333333334,3695
10.416666666666666,3713
10.5,3719
10.583333333333334,3730
10.666666666666666,3743
10.75,3748
10.833333333333334,3763
10.916666666666666,3778
11,3791
11.083333333333334,3800
11.166666666666666,3814
11.25,3828
11.333333333333334,3827
11.416666666666666,3846
11.5,3853
11.583333333333334,3865
11.666666666666666,3892
11.75,3897
11.833333333333334,3914
11.916666666666666,3929
12,3950
12.083333333333334,3957
12.166666666666666,3965
12.25,3977
12.333333333333334,3984
12.416666666666666,4002
12.5,4011
12.583333333333334,4025
12.666666666666666,4032
12.75,4041
12.833333333333334,4045
12.916666666666666,4052
13,4054
13.083333333333334,4061
13.166666666666666,4072
13.25,4082
13.333333333333334,4089
13.416666666666666,4093
13.5,4102
13.583333333333334,4114
