"Hours since thread went live","Zom 100: Zombie ni Naru made ni Shitai 100 no Koto - Episode 1 discussion"
0,1
0,2
0.08333333333333333,7
0.16666666666666666,9
0.25,12
0.3333333333333333,23
0.4166666666666667,32
0.5,45
0.5833333333333334,55
0.6666666666666666,72
0.75,90
0.8333333333333334,105
0.9166666666666666,118
1,140
1.0833333333333333,152
1.1666666666666667,159
1.25,172
1.3333333333333333,194
1.4166666666666667,203
1.5,213
1.5833333333333333,229
1.6666666666666667,240
1.75,258
1.8333333333333333,276
1.9166666666666667,294
2,310
2.0833333333333335,324
2.1666666666666665,336
2.25,345
2.3333333333333335,362
2.4166666666666665,373
2.5,387
2.5833333333333335,395
2.6666666666666665,408
2.75,423
2.8333333333333335,439
2.9166666666666665,451
3,471
3.0833333333333335,480
3.1666666666666665,495
3.25,515
3.3333333333333335,539
3.4166666666666665,556
3.5,574
3.5833333333333335,588
3.6666666666666665,609
3.75,621
3.8333333333333335,637
3.9166666666666665,663
4,682
4.083333333333333,707
4.166666666666667,719
4.25,736
4.333333333333333,745
4.416666666666667,764
4.5,784
4.583333333333333,796
4.666666666666667,813
4.75,837
4.833333333333333,844
4.916666666666667,865
5,866
5.083333333333333,895
5.166666666666667,903
5.25,910
5.333333333333333,927
5.416666666666667,950
5.5,965
5.583333333333333,985
5.666666666666667,1000
5.75,1012
5.833333333333333,1035
5.916666666666667,1056
6,1075
6.083333333333333,1088
6.166666666666667,1098
6.25,1110
6.333333333333333,1128
6.416666666666667,1140
6.5,1157
6.583333333333333,1173
6.666666666666667,1195
6.75,1202
6.833333333333333,1227
6.916666666666667,1248
7,1268
7.083333333333333,1284
7.166666666666667,1306
7.25,1321
7.333333333333333,1341
7.416666666666667,1357
7.5,1372
7.583333333333333,1383
7.666666666666667,1400
7.75,1418
7.833333333333333,1441
7.916666666666667,1458
8,1477
8.083333333333334,1491
8.166666666666666,1504
8.25,1526
8.333333333333334,1538
8.416666666666666,1549
8.5,1556
8.583333333333334,1574
8.666666666666666,1582
8.75,1595
8.833333333333334,1616
8.916666666666666,1621
9,1634
9.083333333333334,1651
9.166666666666666,1665
9.25,1673
9.333333333333334,1684
9.416666666666666,1701
9.5,1710
9.583333333333334,1717
9.666666666666666,1731
9.75,1752
9.833333333333334,1766
9.916666666666666,1768
10,1781
10.083333333333334,1795
10.166666666666666,1805
10.25,1820
10.333333333333334,1832
10.416666666666666,1836
10.5,1853
10.583333333333334,1876
10.666666666666666,1889
10.75,1906
10.833333333333334,1916
10.916666666666666,1931
11,1949
11.083333333333334,1963
11.166666666666666,1979
11.25,1986
11.333333333333334,1998
11.416666666666666,2011
11.5,2021
11.583333333333334,2028
11.666666666666666,2036
11.75,2050
11.833333333333334,2058
11.916666666666666,2070
12,2083
12.083333333333334,2097
12.166666666666666,2100
12.25,2111
12.333333333333334,2125
12.416666666666666,2130
12.5,2149
12.583333333333334,2152
12.666666666666666,2160
12.75,2171
12.833333333333334,2177
12.916666666666666,2193
13,2194
13.083333333333334,2207
13.166666666666666,2212
13.25,2217
13.333333333333334,2228
13.416666666666666,2239
13.5,2245
13.583333333333334,2250
13.666666666666666,2256
13.75,2269
13.833333333333334,2281
13.916666666666666,2289
14,2299
14.083333333333334,2308
14.166666666666666,2325
14.25,2327
14.333333333333334,2334
14.416666666666666,2348
14.5,2364
14.583333333333334,2376
14.666666666666666,2380
14.75,2391
14.833333333333334,2404
14.916666666666666,2402
15,2409
15.083333333333334,2416
15.166666666666666,2427
15.25,2440
15.333333333333334,2443
15.416666666666666,2457
15.5,2459
15.583333333333334,2468
15.666666666666666,2476
15.75,2480
15.833333333333334,2488
15.916666666666666,2499
16,2512
16.083333333333332,2519
16.166666666666668,2525
16.25,2530
16.333333333333332,2542
16.416666666666668,2543
16.5,2552
16.583333333333332,2572
16.666666666666668,2571
16.75,2581
16.833333333333332,2589
16.916666666666668,2597
17,2595
17.083333333333332,2614
17.166666666666668,2622
17.25,2631
17.333333333333332,2637
17.416666666666668,2649
17.5,2652
17.583333333333332,2649
17.666666666666668,2663
17.75,2666
17.833333333333332,2669
17.916666666666668,2676
18,2686
18.083333333333332,2696
18.166666666666668,2690
18.25,2705
18.333333333333332,2710
18.416666666666668,2720
18.5,2725
18.583333333333332,2732
18.666666666666668,2736
18.75,2739
18.833333333333332,2756
18.916666666666668,2756
19,2770
19.083333333333332,2765
19.166666666666668,2768
19.25,2767
19.333333333333332,2775
19.416666666666668,2781
19.5,2783
19.583333333333332,2792
19.666666666666668,2797
19.75,2801
19.833333333333332,2803
19.916666666666668,2815
20,2817
20.083333333333332,2824
20.166666666666668,2840
20.25,2843
20.333333333333332,2850
20.416666666666668,2848
20.5,2853
20.583333333333332,2862
20.666666666666668,2863
20.75,2869
20.833333333333332,2877
20.916666666666668,2879
21,2897
21.083333333333332,2896
21.166666666666668,2898
21.25,2903
21.333333333333332,2907
21.416666666666668,2917
21.5,2925
21.583333333333332,2925
21.666666666666668,2934
21.75,2937
21.833333333333332,2947
21.916666666666668,2951
22,2958
22.083333333333332,2953
22.166666666666668,2964
22.25,2965
22.333333333333332,2971
22.416666666666668,2971
22.5,2978
22.583333333333332,2980
22.666666666666668,2983
22.75,2988
22.833333333333332,2986
22.916666666666668,2993
23,3000
23.083333333333332,3000
23.166666666666668,3008
23.25,3008
23.333333333333332,3010
23.416666666666668,3015
23.5,3014
23.583333333333332,3015
23.666666666666668,3023
23.75,3027
23.833333333333332,3036
23.916666666666668,3029
24,3040
24.083333333333332,3039
24.166666666666668,3037
24.25,3038
24.333333333333332,3049
24.416666666666668,3048
24.5,3052
24.583333333333332,3061
24.666666666666668,3070
24.75,3069
24.833333333333332,3071
24.916666666666668,3076
25,3077
25.083333333333332,3077
25.166666666666668,3083
25.25,3091
25.333333333333332,3091
25.416666666666668,3093
25.5,3096
25.583333333333332,3089
25.666666666666668,3094
25.75,3096
25.833333333333332,3097
25.916666666666668,3107
26,3105
26.083333333333332,3109
26.166666666666668,3109
26.25,3120
26.333333333333332,3118
26.416666666666668,3123
26.5,3127
26.583333333333332,3126
26.666666666666668,3129
26.75,3127
26.833333333333332,3133
26.916666666666668,3139
27,3137
27.083333333333332,3143
27.166666666666668,3151
27.25,3158
27.333333333333332,3155
27.416666666666668,3162
27.5,3165
27.583333333333332,3167
27.666666666666668,3178
27.75,3175
27.833333333333332,3184
27.916666666666668,3182
28,3183
28.083333333333332,3196
28.166666666666668,3199
28.25,3196
28.333333333333332,3208
28.416666666666668,3206
28.5,3207
28.583333333333332,3223
28.666666666666668,3224
28.75,3224
28.833333333333332,3227
28.916666666666668,3234
29,3235
29.083333333333332,3242
29.166666666666668,3235
29.25,3244
29.333333333333332,3242
29.416666666666668,3240
29.5,3246
29.583333333333332,3246
29.666666666666668,3251
29.75,3263
29.833333333333332,3255
29.916666666666668,3257
30,3262
30.083333333333332,3258
30.166666666666668,3263
30.25,3273
30.333333333333332,3270
30.416666666666668,3278
30.5,3279
