"Hours since thread went live","Mushoku Tensei: Isekai Ittara Honki Dasu Season 2 • Mushoku Tensei: Jobless Reincarnation Season 2 - Episode 4 discussion"
0,8
0.08333333333333333,34
0.16666666666666666,70
0.25,114
0.3333333333333333,145
0.4166666666666667,194
0.5,247
0.5833333333333334,316
0.6666666666666666,381
0.75,444
0.8333333333333334,520
0.9166666666666666,599
1,666
1.0833333333333333,739
1.1666666666666667,799
1.25,848
1.3333333333333333,915
1.4166666666666667,977
1.5,1038
1.5833333333333333,1092
1.6666666666666667,1131
1.75,1179
1.8333333333333333,1224
1.9166666666666667,1270
2,1307
2.0833333333333335,1349
2.1666666666666665,1386
2.25,1436
2.3333333333333335,1483
2.4166666666666665,1526
2.5,1567
2.5833333333333335,1612
2.6666666666666665,1651
2.75,1686
2.8333333333333335,1723
2.9166666666666665,1770
3,1816
3.0833333333333335,1843
3.1666666666666665,1878
3.25,1919
3.3333333333333335,1948
3.4166666666666665,1981
3.5,2011
3.5833333333333335,2039
3.6666666666666665,2075
3.75,2108
3.8333333333333335,2146
3.9166666666666665,2170
4,2200
4.083333333333333,2228
4.166666666666667,2258
4.25,2286
4.333333333333333,2322
4.416666666666667,2352
4.5,2360
4.583333333333333,2397
4.666666666666667,2427
4.75,2455
4.833333333333333,2479
4.916666666666667,2512
5,2536
5.083333333333333,2567
5.166666666666667,2598
5.25,2630
5.333333333333333,2647
5.416666666666667,2664
5.5,2694
5.583333333333333,2714
5.666666666666667,2736
5.75,2756
5.833333333333333,2783
5.916666666666667,2802
6,2825
6.083333333333333,2841
6.166666666666667,2868
6.25,2887
6.333333333333333,2919
6.416666666666667,2933
6.5,2954
6.583333333333333,2972
6.666666666666667,3002
6.75,3019
6.833333333333333,3038
6.916666666666667,3056
7,3082
7.083333333333333,3092
7.166666666666667,3120
7.25,3140
7.333333333333333,3155
7.416666666666667,3181
7.5,3198
7.583333333333333,3214
7.666666666666667,3231
7.75,3248
7.833333333333333,3262
7.916666666666667,3282
8,3288
8.083333333333334,3293
8.166666666666666,3307
8.25,3326
8.333333333333334,3335
8.416666666666666,3351
8.5,3367
8.583333333333334,3392
8.666666666666666,3406
8.75,3414
8.833333333333334,3430
8.916666666666666,3454
9,3467
9.083333333333334,3482
9.166666666666666,3492
9.25,3514
9.333333333333334,3532
9.416666666666666,3559
9.5,3559
9.583333333333334,3576
9.666666666666666,3588
9.75,3604
9.833333333333334,3630
9.916666666666666,3636
10,3660
10.083333333333334,3664
10.166666666666666,3684
10.25,3696
10.333333333333334,3708
10.416666666666666,3726
10.5,3747
10.583333333333334,3761
10.666666666666666,3772
10.75,3786
10.833333333333334,3795
10.916666666666666,3800
11,3823
11.083333333333334,3826
11.166666666666666,3832
11.25,3849
11.333333333333334,3854
11.416666666666666,3863
11.5,3881
11.583333333333334,3888
11.666666666666666,3895
11.75,3910
11.833333333333334,3918
11.916666666666666,3927
12,3936
12.083333333333334,3944
12.166666666666666,3966
12.25,3974
12.333333333333334,3975
12.416666666666666,3995
12.5,3992
12.583333333333334,4012
12.666666666666666,4020
12.75,4019
12.833333333333334,4031
12.916666666666666,4034
13,4056
13.083333333333334,4058
13.166666666666666,4060
13.25,4080
13.333333333333334,4089
13.416666666666666,4085
13.5,4096
13.583333333333334,4115
13.666666666666666,4119
13.75,4125
13.833333333333334,4144
13.916666666666666,4140
14,4151
14.083333333333334,4157
14.166666666666666,4171
14.25,4184
14.333333333333334,4178
14.416666666666666,4194
14.5,4200
14.583333333333334,4205
14.666666666666666,4213
14.75,4222
14.833333333333334,4230
14.916666666666666,4243
15,4253
15.083333333333334,4255
15.166666666666666,4261
15.25,4274
15.333333333333334,4275
15.416666666666666,4286
15.5,4288
15.583333333333334,4298
15.666666666666666,4296
15.75,4300
15.833333333333334,4309
15.916666666666666,4316
16,4325
16.083333333333332,4329
16.166666666666668,4339
16.25,4347
16.333333333333332,4345
16.416666666666668,4353
16.5,4359
16.583333333333332,4370
16.666666666666668,4378
16.75,4381
16.833333333333332,4397
16.916666666666668,4386
17,4401
17.083333333333332,4401
17.166666666666668,4410
17.25,4412
17.333333333333332,4422
17.416666666666668,4437
17.5,4429
17.583333333333332,4442
17.666666666666668,4443
17.75,4449
17.833333333333332,4448
17.916666666666668,4449
18,4449
18.083333333333332,4451
18.166666666666668,4455
18.25,4468
18.333333333333332,4472
18.416666666666668,4475
18.5,4475
18.583333333333332,4485
18.666666666666668,4484
18.75,4488
18.833333333333332,4499
18.916666666666668,4498
19,4505
19.083333333333332,4502
19.166666666666668,4517
19.25,4520
19.333333333333332,4532
19.416666666666668,4537
19.5,4535
19.583333333333332,4535
19.666666666666668,4551
19.75,4556
19.833333333333332,4553
19.916666666666668,4562
20,4565
20.083333333333332,4563
20.166666666666668,4566
20.25,4582
20.333333333333332,4582
20.416666666666668,4592
20.5,4590
20.583333333333332,4589
20.666666666666668,4593
20.75,4603
20.833333333333332,4595
20.916666666666668,4603
21,4625
21.083333333333332,4632
21.166666666666668,4636
21.25,4644
21.333333333333332,4642
21.416666666666668,4650
21.5,4655
21.583333333333332,4663
