"Hours since thread went live","Zom 100: Zombie ni Naru made ni Shitai 100 no Koto • Zom 100: Bucket List of the Dead - Episode 5 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,4
0.25,7
0.3333333333333333,9
0.4166666666666667,15
0.5,22
0.5833333333333334,27
0.6666666666666666,37
0.75,47
0.8333333333333334,53
0.9166666666666666,62
1,70
1.0833333333333333,85
1.1666666666666667,97
1.25,108
1.3333333333333333,116
1.4166666666666667,127
1.5,137
1.5833333333333333,152
1.6666666666666667,166
1.75,176
1.8333333333333333,183
1.9166666666666667,193
2,203
2.0833333333333335,218
2.1666666666666665,236
2.25,245
2.3333333333333335,255
2.4166666666666665,269
2.5,278
2.5833333333333335,293
2.6666666666666665,306
2.75,318
2.8333333333333335,334
2.9166666666666665,349
3,363
3.0833333333333335,374
3.1666666666666665,391
3.25,398
3.3333333333333335,411
3.4166666666666665,427
3.5,441
3.5833333333333335,451
3.6666666666666665,469
3.75,478
3.8333333333333335,500
3.9166666666666665,506
4,525
4.083333333333333,550
4.166666666666667,562
4.25,579
4.333333333333333,580
4.416666666666667,598
4.5,610
4.583333333333333,621
4.666666666666667,641
4.75,652
4.833333333333333,668
4.916666666666667,676
5,693
5.083333333333333,706
5.166666666666667,707
5.25,725
5.333333333333333,733
5.416666666666667,754
5.5,767
5.583333333333333,779
5.666666666666667,794
5.75,806
5.833333333333333,817
5.916666666666667,833
6,838
6.083333333333333,857
6.166666666666667,873
6.25,886
6.333333333333333,892
6.416666666666667,911
6.5,919
6.583333333333333,938
6.666666666666667,952
6.75,966
6.833333333333333,978
6.916666666666667,981
7,987
7.083333333333333,996
7.166666666666667,1008
7.25,1017
7.333333333333333,1030
7.416666666666667,1050
7.5,1054
7.583333333333333,1071
7.666666666666667,1078
7.75,1090
7.833333333333333,1101
7.916666666666667,1103
8,1129
8.083333333333334,1141
8.166666666666666,1145
8.25,1162
8.333333333333334,1173
8.416666666666666,1181
8.5,1185
8.583333333333334,1194
8.666666666666666,1205
8.75,1217
8.833333333333334,1225
8.916666666666666,1240
9,1248
9.083333333333334,1263
9.166666666666666,1273
9.25,1282
9.333333333333334,1292
9.416666666666666,1308
9.5,1319
9.583333333333334,1329
9.666666666666666,1332
9.75,1344
9.833333333333334,1352
9.916666666666666,1362
10,1373
10.083333333333334,1374
10.166666666666666,1388
10.25,1389
10.333333333333334,1400
10.416666666666666,1409
10.5,1419
10.583333333333334,1422
10.666666666666666,1434
10.75,1442
10.833333333333334,1441
10.916666666666666,1449
11,1456
11.083333333333334,1460
11.166666666666666,1464
11.25,1478
11.333333333333334,1490
11.416666666666666,1500
11.5,1511
11.583333333333334,1516
11.666666666666666,1527
11.75,1526
11.833333333333334,1529
11.916666666666666,1546
12,1548
12.083333333333334,1552
12.166666666666666,1570
12.25,1572
12.333333333333334,1581
12.416666666666666,1574
12.5,1581
12.583333333333334,1587
12.666666666666666,1589
12.75,1601
12.833333333333334,1600
12.916666666666666,1609
13,1608
13.083333333333334,1620
13.166666666666666,1620
13.25,1621
13.333333333333334,1627
13.416666666666666,1633
13.5,1633
13.583333333333334,1643
13.666666666666666,1650
13.75,1647
13.833333333333334,1658
13.916666666666666,1676
14,1679
14.083333333333334,1683
14.166666666666666,1683
14.25,1693
14.333333333333334,1692
14.416666666666666,1695
14.5,1706
14.583333333333334,1709
14.666666666666666,1715
14.75,1725
14.833333333333334,1735
14.916666666666666,1729
15,1735
15.083333333333334,1743
15.166666666666666,1751
15.25,1752
15.333333333333334,1754
15.416666666666666,1765
15.5,1770
15.583333333333334,1777
15.666666666666666,1779
15.75,1787
15.833333333333334,1797
15.916666666666666,1804
16,1814
16.083333333333332,1813
16.166666666666668,1820
16.25,1820
16.333333333333332,1829
16.416666666666668,1829
16.5,1834
16.583333333333332,1841
16.666666666666668,1844
16.75,1845
16.833333333333332,1857
16.916666666666668,1856
17,1857
17.083333333333332,1864
17.166666666666668,1870
17.25,1871
17.333333333333332,1883
17.416666666666668,1886
17.5,1893
17.583333333333332,1890
17.666666666666668,1898
17.75,1910
17.833333333333332,1906
17.916666666666668,1920
18,1916
18.083333333333332,1929
18.166666666666668,1924
18.25,1926
18.333333333333332,1930
18.416666666666668,1938
18.5,1937
18.583333333333332,1943
18.666666666666668,1949
18.75,1953
18.833333333333332,1955
18.916666666666668,1966
19,1971
19.083333333333332,1975
19.166666666666668,1978
19.25,1988
19.333333333333332,1984
19.416666666666668,1989
19.5,1993
19.583333333333332,2002
19.666666666666668,2013
19.75,2015
19.833333333333332,2019
19.916666666666668,2018
20,2018
