"Hours since thread went live","Sousou no Frieren • Frieren: Beyond Journey's End - Episode 1 discussion"
0,7
0.08333333333333333,20
0.16666666666666666,51
0.25,101
0.3333333333333333,145
0.4166666666666667,186
0.5,229
0.5833333333333334,276
0.6666666666666666,321
0.75,360
0.8333333333333334,402
0.9166666666666666,442
1,487
1.0833333333333333,530
1.1666666666666667,582
1.25,611
1.3333333333333333,648
1.4166666666666667,703
1.5,746
1.5833333333333333,781
1.6666666666666667,812
1.75,860
1.8333333333333333,904
1.9166666666666667,945
2,985
2.0833333333333335,1006
2.1666666666666665,1048
2.25,1070
2.3333333333333335,1112
2.4166666666666665,1157
2.5,1197
2.5833333333333335,1228
2.6666666666666665,1255
2.75,1286
2.8333333333333335,1310
2.9166666666666665,1331
3,1362
3.0833333333333335,1385
3.1666666666666665,1422
3.25,1450
3.3333333333333335,1482
3.4166666666666665,1511
3.5,1530
3.5833333333333335,1563
3.6666666666666665,1599
3.75,1621
3.8333333333333335,1649
3.9166666666666665,1678
4,1713
4.083333333333333,1736
4.166666666666667,1762
4.25,1775
4.333333333333333,1784
4.416666666666667,1810
4.5,1840
4.583333333333333,1867
4.666666666666667,1893
4.75,1920
4.833333333333333,1939
4.916666666666667,1960
5,1982
5.083333333333333,2014
5.166666666666667,2035
5.25,2064
5.333333333333333,2083
5.416666666666667,2108
5.5,2130
5.583333333333333,2147
5.666666666666667,2167
5.75,2189
5.833333333333333,2207
5.916666666666667,2229
6,2253
6.083333333333333,2286
6.166666666666667,2304
6.25,2326
6.333333333333333,2346
6.416666666666667,2362
6.5,2381
6.583333333333333,2402
6.666666666666667,2421
6.75,2428
6.833333333333333,2445
6.916666666666667,2467
7,2486
7.083333333333333,2503
7.166666666666667,2529
7.25,2539
7.333333333333333,2561
7.416666666666667,2579
7.5,2603
7.583333333333333,2619
7.666666666666667,2630
7.75,2651
7.833333333333333,2660
7.916666666666667,2688
8,2698
8.083333333333334,2705
8.166666666666666,2723
8.25,2735
8.333333333333334,2748
8.416666666666666,2763
8.5,2783
8.583333333333334,2804
8.666666666666666,2809
8.75,2823
8.833333333333334,2855
8.916666666666666,2868
9,2890
9.083333333333334,2899
9.166666666666666,2927
9.25,2939
9.333333333333334,2955
9.416666666666666,2958
9.5,2976
9.583333333333334,2983
9.666666666666666,3011
9.75,3016
9.833333333333334,3043
9.916666666666666,3053
10,3068
10.083333333333334,3087
10.166666666666666,3105
10.25,3116
10.333333333333334,3135
10.416666666666666,3146
10.5,3165
10.583333333333334,3189
10.666666666666666,3198
10.75,3218
10.833333333333334,3223
10.916666666666666,3236
11,3246
11.083333333333334,3258
11.166666666666666,3267
11.25,3282
11.333333333333334,3295
11.416666666666666,3308
11.5,3327
11.583333333333334,3332
11.666666666666666,3343
11.75,3361
11.833333333333334,3375
11.916666666666666,3389
12,3405
12.083333333333334,3417
12.166666666666666,3430
12.25,3435
12.333333333333334,3455
12.416666666666666,3456
12.5,3473
12.583333333333334,3480
12.666666666666666,3479
12.75,3501
12.833333333333334,3510
12.916666666666666,3518
13,3535
13.083333333333334,3545
13.166666666666666,3565
13.25,3569
13.333333333333334,3572
13.416666666666666,3596
13.5,3610
13.583333333333334,3619
13.666666666666666,3635
13.75,3634
13.833333333333334,3651
13.916666666666666,3656
14,3669
14.083333333333334,3697
14.166666666666666,3708
14.25,3711
14.333333333333334,3721
14.416666666666666,3733
14.5,3749
14.583333333333334,3756
14.666666666666666,3765
14.75,3772
14.833333333333334,3786
14.916666666666666,3789
15,3807
15.083333333333334,3818
15.166666666666666,3821
15.25,3841
15.333333333333334,3847
15.416666666666666,3866
15.5,3862
15.583333333333334,3873
15.666666666666666,3883
15.75,3886
15.833333333333334,3895
15.916666666666666,3907
16,3904
16.083333333333332,3910
16.166666666666668,3918
16.25,3942
16.333333333333332,3946
16.416666666666668,3944
16.5,3946
16.583333333333332,3960
16.666666666666668,3962
16.75,3974
16.833333333333332,3972
16.916666666666668,3983
17,3992
17.083333333333332,3999
17.166666666666668,4002
17.25,4014
17.333333333333332,4019
17.416666666666668,4024
17.5,4038
17.583333333333332,4051
17.666666666666668,4054
17.75,4059
17.833333333333332,4073
17.916666666666668,4081
18,4096
18.083333333333332,4104
18.166666666666668,4109
18.25,4111
18.333333333333332,4116
18.416666666666668,4125
18.5,4124
18.583333333333332,4128
18.666666666666668,4139
18.75,4141
18.833333333333332,4149
18.916666666666668,4153
19,4167
19.083333333333332,4174
19.166666666666668,4181
19.25,4198
19.333333333333332,4195
19.416666666666668,4206
19.5,4209
19.583333333333332,4216
19.666666666666668,4218
19.75,4224
19.833333333333332,4231
19.916666666666668,4239
20,4235
20.083333333333332,4257
20.166666666666668,4253
20.25,4255
20.333333333333332,4265
20.416666666666668,4276
20.5,4278
20.583333333333332,4287
20.666666666666668,4294
20.75,4301
20.833333333333332,4309
20.916666666666668,4317
21,4316
21.083333333333332,4323
21.166666666666668,4323
21.25,4323
21.333333333333332,4320
21.416666666666668,4336
21.5,4334
21.583333333333332,4346
21.666666666666668,4352
21.75,4353
21.833333333333332,4363
21.916666666666668,4366
22,4369
22.083333333333332,4379
22.166666666666668,4390
22.25,4395
22.333333333333332,4399
22.416666666666668,4400
22.5,4411
22.583333333333332,4417
22.666666666666668,4420
22.75,4432
22.833333333333332,4436
22.916666666666668,4439
23,4446
23.083333333333332,4450
23.166666666666668,4453
23.25,4463
23.333333333333332,4463
23.416666666666668,4468
23.5,4476
23.583333333333332,4478
23.666666666666668,4480
23.75,4488
23.833333333333332,4499
23.916666666666668,4489
24,4501
24.083333333333332,4510
24.166666666666668,4514
24.25,4513
24.333333333333332,4529
24.416666666666668,4532
24.5,4531
24.583333333333332,4541
24.666666666666668,4547
24.75,4550
24.833333333333332,4551
24.916666666666668,4563
25,4567
25.083333333333332,4575
25.166666666666668,4581
25.25,4589
25.333333333333332,4597
25.416666666666668,4598
25.5,4595
25.583333333333332,4597
25.666666666666668,4614
25.75,4614
25.833333333333332,4618
25.916666666666668,4625
26,4619
26.083333333333332,4624
26.166666666666668,4630
26.25,4627
26.333333333333332,4633
26.416666666666668,4629
26.5,4644
26.583333333333332,4645
26.666666666666668,4640
26.75,4646
26.833333333333332,4651
26.916666666666668,4661
27,4658
27.083333333333332,4668
27.166666666666668,4665
27.25,4665
27.333333333333332,4675
27.416666666666668,4687
27.5,4682
27.583333333333332,4696
27.666666666666668,4691
27.75,4694
27.833333333333332,4707
27.916666666666668,4706
28,4707
28.083333333333332,4708
28.166666666666668,4715
28.25,4716
28.333333333333332,4718
28.416666666666668,4723
28.5,4726
28.583333333333332,4726
28.666666666666668,4732
28.75,4740
28.833333333333332,4742
28.916666666666668,4743
29,4751
29.083333333333332,4748
29.166666666666668,4757
29.25,4765
29.333333333333332,4767
29.416666666666668,4761
29.5,4770
29.583333333333332,4774
29.666666666666668,4768
