"Hours since thread went live","Sousou no Frieren • Frieren: Beyond Journey's End - Episode 6 discussion"
0,3
0,13
0.08333333333333333,29
0.16666666666666666,47
0.25,62
0.3333333333333333,84
0.4166666666666667,122
0.5,154
0.5833333333333334,189
0.6666666666666666,221
0.75,276
0.8333333333333334,308
0.9166666666666666,346
1,392
1.0833333333333333,438
1.1666666666666667,476
1.25,522
1.3333333333333333,560
1.4166666666666667,600
1.5,647
1.5833333333333333,681
1.6666666666666667,707
1.75,739
1.8333333333333333,763
1.9166666666666667,816
2,842
2.0833333333333335,878
2.1666666666666665,921
2.25,948
2.3333333333333335,977
2.4166666666666665,1012
2.5,1052
2.5833333333333335,1088
2.6666666666666665,1118
2.75,1149
2.8333333333333335,1172
2.9166666666666665,1206
3,1246
3.0833333333333335,1281
3.1666666666666665,1306
3.25,1337
3.3333333333333335,1371
3.4166666666666665,1395
3.5,1430
3.5833333333333335,1455
3.6666666666666665,1482
3.75,1508
3.8333333333333335,1521
3.9166666666666665,1538
4,1558
4.083333333333333,1573
4.166666666666667,1609
4.25,1636
4.333333333333333,1662
4.416666666666667,1686
4.5,1712
4.583333333333333,1739
4.666666666666667,1756
4.75,1773
4.833333333333333,1801
4.916666666666667,1819
5,1852
5.083333333333333,1866
5.166666666666667,1880
5.25,1899
5.333333333333333,1919
5.416666666666667,1945
5.5,1966
5.583333333333333,1991
5.666666666666667,2004
5.75,2028
5.833333333333333,2051
5.916666666666667,2070
6,2090
6.083333333333333,2116
6.166666666666667,2138
6.25,2150
6.333333333333333,2170
6.416666666666667,2195
6.5,2215
6.583333333333333,2234
6.666666666666667,2246
6.75,2262
6.833333333333333,2272
6.916666666666667,2293
7,2311
7.083333333333333,2327
7.166666666666667,2346
7.25,2365
7.333333333333333,2386
7.416666666666667,2389
7.5,2398
7.583333333333333,2422
7.666666666666667,2439
7.75,2454
7.833333333333333,2473
7.916666666666667,2492
8,2516
8.083333333333334,2534
8.166666666666666,2554
8.25,2571
8.333333333333334,2582
8.416666666666666,2597
8.5,2603
8.583333333333334,2615
8.666666666666666,2628
8.75,2637
8.833333333333334,2652
8.916666666666666,2672
9,2679
9.083333333333334,2701
9.166666666666666,2717
9.25,2730
9.333333333333334,2749
9.416666666666666,2764
9.5,2777
9.583333333333334,2789
9.666666666666666,2797
9.75,2814
9.833333333333334,2837
9.916666666666666,2846
10,2862
10.083333333333334,2876
10.166666666666666,2889
10.25,2903
10.333333333333334,2911
10.416666666666666,2921
10.5,2937
10.583333333333334,2937
10.666666666666666,2955
10.75,2970
10.833333333333334,2985
10.916666666666666,2990
11,2990
11.083333333333334,3013
11.166666666666666,3018
11.25,3029
11.333333333333334,3043
11.416666666666666,3059
11.5,3071
11.583333333333334,3083
11.666666666666666,3090
11.75,3101
11.833333333333334,3124
11.916666666666666,3126
12,3145
12.083333333333334,3154
12.166666666666666,3159
12.25,3168
12.333333333333334,3181
12.416666666666666,3188
12.5,3192
12.583333333333334,3204
12.666666666666666,3215
12.75,3220
12.833333333333334,3232
12.916666666666666,3245
13,3258
13.083333333333334,3256
13.166666666666666,3254
13.25,3274
13.333333333333334,3286
13.416666666666666,3288
13.5,3300
13.583333333333334,3311
13.666666666666666,3324
13.75,3324
13.833333333333334,3338
13.916666666666666,3347
14,3354
14.083333333333334,3371
14.166666666666666,3382
14.25,3388
14.333333333333334,3391
14.416666666666666,3401
14.5,3409
14.583333333333334,3422
14.666666666666666,3435
14.75,3448
14.833333333333334,3452
14.916666666666666,3460
15,3472
15.083333333333334,3482
15.166666666666666,3480
15.25,3486
15.333333333333334,3499
15.416666666666666,3505
15.5,3513
15.583333333333334,3523
15.666666666666666,3530
15.75,3541
15.833333333333334,3536
15.916666666666666,3541
16,3557
16.083333333333332,3563
16.166666666666668,3572
16.25,3584
16.333333333333332,3584
16.416666666666668,3584
16.5,3588
16.583333333333332,3594
16.666666666666668,3597
16.75,3605
16.833333333333332,3609
16.916666666666668,3619
17,3627
17.083333333333332,3635
17.166666666666668,3636
17.25,3646
17.333333333333332,3648
17.416666666666668,3659
17.5,3669
17.583333333333332,3665
17.666666666666668,3681
17.75,3679
17.833333333333332,3696
17.916666666666668,3698
18,3719
18.083333333333332,3713
18.166666666666668,3731
18.25,3727
18.333333333333332,3733
18.416666666666668,3738
18.5,3747
18.583333333333332,3752
18.666666666666668,3756
18.75,3761
18.833333333333332,3765
18.916666666666668,3765
19,3773
19.083333333333332,3783
19.166666666666668,3783
19.25,3788
19.333333333333332,3801
19.416666666666668,3807
19.5,3812
19.583333333333332,3816
19.666666666666668,3816
19.75,3824
19.833333333333332,3830
19.916666666666668,3834
20,3838
20.083333333333332,3839
20.166666666666668,3847
