"Hours since thread went live","Jujutsu Kaisen Season 2 - Episode 13 discussion"
0,4
0,31
0.08333333333333333,80
0.16666666666666666,128
0.25,165
0.3333333333333333,205
0.4166666666666667,258
0.5,308
0.5833333333333334,365
0.6666666666666666,425
0.75,489
0.8333333333333334,555
0.9166666666666666,623
1,668
1.0833333333333333,732
1.1666666666666667,787
1.25,835
1.3333333333333333,889
1.4166666666666667,949
1.5,991
1.5833333333333333,1050
1.6666666666666667,1090
1.75,1139
1.8333333333333333,1174
1.9166666666666667,1216
2,1254
2.0833333333333335,1289
2.1666666666666665,1346
2.25,1381
2.3333333333333335,1421
2.4166666666666665,1462
2.5,1504
2.5833333333333335,1535
2.6666666666666665,1569
2.75,1618
2.8333333333333335,1654
2.9166666666666665,1682
3,1719
3.0833333333333335,1752
3.1666666666666665,1772
3.25,1810
3.3333333333333335,1849
3.4166666666666665,1876
3.5,1909
3.5833333333333335,1941
3.6666666666666665,1978
3.75,2011
3.8333333333333335,2043
3.9166666666666665,2067
4,2093
4.083333333333333,2121
4.166666666666667,2150
4.25,2174
4.333333333333333,2204
4.416666666666667,2240
4.5,2277
4.583333333333333,2297
4.666666666666667,2325
4.75,2344
4.833333333333333,2374
4.916666666666667,2404
5,2429
5.083333333333333,2464
5.166666666666667,2494
5.25,2523
5.333333333333333,2549
5.416666666666667,2593
5.5,2605
5.583333333333333,2632
5.666666666666667,2656
5.75,2683
5.833333333333333,2714
5.916666666666667,2747
6,2776
6.083333333333333,2814
6.166666666666667,2835
6.25,2867
6.333333333333333,2887
6.416666666666667,2907
6.5,2918
6.583333333333333,2950
6.666666666666667,2970
6.75,2995
6.833333333333333,3027
6.916666666666667,3045
7,3072
7.083333333333333,3096
7.166666666666667,3122
7.25,3136
7.333333333333333,3160
7.416666666666667,3171
7.5,3196
7.583333333333333,3207
7.666666666666667,3226
7.75,3241
7.833333333333333,3269
7.916666666666667,3293
8,3311
8.083333333333334,3340
8.166666666666666,3369
8.25,3387
8.333333333333334,3403
8.416666666666666,3409
8.5,3433
8.583333333333334,3454
8.666666666666666,3468
8.75,3485
8.833333333333334,3502
8.916666666666666,3521
9,3526
9.083333333333334,3550
9.166666666666666,3574
9.25,3586
9.333333333333334,3602
9.416666666666666,3622
9.5,3639
9.583333333333334,3656
9.666666666666666,3662
9.75,3696
9.833333333333334,3711
9.916666666666666,3725
10,3741
10.083333333333334,3750
10.166666666666666,3772
10.25,3797
10.333333333333334,3808
10.416666666666666,3826
10.5,3840
10.583333333333334,3846
10.666666666666666,3846
10.75,3875
10.833333333333334,3888
10.916666666666666,3902
11,3919
11.083333333333334,3931
11.166666666666666,3937
11.25,3962
11.333333333333334,3977
11.416666666666666,3996
11.5,4013
11.583333333333334,4021
11.666666666666666,4033
11.75,4048
11.833333333333334,4059
11.916666666666666,4076
12,4079
12.083333333333334,4094
12.166666666666666,4099
12.25,4113
12.333333333333334,4121
12.416666666666666,4129
12.5,4143
12.583333333333334,4155
12.666666666666666,4161
12.75,4179
12.833333333333334,4191
12.916666666666666,4207
13,4205
13.083333333333334,4221
13.166666666666666,4235
13.25,4241
13.333333333333334,4252
13.416666666666666,4257
13.5,4270
13.583333333333334,4269
13.666666666666666,4280
13.75,4284
13.833333333333334,4297
13.916666666666666,4304
14,4305
14.083333333333334,4322
14.166666666666666,4335
14.25,4341
14.333333333333334,4349
14.416666666666666,4351
14.5,4362
14.583333333333334,4360
14.666666666666666,4370
14.75,4370
14.833333333333334,4372
14.916666666666666,4392
15,4395
15.083333333333334,4392
15.166666666666666,4396
15.25,4415
15.333333333333334,4428
15.416666666666666,4436
15.5,4440
15.583333333333334,4442
15.666666666666666,4448
15.75,4455
15.833333333333334,4458
15.916666666666666,4467
16,4473
16.083333333333332,4475
16.166666666666668,4486
16.25,4492
16.333333333333332,4491
16.416666666666668,4499
16.5,4506
16.583333333333332,4516
16.666666666666668,4519
16.75,4518
16.833333333333332,4517
16.916666666666668,4526
17,4531
17.083333333333332,4540
17.166666666666668,4541
17.25,4558
17.333333333333332,4569
17.416666666666668,4566
17.5,4577
17.583333333333332,4583
17.666666666666668,4584
17.75,4590
17.833333333333332,4596
17.916666666666668,4602
18,4607
18.083333333333332,4622
18.166666666666668,4625
18.25,4635
18.333333333333332,4641
18.416666666666668,4638
18.5,4649
18.583333333333332,4652
18.666666666666668,4660
18.75,4668
18.833333333333332,4670
18.916666666666668,4671
19,4675
19.083333333333332,4692
19.166666666666668,4698
19.25,4697
19.333333333333332,4703
19.416666666666668,4705
19.5,4721
19.583333333333332,4714
19.666666666666668,4723
19.75,4735
19.833333333333332,4738
19.916666666666668,4745
20,4757
20.083333333333332,4753
20.166666666666668,4759
20.25,4767
20.333333333333332,4770
20.416666666666668,4775
20.5,4787
20.583333333333332,4784
20.666666666666668,4794
20.75,4798
20.833333333333332,4805
20.916666666666668,4814
21,4816
21.083333333333332,4817
21.166666666666668,4821
21.25,4829
21.333333333333332,4837
21.416666666666668,4839
21.5,4846
21.583333333333332,4839
21.666666666666668,4852
21.75,4859
21.833333333333332,4868
21.916666666666668,4877
22,4886
22.083333333333332,4890
22.166666666666668,4890
22.25,4890
22.333333333333332,4887
22.416666666666668,4894
22.5,4899
22.583333333333332,4900
22.666666666666668,4908
22.75,4919
22.833333333333332,4919
22.916666666666668,4923
23,4917
23.083333333333332,4932
23.166666666666668,4934
23.25,4940
23.333333333333332,4943
23.416666666666668,4945
23.5,4948
23.583333333333332,4963
23.666666666666668,4965
23.75,4978
23.833333333333332,4978
23.916666666666668,4982
24,4979
24.083333333333332,4980
24.166666666666668,4988
24.25,4998
24.333333333333332,5005
24.416666666666668,5006
24.5,5002
24.583333333333332,5008
24.666666666666668,5008
24.75,5016
24.833333333333332,5013
24.916666666666668,5019
25,5019
25.083333333333332,5019
25.166666666666668,5026
25.25,5035
25.333333333333332,5029
25.416666666666668,5042
25.5,5042
25.583333333333332,5040
25.666666666666668,5046
25.75,5043
25.833333333333332,5050
25.916666666666668,5059
26,5058
26.083333333333332,5066
26.166666666666668,5069
26.25,5067
26.333333333333332,5082
26.416666666666668,5074
26.5,5082
26.583333333333332,5091
26.666666666666668,5090
26.75,5088
26.833333333333332,5096
26.916666666666668,5100
27,5103
27.083333333333332,5096
27.166666666666668,5108
27.25,5110
27.333333333333332,5109
27.416666666666668,5109
27.5,5113
27.583333333333332,5110
27.666666666666668,5107
27.75,5112
27.833333333333332,5124
