"Hours since thread went live","Shingeki no Kyojin: The Final Season • Attack on Titan Final Season THE FINAL CHAPTERS - Special Episode 2"
0,29
0,48
0.08333333333333333,128
0.16666666666666666,205
0.25,281
0.3333333333333333,349
0.4166666666666667,438
0.5,502
0.5833333333333334,565
0.6666666666666666,626
0.75,670
0.8333333333333334,731
0.9166666666666666,783
1,848
1.0833333333333333,889
1.1666666666666667,945
1.25,1001
1.3333333333333333,1052
1.4166666666666667,1120
1.5,1171
1.5833333333333333,1235
1.6666666666666667,1283
1.75,1344
1.8333333333333333,1406
1.9166666666666667,1496
2,1579
2.0833333333333335,1679
2.1666666666666665,1769
2.25,1852
2.3333333333333335,1939
2.4166666666666665,2024
2.5,2090
2.5833333333333335,2177
2.6666666666666665,2246
2.75,2337
2.8333333333333335,2407
2.9166666666666665,2478
3,2558
3.0833333333333335,2620
3.1666666666666665,2680
3.25,2725
3.3333333333333335,2798
3.4166666666666665,2853
3.5,2903
3.5833333333333335,2961
3.6666666666666665,3033
3.75,3096
3.8333333333333335,3167
3.9166666666666665,3228
4,3284
4.083333333333333,3339
4.166666666666667,3388
4.25,3422
4.333333333333333,3491
4.416666666666667,3538
4.5,3598
4.583333333333333,3656
4.666666666666667,3706
4.75,3752
4.833333333333333,3812
4.916666666666667,3874
5,3937
5.083333333333333,3985
5.166666666666667,4020
5.25,4076
5.333333333333333,4133
5.416666666666667,4164
5.5,4206
5.583333333333333,4250
5.666666666666667,4294
5.75,4333
5.833333333333333,4366
5.916666666666667,4409
6,4451
6.083333333333333,4490
6.166666666666667,4518
6.25,4559
6.333333333333333,4592
6.416666666666667,4635
6.5,4670
6.583333333333333,4716
6.666666666666667,4735
6.75,4779
6.833333333333333,4809
6.916666666666667,4850
7,4885
7.083333333333333,4935
7.166666666666667,4979
7.25,5025
7.333333333333333,5062
7.416666666666667,5089
7.5,5134
7.583333333333333,5164
7.666666666666667,5201
7.75,5235
7.833333333333333,5267
7.916666666666667,5304
8,5338
8.083333333333334,5366
8.166666666666666,5421
8.25,5452
8.333333333333334,5485
8.416666666666666,5526
8.5,5563
8.583333333333334,5591
8.666666666666666,5629
8.75,5660
8.833333333333334,5679
8.916666666666666,5706
9,5736
9.083333333333334,5763
9.166666666666666,5793
9.25,5823
9.333333333333334,5847
9.416666666666666,5877
9.5,5912
9.583333333333334,5921
9.666666666666666,5948
9.75,5974
9.833333333333334,5995
9.916666666666666,6044
10,6053
10.083333333333334,6076
10.166666666666666,6097
10.25,6122
10.333333333333334,6159
10.416666666666666,6184
10.5,6215
10.583333333333334,6225
10.666666666666666,6252
10.75,6289
10.833333333333334,6301
10.916666666666666,6335
11,6348
11.083333333333334,6367
11.166666666666666,6406
11.25,6418
11.333333333333334,6448
11.416666666666666,6479
11.5,6499
11.583333333333334,6527
11.666666666666666,6537
11.75,6562
11.833333333333334,6589
11.916666666666666,6613
12,6640
12.083333333333334,6665
12.166666666666666,6678
12.25,6722
12.333333333333334,6746
12.416666666666666,6764
12.5,6772
12.583333333333334,6812
12.666666666666666,6833
12.75,6850
12.833333333333334,6882
12.916666666666666,6901
13,6936
13.083333333333334,6955
13.166666666666666,6985
13.25,7003
13.333333333333334,7027
13.416666666666666,7051
13.5,7079
13.583333333333334,7099
13.666666666666666,7124
13.75,7146
13.833333333333334,7172
13.916666666666666,7194
14,7224
14.083333333333334,7250
14.166666666666666,7291
14.25,7311
14.333333333333334,7336
14.416666666666666,7360
14.5,7379
14.583333333333334,7403
14.666666666666666,7426
14.75,7454
14.833333333333334,7472
14.916666666666666,7508
15,7536
15.083333333333334,7579
15.166666666666666,7607
15.25,7627
15.333333333333334,7651
15.416666666666666,7681
15.5,7703
15.583333333333334,7728
15.666666666666666,7735
15.75,7765
15.833333333333334,7791
15.916666666666666,7829
16,7855
16.083333333333332,7877
16.166666666666668,7891
16.25,7915
16.333333333333332,7951
16.416666666666668,7964
16.5,7983
16.583333333333332,8013
16.666666666666668,8044
16.75,8066
16.833333333333332,8091
16.916666666666668,8107
17,8128
17.083333333333332,8142
17.166666666666668,8159
17.25,8182
17.333333333333332,8211
17.416666666666668,8233
17.5,8255
17.583333333333332,8283
17.666666666666668,8298
17.75,8317
17.833333333333332,8343
17.916666666666668,8362
18,8373
18.083333333333332,8396
18.166666666666668,8413
18.25,8446
18.333333333333332,8468
18.416666666666668,8479
18.5,8498
18.583333333333332,8511
18.666666666666668,8527
18.75,8554
18.833333333333332,8580
18.916666666666668,8589
19,8611
19.083333333333332,8636
19.166666666666668,8654
19.25,8664
19.333333333333332,8685
19.416666666666668,8721
19.5,8726
19.583333333333332,8743
19.666666666666668,8766
19.75,8792
19.833333333333332,8816
19.916666666666668,8825
20,8849
20.083333333333332,8863
20.166666666666668,8876
20.25,8902
20.333333333333332,8907
20.416666666666668,8929
20.5,8946
20.583333333333332,8982
20.666666666666668,8998
20.75,9013
20.833333333333332,9022
20.916666666666668,9050
21,9063
21.083333333333332,9081
21.166666666666668,9105
21.25,9120
21.333333333333332,9144
21.416666666666668,9155
21.5,9185
21.583333333333332,9202
21.666666666666668,9217
21.75,9238
21.833333333333332,9252
21.916666666666668,9273
22,9283
22.083333333333332,9301
22.166666666666668,9317
22.25,9326
22.333333333333332,9354
22.416666666666668,9365
22.5,9388
22.583333333333332,9409
22.666666666666668,9421
22.75,9446
22.833333333333332,9460
22.916666666666668,9460
23,9485
23.083333333333332,9496
23.166666666666668,9512
23.25,9531
23.333333333333332,9531
23.416666666666668,9548
23.5,9559
23.583333333333332,9577
23.666666666666668,9596
23.75,9601
23.833333333333332,9611
23.916666666666668,9621
24,9640
24.083333333333332,9647
24.166666666666668,9652
24.25,9667
24.333333333333332,9673
24.416666666666668,9688
24.5,9691
24.583333333333332,9695
24.666666666666668,9720
24.75,9723
24.833333333333332,9744
24.916666666666668,9750
25,9766
25.083333333333332,9769
25.166666666666668,9798
25.25,9793
25.333333333333332,9805
25.416666666666668,9819
25.5,9833
25.583333333333332,9841
25.666666666666668,9853
25.75,9875
25.833333333333332,9890
25.916666666666668,9890
26,9911
26.083333333333332,9915
26.166666666666668,9930
26.25,9947
26.333333333333332,9942
26.416666666666668,9959
26.5,9974
26.583333333333332,9981
26.666666666666668,9983
26.75,10006
26.833333333333332,10011
26.916666666666668,10020
27,10030
27.083333333333332,10053
27.166666666666668,10061
27.25,10081
27.333333333333332,10079
27.416666666666668,10090
27.5,10095
27.583333333333332,10111
27.666666666666668,10129
27.75,10139
27.833333333333332,10150
27.916666666666668,10148
28,10158
28.083333333333332,10168
28.166666666666668,10181
28.25,10185
28.333333333333332,10191
28.416666666666668,10194
28.5,10214
28.583333333333332,10218
28.666666666666668,10219
28.75,10236
28.833333333333332,10246
28.916666666666668,10251
29,10261
29.083333333333332,10265
29.166666666666668,10289
29.25,10288
29.333333333333332,10294
29.416666666666668,10306
29.5,10316
29.583333333333332,10321
29.666666666666668,10333
29.75,10333
29.833333333333332,10342
29.916666666666668,10359
30,10361
30.083333333333332,10373
30.166666666666668,10370
30.25,10377
30.333333333333332,10391
30.416666666666668,10394
30.5,10396
30.583333333333332,10398
30.666666666666668,10407
30.75,10412
30.833333333333332,10418
30.916666666666668,10433
31,10433
31.083333333333332,10440
31.166666666666668,10454
31.25,10453
31.333333333333332,10460
31.416666666666668,10464
31.5,10466
31.583333333333332,10478
31.666666666666668,10467
31.75,10476
31.833333333333332,10482
31.916666666666668,10495
32,10500
32.083333333333336,10502
32.166666666666664,10505
32.25,10506
32.333333333333336,10508
32.416666666666664,10514
32.5,10508
32.583333333333336,10526
32.666666666666664,10527
32.75,10531
32.833333333333336,10529
32.916666666666664,10537
33,10534
33.083333333333336,10536
33.166666666666664,10551
33.25,10555
33.333333333333336,10551
33.416666666666664,10566
33.5,10567
33.583333333333336,10566
33.666666666666664,10574
33.75,10571
33.833333333333336,10578
33.916666666666664,10579
34,10591
34.083333333333336,10596
34.166666666666664,10593
34.25,10592
34.333333333333336,10600
34.416666666666664,10607
34.5,10606
34.583333333333336,10609
34.666666666666664,10615
34.75,10617
34.833333333333336,10624
34.916666666666664,10626
35,10622
35.083333333333336,10629
35.166666666666664,10640
35.25,10640
35.333333333333336,10637
35.416666666666664,10642
35.5,10642
35.583333333333336,10663
35.666666666666664,10656
35.75,10666
35.833333333333336,10661
35.916666666666664,10667
36,10671
36.083333333333336,10676
36.166666666666664,10672
36.25,10665
36.333333333333336,10671
36.416666666666664,10679
36.5,10679
36.583333333333336,10685
36.666666666666664,10692
36.75,10693
36.833333333333336,10696
36.916666666666664,10700
37,10706
37.083333333333336,10703
37.166666666666664,10709
37.25,10709
37.333333333333336,10717
37.416666666666664,10724
37.5,10716
37.583333333333336,10717
37.666666666666664,10727
37.75,10731
37.833333333333336,10728
37.916666666666664,10736
38,10734
38.083333333333336,10740
38.166666666666664,10737
38.25,10738
38.333333333333336,10746
38.416666666666664,10750
38.5,10746
38.583333333333336,10756
38.666666666666664,10760
38.75,10765
38.833333333333336,10768
38.916666666666664,10770
39,10779
39.083333333333336,10788
39.166666666666664,10788
39.25,10786
39.333333333333336,10788
39.416666666666664,10793
39.5,10791
39.583333333333336,10798
39.666666666666664,10803
39.75,10801
39.833333333333336,10807
39.916666666666664,10815
40,10821
40.083333333333336,10817
40.166666666666664,10824
40.25,10826
40.333333333333336,10827
40.416666666666664,10823
40.5,10839
40.583333333333336,10833
40.666666666666664,10843
40.75,10844
40.833333333333336,10848
40.916666666666664,10845
41,10846
41.083333333333336,10848
41.166666666666664,10859
41.25,10864
41.333333333333336,10859
41.416666666666664,10859
41.5,10863
41.583333333333336,10864
41.666666666666664,10868
41.75,10870
41.833333333333336,10883
41.916666666666664,10882
42,10880
42.083333333333336,10890
42.166666666666664,10888
42.25,10896
42.333333333333336,10895
42.416666666666664,10902
42.5,10898
42.583333333333336,10906
42.666666666666664,10905
42.75,10913
42.833333333333336,10919
42.916666666666664,10919
43,10923
43.083333333333336,10922
43.166666666666664,10929
43.25,10922
43.333333333333336,10929
43.416666666666664,10933
43.5,10936
43.583333333333336,10939
43.666666666666664,10948
43.75,10946
43.833333333333336,10942
43.916666666666664,10949
44,10950
44.083333333333336,10946
44.166666666666664,10953
44.25,10957
44.333333333333336,10948
44.416666666666664,10957
44.5,10954
44.583333333333336,10955
44.666666666666664,10960
44.75,10969
44.833333333333336,10965
44.916666666666664,10976
45,10977
45.083333333333336,10972
45.166666666666664,10979
45.25,10984
45.333333333333336,10982
45.416666666666664,10991
45.5,10986
