"Hours since thread went live","Kage no Jitsuryokusha ni Naritakute! Season 2 • The Eminence in Shadow Season 2 - Episode 7 discussion"
0,2
0.08333333333333333,3
0.16666666666666666,7
0.25,17
0.3333333333333333,22
0.4166666666666667,36
0.5,51
0.5833333333333334,71
0.6666666666666666,87
0.75,102
0.8333333333333334,115
0.9166666666666666,139
1,150
1.0833333333333333,179
1.1666666666666667,198
1.25,220
1.3333333333333333,236
1.4166666666666667,252
1.5,272
1.5833333333333333,288
1.6666666666666667,304
1.75,326
1.8333333333333333,336
1.9166666666666667,347
2,365
2.0833333333333335,392
2.1666666666666665,419
2.25,433
2.3333333333333335,455
2.4166666666666665,477
2.5,494
2.5833333333333335,519
2.6666666666666665,535
2.75,546
2.8333333333333335,564
2.9166666666666665,587
3,610
3.0833333333333335,619
3.1666666666666665,632
3.25,653
3.3333333333333335,665
3.4166666666666665,681
3.5,699
3.5833333333333335,708
3.6666666666666665,734
3.75,749
3.8333333333333335,769
3.9166666666666665,789
4,800
4.083333333333333,826
4.166666666666667,834
4.25,854
4.333333333333333,864
4.416666666666667,875
4.5,891
4.583333333333333,895
4.666666666666667,915
4.75,937
4.833333333333333,954
4.916666666666667,959
5,968
5.083333333333333,984
5.166666666666667,1001
5.25,1013
5.333333333333333,1025
5.416666666666667,1033
5.5,1047
5.583333333333333,1052
5.666666666666667,1066
5.75,1077
5.833333333333333,1097
5.916666666666667,1115
6,1124
6.083333333333333,1140
6.166666666666667,1149
6.25,1154
6.333333333333333,1168
6.416666666666667,1186
6.5,1184
6.583333333333333,1203
6.666666666666667,1215
6.75,1221
6.833333333333333,1230
6.916666666666667,1242
7,1252
7.083333333333333,1263
7.166666666666667,1278
7.25,1287
7.333333333333333,1293
7.416666666666667,1298
7.5,1316
7.583333333333333,1326
7.666666666666667,1338
7.75,1352
7.833333333333333,1375
7.916666666666667,1389
8,1391
8.083333333333334,1407
8.166666666666666,1403
8.25,1419
8.333333333333334,1429
8.416666666666666,1443
8.5,1452
8.583333333333334,1465
8.666666666666666,1468
8.75,1477
8.833333333333334,1484
8.916666666666666,1502
9,1510
9.083333333333334,1515
9.166666666666666,1521
9.25,1531
9.333333333333334,1543
9.416666666666666,1546
9.5,1556
9.583333333333334,1556
9.666666666666666,1563
9.75,1575
9.833333333333334,1587
9.916666666666666,1594
10,1603
10.083333333333334,1609
10.166666666666666,1626
10.25,1629
10.333333333333334,1647
10.416666666666666,1640
10.5,1658
10.583333333333334,1657
10.666666666666666,1659
10.75,1672
10.833333333333334,1679
10.916666666666666,1689
11,1697
11.083333333333334,1704
11.166666666666666,1709
11.25,1716
11.333333333333334,1728
11.416666666666666,1739
11.5,1753
11.583333333333334,1754
11.666666666666666,1762
11.75,1767
11.833333333333334,1782
11.916666666666666,1783
12,1785
12.083333333333334,1796
12.166666666666666,1797
12.25,1802
12.333333333333334,1814
12.416666666666666,1815
12.5,1823
12.583333333333334,1825
12.666666666666666,1830
12.75,1837
12.833333333333334,1845
12.916666666666666,1856
13,1854
13.083333333333334,1863
13.166666666666666,1868
13.25,1868
13.333333333333334,1876
13.416666666666666,1881
13.5,1884
13.583333333333334,1891
13.666666666666666,1896
13.75,1899
13.833333333333334,1900
13.916666666666666,1900
14,1913
14.083333333333334,1918
14.166666666666666,1913
14.25,1922
14.333333333333334,1932
14.416666666666666,1940
14.5,1943
14.583333333333334,1944
14.666666666666666,1949
14.75,1953
14.833333333333334,1962
14.916666666666666,1968
15,1965
15.083333333333334,1978
15.166666666666666,1977
15.25,1984
15.333333333333334,1989
15.416666666666666,1984
15.5,1994
15.583333333333334,2003
15.666666666666666,2007
15.75,2005
15.833333333333334,2006
15.916666666666666,2009
16,2016
16.083333333333332,2022
16.166666666666668,2027
16.25,2029
16.333333333333332,2033
16.416666666666668,2036
16.5,2040
16.583333333333332,2039
16.666666666666668,2043
16.75,2044
16.833333333333332,2058
16.916666666666668,2060
17,2060
17.083333333333332,2062
17.166666666666668,2067
17.25,2066
17.333333333333332,2075
17.416666666666668,2076
17.5,2075
17.583333333333332,2086
17.666666666666668,2091
17.75,2094
17.833333333333332,2092
17.916666666666668,2098
18,2099
18.083333333333332,2105
18.166666666666668,2107
18.25,2108
18.333333333333332,2118
18.416666666666668,2119
18.5,2119
18.583333333333332,2121
18.666666666666668,2120
18.75,2120
18.833333333333332,2122
18.916666666666668,2125
19,2130
19.083333333333332,2132
19.166666666666668,2136
19.25,2140
19.333333333333332,2139
19.416666666666668,2142
19.5,2155
19.583333333333332,2154
19.666666666666668,2152
19.75,2154
19.833333333333332,2159
19.916666666666668,2160
20,2157
20.083333333333332,2159
20.166666666666668,2165
20.25,2168
20.333333333333332,2178
20.416666666666668,2176
20.5,2181
20.583333333333332,2184
20.666666666666668,2178
20.75,2186
20.833333333333332,2188
20.916666666666668,2182
21,2187
21.083333333333332,2182
21.166666666666668,2190
21.25,2197
21.333333333333332,2195
21.416666666666668,2198
21.5,2201
21.583333333333332,2204
21.666666666666668,2203
21.75,2205
21.833333333333332,2212
21.916666666666668,2207
22,2212
22.083333333333332,2211
22.166666666666668,2211
22.25,2216
22.333333333333332,2209
22.416666666666668,2217
22.5,2213
22.583333333333332,2217
22.666666666666668,2222
22.75,2225
22.833333333333332,2227
22.916666666666668,2222
23,2223
23.083333333333332,2231
