"Hours since thread went live","Kusuriya no Hitorigoto • The Apothecary Diaries - Episode 8 discussion"
0,2
0.08333333333333333,12
0.16666666666666666,23
0.25,35
0.3333333333333333,46
0.4166666666666667,60
0.5,82
0.5833333333333334,97
0.6666666666666666,120
0.75,139
0.8333333333333334,155
0.9166666666666666,184
1,206
1.0833333333333333,226
1.1666666666666667,249
1.25,269
1.3333333333333333,280
1.4166666666666667,299
1.5,315
1.5833333333333333,329
1.6666666666666667,348
1.75,366
1.8333333333333333,392
1.9166666666666667,412
2,433
2.0833333333333335,444
2.1666666666666665,460
2.25,489
2.3333333333333335,502
2.4166666666666665,514
2.5,535
2.5833333333333335,550
2.6666666666666665,563
2.75,583
2.8333333333333335,603
2.9166666666666665,624
3,643
3.0833333333333335,653
3.1666666666666665,671
3.25,686
3.3333333333333335,693
3.4166666666666665,707
3.5,728
3.5833333333333335,733
3.6666666666666665,750
3.75,761
3.8333333333333335,780
3.9166666666666665,794
4,806
4.083333333333333,824
4.166666666666667,836
4.25,850
4.333333333333333,857
4.416666666666667,871
4.5,883
4.583333333333333,903
4.666666666666667,907
4.75,921
4.833333333333333,937
4.916666666666667,947
5,962
5.083333333333333,980
5.166666666666667,991
5.25,1012
5.333333333333333,1025
5.416666666666667,1045
5.5,1050
5.583333333333333,1066
5.666666666666667,1077
5.75,1092
5.833333333333333,1102
5.916666666666667,1111
6,1119
6.083333333333333,1130
6.166666666666667,1140
6.25,1156
6.333333333333333,1159
6.416666666666667,1170
6.5,1183
6.583333333333333,1184
6.666666666666667,1199
6.75,1210
6.833333333333333,1219
6.916666666666667,1231
7,1237
7.083333333333333,1252
7.166666666666667,1260
7.25,1266
7.333333333333333,1272
7.416666666666667,1284
7.5,1297
7.583333333333333,1307
7.666666666666667,1313
7.75,1316
7.833333333333333,1333
7.916666666666667,1341
8,1343
8.083333333333334,1352
8.166666666666666,1357
8.25,1367
8.333333333333334,1374
8.416666666666666,1377
8.5,1385
8.583333333333334,1385
8.666666666666666,1406
8.75,1411
8.833333333333334,1417
8.916666666666666,1427
9,1440
9.083333333333334,1435
9.166666666666666,1449
9.25,1452
9.333333333333334,1463
9.416666666666666,1471
9.5,1473
9.583333333333334,1482
9.666666666666666,1491
9.75,1500
9.833333333333334,1502
9.916666666666666,1514
10,1523
10.083333333333334,1536
10.166666666666666,1546
10.25,1546
10.333333333333334,1559
10.416666666666666,1569
10.5,1571
10.583333333333334,1577
10.666666666666666,1583
10.75,1585
10.833333333333334,1591
10.916666666666666,1596
11,1608
11.083333333333334,1608
11.166666666666666,1605
11.25,1619
11.333333333333334,1633
11.416666666666666,1634
11.5,1637
11.583333333333334,1642
11.666666666666666,1650
11.75,1664
11.833333333333334,1666
11.916666666666666,1666
12,1675
12.083333333333334,1679
12.166666666666666,1689
12.25,1690
12.333333333333334,1696
12.416666666666666,1701
12.5,1706
12.583333333333334,1711
12.666666666666666,1715
12.75,1716
12.833333333333334,1728
12.916666666666666,1720
13,1740
13.083333333333334,1738
13.166666666666666,1747
13.25,1750
13.333333333333334,1758
13.416666666666666,1762
13.5,1770
13.583333333333334,1775
13.666666666666666,1783
13.75,1790
13.833333333333334,1796
13.916666666666666,1801
14,1800
14.083333333333334,1802
14.166666666666666,1816
14.25,1816
14.333333333333334,1824
14.416666666666666,1827
14.5,1828
14.583333333333334,1845
14.666666666666666,1848
14.75,1851
14.833333333333334,1848
14.916666666666666,1857
15,1858
15.083333333333334,1866
15.166666666666666,1867
15.25,1870
15.333333333333334,1869
15.416666666666666,1872
15.5,1875
15.583333333333334,1880
15.666666666666666,1886
15.75,1886
15.833333333333334,1888
15.916666666666666,1900
16,1903
16.083333333333332,1907
16.166666666666668,1911
16.25,1912
16.333333333333332,1913
16.416666666666668,1918
16.5,1914
16.583333333333332,1922
16.666666666666668,1919
16.75,1927
16.833333333333332,1926
16.916666666666668,1931
17,1935
17.083333333333332,1938
17.166666666666668,1944
17.25,1942
17.333333333333332,1951
17.416666666666668,1950
17.5,1954
17.583333333333332,1958
17.666666666666668,1961
17.75,1964
17.833333333333332,1970
17.916666666666668,1970
18,1978
18.083333333333332,1979
18.166666666666668,1986
18.25,1982
18.333333333333332,1992
18.416666666666668,1995
18.5,1993
18.583333333333332,1993
18.666666666666668,1990
18.75,1998
18.833333333333332,2006
18.916666666666668,2003
19,2005
19.083333333333332,2004
19.166666666666668,2009
19.25,2013
19.333333333333332,2017
19.416666666666668,2025
19.5,2017
19.583333333333332,2021
19.666666666666668,2022
19.75,2021
19.833333333333332,2027
19.916666666666668,2024
20,2024
20.083333333333332,2028
20.166666666666668,2029
20.25,2040
20.333333333333332,2041
20.416666666666668,2047
20.5,2046
20.583333333333332,2048
20.666666666666668,2049
20.75,2054
20.833333333333332,2057
20.916666666666668,2057
21,2064
21.083333333333332,2056
21.166666666666668,2064
21.25,2064
21.333333333333332,2064
21.416666666666668,2068
21.5,2072
21.583333333333332,2082
21.666666666666668,2082
21.75,2084
21.833333333333332,2076
21.916666666666668,2080
22,2083
22.083333333333332,2094
22.166666666666668,2094
22.25,2097
22.333333333333332,2095
22.416666666666668,2098
22.5,2100
22.583333333333332,2104
22.666666666666668,2113
22.75,2112
22.833333333333332,2115
22.916666666666668,2120
23,2126
23.083333333333332,2127
23.166666666666668,2133
23.25,2134
23.333333333333332,2136
23.416666666666668,2133
23.5,2141
23.583333333333332,2140
23.666666666666668,2147
23.75,2151
23.833333333333332,2149
23.916666666666668,2156
24,2158
24.083333333333332,2154
24.166666666666668,2155
24.25,2160
24.333333333333332,2166
24.416666666666668,2165
24.5,2167
24.583333333333332,2171
24.666666666666668,2165
24.75,2173
24.833333333333332,2169
24.916666666666668,2172
25,2174
25.083333333333332,2176
25.166666666666668,2175
25.25,2175
25.333333333333332,2174
25.416666666666668,2181
25.5,2179
25.583333333333332,2183
25.666666666666668,2184
25.75,2185
25.833333333333332,2190
25.916666666666668,2187
26,2191
26.083333333333332,2196
26.166666666666668,2196
26.25,2199
26.333333333333332,2197
26.416666666666668,2196
26.5,2198
26.583333333333332,2203
26.666666666666668,2206
26.75,2205
26.833333333333332,2202
26.916666666666668,2204
27,2208
27.083333333333332,2212
27.166666666666668,2213
27.25,2212
27.333333333333332,2217
27.416666666666668,2214
27.5,2221
27.583333333333332,2227
27.666666666666668,2224
27.75,2223
27.833333333333332,2230
27.916666666666668,2228
28,2223
28.083333333333332,2222
28.166666666666668,2224
28.25,2228
28.333333333333332,2227
28.416666666666668,2225
28.5,2229
28.583333333333332,2227
28.666666666666668,2231
28.75,2234
28.833333333333332,2235
28.916666666666668,2236
29,2239
29.083333333333332,2240
29.166666666666668,2237
29.25,2239
29.333333333333332,2241
29.416666666666668,2240
29.5,2245
29.583333333333332,2242
29.666666666666668,2246
29.75,2252
29.833333333333332,2246
29.916666666666668,2245
30,2250
30.083333333333332,2249
30.166666666666668,2248
30.25,2251
30.333333333333332,2255
30.416666666666668,2250
30.5,2258
30.583333333333332,2262
30.666666666666668,2263
30.75,2263
30.833333333333332,2266
30.916666666666668,2270
31,2269
31.083333333333332,2268
31.166666666666668,2268
31.25,2273
31.333333333333332,2274
31.416666666666668,2268
31.5,2275
31.583333333333332,2274
31.666666666666668,2273
31.75,2280
31.833333333333332,2281
31.916666666666668,2279
32,2280
32.083333333333336,2286
32.166666666666664,2287
32.25,2285
32.333333333333336,2287
32.416666666666664,2291
32.5,2290
32.583333333333336,2287
32.666666666666664,2287
32.75,2285
32.833333333333336,2295
32.916666666666664,2289
33,2298
33.083333333333336,2298
33.166666666666664,2294
33.25,2297
33.333333333333336,2301
33.416666666666664,2294
33.5,2302
33.583333333333336,2297
33.666666666666664,2298
33.75,2299
33.833333333333336,2299
33.916666666666664,2303
34,2301
34.083333333333336,2303
34.166666666666664,2301
34.25,2300
34.333333333333336,2298
34.416666666666664,2306
34.5,2304
34.583333333333336,2310
34.666666666666664,2309
