"Hours since thread went live","Sousou no Frieren • Frieren: Beyond Journey's End - Episode 14 discussion"
0,1
0,5
0.08333333333333333,12
0.16666666666666666,21
0.25,38
0.3333333333333333,75
0.4166666666666667,110
0.5,143
0.5833333333333334,176
0.6666666666666666,216
0.75,254
0.8333333333333334,288
0.9166666666666666,326
1,371
1.0833333333333333,412
1.1666666666666667,451
1.25,480
1.3333333333333333,520
1.4166666666666667,561
1.5,609
1.5833333333333333,640
1.6666666666666667,702
1.75,745
1.8333333333333333,794
1.9166666666666667,852
2,891
2.0833333333333335,914
2.1666666666666665,958
2.25,1000
2.3333333333333335,1035
2.4166666666666665,1066
2.5,1107
2.5833333333333335,1152
2.6666666666666665,1197
2.75,1233
2.8333333333333335,1277
2.9166666666666665,1322
3,1368
3.0833333333333335,1414
3.1666666666666665,1442
3.25,1475
3.3333333333333335,1500
3.4166666666666665,1529
3.5,1553
3.5833333333333335,1588
3.6666666666666665,1623
3.75,1658
3.8333333333333335,1689
3.9166666666666665,1713
4,1742
4.083333333333333,1761
4.166666666666667,1775
4.25,1815
4.333333333333333,1853
4.416666666666667,1875
4.5,1895
4.583333333333333,1921
4.666666666666667,1949
4.75,1985
4.833333333333333,2007
4.916666666666667,2024
5,2062
5.083333333333333,2073
5.166666666666667,2104
5.25,2135
5.333333333333333,2157
5.416666666666667,2182
5.5,2203
5.583333333333333,2216
5.666666666666667,2242
5.75,2271
5.833333333333333,2286
5.916666666666667,2308
6,2323
6.083333333333333,2357
6.166666666666667,2381
6.25,2403
6.333333333333333,2421
6.416666666666667,2438
6.5,2455
6.583333333333333,2483
6.666666666666667,2506
6.75,2519
6.833333333333333,2541
6.916666666666667,2558
7,2581
7.083333333333333,2604
7.166666666666667,2630
7.25,2651
7.333333333333333,2664
7.416666666666667,2687
7.5,2712
7.583333333333333,2732
7.666666666666667,2749
7.75,2765
7.833333333333333,2793
7.916666666666667,2807
8,2832
8.083333333333334,2844
8.166666666666666,2858
8.25,2877
8.333333333333334,2908
8.416666666666666,2936
8.5,2952
8.583333333333334,2970
8.666666666666666,2990
8.75,3014
8.833333333333334,3031
8.916666666666666,3040
9,3064
9.083333333333334,3088
9.166666666666666,3110
9.25,3123
9.333333333333334,3134
9.416666666666666,3157
9.5,3183
9.583333333333334,3198
9.666666666666666,3221
9.75,3237
9.833333333333334,3248
9.916666666666666,3265
10,3277
10.083333333333334,3290
10.166666666666666,3306
10.25,3305
10.333333333333334,3326
10.416666666666666,3340
10.5,3358
10.583333333333334,3367
10.666666666666666,3376
10.75,3390
10.833333333333334,3399
10.916666666666666,3417
11,3426
11.083333333333334,3448
11.166666666666666,3453
11.25,3464
11.333333333333334,3481
11.416666666666666,3498
11.5,3515
11.583333333333334,3529
11.666666666666666,3543
11.75,3553
11.833333333333334,3578
11.916666666666666,3581
12,3595
12.083333333333334,3607
12.166666666666666,3625
12.25,3628
12.333333333333334,3643
12.416666666666666,3660
12.5,3664
12.583333333333334,3680
12.666666666666666,3682
12.75,3700
12.833333333333334,3724
12.916666666666666,3744
13,3747
13.083333333333334,3761
13.166666666666666,3767
13.25,3789
13.333333333333334,3795
13.416666666666666,3812
13.5,3820
13.583333333333334,3830
13.666666666666666,3838
13.75,3855
13.833333333333334,3861
13.916666666666666,3869
14,3889
14.083333333333334,3893
14.166666666666666,3900
14.25,3914
14.333333333333334,3941
14.416666666666666,3951
14.5,3955
14.583333333333334,3972
14.666666666666666,3986
14.75,3988
14.833333333333334,4000
14.916666666666666,4013
15,4035
15.083333333333334,4045
15.166666666666666,4053
15.25,4050
15.333333333333334,4072
15.416666666666666,4084
15.5,4089
15.583333333333334,4106
15.666666666666666,4109
15.75,4119
15.833333333333334,4128
15.916666666666666,4135
16,4136
16.083333333333332,4149
16.166666666666668,4165
16.25,4166
16.333333333333332,4172
16.416666666666668,4176
16.5,4180
16.583333333333332,4188
16.666666666666668,4209
16.75,4206
16.833333333333332,4215
16.916666666666668,4227
17,4240
17.083333333333332,4239
17.166666666666668,4241
17.25,4251
17.333333333333332,4270
17.416666666666668,4269
17.5,4270
17.583333333333332,4285
17.666666666666668,4299
17.75,4294
17.833333333333332,4305
17.916666666666668,4312
18,4317
18.083333333333332,4328
18.166666666666668,4337
18.25,4344
18.333333333333332,4347
18.416666666666668,4349
18.5,4361
18.583333333333332,4374
18.666666666666668,4381
18.75,4386
18.833333333333332,4388
18.916666666666668,4389
19,4400
19.083333333333332,4408
19.166666666666668,4410
19.25,4418
19.333333333333332,4415
19.416666666666668,4414
19.5,4428
19.583333333333332,4426
19.666666666666668,4444
19.75,4450
19.833333333333332,4453
19.916666666666668,4459
20,4460
20.083333333333332,4470
20.166666666666668,4478
20.25,4483
20.333333333333332,4489
20.416666666666668,4492
20.5,4502
20.583333333333332,4513
20.666666666666668,4514
20.75,4519
20.833333333333332,4520
20.916666666666668,4531
21,4530
21.083333333333332,4532
21.166666666666668,4539
21.25,4544
21.333333333333332,4554
21.416666666666668,4551
21.5,4560
21.583333333333332,4562
21.666666666666668,4570
21.75,4575
21.833333333333332,4575
21.916666666666668,4584
22,4588
22.083333333333332,4603
22.166666666666668,4615
22.25,4615
22.333333333333332,4620
22.416666666666668,4624
22.5,4620
22.583333333333332,4629
22.666666666666668,4633
22.75,4641
22.833333333333332,4635
22.916666666666668,4639
23,4641
23.083333333333332,4658
23.166666666666668,4652
23.25,4668
23.333333333333332,4665
23.416666666666668,4663
23.5,4670
23.583333333333332,4682
23.666666666666668,4688
23.75,4690
23.833333333333332,4688
23.916666666666668,4698
24,4701
24.083333333333332,4709
24.166666666666668,4714
24.25,4708
24.333333333333332,4722
24.416666666666668,4722
24.5,4729
24.583333333333332,4739
24.666666666666668,4743
24.75,4744
24.833333333333332,4748
24.916666666666668,4755
25,4755
25.083333333333332,4767
25.166666666666668,4771
25.25,4780
25.333333333333332,4783
25.416666666666668,4792
25.5,4783
25.583333333333332,4791
25.666666666666668,4801
25.75,4807
25.833333333333332,4813
25.916666666666668,4819
26,4809
26.083333333333332,4820
26.166666666666668,4823
26.25,4827
26.333333333333332,4827
26.416666666666668,4838
26.5,4837
26.583333333333332,4837
26.666666666666668,4843
26.75,4845
26.833333333333332,4853
26.916666666666668,4855
27,4857
27.083333333333332,4849
27.166666666666668,4854
27.25,4866
27.333333333333332,4871
27.416666666666668,4868
27.5,4877
27.583333333333332,4879
27.666666666666668,4878
27.75,4880
27.833333333333332,4891
27.916666666666668,4884
28,4897
28.083333333333332,4885
28.166666666666668,4889
28.25,4891
28.333333333333332,4895
28.416666666666668,4897
28.5,4901
28.583333333333332,4901
28.666666666666668,4909
28.75,4909
28.833333333333332,4913
28.916666666666668,4914
29,4909
29.083333333333332,4920
29.166666666666668,4918
29.25,4921
29.333333333333332,4915
29.416666666666668,4927
29.5,4925
29.583333333333332,4930
29.666666666666668,4932
29.75,4933
29.833333333333332,4938
29.916666666666668,4946
30,4940
30.083333333333332,4946
30.166666666666668,4951
30.25,4959
30.333333333333332,4954
30.416666666666668,4964
30.5,4957
30.583333333333332,4968
30.666666666666668,4964
30.75,4968
30.833333333333332,4969
30.916666666666668,4982
31,4984
31.083333333333332,4986
31.166666666666668,4999
31.25,5000
31.333333333333332,4997
31.416666666666668,4995
31.5,4998
31.583333333333332,5009
31.666666666666668,5012
31.75,5017
31.833333333333332,5020
31.916666666666668,5012
32,5016
32.083333333333336,5020
32.166666666666664,5021
32.25,5024
32.333333333333336,5019
32.416666666666664,5018
32.5,5024
32.583333333333336,5027
32.666666666666664,5032
32.75,5034
32.833333333333336,5035
32.916666666666664,5035
33,5040
33.083333333333336,5041
33.166666666666664,5043
33.25,5047
33.333333333333336,5056
33.416666666666664,5058
33.5,5066
33.583333333333336,5064
33.666666666666664,5061
33.75,5074
33.833333333333336,5067
33.916666666666664,5082
34,5071
34.083333333333336,5079
34.166666666666664,5084
34.25,5087
34.333333333333336,5081
34.416666666666664,5088
34.5,5092
34.583333333333336,5093
34.666666666666664,5089
34.75,5095
34.833333333333336,5097
34.916666666666664,5095
35,5103
35.083333333333336,5107
35.166666666666664,5108
35.25,5108
35.333333333333336,5103
35.416666666666664,5116
35.5,5113
35.583333333333336,5115
35.666666666666664,5116
35.75,5118
35.833333333333336,5125
35.916666666666664,5125
36,5120
36.083333333333336,5128
36.166666666666664,5122
36.25,5127
36.333333333333336,5136
36.416666666666664,5125
36.5,5136
36.583333333333336,5135
36.666666666666664,5138
36.75,5136
36.833333333333336,5134
36.916666666666664,5145
37,5143
37.083333333333336,5145
37.166666666666664,5136
37.25,5152
37.333333333333336,5144
37.416666666666664,5150
37.5,5150
37.583333333333336,5153
37.666666666666664,5156
37.75,5156
37.833333333333336,5153
37.916666666666664,5156
38,5159
38.083333333333336,5162
38.166666666666664,5166
38.25,5165
38.333333333333336,5166
38.416666666666664,5173
38.5,5164
38.583333333333336,5176
38.666666666666664,5175
38.75,5183
38.833333333333336,5180
38.916666666666664,5175
39,5181
39.083333333333336,5183
39.166666666666664,5187
39.25,5183
39.333333333333336,5188
39.416666666666664,5193
39.5,5189
39.583333333333336,5193
39.666666666666664,5192
39.75,5191
39.833333333333336,5199
39.916666666666664,5199
40,5192
40.083333333333336,5193
40.166666666666664,5201
40.25,5200
40.333333333333336,5200
40.416666666666664,5207
40.5,5203
40.583333333333336,5201
40.666666666666664,5210
40.75,5201
40.833333333333336,5210
40.916666666666664,5201
41,5204
41.083333333333336,5210
41.166666666666664,5217
41.25,5209
41.333333333333336,5214
41.416666666666664,5213
41.5,5218
41.583333333333336,5221
41.666666666666664,5224
41.75,5219
41.833333333333336,5222
41.916666666666664,5230
42,5227
42.083333333333336,5234
42.166666666666664,5231
42.25,5229
42.333333333333336,5228
42.416666666666664,5236
42.5,5231
42.583333333333336,5226
42.666666666666664,5232
42.75,5234
42.833333333333336,5239
42.916666666666664,5243
43,5241
43.083333333333336,5232
43.166666666666664,5240
43.25,5237
43.333333333333336,5237
43.416666666666664,5239
43.5,5240
43.583333333333336,5247
43.666666666666664,5240
43.75,5248
43.833333333333336,5244
43.916666666666664,5243
44,5249
44.083333333333336,5245
44.166666666666664,5247
44.25,5247
44.333333333333336,5248
44.416666666666664,5247
44.5,5255
44.583333333333336,5259
44.666666666666664,5251
44.75,5256
44.833333333333336,5258
44.916666666666664,5253
45,5265
45.083333333333336,5260
45.166666666666664,5257
45.25,5256
45.333333333333336,5259
45.416666666666664,5261
45.5,5272
45.583333333333336,5262
45.666666666666664,5263
45.75,5268
45.833333333333336,5268
45.916666666666664,5275
46,5268
46.083333333333336,5275
46.166666666666664,5268
46.25,5276
46.333333333333336,5270
46.416666666666664,5272
46.5,5275
46.583333333333336,5276
46.666666666666664,5277
46.75,5275
46.833333333333336,5284
46.916666666666664,5275
47,5276
47.083333333333336,5278
47.166666666666664,5285
47.25,5289
47.333333333333336,5282
47.416666666666664,5289
47.5,5282
47.583333333333336,5294
47.666666666666664,5281
47.75,5295
47.833333333333336,5291
47.916666666666664,5287
