"Hours since thread went live","Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo • The 100 Girlfriends Who Really, Really, Really, Really, Really Love You - Episode 11 discussion"
0,1
0,7
0.08333333333333333,30
0.16666666666666666,50
0.25,70
0.3333333333333333,94
0.4166666666666667,118
0.5,140
0.5833333333333334,170
0.6666666666666666,193
0.75,216
0.8333333333333334,231
0.9166666666666666,256
1,289
1.0833333333333333,305
1.1666666666666667,331
1.25,352
1.3333333333333333,368
1.4166666666666667,402
1.5,441
1.5833333333333333,453
1.6666666666666667,474
1.75,490
1.8333333333333333,508
1.9166666666666667,533
2,542
2.0833333333333335,559
2.1666666666666665,576
2.25,586
2.3333333333333335,611
2.4166666666666665,643
2.5,657
2.5833333333333335,670
2.6666666666666665,689
2.75,712
2.8333333333333335,720
2.9166666666666665,743
3,762
3.0833333333333335,782
3.1666666666666665,791
3.25,810
3.3333333333333335,835
3.4166666666666665,837
3.5,855
3.5833333333333335,879
3.6666666666666665,893
3.75,909
3.8333333333333335,915
3.9166666666666665,926
4,943
4.083333333333333,960
4.166666666666667,966
4.25,982
4.333333333333333,991
4.416666666666667,1005
4.5,1013
4.583333333333333,1023
4.666666666666667,1024
4.75,1036
4.833333333333333,1050
4.916666666666667,1064
5,1070
5.083333333333333,1087
5.166666666666667,1097
5.25,1105
5.333333333333333,1123
5.416666666666667,1135
5.5,1135
5.583333333333333,1143
5.666666666666667,1151
5.75,1162
5.833333333333333,1167
5.916666666666667,1176
6,1180
6.083333333333333,1193
6.166666666666667,1200
6.25,1209
6.333333333333333,1221
6.416666666666667,1226
6.5,1237
6.583333333333333,1243
6.666666666666667,1253
6.75,1262
6.833333333333333,1272
6.916666666666667,1277
7,1284
7.083333333333333,1297
7.166666666666667,1301
7.25,1312
7.333333333333333,1320
7.416666666666667,1330
7.5,1341
7.583333333333333,1346
7.666666666666667,1367
7.75,1370
7.833333333333333,1376
7.916666666666667,1383
8,1387
8.083333333333334,1396
8.166666666666666,1401
8.25,1405
8.333333333333334,1418
8.416666666666666,1422
8.5,1421
8.583333333333334,1436
8.666666666666666,1439
8.75,1447
8.833333333333334,1451
8.916666666666666,1462
9,1478
9.083333333333334,1478
9.166666666666666,1482
9.25,1494
9.333333333333334,1498
9.416666666666666,1500
9.5,1505
9.583333333333334,1506
9.666666666666666,1518
9.75,1520
9.833333333333334,1529
9.916666666666666,1531
10,1546
10.083333333333334,1546
10.166666666666666,1548
10.25,1559
10.333333333333334,1563
10.416666666666666,1566
10.5,1570
10.583333333333334,1574
10.666666666666666,1580
10.75,1588
10.833333333333334,1593
10.916666666666666,1610
11,1603
11.083333333333334,1611
11.166666666666666,1617
11.25,1618
11.333333333333334,1622
11.416666666666666,1629
11.5,1632
11.583333333333334,1627
11.666666666666666,1636
11.75,1649
11.833333333333334,1651
11.916666666666666,1662
12,1666
12.083333333333334,1670
12.166666666666666,1674
12.25,1686
12.333333333333334,1685
12.416666666666666,1688
12.5,1696
12.583333333333334,1697
12.666666666666666,1703
12.75,1714
12.833333333333334,1716
12.916666666666666,1714
13,1722
13.083333333333334,1720
13.166666666666666,1729
13.25,1728
13.333333333333334,1734
13.416666666666666,1739
13.5,1739
13.583333333333334,1754
13.666666666666666,1753
13.75,1760
13.833333333333334,1756
13.916666666666666,1768
14,1772
14.083333333333334,1774
14.166666666666666,1773
14.25,1781
14.333333333333334,1790
14.416666666666666,1793
14.5,1799
14.583333333333334,1801
14.666666666666666,1809
14.75,1809
14.833333333333334,1817
14.916666666666666,1819
15,1825
15.083333333333334,1822
15.166666666666666,1830
15.25,1826
15.333333333333334,1832
15.416666666666666,1836
15.5,1839
15.583333333333334,1845
15.666666666666666,1848
15.75,1845
15.833333333333334,1850
15.916666666666666,1857
16,1862
16.083333333333332,1864
16.166666666666668,1869
16.25,1876
16.333333333333332,1877
16.416666666666668,1880
16.5,1884
16.583333333333332,1886
16.666666666666668,1894
16.75,1891
16.833333333333332,1904
16.916666666666668,1906
17,1907
17.083333333333332,1911
17.166666666666668,1908
17.25,1917
17.333333333333332,1911
17.416666666666668,1916
17.5,1926
17.583333333333332,1925
17.666666666666668,1928
17.75,1935
17.833333333333332,1936
17.916666666666668,1945
18,1946
18.083333333333332,1948
18.166666666666668,1950
18.25,1952
18.333333333333332,1957
18.416666666666668,1958
18.5,1957
18.583333333333332,1963
18.666666666666668,1962
18.75,1960
18.833333333333332,1969
18.916666666666668,1968
19,1975
19.083333333333332,1971
19.166666666666668,1978
19.25,1980
19.333333333333332,1978
19.416666666666668,1981
19.5,1988
19.583333333333332,1987
19.666666666666668,1985
19.75,1995
19.833333333333332,1989
19.916666666666668,1989
20,1999
20.083333333333332,1996
20.166666666666668,1996
20.25,1992
20.333333333333332,1997
20.416666666666668,2003
20.5,2005
20.583333333333332,2004
20.666666666666668,2007
20.75,2006
20.833333333333332,2001
20.916666666666668,2011
21,2007
21.083333333333332,2021
21.166666666666668,2013
