"Hours since thread went live","Sousou no Frieren • Frieren: Beyond Journey's End - Episode 16 discussion"
0,1
0,10
0.08333333333333333,37
0.16666666666666666,64
0.25,109
0.3333333333333333,148
0.4166666666666667,178
0.5,221
0.5833333333333334,274
0.6666666666666666,303
0.75,341
0.8333333333333334,374
0.9166666666666666,405
1,442
1.0833333333333333,477
1.1666666666666667,504
1.25,546
1.3333333333333333,570
1.4166666666666667,597
1.5,624
1.5833333333333333,661
1.6666666666666667,697
1.75,733
1.8333333333333333,774
1.9166666666666667,796
2,827
2.0833333333333335,855
2.1666666666666665,889
2.25,910
2.3333333333333335,938
2.4166666666666665,959
2.5,994
2.5833333333333335,1022
2.6666666666666665,1055
2.75,1091
2.8333333333333335,1112
2.9166666666666665,1131
3,1152
3.0833333333333335,1175
3.1666666666666665,1194
3.25,1219
3.3333333333333335,1244
3.4166666666666665,1267
3.5,1276
3.5833333333333335,1302
3.6666666666666665,1315
3.75,1335
3.8333333333333335,1355
3.9166666666666665,1375
4,1396
4.083333333333333,1415
4.166666666666667,1429
4.25,1459
4.333333333333333,1472
4.416666666666667,1491
4.5,1508
4.583333333333333,1519
4.666666666666667,1539
4.75,1560
4.833333333333333,1579
4.916666666666667,1596
5,1619
5.083333333333333,1636
5.166666666666667,1650
5.25,1682
5.333333333333333,1690
5.416666666666667,1721
5.5,1734
5.583333333333333,1754
5.666666666666667,1775
5.75,1797
5.833333333333333,1808
5.916666666666667,1830
6,1845
6.083333333333333,1855
6.166666666666667,1876
6.25,1891
6.333333333333333,1905
6.416666666666667,1915
6.5,1935
6.583333333333333,1961
6.666666666666667,1970
6.75,1978
6.833333333333333,1995
6.916666666666667,2006
7,2029
7.083333333333333,2029
7.166666666666667,2048
7.25,2060
7.333333333333333,2071
7.416666666666667,2086
7.5,2088
7.583333333333333,2096
7.666666666666667,2115
7.75,2125
7.833333333333333,2148
7.916666666666667,2157
8,2178
8.083333333333334,2181
8.166666666666666,2201
8.25,2219
8.333333333333334,2223
8.416666666666666,2226
8.5,2248
8.583333333333334,2253
8.666666666666666,2266
8.75,2281
8.833333333333334,2292
8.916666666666666,2310
9,2312
9.083333333333334,2333
9.166666666666666,2339
9.25,2356
9.333333333333334,2360
9.416666666666666,2366
9.5,2379
9.583333333333334,2391
9.666666666666666,2403
9.75,2415
9.833333333333334,2429
9.916666666666666,2444
10,2453
10.083333333333334,2471
10.166666666666666,2478
10.25,2474
10.333333333333334,2482
10.416666666666666,2500
10.5,2513
10.583333333333334,2526
10.666666666666666,2534
10.75,2537
10.833333333333334,2548
10.916666666666666,2554
11,2561
11.083333333333334,2568
11.166666666666666,2575
11.25,2582
11.333333333333334,2594
11.416666666666666,2604
11.5,2620
11.583333333333334,2633
11.666666666666666,2641
11.75,2648
11.833333333333334,2650
11.916666666666666,2656
12,2661
12.083333333333334,2679
12.166666666666666,2690
12.25,2694
12.333333333333334,2701
12.416666666666666,2701
12.5,2712
12.583333333333334,2717
12.666666666666666,2729
12.75,2735
12.833333333333334,2745
12.916666666666666,2752
13,2766
13.083333333333334,2771
13.166666666666666,2780
13.25,2781
13.333333333333334,2788
13.416666666666666,2790
13.5,2805
13.583333333333334,2821
13.666666666666666,2823
13.75,2830
13.833333333333334,2842
13.916666666666666,2843
14,2856
14.083333333333334,2858
14.166666666666666,2865
14.25,2864
14.333333333333334,2868
14.416666666666666,2874
14.5,2879
14.583333333333334,2885
14.666666666666666,2891
14.75,2897
14.833333333333334,2900
14.916666666666666,2912
15,2917
15.083333333333334,2924
15.166666666666666,2922
15.25,2932
15.333333333333334,2939
15.416666666666666,2945
15.5,2947
15.583333333333334,2953
15.666666666666666,2966
15.75,2963
15.833333333333334,2966
15.916666666666666,2974
16,2985
16.083333333333332,2988
16.166666666666668,2998
16.25,2999
16.333333333333332,3003
16.416666666666668,3012
16.5,3018
16.583333333333332,3021
16.666666666666668,3027
16.75,3031
16.833333333333332,3032
16.916666666666668,3041
17,3044
17.083333333333332,3052
17.166666666666668,3059
17.25,3059
17.333333333333332,3069
17.416666666666668,3072
17.5,3078
17.583333333333332,3087
17.666666666666668,3087
17.75,3086
17.833333333333332,3097
17.916666666666668,3099
18,3098
18.083333333333332,3109
18.166666666666668,3113
18.25,3118
18.333333333333332,3125
18.416666666666668,3120
18.5,3123
18.583333333333332,3130
18.666666666666668,3133
18.75,3139
18.833333333333332,3144
18.916666666666668,3146
19,3151
19.083333333333332,3147
19.166666666666668,3148
19.25,3162
19.333333333333332,3158
19.416666666666668,3165
19.5,3166
19.583333333333332,3175
19.666666666666668,3177
19.75,3181
19.833333333333332,3187
19.916666666666668,3190
20,3196
20.083333333333332,3209
20.166666666666668,3207
20.25,3223
20.333333333333332,3223
20.416666666666668,3229
20.5,3237
20.583333333333332,3235
20.666666666666668,3240
20.75,3253
20.833333333333332,3255
20.916666666666668,3260
21,3268
21.083333333333332,3268
21.166666666666668,3279
21.25,3279
21.333333333333332,3280
21.416666666666668,3285
21.5,3292
21.583333333333332,3306
21.666666666666668,3308
21.75,3314
21.833333333333332,3312
21.916666666666668,3319
22,3322
22.083333333333332,3332
22.166666666666668,3340
22.25,3347
22.333333333333332,3348
22.416666666666668,3353
22.5,3361
22.583333333333332,3357
22.666666666666668,3360
22.75,3362
22.833333333333332,3365
22.916666666666668,3376
23,3373
23.083333333333332,3377
23.166666666666668,3386
23.25,3385
23.333333333333332,3398
23.416666666666668,3396
23.5,3402
23.583333333333332,3405
23.666666666666668,3409
23.75,3412
23.833333333333332,3406
23.916666666666668,3422
24,3428
24.083333333333332,3423
24.166666666666668,3428
24.25,3426
24.333333333333332,3435
24.416666666666668,3445
24.5,3438
24.583333333333332,3444
24.666666666666668,3449
24.75,3455
24.833333333333332,3462
24.916666666666668,3458
25,3460
25.083333333333332,3459
25.166666666666668,3471
25.25,3480
25.333333333333332,3477
25.416666666666668,3484
25.5,3482
25.583333333333332,3488
25.666666666666668,3478
25.75,3488
25.833333333333332,3479
25.916666666666668,3492
26,3489
26.083333333333332,3492
26.166666666666668,3500
26.25,3504
26.333333333333332,3494
26.416666666666668,3513
26.5,3502
26.583333333333332,3501
26.666666666666668,3506
26.75,3510
26.833333333333332,3517
26.916666666666668,3513
27,3517
27.083333333333332,3522
27.166666666666668,3524
27.25,3530
27.333333333333332,3529
27.416666666666668,3532
27.5,3537
27.583333333333332,3535
27.666666666666668,3537
27.75,3548
27.833333333333332,3552
27.916666666666668,3546
28,3550
28.083333333333332,3553
28.166666666666668,3550
28.25,3561
28.333333333333332,3568
28.416666666666668,3570
28.5,3564
28.583333333333332,3571
28.666666666666668,3569
28.75,3567
28.833333333333332,3571
28.916666666666668,3577
29,3580
29.083333333333332,3572
29.166666666666668,3575
29.25,3577
29.333333333333332,3580
29.416666666666668,3582
29.5,3590
29.583333333333332,3587
29.666666666666668,3590
29.75,3586
29.833333333333332,3596
29.916666666666668,3588
30,3595
30.083333333333332,3590
30.166666666666668,3602
30.25,3595
30.333333333333332,3599
30.416666666666668,3608
30.5,3606
30.583333333333332,3606
30.666666666666668,3605
30.75,3608
30.833333333333332,3617
30.916666666666668,3616
31,3615
31.083333333333332,3620
31.166666666666668,3613
31.25,3620
31.333333333333332,3625
31.416666666666668,3627
31.5,3629
31.583333333333332,3625
31.666666666666668,3623
31.75,3628
31.833333333333332,3631
31.916666666666668,3638
32,3634
32.083333333333336,3639
32.166666666666664,3631
32.25,3637
32.333333333333336,3645
32.416666666666664,3637
32.5,3641
32.583333333333336,3651
32.666666666666664,3647
32.75,3654
32.833333333333336,3648
32.916666666666664,3647
33,3657
33.083333333333336,3659
33.166666666666664,3659
33.25,3658
33.333333333333336,3660
33.416666666666664,3660
33.5,3660
33.583333333333336,3653
33.666666666666664,3658
33.75,3660
33.833333333333336,3663
33.916666666666664,3661
34,3657
34.083333333333336,3661
34.166666666666664,3667
34.25,3666
34.333333333333336,3667
34.416666666666664,3663
34.5,3662
34.583333333333336,3671
34.666666666666664,3668
34.75,3672
34.833333333333336,3667
34.916666666666664,3669
35,3678
35.083333333333336,3675
35.166666666666664,3678
35.25,3676
35.333333333333336,3683
35.416666666666664,3679
35.5,3684
35.583333333333336,3686
35.666666666666664,3685
35.75,3688
35.833333333333336,3679
35.916666666666664,3687
36,3687
36.083333333333336,3692
36.166666666666664,3694
36.25,3693
36.333333333333336,3699
36.416666666666664,3691
36.5,3698
36.583333333333336,3698
36.666666666666664,3705
36.75,3697
36.833333333333336,3700
36.916666666666664,3713
37,3707
37.083333333333336,3704
37.166666666666664,3705
37.25,3704
37.333333333333336,3713
37.416666666666664,3710
37.5,3715
37.583333333333336,3714
37.666666666666664,3716
37.75,3714
37.833333333333336,3720
37.916666666666664,3720
38,3717
38.083333333333336,3721
38.166666666666664,3728
38.25,3728
38.333333333333336,3734
38.416666666666664,3727
38.5,3731
38.583333333333336,3730
38.666666666666664,3728
38.75,3733
38.833333333333336,3735
38.916666666666664,3731
39,3740
39.083333333333336,3737
39.166666666666664,3737
39.25,3743
39.333333333333336,3738
39.416666666666664,3741
39.5,3751
39.583333333333336,3738
39.666666666666664,3752
39.75,3738
39.833333333333336,3747
39.916666666666664,3745
40,3744
40.083333333333336,3748
40.166666666666664,3749
40.25,3743
40.333333333333336,3753
40.416666666666664,3753
40.5,3747
40.583333333333336,3747
40.666666666666664,3755
40.75,3753
40.833333333333336,3747
40.916666666666664,3759
41,3755
41.083333333333336,3756
41.166666666666664,3764
41.25,3754
41.333333333333336,3750
41.416666666666664,3760
41.5,3762
41.583333333333336,3764
41.666666666666664,3757
41.75,3767
41.833333333333336,3763
41.916666666666664,3763
42,3761
42.083333333333336,3763
42.166666666666664,3768
42.25,3763
42.333333333333336,3765
42.416666666666664,3764
42.5,3774
42.583333333333336,3767
42.666666666666664,3780
42.75,3774
42.833333333333336,3775
42.916666666666664,3768
43,3769
43.083333333333336,3769
43.166666666666664,3774
43.25,3774
43.333333333333336,3768
43.416666666666664,3775
43.5,3771
43.583333333333336,3778
43.666666666666664,3771
43.75,3772
43.833333333333336,3774
43.916666666666664,3778
44,3769
44.083333333333336,3772
44.166666666666664,3784
44.25,3781
44.333333333333336,3775
