"Hours since thread went live","Undead Unluck - Episode 20 discussion"
0,1
0,3
0.08333333333333333,5
0.16666666666666666,10
0.25,8
0.3333333333333333,18
0.4166666666666667,19
0.5,26
0.5833333333333334,29
0.6666666666666666,32
0.75,34
0.8333333333333334,38
0.9166666666666666,44
1,48
1.0833333333333333,55
1.1666666666666667,56
1.25,61
1.3333333333333333,67
1.4166666666666667,72
1.5,69
1.5833333333333333,73
1.6666666666666667,77
1.75,78
1.8333333333333333,85
1.9166666666666667,94
2,98
2.0833333333333335,104
2.1666666666666665,111
2.25,117
2.3333333333333335,128
2.4166666666666665,133
2.5,138
2.5833333333333335,144
2.6666666666666665,145
2.75,149
2.8333333333333335,155
2.9166666666666665,156
3,165
3.0833333333333335,163
3.1666666666666665,172
3.25,175
3.3333333333333335,181
3.4166666666666665,188
3.5,185
3.5833333333333335,188
3.6666666666666665,190
3.75,194
3.8333333333333335,191
3.9166666666666665,199
4,200
4.083333333333333,205
4.166666666666667,207
4.25,206
4.333333333333333,213
4.416666666666667,218
4.5,219
4.583333333333333,222
4.666666666666667,229
4.75,229
4.833333333333333,233
4.916666666666667,233
5,242
5.083333333333333,239
5.166666666666667,243
5.25,250
5.333333333333333,253
5.416666666666667,252
5.583333333333333,261
5.666666666666667,264
5.75,262
5.833333333333333,270
5.916666666666667,270
6,273
6.083333333333333,274
6.166666666666667,277
6.25,286
6.333333333333333,283
6.416666666666667,289
6.5,290
6.583333333333333,295
6.666666666666667,299
6.75,300
6.833333333333333,305
6.916666666666667,303
7,310
7.083333333333333,313
7.166666666666667,315
7.25,323
7.333333333333333,327
7.416666666666667,323
7.5,327
7.583333333333333,329
7.666666666666667,343
7.75,347
7.833333333333333,353
7.916666666666667,346
8,359
8.083333333333334,355
8.166666666666666,355
8.25,360
8.333333333333334,365
8.416666666666666,366
8.5,367
8.583333333333334,373
8.666666666666666,368
8.75,374
8.833333333333334,372
8.916666666666666,377
9,385
9.083333333333334,387
9.166666666666666,387
9.25,384
9.333333333333334,388
9.416666666666666,390
9.5,398
9.583333333333334,400
9.666666666666666,401
9.75,401
9.833333333333334,403
9.916666666666666,409
10,406
10.083333333333334,411
10.166666666666666,405
10.25,415
10.333333333333334,412
10.416666666666666,416
10.5,413
10.583333333333334,421
10.666666666666666,420
10.75,421
10.833333333333334,421
10.916666666666666,425
11,425
11.083333333333334,432
11.166666666666666,431
11.25,430
11.333333333333334,432
11.416666666666666,437
11.5,430
11.583333333333334,438
11.666666666666666,444
11.75,444
11.833333333333334,443
11.916666666666666,443
12,446
12.083333333333334,452
12.166666666666666,453
12.25,459
12.333333333333334,453
12.416666666666666,455
12.5,465
12.583333333333334,460
12.666666666666666,463
12.75,464
12.833333333333334,467
12.916666666666666,464
13,465
13.083333333333334,466
13.166666666666666,462
13.25,462
13.333333333333334,472
13.416666666666666,471
13.5,466
13.583333333333334,471
13.666666666666666,474
13.75,471
13.833333333333334,479
13.916666666666666,486
14,486
14.083333333333334,483
14.166666666666666,486
14.25,481
14.333333333333334,483
14.416666666666666,481
14.5,485
14.583333333333334,482
14.666666666666666,490
14.75,486
14.833333333333334,489
14.916666666666666,490
15,491
15.083333333333334,493
15.166666666666666,497
15.25,494
15.333333333333334,492
15.416666666666666,502
15.5,496
15.583333333333334,499
15.666666666666666,501
15.75,497
15.833333333333334,508
15.916666666666666,504
16,506
16.083333333333332,507
16.166666666666668,504
16.25,507
16.333333333333332,504
16.416666666666668,512
16.5,517
16.583333333333332,515
16.666666666666668,521
16.75,517
16.833333333333332,517
16.916666666666668,522
17,525
17.083333333333332,527
17.166666666666668,523
17.25,524
17.333333333333332,523
17.416666666666668,525
17.5,526
17.583333333333332,529
17.666666666666668,528
17.75,532
17.833333333333332,530
17.916666666666668,531
18,539
18.083333333333332,541
18.166666666666668,537
18.25,540
18.333333333333332,540
18.416666666666668,544
18.5,541
18.583333333333332,544
18.666666666666668,546
18.75,546
18.833333333333332,540
18.916666666666668,545
19,543
19.083333333333332,553
19.166666666666668,552
19.25,550
19.333333333333332,553
19.416666666666668,559
19.5,550
19.583333333333332,553
19.666666666666668,553
19.75,556
19.833333333333332,560
19.916666666666668,553
20,556
20.083333333333332,558
20.166666666666668,561
20.25,558
20.333333333333332,563
20.416666666666668,561
20.5,563
20.583333333333332,567
20.666666666666668,567
20.75,573
20.833333333333332,573
20.916666666666668,574
21,576
21.083333333333332,575
21.166666666666668,574
21.25,576
21.333333333333332,572
21.416666666666668,579
21.5,580
21.583333333333332,585
21.666666666666668,584
21.75,588
21.833333333333332,589
21.916666666666668,583
22,589
22.083333333333332,591
22.166666666666668,584
22.25,591
22.333333333333332,589
22.416666666666668,595
22.5,591
22.583333333333332,592
22.666666666666668,588
22.75,592
22.833333333333332,587
22.916666666666668,592
23,591
23.083333333333332,588
23.166666666666668,595
23.25,593
23.333333333333332,596
23.416666666666668,594
23.5,598
23.583333333333332,595
23.666666666666668,595
23.75,598
23.833333333333332,600
23.916666666666668,596
24,599
24.083333333333332,596
24.166666666666668,602
24.25,606
24.333333333333332,605
24.416666666666668,604
24.5,603
24.583333333333332,606
24.666666666666668,605
24.75,608
24.833333333333332,604
24.916666666666668,610
25,606
25.083333333333332,609
25.166666666666668,611
25.25,609
25.333333333333332,607
25.416666666666668,613
25.5,608
25.583333333333332,615
25.666666666666668,614
25.75,616
25.833333333333332,621
25.916666666666668,614
26,617
26.083333333333332,620
26.166666666666668,615
26.25,621
26.333333333333332,615
26.416666666666668,619
26.5,624
