"Hours since thread went live","Megumi no Daigo: Kyuukoku no Orange • Firefighter Daigo: Rescuer in Orange - Episode 19 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,1
0.5,2
0.5833333333333334,3
0.6666666666666666,3
0.75,3
0.8333333333333334,3
0.9166666666666666,3
1,3
1.0833333333333333,3
1.1666666666666667,3
1.25,3
1.3333333333333333,3
1.4166666666666667,3
1.5,3
1.5833333333333333,5
1.6666666666666667,4
1.75,4
1.8333333333333333,4
1.9166666666666667,5
2,6
2.0833333333333335,5
2.1666666666666665,4
2.25,5
2.3333333333333335,5
2.4166666666666665,5
2.5,4
2.5833333333333335,4
2.6666666666666665,4
2.75,3
2.8333333333333335,4
2.9166666666666665,5
3,3
3.0833333333333335,4
3.1666666666666665,3
3.25,5
3.3333333333333335,4
3.4166666666666665,5
3.5,7
3.5833333333333335,8
3.6666666666666665,7
3.75,7
3.8333333333333335,6
3.9166666666666665,6
4,7
4.083333333333333,6
4.166666666666667,5
4.25,4
4.333333333333333,5
4.416666666666667,7
4.5,5
4.583333333333333,6
4.666666666666667,7
4.75,7
4.833333333333333,7
4.916666666666667,8
5,7
5.083333333333333,5
5.166666666666667,6
5.25,8
5.333333333333333,7
5.416666666666667,7
5.5,8
5.583333333333333,8
5.666666666666667,6
5.75,6
5.833333333333333,7
5.916666666666667,8
6,9
6.083333333333333,8
6.166666666666667,8
6.25,6
6.333333333333333,10
6.416666666666667,10
6.5,10
6.583333333333333,10
6.666666666666667,12
6.75,10
6.833333333333333,11
6.916666666666667,12
7,12
7.083333333333333,11
7.166666666666667,11
7.25,14
7.333333333333333,13
7.416666666666667,14
7.5,14
7.583333333333333,15
7.666666666666667,13
7.75,14
7.833333333333333,12
7.916666666666667,14
8,16
8.083333333333334,15
8.166666666666666,15
8.25,14
8.333333333333334,15
8.416666666666666,15
8.5,16
8.583333333333334,15
8.666666666666666,15
8.75,15
8.833333333333334,15
8.916666666666666,17
9,16
9.083333333333334,15
9.166666666666666,17
9.25,15
9.333333333333334,16
9.416666666666666,14
9.5,15
9.583333333333334,15
9.666666666666666,17
9.75,18
9.833333333333334,15
9.916666666666666,17
10,19
10.083333333333334,17
10.166666666666666,16
10.25,17
10.333333333333334,17
10.416666666666666,18
10.5,18
10.583333333333334,20
10.666666666666666,18
10.75,19
10.833333333333334,19
10.916666666666666,17
11,16
11.083333333333334,18
11.166666666666666,18
11.25,19
11.333333333333334,18
11.416666666666666,18
11.5,20
11.583333333333334,19
11.666666666666666,17
11.75,17
11.833333333333334,17
11.916666666666666,19
12,16
12.083333333333334,19
12.166666666666666,19
12.25,21
12.333333333333334,20
12.416666666666666,19
12.5,21
12.583333333333334,19
12.666666666666666,17
12.75,17
12.833333333333334,19
12.916666666666666,18
13,18
13.083333333333334,18
13.166666666666666,20
13.25,22
13.333333333333334,22
13.416666666666666,21
13.5,22
13.583333333333334,20
13.666666666666666,23
13.75,20
13.833333333333334,21
13.916666666666666,23
14,19
14.083333333333334,20
14.166666666666666,21
14.25,20
14.333333333333334,22
14.416666666666666,21
14.5,21
14.583333333333334,20
14.666666666666666,21
14.75,21
14.833333333333334,22
14.916666666666666,22
15,21
15.083333333333334,25
15.166666666666666,23
15.25,24
15.333333333333334,22
15.416666666666666,22
15.5,22
15.583333333333334,23
15.666666666666666,22
15.75,23
15.833333333333334,23
15.916666666666666,23
16,22
16.083333333333332,24
16.166666666666668,22
16.25,23
16.333333333333332,23
16.416666666666668,23
16.5,24
16.583333333333332,21
16.666666666666668,23
16.75,22
16.833333333333332,26
16.916666666666668,24
17,25
17.083333333333332,24
17.166666666666668,26
17.25,24
17.333333333333332,24
17.416666666666668,23
17.5,26
17.583333333333332,25
17.666666666666668,23
17.75,26
17.833333333333332,25
17.916666666666668,24
18,23
18.083333333333332,23
18.166666666666668,26
18.25,27
18.333333333333332,25
18.416666666666668,26
18.5,24
18.583333333333332,26
18.666666666666668,25
18.75,26
18.833333333333332,27
18.916666666666668,23
19,27
19.083333333333332,26
19.166666666666668,25
19.25,22
19.333333333333332,26
19.416666666666668,24
19.5,25
19.583333333333332,24
19.666666666666668,23
19.75,26
19.833333333333332,25
19.916666666666668,25
20,24
20.083333333333332,22
20.166666666666668,26
20.25,26
20.333333333333332,25
20.416666666666668,26
20.5,25
20.583333333333332,25
20.666666666666668,24
20.75,26
20.833333333333332,26
20.916666666666668,27
21,25
21.083333333333332,26
21.166666666666668,26
21.25,26
21.333333333333332,26
21.416666666666668,25
21.5,27
21.583333333333332,25
21.666666666666668,28
21.75,25
21.833333333333332,28
21.916666666666668,27
22,27
22.083333333333332,27
22.166666666666668,26
22.25,28
22.333333333333332,28
22.416666666666668,26
22.5,28
22.583333333333332,28
22.666666666666668,27
22.75,31
22.833333333333332,29
22.916666666666668,31
23,27
23.083333333333332,29
23.166666666666668,27
23.25,28
23.333333333333332,28
23.416666666666668,30
23.5,27
23.583333333333332,29
23.666666666666668,28
23.75,27
23.833333333333332,30
23.916666666666668,28
24,31
24.083333333333332,31
24.166666666666668,29
24.25,31
24.333333333333332,31
24.416666666666668,27
24.5,28
24.583333333333332,27
24.666666666666668,28
24.75,29
24.833333333333332,30
24.916666666666668,30
25,30
25.083333333333332,29
25.166666666666668,28
25.25,30
25.333333333333332,30
25.416666666666668,29
25.5,29
25.583333333333332,29
25.666666666666668,30
25.75,29
25.833333333333332,29
25.916666666666668,29
26,31
26.083333333333332,29
26.166666666666668,29
26.25,31
26.333333333333332,31
26.416666666666668,30
26.5,31
26.583333333333332,31
26.666666666666668,31
26.75,34
26.833333333333332,34
26.916666666666668,34
27,32
27.083333333333332,30
27.166666666666668,35
27.25,30
27.333333333333332,28
27.416666666666668,32
27.5,33
27.583333333333332,36
27.666666666666668,32
27.75,32
27.833333333333332,33
27.916666666666668,33
28,33
28.083333333333332,33
28.166666666666668,30
28.25,29
28.333333333333332,36
28.416666666666668,33
28.5,31
28.583333333333332,34
28.666666666666668,35
28.75,36
28.833333333333332,29
28.916666666666668,32
29,28
29.083333333333332,32
29.166666666666668,33
29.25,35
29.333333333333332,29
29.416666666666668,33
29.5,34
29.583333333333332,29
29.666666666666668,31
29.75,33
29.833333333333332,28
29.916666666666668,30
30,36
30.083333333333332,32
30.166666666666668,34
30.25,36
30.333333333333332,33
30.416666666666668,33
30.5,29
30.583333333333332,34
30.666666666666668,32
30.75,29
30.833333333333332,32
30.916666666666668,31
31,32
31.083333333333332,36
31.166666666666668,29
31.25,35
31.333333333333332,32
31.416666666666668,32
31.5,28
31.583333333333332,33
31.666666666666668,30
31.75,31
31.833333333333332,32
31.916666666666668,32
32,35
32.083333333333336,34
32.166666666666664,35
32.25,31
32.333333333333336,32
32.416666666666664,34
32.5,36
32.583333333333336,32
32.666666666666664,33
32.75,30
32.833333333333336,31
32.916666666666664,29
33,32
33.083333333333336,30
33.166666666666664,29
33.25,32
33.333333333333336,31
33.416666666666664,32
33.5,32
33.583333333333336,29
33.666666666666664,28
33.75,34
33.833333333333336,32
33.916666666666664,32
34,33
34.083333333333336,35
34.166666666666664,34
34.25,30
34.333333333333336,32
34.416666666666664,35
34.5,34
34.583333333333336,36
34.666666666666664,35
34.75,33
34.833333333333336,36
34.916666666666664,31
35,30
35.083333333333336,35
35.166666666666664,37
35.25,35
35.333333333333336,36
35.416666666666664,34
35.5,36
35.583333333333336,34
35.666666666666664,31
35.75,34
35.833333333333336,33
35.916666666666664,29
36,35
36.083333333333336,33
36.166666666666664,36
36.25,33
36.333333333333336,32
36.416666666666664,31
36.5,32
36.583333333333336,33
36.666666666666664,38
36.75,35
36.833333333333336,33
36.916666666666664,37
37,31
37.083333333333336,32
37.166666666666664,36
37.25,37
37.333333333333336,34
37.416666666666664,34
37.5,31
37.583333333333336,32
37.666666666666664,35
37.75,34
37.833333333333336,32
37.916666666666664,32
38,32
38.083333333333336,36
38.166666666666664,36
38.25,34
38.333333333333336,36
38.416666666666664,33
38.5,31
38.583333333333336,33
38.666666666666664,35
38.75,37
