"Hours since thread went live","Kekkon Yubiwa Monogatari • Tales of Wedding Rings - Episode 8 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,2
0.25,3
0.3333333333333333,3
0.4166666666666667,3
0.5,6
0.5833333333333334,7
0.6666666666666666,8
0.75,7
0.8333333333333334,8
0.9166666666666666,10
1,10
1.0833333333333333,11
1.1666666666666667,13
1.25,15
1.3333333333333333,15
1.4166666666666667,19
1.5,21
1.5833333333333333,22
1.6666666666666667,25
1.75,27
1.8333333333333333,30
1.9166666666666667,33
2,36
2.0833333333333335,37
2.1666666666666665,39
2.25,42
2.3333333333333335,41
2.4166666666666665,44
2.5,46
2.5833333333333335,45
2.6666666666666665,45
2.75,45
2.8333333333333335,51
2.9166666666666665,50
3,55
3.0833333333333335,56
3.1666666666666665,54
3.25,60
3.3333333333333335,58
3.4166666666666665,61
3.5,66
3.5833333333333335,65
3.6666666666666665,69
3.75,72
3.8333333333333335,72
3.9166666666666665,77
4,79
4.083333333333333,79
4.166666666666667,82
4.25,81
4.333333333333333,80
4.416666666666667,85
4.5,87
4.583333333333333,90
4.666666666666667,91
4.75,91
4.833333333333333,93
4.916666666666667,91
5,96
5.083333333333333,92
5.166666666666667,96
5.25,98
5.333333333333333,99
5.416666666666667,99
5.5,96
5.583333333333333,102
5.666666666666667,104
5.75,102
5.833333333333333,103
5.916666666666667,105
6,104
6.083333333333333,107
6.166666666666667,107
6.25,104
6.333333333333333,111
6.416666666666667,107
6.5,107
6.583333333333333,112
6.666666666666667,109
6.75,111
6.833333333333333,112
6.916666666666667,114
7,115
7.083333333333333,116
7.166666666666667,116
7.25,117
7.333333333333333,121
7.416666666666667,119
7.5,121
7.583333333333333,116
7.666666666666667,121
7.75,121
7.833333333333333,121
7.916666666666667,124
8,127
8.083333333333334,124
8.166666666666666,123
8.25,122
8.333333333333334,126
8.416666666666666,124
8.5,130
8.583333333333334,131
8.666666666666666,127
8.75,135
8.833333333333334,136
8.916666666666666,134
9,134
9.083333333333334,139
9.166666666666666,136
9.25,137
9.333333333333334,137
9.416666666666666,142
9.5,136
9.583333333333334,144
9.666666666666666,142
9.75,144
9.833333333333334,142
9.916666666666666,148
10,146
10.083333333333334,144
10.166666666666666,150
10.25,149
10.333333333333334,149
10.416666666666666,147
10.5,145
10.583333333333334,146
10.666666666666666,149
10.75,150
10.833333333333334,148
10.916666666666666,149
11,150
11.083333333333334,154
11.166666666666666,150
11.25,149
11.333333333333334,155
11.416666666666666,151
11.5,155
11.583333333333334,156
11.666666666666666,159
11.75,157
11.833333333333334,163
11.916666666666666,161
12,164
12.083333333333334,167
12.166666666666666,169
12.25,164
12.333333333333334,169
12.416666666666666,168
12.5,171
12.583333333333334,168
12.666666666666666,173
12.75,168
12.833333333333334,170
12.916666666666666,172
13,171
13.083333333333334,172
13.166666666666666,175
13.25,173
13.333333333333334,174
13.416666666666666,177
13.5,171
13.583333333333334,174
13.666666666666666,176
13.75,178
13.833333333333334,176
13.916666666666666,175
14,177
14.083333333333334,177
14.166666666666666,175
14.25,175
14.333333333333334,174
14.416666666666666,175
14.5,173
14.583333333333334,178
14.666666666666666,179
14.75,180
14.833333333333334,182
14.916666666666666,182
15,183
15.083333333333334,182
15.166666666666666,180
15.25,183
15.333333333333334,180
15.416666666666666,188
15.5,180
15.583333333333334,185
15.666666666666666,188
15.75,189
15.833333333333334,189
15.916666666666666,188
16,190
16.083333333333332,189
16.166666666666668,191
16.25,189
16.333333333333332,193
16.416666666666668,190
16.5,192
16.583333333333332,189
16.666666666666668,190
16.75,187
16.833333333333332,191
16.916666666666668,188
17,193
17.083333333333332,188
17.166666666666668,191
17.25,188
17.333333333333332,189
17.416666666666668,187
17.5,188
17.583333333333332,186
17.666666666666668,192
17.75,190
17.833333333333332,193
17.916666666666668,195
18,194
18.083333333333332,192
18.166666666666668,198
18.25,198
18.333333333333332,194
18.416666666666668,193
18.5,193
18.583333333333332,195
18.666666666666668,195
18.75,198
18.833333333333332,201
18.916666666666668,195
19,197
19.083333333333332,201
19.166666666666668,196
19.25,201
19.333333333333332,199
19.416666666666668,200
19.5,201
19.583333333333332,196
19.666666666666668,196
19.75,197
19.833333333333332,195
19.916666666666668,198
20,203
20.083333333333332,198
20.166666666666668,198
20.25,202
20.333333333333332,204
20.416666666666668,202
20.5,204
20.583333333333332,202
20.666666666666668,203
20.75,199
20.833333333333332,204
20.916666666666668,201
21,200
21.083333333333332,201
21.166666666666668,202
21.25,204
21.333333333333332,204
21.416666666666668,203
21.5,201
21.583333333333332,203
21.666666666666668,201
21.75,203
21.833333333333332,206
21.916666666666668,202
22,206
22.083333333333332,199
22.166666666666668,203
22.25,204
22.333333333333332,207
22.416666666666668,205
22.5,204
22.583333333333332,205
22.666666666666668,200
22.75,203
22.833333333333332,203
22.916666666666668,202
23,203
23.083333333333332,203
23.166666666666668,201
23.25,203
23.333333333333332,200
23.416666666666668,201
23.5,203
23.583333333333332,208
23.666666666666668,201
23.75,202
23.833333333333332,206
23.916666666666668,206
24,203
24.083333333333332,210
24.166666666666668,211
24.25,210
24.333333333333332,210
24.416666666666668,206
24.5,206
24.583333333333332,210
24.666666666666668,207
24.75,210
24.833333333333332,208
24.916666666666668,210
25,206
25.083333333333332,206
25.166666666666668,204
25.25,209
25.333333333333332,210
25.416666666666668,207
25.5,210
25.583333333333332,209
25.666666666666668,208
25.75,208
25.833333333333332,208
25.916666666666668,208
26,210
26.083333333333332,210
26.166666666666668,213
26.25,211
26.333333333333332,212
26.416666666666668,212
26.5,212
26.583333333333332,215
26.666666666666668,211
26.75,214
26.833333333333332,210
26.916666666666668,208
27,211
27.083333333333332,208
27.166666666666668,210
27.25,210
27.333333333333332,209
27.416666666666668,212
27.5,211
27.583333333333332,211
27.666666666666668,215
27.75,211
27.833333333333332,217
27.916666666666668,212
28,213
28.083333333333332,212
28.166666666666668,210
28.25,217
28.333333333333332,213
28.416666666666668,211
28.5,212
28.583333333333332,217
28.666666666666668,212
28.75,214
28.833333333333332,210
28.916666666666668,211
29,211
29.083333333333332,209
29.166666666666668,212
29.25,216
29.333333333333332,212
29.416666666666668,214
29.5,216
29.583333333333332,216
29.666666666666668,216
29.75,213
29.833333333333332,215
29.916666666666668,212
30,210
30.083333333333332,218
30.166666666666668,217
30.25,213
30.333333333333332,212
30.416666666666668,216
30.5,215
30.583333333333332,212
30.666666666666668,212
30.75,211
30.833333333333332,212
30.916666666666668,216
31,217
31.083333333333332,215
31.166666666666668,213
31.25,214
31.333333333333332,213
31.416666666666668,211
31.5,218
31.583333333333332,212
31.666666666666668,217
31.75,218
31.833333333333332,214
31.916666666666668,216
32,216
32.083333333333336,211
32.166666666666664,217
32.25,214
32.333333333333336,213
32.416666666666664,211
32.5,215
32.583333333333336,214
32.666666666666664,217
32.75,216
32.833333333333336,214
32.916666666666664,213
33,212
33.083333333333336,214
33.166666666666664,218
33.25,213
33.333333333333336,215
33.416666666666664,217
33.5,214
33.583333333333336,217
33.666666666666664,211
33.75,215
33.833333333333336,213
33.916666666666664,213
34,216
34.083333333333336,212
34.166666666666664,217
34.25,215
34.333333333333336,216
34.416666666666664,214
34.5,217
34.583333333333336,215
34.666666666666664,218
34.75,217
34.833333333333336,218
34.916666666666664,217
35,214
35.083333333333336,218
35.166666666666664,214
35.25,215
35.333333333333336,214
