"Hours since thread went live","Yubisaki to Renren • A Sign of Affection - Episode 8 discussion"
0,1
0.08333333333333333,8
0.16666666666666666,10
0.25,18
0.3333333333333333,21
0.4166666666666667,23
0.5,30
0.5833333333333334,32
0.6666666666666666,36
0.75,47
0.8333333333333334,55
0.9166666666666666,64
1,72
1.0833333333333333,80
1.1666666666666667,85
1.25,92
1.3333333333333333,96
1.4166666666666667,101
1.5,109
1.5833333333333333,113
1.6666666666666667,116
1.75,121
1.8333333333333333,127
1.9166666666666667,136
2,142
2.0833333333333335,140
2.1666666666666665,144
2.25,147
2.3333333333333335,153
2.4166666666666665,157
2.5,160
2.5833333333333335,164
2.6666666666666665,168
2.75,172
2.8333333333333335,175
2.9166666666666665,178
3,180
3.0833333333333335,184
3.1666666666666665,188
3.25,194
3.3333333333333335,198
3.4166666666666665,203
3.5,210
3.5833333333333335,209
3.6666666666666665,214
3.75,217
3.8333333333333335,218
3.9166666666666665,220
4,222
4.083333333333333,229
4.166666666666667,229
4.25,234
4.333333333333333,237
4.416666666666667,237
4.5,239
4.583333333333333,239
4.666666666666667,244
4.75,246
4.833333333333333,255
4.916666666666667,257
5,259
5.083333333333333,264
5.166666666666667,262
5.25,267
5.333333333333333,269
5.416666666666667,270
5.5,273
5.583333333333333,281
5.666666666666667,281
5.75,284
5.833333333333333,290
5.916666666666667,292
6,290
6.083333333333333,293
6.166666666666667,296
6.25,303
6.333333333333333,306
6.416666666666667,309
6.5,305
6.583333333333333,314
6.666666666666667,311
6.75,318
6.833333333333333,320
6.916666666666667,318
7,317
7.083333333333333,325
7.166666666666667,327
7.25,326
7.333333333333333,330
7.416666666666667,330
7.5,334
7.583333333333333,330
7.666666666666667,346
7.75,350
7.833333333333333,349
7.916666666666667,360
8,359
8.083333333333334,360
8.166666666666666,364
8.25,372
8.333333333333334,364
8.416666666666666,366
8.5,370
8.583333333333334,375
8.666666666666666,371
8.75,382
8.833333333333334,378
8.916666666666666,386
9,391
9.083333333333334,394
9.166666666666666,390
9.25,391
9.333333333333334,401
9.416666666666666,403
9.5,405
9.583333333333334,405
9.666666666666666,406
9.75,412
9.833333333333334,408
9.916666666666666,411
10,419
10.083333333333334,421
10.166666666666666,426
10.25,423
10.333333333333334,421
10.416666666666666,431
10.5,428
10.583333333333334,428
10.666666666666666,433
10.75,436
10.833333333333334,433
10.916666666666666,435
11,430
11.083333333333334,441
11.166666666666666,441
11.25,442
11.333333333333334,442
11.416666666666666,438
11.5,442
11.583333333333334,446
11.666666666666666,444
11.75,455
11.833333333333334,448
11.916666666666666,455
12,457
12.083333333333334,459
12.166666666666666,457
12.25,454
12.333333333333334,461
12.416666666666666,456
12.5,459
12.583333333333334,464
12.666666666666666,460
12.75,459
12.833333333333334,462
12.916666666666666,467
13,473
13.083333333333334,467
13.166666666666666,476
13.25,474
13.333333333333334,481
13.416666666666666,474
13.5,481
13.583333333333334,482
13.666666666666666,483
13.75,482
13.833333333333334,479
13.916666666666666,487
14,480
14.083333333333334,484
14.166666666666666,483
14.25,490
14.333333333333334,483
14.416666666666666,492
14.5,485
14.583333333333334,486
14.666666666666666,489
14.75,493
14.833333333333334,488
14.916666666666666,487
15,495
15.083333333333334,493
15.166666666666666,493
15.25,497
15.333333333333334,495
15.416666666666666,497
15.5,494
15.583333333333334,497
15.666666666666666,501
15.75,501
15.833333333333334,498
15.916666666666666,504
16,503
16.083333333333332,498
16.166666666666668,500
16.25,506
16.333333333333332,502
16.416666666666668,499
16.5,504
16.583333333333332,503
16.666666666666668,508
16.75,510
16.833333333333332,506
16.916666666666668,503
17,509
17.083333333333332,511
17.166666666666668,515
17.25,506
17.333333333333332,510
17.416666666666668,511
17.5,513
17.583333333333332,518
17.666666666666668,519
17.75,515
17.833333333333332,516
17.916666666666668,513
18,519
18.083333333333332,516
18.166666666666668,517
18.25,521
18.333333333333332,517
18.416666666666668,519
18.5,523
18.583333333333332,521
18.666666666666668,519
18.75,524
18.833333333333332,520
18.916666666666668,524
19,524
19.083333333333332,521
19.166666666666668,522
19.25,525
19.333333333333332,522
19.416666666666668,521
19.5,522
19.583333333333332,527
19.666666666666668,532
19.75,531
19.833333333333332,527
19.916666666666668,527
20,527
20.083333333333332,525
20.166666666666668,534
20.25,533
20.333333333333332,535
20.416666666666668,531
20.5,528
20.583333333333332,532
20.666666666666668,538
20.75,534
20.833333333333332,530
20.916666666666668,535
21,536
21.083333333333332,532
21.166666666666668,537
21.25,536
21.333333333333332,531
21.416666666666668,534
21.5,539
21.583333333333332,536
21.666666666666668,535
21.75,535
21.833333333333332,537
21.916666666666668,540
22,541
22.083333333333332,542
22.166666666666668,540
22.25,536
22.333333333333332,538
22.416666666666668,538
22.5,543
22.583333333333332,542
22.666666666666668,540
22.75,535
22.833333333333332,541
22.916666666666668,542
23,542
23.083333333333332,546
23.166666666666668,549
23.25,543
23.333333333333332,545
23.416666666666668,541
23.5,545
23.583333333333332,546
23.666666666666668,545
23.75,550
23.833333333333332,543
23.916666666666668,547
24,547
24.083333333333332,550
24.166666666666668,548
24.25,541
24.333333333333332,547
24.416666666666668,541
24.5,542
24.583333333333332,548
24.666666666666668,551
24.75,547
24.833333333333332,554
24.916666666666668,546
25,546
25.083333333333332,552
25.166666666666668,552
25.25,547
25.333333333333332,552
25.416666666666668,551
25.5,559
25.583333333333332,550
25.666666666666668,556
25.75,556
25.833333333333332,557
25.916666666666668,553
26,559
26.083333333333332,559
26.166666666666668,555
26.25,562
26.333333333333332,562
26.416666666666668,562
26.5,556
26.583333333333332,560
26.666666666666668,561
26.75,558
26.833333333333332,557
26.916666666666668,556
27,560
27.083333333333332,565
27.166666666666668,560
27.25,554
27.333333333333332,559
27.416666666666668,564
27.5,557
27.583333333333332,556
27.666666666666668,555
27.75,561
27.833333333333332,560
27.916666666666668,562
28,563
28.083333333333332,565
28.166666666666668,561
28.25,567
28.333333333333332,566
28.416666666666668,567
28.5,562
28.583333333333332,568
28.666666666666668,563
28.75,562
28.833333333333332,562
28.916666666666668,567
29,563
29.083333333333332,567
29.166666666666668,568
29.25,570
29.333333333333332,563
29.416666666666668,569
29.5,569
29.583333333333332,574
29.666666666666668,564
29.75,574
29.833333333333332,573
29.916666666666668,577
30,572
30.083333333333332,575
30.166666666666668,573
30.25,578
30.333333333333332,579
30.416666666666668,575
30.5,575
30.583333333333332,576
30.666666666666668,577
30.75,576
30.833333333333332,578
30.916666666666668,581
31,579
31.083333333333332,584
31.166666666666668,577
31.25,579
31.333333333333332,581
31.416666666666668,578
31.5,578
31.583333333333332,581
31.666666666666668,574
31.75,578
31.833333333333332,576
31.916666666666668,582
32,579
32.083333333333336,580
32.166666666666664,585
32.25,584
32.333333333333336,578
32.416666666666664,578
32.5,582
32.583333333333336,581
32.666666666666664,579
32.75,580
32.833333333333336,582
32.916666666666664,579
33,578
33.083333333333336,587
33.166666666666664,580
33.25,583
33.333333333333336,585
33.416666666666664,589
33.5,587
33.583333333333336,590
33.666666666666664,586
33.75,585
33.833333333333336,584
33.916666666666664,585
34,590
34.083333333333336,593
34.166666666666664,589
34.25,585
34.333333333333336,586
34.416666666666664,586
34.5,585
34.583333333333336,588
34.666666666666664,591
34.75,591
34.833333333333336,593
34.916666666666664,590
35,592
35.083333333333336,593
35.166666666666664,585
35.25,588
35.333333333333336,591
35.416666666666664,592
35.5,589
35.583333333333336,587
35.666666666666664,586
35.75,595
35.833333333333336,592
35.916666666666664,587
36,591
36.083333333333336,590
36.166666666666664,593
36.25,592
36.333333333333336,590
36.416666666666664,591
36.5,592
36.583333333333336,589
36.666666666666664,594
36.75,590
36.833333333333336,596
36.916666666666664,591
37,592
37.083333333333336,593
37.166666666666664,597
37.25,591
37.333333333333336,593
37.416666666666664,590
37.5,597
37.583333333333336,594
37.666666666666664,599
37.75,596
37.833333333333336,591
37.916666666666664,600
38,595
38.083333333333336,601
38.166666666666664,598
38.25,596
38.333333333333336,597
38.416666666666664,591
38.5,598
38.583333333333336,597
38.666666666666664,597
38.75,598
38.833333333333336,598
38.916666666666664,599
39,599
39.083333333333336,601
39.166666666666664,600
39.25,598
39.333333333333336,598
39.416666666666664,596
39.5,597
39.583333333333336,601
39.666666666666664,603
39.75,596
39.833333333333336,597
39.916666666666664,595
40,602
40.083333333333336,601
40.166666666666664,600
40.25,597
40.333333333333336,599
40.416666666666664,602
40.5,603
40.583333333333336,601
40.666666666666664,600
40.75,599
40.833333333333336,602
40.916666666666664,595
41,598
41.083333333333336,602
41.166666666666664,602
41.25,601
41.333333333333336,596
41.416666666666664,597
41.5,603
41.583333333333336,598
41.666666666666664,595
41.75,596
41.833333333333336,599
41.916666666666664,600
42,601
42.083333333333336,602
42.166666666666664,599
42.25,606
42.333333333333336,605
42.416666666666664,597
42.5,599
42.583333333333336,605
42.666666666666664,602
42.75,601
42.833333333333336,602
42.916666666666664,598
43,601
43.083333333333336,601
43.166666666666664,604
43.25,606
43.333333333333336,599
43.416666666666664,605
43.5,603
43.583333333333336,603
43.666666666666664,600
43.75,600
43.833333333333336,606
43.916666666666664,604
44,600
44.083333333333336,600
44.166666666666664,602
44.25,602
44.333333333333336,598
44.416666666666664,604
44.5,600
44.583333333333336,599
44.666666666666664,600
44.75,604
44.833333333333336,600
44.916666666666664,602
45,602
45.083333333333336,599
45.166666666666664,601
45.25,601
45.333333333333336,605
45.416666666666664,604
45.5,604
45.583333333333336,605
45.666666666666664,607
45.75,603
45.833333333333336,605
45.916666666666664,607
46,598
46.083333333333336,603
46.166666666666664,602
46.25,600
46.333333333333336,602
46.416666666666664,604
46.5,603
46.583333333333336,604
46.666666666666664,604
46.75,603
46.833333333333336,602
46.916666666666664,602
47,603
47.083333333333336,601
47.166666666666664,600
47.25,604
47.333333333333336,606
47.416666666666664,606
47.5,606
47.583333333333336,608
47.666666666666664,602
47.75,605
47.833333333333336,603
47.916666666666664,604
