"Hours since thread went live","Ragna Crimson - Episode 19 discussion"
0,1
0,2
0.08333333333333333,3
0.16666666666666666,3
0.25,5
0.3333333333333333,6
0.4166666666666667,6
0.5,12
0.5833333333333334,17
0.6666666666666666,19
0.75,22
0.8333333333333334,27
0.9166666666666666,33
1,34
1.0833333333333333,38
1.1666666666666667,44
1.25,49
1.3333333333333333,50
1.4166666666666667,56
1.5,57
1.5833333333333333,57
1.6666666666666667,61
1.75,68
1.8333333333333333,71
1.9166666666666667,70
2,73
2.0833333333333335,78
2.1666666666666665,80
2.25,83
2.3333333333333335,83
2.4166666666666665,88
2.5,95
2.5833333333333335,94
2.6666666666666665,96
2.75,99
2.8333333333333335,101
2.9166666666666665,103
3,107
3.0833333333333335,114
3.1666666666666665,114
3.25,117
3.3333333333333335,121
3.4166666666666665,123
3.5,128
3.5833333333333335,128
3.6666666666666665,129
3.75,131
3.8333333333333335,129
3.9166666666666665,130
4,131
4.083333333333333,141
4.166666666666667,145
4.25,148
4.333333333333333,145
4.416666666666667,151
4.5,154
4.583333333333333,156
4.666666666666667,158
4.75,160
4.833333333333333,159
4.916666666666667,160
5,166
5.083333333333333,167
5.166666666666667,174
5.25,171
5.333333333333333,176
5.416666666666667,178
5.5,181
5.583333333333333,184
5.666666666666667,191
5.75,191
5.833333333333333,198
5.916666666666667,197
6,198
6.083333333333333,200
6.166666666666667,200
6.25,201
6.333333333333333,205
6.416666666666667,206
6.5,204
6.583333333333333,207
6.666666666666667,214
6.75,211
6.833333333333333,221
6.916666666666667,220
7,228
7.083333333333333,228
7.166666666666667,232
7.25,233
7.333333333333333,236
7.416666666666667,237
7.5,237
7.583333333333333,238
7.666666666666667,244
7.75,247
7.833333333333333,246
7.916666666666667,254
8,251
8.083333333333334,252
8.166666666666666,252
8.25,252
8.333333333333334,254
8.416666666666666,254
8.5,255
8.583333333333334,251
8.666666666666666,256
8.75,254
8.833333333333334,254
8.916666666666666,257
9,253
9.083333333333334,264
9.166666666666666,262
9.25,264
9.333333333333334,266
9.416666666666666,267
9.5,269
9.583333333333334,264
9.666666666666666,273
9.75,276
9.833333333333334,279
9.916666666666666,275
10,276
10.083333333333334,273
10.166666666666666,276
10.25,276
10.333333333333334,276
10.416666666666666,283
10.5,285
10.583333333333334,282
10.666666666666666,279
10.75,279
10.833333333333334,285
10.916666666666666,281
11,284
11.083333333333334,282
11.166666666666666,288
11.25,288
11.333333333333334,286
11.416666666666666,292
11.5,292
11.583333333333334,288
11.666666666666666,289
11.75,294
11.833333333333334,297
11.916666666666666,295
12,294
12.083333333333334,296
12.166666666666666,295
12.25,295
12.333333333333334,297
12.416666666666666,298
12.5,298
12.583333333333334,299
12.666666666666666,299
12.75,297
12.833333333333334,298
12.916666666666666,302
13,303
13.083333333333334,302
13.166666666666666,301
13.25,299
13.333333333333334,302
13.416666666666666,305
13.5,308
13.583333333333334,307
13.666666666666666,308
13.75,311
13.833333333333334,312
13.916666666666666,312
14,314
14.083333333333334,312
14.166666666666666,311
14.25,313
14.333333333333334,314
14.416666666666666,316
14.5,315
14.583333333333334,316
14.666666666666666,316
14.75,322
14.833333333333334,317
14.916666666666666,319
15,317
15.083333333333334,322
15.166666666666666,323
15.25,330
15.333333333333334,321
15.416666666666666,324
15.5,331
15.583333333333334,322
15.666666666666666,327
15.75,331
15.833333333333334,323
15.916666666666666,322
16,331
16.083333333333332,324
16.166666666666668,327
16.25,324
16.333333333333332,329
16.416666666666668,324
16.5,331
16.583333333333332,332
16.666666666666668,325
16.75,335
16.833333333333332,332
16.916666666666668,332
17,337
17.083333333333332,337
17.166666666666668,336
17.25,332
17.333333333333332,335
17.416666666666668,337
17.5,338
17.583333333333332,336
17.666666666666668,339
17.75,336
17.833333333333332,338
17.916666666666668,340
18,342
18.083333333333332,342
18.166666666666668,339
18.25,335
18.333333333333332,343
18.416666666666668,347
18.5,341
18.583333333333332,342
18.666666666666668,340
18.75,346
18.833333333333332,345
18.916666666666668,341
19,341
19.083333333333332,350
19.166666666666668,341
19.25,343
19.333333333333332,346
19.416666666666668,349
19.5,347
19.583333333333332,348
19.666666666666668,347
19.75,350
19.833333333333332,348
19.916666666666668,350
20,350
20.083333333333332,348
20.166666666666668,353
20.25,343
20.333333333333332,351
20.416666666666668,347
20.5,349
20.583333333333332,352
20.666666666666668,357
20.75,348
20.833333333333332,353
20.916666666666668,354
21,352
21.083333333333332,359
21.166666666666668,351
21.25,349
21.333333333333332,356
21.416666666666668,356
21.5,355
21.583333333333332,356
21.666666666666668,355
21.75,358
21.833333333333332,356
21.916666666666668,358
22,357
22.083333333333332,353
22.166666666666668,364
22.25,360
22.333333333333332,357
22.416666666666668,365
22.5,364
22.583333333333332,365
22.666666666666668,357
22.75,361
22.833333333333332,363
22.916666666666668,362
23,366
23.083333333333332,366
23.166666666666668,367
23.25,367
23.333333333333332,365
23.416666666666668,368
23.5,369
23.583333333333332,374
23.666666666666668,365
23.75,370
23.833333333333332,374
23.916666666666668,368
24,367
24.083333333333332,369
24.166666666666668,367
24.25,365
24.333333333333332,368
24.416666666666668,370
24.5,375
24.583333333333332,370
24.666666666666668,368
24.75,369
24.833333333333332,365
24.916666666666668,369
25,370
25.083333333333332,370
25.166666666666668,372
25.25,368
25.333333333333332,375
25.416666666666668,370
25.5,366
25.583333333333332,371
25.666666666666668,370
25.75,369
25.833333333333332,372
25.916666666666668,370
26,372
26.083333333333332,368
26.166666666666668,372
26.25,373
26.333333333333332,375
26.416666666666668,371
26.5,377
26.583333333333332,377
26.666666666666668,373
26.75,372
26.833333333333332,375
26.916666666666668,371
27,375
27.083333333333332,379
27.166666666666668,377
27.25,376
27.333333333333332,375
27.416666666666668,375
27.5,375
27.583333333333332,376
27.666666666666668,374
27.75,381
27.833333333333332,378
27.916666666666668,383
28,378
28.083333333333332,376
28.166666666666668,379
28.25,378
28.333333333333332,371
28.416666666666668,376
28.5,377
28.583333333333332,377
28.666666666666668,378
28.75,379
28.833333333333332,381
28.916666666666668,377
29,382
29.083333333333332,374
29.166666666666668,378
29.25,382
29.333333333333332,379
29.416666666666668,380
29.5,380
29.583333333333332,381
29.666666666666668,375
29.75,379
29.833333333333332,379
29.916666666666668,377
30,379
30.083333333333332,373
30.166666666666668,384
30.25,379
30.333333333333332,385
30.416666666666668,379
30.5,378
30.583333333333332,383
30.666666666666668,378
30.75,377
30.833333333333332,381
30.916666666666668,381
31,379
31.083333333333332,375
31.166666666666668,384
31.25,379
31.333333333333332,379
31.416666666666668,388
31.5,383
31.583333333333332,384
31.666666666666668,380
31.75,384
31.833333333333332,385
31.916666666666668,381
32,381
32.083333333333336,387
32.166666666666664,387
32.25,382
32.333333333333336,383
32.416666666666664,379
32.5,386
32.583333333333336,385
32.666666666666664,387
32.75,381
32.833333333333336,386
32.916666666666664,391
33,382
33.083333333333336,386
33.166666666666664,387
33.25,381
33.333333333333336,387
33.416666666666664,381
33.5,384
33.583333333333336,383
