"Hours since thread went live","Ao no Exorcist Shimane Illuminati-hen • Blue Exorcist -Shimane Illuminati Saga- - Episode 8 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,4
0.25,4
0.3333333333333333,6
0.4166666666666667,6
0.5,7
0.5833333333333334,7
0.6666666666666666,6
0.75,7
0.8333333333333334,7
0.9166666666666666,9
1,12
1.0833333333333333,12
1.1666666666666667,13
1.25,13
1.3333333333333333,14
1.4166666666666667,14
1.5,13
1.5833333333333333,13
1.6666666666666667,20
1.75,23
1.8333333333333333,24
1.9166666666666667,24
2,27
2.0833333333333335,28
2.1666666666666665,30
2.25,31
2.3333333333333335,31
2.4166666666666665,30
2.5,31
2.5833333333333335,31
2.6666666666666665,33
2.75,33
2.8333333333333335,35
2.9166666666666665,32
3,34
3.0833333333333335,36
3.1666666666666665,36
3.25,39
3.3333333333333335,39
3.4166666666666665,38
3.5,42
3.5833333333333335,42
3.6666666666666665,46
3.75,44
3.8333333333333335,46
3.9166666666666665,43
4,45
4.083333333333333,48
4.166666666666667,45
4.25,46
4.333333333333333,45
4.416666666666667,49
4.5,52
4.583333333333333,50
4.666666666666667,53
4.75,56
4.833333333333333,54
4.916666666666667,57
5,60
5.083333333333333,61
5.166666666666667,65
5.25,62
5.333333333333333,67
5.416666666666667,67
5.5,66
5.583333333333333,65
5.666666666666667,65
5.75,70
5.833333333333333,72
5.916666666666667,70
6,71
6.083333333333333,77
6.166666666666667,70
6.25,75
6.333333333333333,75
6.416666666666667,72
6.5,77
6.583333333333333,76
6.666666666666667,79
6.75,81
6.833333333333333,83
6.916666666666667,83
7,85
7.083333333333333,86
7.166666666666667,84
7.25,85
7.333333333333333,86
7.416666666666667,88
7.5,87
7.583333333333333,86
7.666666666666667,88
7.75,85
7.833333333333333,85
7.916666666666667,91
8,86
8.083333333333334,89
8.166666666666666,90
8.25,88
8.333333333333334,87
8.416666666666666,97
8.5,95
8.583333333333334,96
8.666666666666666,96
8.75,96
8.833333333333334,100
8.916666666666666,98
9,94
9.083333333333334,98
9.166666666666666,99
9.25,102
9.333333333333334,98
9.416666666666666,102
9.5,106
9.583333333333334,105
9.666666666666666,103
9.75,104
9.833333333333334,105
9.916666666666666,103
10,105
10.083333333333334,106
10.166666666666666,103
10.25,105
10.333333333333334,104
10.416666666666666,105
10.5,107
10.583333333333334,108
10.666666666666666,107
10.75,109
10.833333333333334,109
10.916666666666666,108
11,108
11.083333333333334,112
11.166666666666666,111
11.25,109
11.333333333333334,108
11.416666666666666,110
11.5,108
11.583333333333334,111
11.666666666666666,111
11.75,111
11.833333333333334,109
11.916666666666666,111
12,114
12.083333333333334,112
12.166666666666666,110
12.25,116
12.333333333333334,115
12.416666666666666,111
12.5,113
12.583333333333334,110
12.666666666666666,111
12.75,113
12.833333333333334,118
12.916666666666666,114
13,117
13.083333333333334,113
13.166666666666666,114
13.25,119
13.333333333333334,118
13.416666666666666,115
13.5,113
13.583333333333334,118
13.666666666666666,117
13.75,119
13.833333333333334,118
13.916666666666666,118
14,121
14.083333333333334,118
14.166666666666666,118
14.25,124
14.333333333333334,120
14.416666666666666,125
14.5,126
14.583333333333334,122
14.666666666666666,127
14.75,126
14.833333333333334,124
14.916666666666666,131
15,125
15.083333333333334,130
15.166666666666666,123
15.25,128
15.333333333333334,127
15.416666666666666,128
15.5,126
15.583333333333334,126
15.666666666666666,127
15.75,128
15.833333333333334,130
15.916666666666666,129
16,127
16.083333333333332,130
16.166666666666668,126
16.25,129
16.333333333333332,129
16.416666666666668,131
16.5,128
16.583333333333332,128
16.666666666666668,131
16.75,132
16.833333333333332,128
16.916666666666668,128
17,132
17.083333333333332,127
17.166666666666668,128
17.25,129
17.333333333333332,126
17.416666666666668,129
17.5,128
17.583333333333332,131
17.666666666666668,128
17.75,132
17.833333333333332,126
17.916666666666668,133
18,130
18.083333333333332,128
18.166666666666668,128
18.25,132
18.333333333333332,127
18.416666666666668,130
18.5,134
18.583333333333332,133
18.666666666666668,131
18.75,134
18.833333333333332,137
18.916666666666668,134
19,133
19.083333333333332,132
19.166666666666668,131
19.25,131
19.333333333333332,135
19.416666666666668,137
19.5,135
19.583333333333332,138
19.666666666666668,135
19.75,136
19.833333333333332,137
19.916666666666668,139
20,135
20.083333333333332,139
20.166666666666668,140
20.25,136
20.333333333333332,138
20.416666666666668,134
20.5,132
20.583333333333332,138
20.666666666666668,140
20.75,140
20.833333333333332,136
20.916666666666668,141
21,138
21.083333333333332,136
21.166666666666668,136
21.25,135
21.333333333333332,139
21.416666666666668,137
21.5,137
21.583333333333332,137
21.666666666666668,139
21.75,137
21.833333333333332,138
21.916666666666668,138
22,139
22.083333333333332,140
22.166666666666668,141
22.25,143
22.333333333333332,144
22.416666666666668,145
22.5,140
22.583333333333332,144
22.666666666666668,142
22.75,137
22.833333333333332,140
22.916666666666668,141
23,140
23.083333333333332,138
23.166666666666668,137
23.25,144
23.333333333333332,142
23.416666666666668,142
23.5,139
23.583333333333332,141
23.666666666666668,141
23.75,144
23.833333333333332,141
23.916666666666668,146
24,139
24.083333333333332,142
24.166666666666668,140
24.25,143
24.333333333333332,144
24.416666666666668,145
24.5,145
24.583333333333332,139
24.666666666666668,143
24.75,139
24.833333333333332,143
24.916666666666668,147
25,143
25.083333333333332,146
25.166666666666668,142
25.25,141
25.333333333333332,145
25.416666666666668,145
25.5,145
25.583333333333332,143
25.666666666666668,142
25.75,143
25.833333333333332,146
25.916666666666668,143
26,140
26.083333333333332,144
26.166666666666668,146
26.25,145
26.333333333333332,144
26.416666666666668,147
26.5,145
26.583333333333332,143
26.666666666666668,142
26.75,146
26.833333333333332,146
26.916666666666668,143
27,144
27.083333333333332,147
27.166666666666668,143
27.25,140
27.333333333333332,145
27.416666666666668,145
27.5,142
27.583333333333332,145
27.666666666666668,144
27.75,145
27.833333333333332,146
27.916666666666668,148
28,147
28.083333333333332,145
28.166666666666668,144
28.25,143
28.333333333333332,146
28.416666666666668,147
28.5,145
28.583333333333332,144
28.666666666666668,147
28.75,144
28.833333333333332,143
28.916666666666668,149
29,144
29.083333333333332,148
29.166666666666668,146
29.25,145
29.333333333333332,147
29.416666666666668,144
29.5,146
29.583333333333332,145
29.666666666666668,144
29.75,146
29.833333333333332,146
29.916666666666668,144
30,149
30.083333333333332,145
30.166666666666668,147
30.25,147
30.333333333333332,147
30.416666666666668,145
30.5,144
30.583333333333332,148
30.666666666666668,148
30.75,146
30.833333333333332,145
30.916666666666668,147
31,144
31.083333333333332,148
31.166666666666668,147
31.25,149
31.333333333333332,148
31.416666666666668,147
31.5,147
31.583333333333332,148
31.666666666666668,149
31.75,150
31.833333333333332,146
31.916666666666668,147
32,150
32.083333333333336,149
32.166666666666664,148
32.25,147
32.333333333333336,152
32.416666666666664,148
32.5,152
32.583333333333336,146
32.666666666666664,148
32.75,151
32.833333333333336,146
32.916666666666664,149
33,149
33.083333333333336,151
33.166666666666664,149
33.25,147
33.333333333333336,149
33.416666666666664,152
33.5,149
33.583333333333336,148
33.666666666666664,152
33.75,150
33.833333333333336,150
33.916666666666664,149
34,148
34.083333333333336,149
34.166666666666664,147
34.25,152
34.333333333333336,145
34.416666666666664,148
34.5,146
34.583333333333336,147
34.666666666666664,147
34.75,148
34.833333333333336,150
34.916666666666664,151
35,147
35.083333333333336,147
35.166666666666664,148
