"Hours since thread went live","Wonderful Precure! • Wonderful Pretty Cure! - Episode 4 discussion"
0,1
0,2
0.08333333333333333,2
0.16666666666666666,2
0.25,2
0.3333333333333333,1
0.4166666666666667,1
0.5,1
0.5833333333333334,2
0.6666666666666666,2
0.75,2
0.8333333333333334,2
0.9166666666666666,2
1,2
1.0833333333333333,2
1.1666666666666667,2
1.25,1
1.3333333333333333,1
1.4166666666666667,1
1.5,1
1.5833333333333333,1
1.6666666666666667,2
1.75,3
1.8333333333333333,2
1.9166666666666667,1
2,2
2.0833333333333335,1
2.1666666666666665,4
2.25,4
2.3333333333333335,3
2.4166666666666665,4
2.5,5
2.5833333333333335,5
2.6666666666666665,6
2.75,7
2.8333333333333335,6
2.9166666666666665,7
3,9
3.0833333333333335,10
3.1666666666666665,11
3.25,12
3.3333333333333335,12
3.4166666666666665,13
3.5,14
3.5833333333333335,13
3.6666666666666665,13
3.75,13
3.8333333333333335,14
3.9166666666666665,15
4,17
4.083333333333333,16
4.166666666666667,15
4.25,16
4.333333333333333,14
4.416666666666667,16
4.5,17
4.583333333333333,18
4.666666666666667,17
4.75,20
4.833333333333333,20
4.916666666666667,18
5,17
5.083333333333333,18
5.166666666666667,19
5.25,18
5.333333333333333,17
5.416666666666667,21
5.5,19
5.583333333333333,17
5.666666666666667,19
5.75,21
5.833333333333333,21
5.916666666666667,20
6,23
6.083333333333333,20
6.166666666666667,20
6.25,21
6.333333333333333,23
6.416666666666667,26
6.5,25
6.583333333333333,25
6.666666666666667,24
6.75,25
6.833333333333333,27
6.916666666666667,25
7,28
7.083333333333333,26
7.166666666666667,28
7.25,27
7.333333333333333,27
7.416666666666667,28
7.5,28
7.583333333333333,28
7.666666666666667,29
7.75,29
7.833333333333333,31
7.916666666666667,27
8,28
8.083333333333334,26
8.166666666666666,29
8.25,30
8.333333333333334,27
8.416666666666666,28
8.5,27
8.583333333333334,30
8.666666666666666,31
8.75,31
8.833333333333334,33
8.916666666666666,33
9,33
9.083333333333334,29
9.166666666666666,31
9.25,29
9.333333333333334,34
9.416666666666666,31
9.5,32
9.583333333333334,32
9.666666666666666,32
9.75,32
9.833333333333334,30
9.916666666666666,36
10,34
10.083333333333334,30
10.166666666666666,32
10.25,33
10.333333333333334,31
10.416666666666666,35
10.5,36
10.583333333333334,31
10.666666666666666,36
10.75,32
10.833333333333334,33
10.916666666666666,33
11,33
11.083333333333334,31
11.166666666666666,33
11.25,33
11.333333333333334,30
11.416666666666666,32
11.5,31
11.583333333333334,34
11.666666666666666,32
11.75,33
11.833333333333334,34
11.916666666666666,34
12,35
12.083333333333334,32
12.166666666666666,31
12.25,31
12.333333333333334,35
12.416666666666666,33
12.5,33
12.583333333333334,33
12.666666666666666,32
12.75,32
12.833333333333334,35
12.916666666666666,33
13,36
13.083333333333334,33
13.166666666666666,33
13.25,32
13.333333333333334,33
13.416666666666666,30
13.5,32
13.583333333333334,34
13.666666666666666,33
13.75,32
13.833333333333334,33
13.916666666666666,33
14,33
14.083333333333334,36
14.166666666666666,34
14.25,35
14.333333333333334,34
14.416666666666666,33
14.5,33
14.583333333333334,36
14.666666666666666,31
14.75,33
14.833333333333334,33
14.916666666666666,33
15,31
15.083333333333334,33
15.166666666666666,33
15.25,35
15.333333333333334,36
15.416666666666666,34
15.5,34
15.583333333333334,33
15.666666666666666,33
15.75,36
15.833333333333334,33
15.916666666666666,33
16,32
16.083333333333332,33
16.166666666666668,33
16.25,33
16.333333333333332,31
16.416666666666668,33
16.5,34
16.583333333333332,30
16.666666666666668,30
16.75,32
16.833333333333332,34
16.916666666666668,32
17,31
17.083333333333332,32
17.166666666666668,33
17.25,34
17.333333333333332,31
17.416666666666668,30
17.5,33
17.583333333333332,33
17.666666666666668,30
17.75,32
17.833333333333332,33
17.916666666666668,33
18,31
18.083333333333332,33
18.166666666666668,33
18.25,35
18.333333333333332,34
18.416666666666668,29
18.5,30
18.583333333333332,34
18.666666666666668,32
18.75,29
18.833333333333332,30
18.916666666666668,32
19,30
19.083333333333332,34
19.166666666666668,32
19.25,35
19.333333333333332,32
19.416666666666668,34
19.5,31
19.583333333333332,33
19.666666666666668,33
19.75,30
19.833333333333332,32
19.916666666666668,33
20,34
20.083333333333332,30
20.166666666666668,34
20.25,33
20.333333333333332,34
20.416666666666668,34
20.5,34
20.583333333333332,35
20.666666666666668,35
20.75,38
20.833333333333332,32
20.916666666666668,38
21,32
21.083333333333332,36
21.166666666666668,34
21.25,36
21.333333333333332,39
21.416666666666668,35
21.5,36
21.583333333333332,40
21.666666666666668,37
21.75,36
21.833333333333332,34
21.916666666666668,37
22,35
22.083333333333332,37
22.166666666666668,39
22.25,33
22.333333333333332,37
22.416666666666668,40
22.5,37
22.583333333333332,38
22.666666666666668,39
22.75,38
22.833333333333332,39
22.916666666666668,36
23,35
23.083333333333332,41
23.166666666666668,37
23.25,35
23.333333333333332,40
23.416666666666668,34
23.5,38
23.583333333333332,42
23.666666666666668,38
23.75,41
23.833333333333332,36
23.916666666666668,38
24,40
24.083333333333332,41
24.166666666666668,38
24.25,38
24.333333333333332,36
24.416666666666668,38
24.5,37
24.583333333333332,37
24.666666666666668,37
24.75,39
24.833333333333332,39
24.916666666666668,40
25,38
25.083333333333332,34
25.166666666666668,37
25.25,37
25.333333333333332,37
25.416666666666668,37
25.5,38
25.583333333333332,37
25.666666666666668,36
25.75,42
25.833333333333332,37
25.916666666666668,41
26,38
26.083333333333332,36
26.166666666666668,37
26.25,39
26.333333333333332,36
26.416666666666668,35
26.5,37
26.583333333333332,37
26.666666666666668,39
26.75,39
26.833333333333332,37
26.916666666666668,39
27,41
27.083333333333332,39
27.166666666666668,39
27.25,40
27.333333333333332,38
27.416666666666668,42
27.5,38
27.583333333333332,40
27.666666666666668,38
27.75,39
27.833333333333332,37
27.916666666666668,39
28,36
28.083333333333332,41
28.166666666666668,40
28.25,35
28.333333333333332,38
28.416666666666668,38
28.5,41
28.583333333333332,41
28.666666666666668,38
28.75,38
28.833333333333332,38
28.916666666666668,39
29,40
29.083333333333332,39
29.166666666666668,37
29.25,36
29.333333333333332,38
29.416666666666668,40
29.5,37
29.583333333333332,38
29.666666666666668,39
29.75,40
29.833333333333332,37
29.916666666666668,40
30,37
30.083333333333332,39
30.166666666666668,38
30.25,36
30.333333333333332,38
30.416666666666668,37
30.5,36
30.583333333333332,39
30.666666666666668,38
30.75,35
30.833333333333332,38
30.916666666666668,34
31,38
31.083333333333332,37
31.166666666666668,38
31.25,34
31.333333333333332,38
31.416666666666668,39
31.5,35
31.583333333333332,37
31.666666666666668,38
31.75,36
31.833333333333332,37
31.916666666666668,41
32,38
32.083333333333336,35
32.166666666666664,41
32.25,36
32.333333333333336,37
32.416666666666664,34
32.5,38
32.583333333333336,36
32.666666666666664,37
32.75,37
32.833333333333336,36
32.916666666666664,38
33,36
33.083333333333336,34
33.166666666666664,37
33.25,38
33.333333333333336,39
33.416666666666664,36
33.5,35
