"Hours since thread went live","Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu. • Fluffy Paradise - Episode 9 discussion"
0,0
0.08333333333333333,1
0.16666666666666666,1
0.25,0
0.3333333333333333,0
0.4166666666666667,2
0.5,5
0.5833333333333334,6
0.6666666666666666,9
0.75,10
0.8333333333333334,11
0.9166666666666666,11
1,12
1.0833333333333333,13
1.1666666666666667,15
1.25,17
1.3333333333333333,18
1.4166666666666667,20
1.5,22
1.5833333333333333,24
1.6666666666666667,26
1.75,27
1.8333333333333333,29
1.9166666666666667,29
2,27
2.0833333333333335,30
2.1666666666666665,31
2.25,32
2.3333333333333335,31
2.4166666666666665,32
2.5,33
2.5833333333333335,35
2.6666666666666665,36
2.75,37
2.8333333333333335,39
2.9166666666666665,42
3,40
3.0833333333333335,37
3.1666666666666665,44
3.25,41
3.3333333333333335,43
3.4166666666666665,44
3.5,43
3.5833333333333335,47
3.6666666666666665,48
3.75,46
3.8333333333333335,48
3.9166666666666665,47
4,52
4.083333333333333,50
4.166666666666667,52
4.25,55
4.333333333333333,53
4.416666666666667,52
4.5,54
4.583333333333333,52
4.666666666666667,51
4.75,58
4.833333333333333,57
4.916666666666667,62
5,62
5.083333333333333,60
5.166666666666667,64
5.25,64
5.333333333333333,62
5.416666666666667,63
5.5,61
5.583333333333333,64
5.666666666666667,68
5.75,66
5.833333333333333,67
5.916666666666667,69
6,70
6.083333333333333,67
6.166666666666667,68
6.25,69
6.333333333333333,70
6.416666666666667,73
6.5,70
6.583333333333333,69
6.666666666666667,71
6.75,73
6.833333333333333,72
6.916666666666667,74
7,74
7.083333333333333,72
7.166666666666667,73
7.25,70
7.333333333333333,76
7.416666666666667,72
7.5,68
7.583333333333333,74
7.666666666666667,75
7.75,72
7.833333333333333,74
7.916666666666667,70
8,77
8.083333333333334,76
8.166666666666666,76
8.25,77
8.333333333333334,79
8.416666666666666,79
8.5,77
8.583333333333334,77
8.666666666666666,79
8.75,78
8.833333333333334,80
8.916666666666666,80
9,79
9.083333333333334,77
9.166666666666666,82
9.25,82
9.333333333333334,81
9.416666666666666,82
9.5,83
9.583333333333334,79
9.666666666666666,86
9.75,85
9.833333333333334,87
9.916666666666666,85
10,87
10.083333333333334,88
10.166666666666666,84
10.25,88
10.333333333333334,86
10.416666666666666,84
10.5,87
10.583333333333334,82
10.666666666666666,86
10.75,87
10.833333333333334,87
10.916666666666666,92
11,88
11.083333333333334,90
11.166666666666666,88
