"Hours since thread went live","Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru • 7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! - Episode 8 discussion"
0,3
0,4
0.08333333333333333,8
0.16666666666666666,11
0.25,12
0.3333333333333333,15
0.4166666666666667,16
0.5,23
0.5833333333333334,27
0.6666666666666666,33
0.75,42
0.8333333333333334,47
0.9166666666666666,60
1,65
1.0833333333333333,68
1.1666666666666667,76
1.25,82
1.3333333333333333,87
1.4166666666666667,93
1.5,100
1.5833333333333333,105
1.6666666666666667,114
1.75,117
1.8333333333333333,121
1.9166666666666667,126
2,133
2.0833333333333335,137
2.1666666666666665,143
2.25,150
2.3333333333333335,158
2.4166666666666665,164
2.5,174
2.5833333333333335,179
2.6666666666666665,184
2.75,192
2.8333333333333335,200
2.9166666666666665,211
3,216
3.0833333333333335,219
3.1666666666666665,222
3.25,230
3.3333333333333335,235
3.4166666666666665,236
3.5,248
3.5833333333333335,246
3.6666666666666665,255
3.75,259
3.8333333333333335,260
3.9166666666666665,259
4,265
4.083333333333333,272
4.166666666666667,276
4.25,279
4.333333333333333,280
4.416666666666667,286
4.5,294
4.583333333333333,291
4.666666666666667,297
4.75,294
4.833333333333333,297
4.916666666666667,304
5,309
5.083333333333333,312
5.166666666666667,313
5.25,318
5.333333333333333,322
5.416666666666667,321
5.5,329
5.583333333333333,339
5.666666666666667,340
5.75,348
5.833333333333333,350
5.916666666666667,353
6,348
6.083333333333333,356
6.166666666666667,356
6.25,361
6.333333333333333,361
6.416666666666667,365
6.5,367
6.583333333333333,366
6.666666666666667,370
6.75,376
6.833333333333333,383
6.916666666666667,387
7,390
7.083333333333333,390
7.166666666666667,398
7.25,396
7.333333333333333,402
7.416666666666667,407
7.5,405
7.583333333333333,415
7.666666666666667,423
7.75,418
7.833333333333333,423
7.916666666666667,429
8,435
8.083333333333334,441
8.166666666666666,443
8.25,436
8.333333333333334,444
8.416666666666666,446
8.5,451
8.583333333333334,447
8.666666666666666,456
8.75,458
8.833333333333334,462
8.916666666666666,464
9,471
9.083333333333334,465
9.166666666666666,474
9.25,474
9.333333333333334,474
9.416666666666666,479
9.5,480
9.583333333333334,483
9.666666666666666,484
9.75,490
9.833333333333334,486
9.916666666666666,491
10,490
10.083333333333334,496
10.166666666666666,502
10.25,501
10.333333333333334,504
10.416666666666666,495
10.5,505
10.583333333333334,507
10.666666666666666,507
10.75,513
10.833333333333334,513
10.916666666666666,510
11,511
11.083333333333334,512
11.166666666666666,515
11.25,518
11.333333333333334,517
11.416666666666666,524
11.5,521
11.583333333333334,530
11.666666666666666,526
11.75,528
11.833333333333334,541
11.916666666666666,541
12,542
12.083333333333334,544
12.166666666666666,544
12.25,544
