"Hours since thread went live","Oroka na Tenshi wa Akuma to Odoru • The Foolish Angel Dances with the Devil - Episode 8 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,3
0.25,4
0.3333333333333333,9
0.4166666666666667,13
0.5,16
0.5833333333333334,19
0.6666666666666666,23
0.75,26
0.8333333333333334,30
0.9166666666666666,31
1,34
1.0833333333333333,37
1.1666666666666667,38
1.3333333333333333,44
1.4166666666666667,47
1.5,49
1.5833333333333333,48
1.6666666666666667,51
1.75,54
1.8333333333333333,60
1.9166666666666667,62
2,64
2.0833333333333335,63
2.1666666666666665,63
2.25,67
2.3333333333333335,71
2.4166666666666665,73
2.5,76
2.5833333333333335,79
2.6666666666666665,77
2.75,81
2.8333333333333335,86
2.9166666666666665,87
3,87
3.0833333333333335,87
3.1666666666666665,86
3.25,87
3.3333333333333335,87
3.4166666666666665,91
3.5,91
3.5833333333333335,91
3.6666666666666665,95
3.75,94
3.8333333333333335,99
3.9166666666666665,101
4,100
4.083333333333333,104
4.166666666666667,99
4.25,105
4.333333333333333,111
4.416666666666667,113
4.5,114
4.583333333333333,116
4.666666666666667,116
4.75,120
4.833333333333333,122
4.916666666666667,128
5,123
5.083333333333333,127
5.166666666666667,129
5.25,132
5.333333333333333,135
5.416666666666667,137
5.5,137
5.583333333333333,138
5.666666666666667,139
5.75,138
5.833333333333333,142
5.916666666666667,138
6,141
6.083333333333333,145
6.166666666666667,144
6.25,148
6.333333333333333,145
6.416666666666667,147
6.5,148
6.583333333333333,150
6.666666666666667,147
6.75,154
6.833333333333333,154
6.916666666666667,157
7,156
7.083333333333333,160
7.166666666666667,154
7.25,159
7.333333333333333,163
7.416666666666667,163
7.5,165
7.583333333333333,168
7.666666666666667,165
7.75,161
7.833333333333333,161
7.916666666666667,168
8,167
8.083333333333334,164
8.166666666666666,169
8.25,167
8.333333333333334,166
8.416666666666666,170
8.5,169
8.583333333333334,169
8.666666666666666,168
8.75,174
8.833333333333334,172
8.916666666666666,173
9,170
9.083333333333334,173
9.166666666666666,171
9.25,177
9.333333333333334,173
9.416666666666666,174
9.5,175
9.583333333333334,172
9.666666666666666,172
9.75,178
9.833333333333334,173
9.916666666666666,178
10,173
10.083333333333334,179
10.166666666666666,183
10.25,181
10.333333333333334,182
10.416666666666666,182
10.5,182
10.583333333333334,185
10.666666666666666,184
10.75,184
10.833333333333334,183
10.916666666666666,189
11,191
11.083333333333334,190
11.166666666666666,189
11.25,192
11.333333333333334,186
11.416666666666666,189
11.5,193
11.583333333333334,191
11.666666666666666,189
11.75,192
11.833333333333334,191
11.916666666666666,192
12,191
12.083333333333334,187
12.166666666666666,189
12.25,193
12.333333333333334,194
12.416666666666666,194
12.5,192
12.583333333333334,194
12.666666666666666,193
12.75,192
12.833333333333334,193
12.916666666666666,196
13,194
13.083333333333334,194
13.166666666666666,193
13.25,195
13.333333333333334,198
13.416666666666666,195
13.5,198
13.583333333333334,197
13.666666666666666,195
13.75,198
13.833333333333334,202
13.916666666666666,198
14,197
14.083333333333334,198
14.166666666666666,194
14.25,201
14.333333333333334,197
14.416666666666666,198
14.5,198
14.583333333333334,197
14.666666666666666,201
14.75,201
14.833333333333334,201
14.916666666666666,204
15,203
15.083333333333334,203
15.166666666666666,204
15.25,205
15.333333333333334,202
15.416666666666666,205
15.5,207
15.583333333333334,207
15.666666666666666,208
15.75,208
15.833333333333334,205
15.916666666666666,206
16,210
16.083333333333332,210
16.166666666666668,204
16.25,210
16.333333333333332,207
16.416666666666668,210
16.5,210
16.583333333333332,206
16.666666666666668,206
16.75,207
16.833333333333332,206
16.916666666666668,207
17,209
17.083333333333332,211
17.166666666666668,210
17.25,211
17.333333333333332,208
17.416666666666668,211
17.5,212
17.583333333333332,209
17.666666666666668,211
17.75,209
17.833333333333332,211
17.916666666666668,211
18,214
18.083333333333332,216
18.166666666666668,211
18.25,213
18.333333333333332,216
18.416666666666668,217
18.5,214
18.583333333333332,212
18.666666666666668,216
18.75,215
18.833333333333332,215
18.916666666666668,213
19,215
19.083333333333332,218
19.166666666666668,216
19.25,217
19.333333333333332,213
19.416666666666668,216
19.5,215
19.583333333333332,216
19.666666666666668,216
19.75,218
19.833333333333332,215
19.916666666666668,219
20,218
20.083333333333332,220
20.166666666666668,220
20.25,220
20.333333333333332,220
20.416666666666668,217
20.5,220
20.583333333333332,219
20.666666666666668,222
20.75,222
20.833333333333332,221
20.916666666666668,220
21,222
21.083333333333332,217
21.166666666666668,218
21.25,220
21.333333333333332,222
21.416666666666668,221
21.5,222
21.583333333333332,223
21.666666666666668,223
21.75,224
21.833333333333332,222
21.916666666666668,224
22,223
22.083333333333332,221
22.166666666666668,226
22.25,227
22.333333333333332,225
22.416666666666668,223
22.5,225
22.583333333333332,226
22.666666666666668,225
22.75,225
22.833333333333332,225
22.916666666666668,224
23,224
23.083333333333332,224
23.166666666666668,226
23.25,225
23.333333333333332,227
23.416666666666668,224
23.5,226
23.583333333333332,225
23.666666666666668,225
23.75,226
23.833333333333332,225
23.916666666666668,232
24,227
24.083333333333332,226
24.166666666666668,225
24.25,232
24.333333333333332,227
24.416666666666668,226
24.5,230
24.583333333333332,229
24.666666666666668,229
24.75,229
24.833333333333332,233
24.916666666666668,233
25,235
25.083333333333332,234
25.166666666666668,231
25.25,233
25.333333333333332,230
25.416666666666668,232
25.5,234
25.583333333333332,230
25.666666666666668,230
25.75,235
25.833333333333332,234
25.916666666666668,236
26,235
26.083333333333332,235
26.166666666666668,235
26.25,235
26.333333333333332,232
26.416666666666668,232
26.5,238
26.583333333333332,240
26.666666666666668,236
26.75,239
26.833333333333332,236
26.916666666666668,236
27,235
27.083333333333332,237
27.166666666666668,237
27.25,233
27.333333333333332,232
27.416666666666668,234
27.5,233
27.583333333333332,236
27.666666666666668,232
27.75,236
27.833333333333332,237
27.916666666666668,234
28,236
28.083333333333332,237
28.166666666666668,239
28.25,238
28.333333333333332,236
28.416666666666668,237
28.5,236
28.583333333333332,235
28.666666666666668,237
28.75,236
28.833333333333332,233
28.916666666666668,239
29,233
29.083333333333332,238
29.166666666666668,236
29.25,239
29.333333333333332,239
29.416666666666668,237
29.5,235
29.583333333333332,238
29.666666666666668,236
29.75,234
29.833333333333332,238
29.916666666666668,240
30,240
30.083333333333332,237
30.166666666666668,233
30.25,236
30.333333333333332,238
30.416666666666668,235
30.5,234
30.583333333333332,236
30.666666666666668,236
30.75,239
30.833333333333332,236
30.916666666666668,233
31,238
31.083333333333332,236
31.166666666666668,240
31.25,239
31.333333333333332,236
31.416666666666668,238
31.5,241
31.583333333333332,240
31.666666666666668,240
31.75,236
31.833333333333332,241
31.916666666666668,235
32,238
32.083333333333336,239
32.166666666666664,238
32.25,245
32.333333333333336,244
32.416666666666664,242
32.5,239
32.583333333333336,245
32.666666666666664,244
32.75,244
32.833333333333336,244
32.916666666666664,240
33,244
33.083333333333336,242
33.166666666666664,245
33.25,248
33.333333333333336,243
33.416666666666664,244
33.5,242
33.583333333333336,241
33.666666666666664,244
33.75,242
33.833333333333336,248
33.916666666666664,247
34,247
34.083333333333336,247
34.166666666666664,242
34.25,246
34.333333333333336,245
34.416666666666664,244
34.5,246
34.583333333333336,244
34.666666666666664,242
34.75,242
34.833333333333336,244
34.916666666666664,241
35,241
35.083333333333336,243
35.166666666666664,245
35.25,244
35.333333333333336,246
