"Hours since thread went live","Odekake Kozame - Episode 39 discussion"
0,1
0.08333333333333333,3
0.16666666666666666,3
0.25,3
0.3333333333333333,3
0.4166666666666667,3
0.5,3
0.5833333333333334,4
0.6666666666666666,4
0.75,4
0.8333333333333334,4
0.9166666666666666,6
1,7
1.0833333333333333,7
1.1666666666666667,7
1.25,7
1.3333333333333333,8
1.4166666666666667,9
1.5,7
1.5833333333333333,8
1.6666666666666667,8
1.75,8
1.8333333333333333,7
1.9166666666666667,8
2,9
2.0833333333333335,9
2.1666666666666665,8
2.25,9
2.3333333333333335,10
2.4166666666666665,9
2.5,10
2.5833333333333335,9
2.6666666666666665,9
2.75,11
2.8333333333333335,10
2.9166666666666665,10
3,11
3.0833333333333335,9
3.1666666666666665,10
3.25,9
3.3333333333333335,10
3.4166666666666665,9
3.5,9
3.5833333333333335,9
3.6666666666666665,9
3.75,8
3.8333333333333335,11
3.9166666666666665,11
4,9
4.083333333333333,11
4.166666666666667,10
4.25,10
4.333333333333333,9
4.416666666666667,10
4.5,10
4.583333333333333,10
4.666666666666667,10
4.75,10
4.833333333333333,9
4.916666666666667,10
5,11
5.083333333333333,10
5.166666666666667,10
5.25,10
5.333333333333333,10
5.416666666666667,10
5.5,12
5.583333333333333,11
5.666666666666667,13
5.75,11
5.833333333333333,12
5.916666666666667,13
6,13
6.083333333333333,12
6.166666666666667,14
6.25,12
6.333333333333333,13
6.416666666666667,13
6.5,13
6.583333333333333,14
6.666666666666667,13
6.75,13
6.833333333333333,12
6.916666666666667,13
7,14
7.083333333333333,13
7.166666666666667,13
7.25,13
7.333333333333333,12
7.416666666666667,13
7.5,12
7.583333333333333,13
7.666666666666667,13
7.75,12
7.833333333333333,12
7.916666666666667,13
8,13
8.083333333333334,13
8.166666666666666,14
8.25,13
8.333333333333334,13
8.416666666666666,14
8.5,13
8.583333333333334,14
8.666666666666666,13
8.75,12
8.833333333333334,11
8.916666666666666,14
9,15
9.083333333333334,14
9.166666666666666,13
9.25,13
9.333333333333334,12
9.416666666666666,14
9.5,13
9.583333333333334,13
9.666666666666666,13
9.75,14
9.833333333333334,13
9.916666666666666,14
10,15
10.083333333333334,14
10.166666666666666,13
10.25,14
10.333333333333334,16
10.416666666666666,14
10.5,15
10.583333333333334,12
10.666666666666666,13
10.75,12
10.833333333333334,13
10.916666666666666,12
11,13
11.083333333333334,16
11.166666666666666,14
11.25,13
11.333333333333334,14
11.416666666666666,15
11.5,14
11.583333333333334,14
11.666666666666666,14
11.75,15
11.833333333333334,15
11.916666666666666,13
12,14
12.083333333333334,13
12.166666666666666,13
12.25,12
12.333333333333334,13
12.416666666666666,14
12.5,14
12.583333333333334,13
12.666666666666666,13
12.75,13
12.833333333333334,14
12.916666666666666,12
13,14
13.083333333333334,13
13.166666666666666,15
13.25,14
13.333333333333334,13
13.416666666666666,14
13.5,16
13.583333333333334,12
13.666666666666666,13
13.75,12
13.833333333333334,15
13.916666666666666,12
14,15
14.083333333333334,16
14.166666666666666,14
14.25,13
14.333333333333334,13
14.416666666666666,13
14.5,12
14.583333333333334,14
14.666666666666666,13
14.75,13
14.833333333333334,16
14.916666666666666,14
15,14
15.083333333333334,14
15.166666666666666,14
15.25,14
15.333333333333334,14
15.416666666666666,14
15.5,14
15.583333333333334,14
15.666666666666666,16
15.75,14
15.833333333333334,15
15.916666666666666,14
16,15
16.083333333333332,15
16.166666666666668,14
16.25,15
16.333333333333332,15
16.416666666666668,15
16.5,15
16.583333333333332,12
16.666666666666668,14
16.75,14
16.833333333333332,13
16.916666666666668,15
17,13
17.083333333333332,14
17.166666666666668,13
17.25,14
17.333333333333332,16
17.416666666666668,13
17.5,12
17.583333333333332,13
17.666666666666668,15
17.75,15
17.833333333333332,12
17.916666666666668,15
18,15
18.083333333333332,15
18.166666666666668,14
18.25,15
18.333333333333332,15
18.416666666666668,12
18.5,14
18.583333333333332,15
18.666666666666668,14
18.75,14
18.833333333333332,17
18.916666666666668,15
19,16
19.083333333333332,15
19.166666666666668,15
19.25,15
19.333333333333332,17
19.416666666666668,16
19.5,16
19.583333333333332,16
19.666666666666668,17
19.75,17
19.833333333333332,15
19.916666666666668,19
20,17
20.083333333333332,16
20.166666666666668,18
20.25,16
20.333333333333332,15
20.416666666666668,17
20.583333333333332,17
20.666666666666668,15
20.75,17
20.833333333333332,15
20.916666666666668,15
21,17
21.083333333333332,19
21.166666666666668,16
21.25,19
21.333333333333332,18
21.416666666666668,15
21.5,16
21.583333333333332,15
21.666666666666668,17
21.75,16
21.833333333333332,19
21.916666666666668,17
22,19
22.083333333333332,17
22.166666666666668,16
22.25,17
22.333333333333332,18
22.416666666666668,18
22.5,16
22.583333333333332,16
22.666666666666668,16
22.75,16
22.833333333333332,17
22.916666666666668,17
23,16
23.083333333333332,16
23.166666666666668,17
23.25,17
23.333333333333332,17
