"Hours since thread went live","Dog Signal - Episode 17 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,1
0.5,1
0.5833333333333334,1
0.6666666666666666,1
0.75,1
0.8333333333333334,2
0.9166666666666666,2
1,2
1.0833333333333333,1
1.1666666666666667,1
1.25,1
1.3333333333333333,1
1.4166666666666667,1
1.5,1
1.5833333333333333,2
1.6666666666666667,2
1.75,2
1.8333333333333333,2
1.9166666666666667,2
2,2
2.0833333333333335,2
2.1666666666666665,2
2.25,4
2.3333333333333335,4
2.4166666666666665,5
2.5,4
2.5833333333333335,4
2.6666666666666665,3
2.75,5
2.8333333333333335,5
2.9166666666666665,2
3,3
3.0833333333333335,2
3.1666666666666665,3
3.25,4
3.3333333333333335,4
3.4166666666666665,3
3.5,3
3.5833333333333335,3
3.6666666666666665,3
3.75,3
3.8333333333333335,3
3.9166666666666665,2
4,3
4.083333333333333,2
4.166666666666667,3
4.25,3
4.333333333333333,2
4.416666666666667,3
4.5,4
4.583333333333333,3
4.666666666666667,3
4.75,4
4.833333333333333,3
4.916666666666667,2
5,3
5.083333333333333,4
5.166666666666667,5
5.25,6
5.333333333333333,5
5.416666666666667,5
5.5,7
5.583333333333333,6
5.666666666666667,5
5.75,6
5.833333333333333,6
5.916666666666667,6
6,6
6.083333333333333,6
6.166666666666667,7
6.25,8
6.333333333333333,7
6.416666666666667,7
6.5,6
6.583333333333333,7
6.666666666666667,7
6.75,8
6.833333333333333,7
6.916666666666667,7
7,6
7.083333333333333,7
7.166666666666667,7
7.25,7
7.333333333333333,8
7.416666666666667,6
7.5,6
7.583333333333333,6
7.666666666666667,7
7.75,8
7.833333333333333,8
7.916666666666667,7
8,6
8.083333333333334,8
8.166666666666666,7
8.25,8
8.333333333333334,6
8.416666666666666,7
8.5,7
8.583333333333334,8
8.666666666666666,7
8.75,6
8.833333333333334,7
8.916666666666666,7
9,8
9.083333333333334,8
9.166666666666666,8
9.25,9
9.333333333333334,8
9.416666666666666,8
9.5,11
9.583333333333334,7
9.666666666666666,7
9.75,9
9.833333333333334,9
9.916666666666666,10
10,10
10.083333333333334,11
10.166666666666666,8
10.25,9
10.333333333333334,7
10.416666666666666,10
10.5,9
10.583333333333334,8
10.666666666666666,7
10.75,9
10.833333333333334,8
10.916666666666666,8
11.083333333333334,8
11.166666666666666,10
11.25,9
11.333333333333334,9
11.416666666666666,8
11.5,11
11.583333333333334,7
11.666666666666666,9
11.75,10
11.833333333333334,9
11.916666666666666,9
12,9
12.083333333333334,9
12.166666666666666,10
12.25,10
12.333333333333334,10
12.416666666666666,10
12.5,10
12.583333333333334,11
12.666666666666666,9
12.75,9
12.833333333333334,11
12.916666666666666,11
13.083333333333334,12
13.166666666666666,10
13.25,8
13.333333333333334,12
13.416666666666666,10
13.5,10
13.583333333333334,9
13.666666666666666,9
13.75,9
13.833333333333334,11
13.916666666666666,8
14,9
14.083333333333334,10
14.166666666666666,11
14.25,10
14.333333333333334,10
14.416666666666666,8
14.5,10
14.583333333333334,11
14.666666666666666,10
14.75,10
14.833333333333334,9
14.916666666666666,11
15,10
15.083333333333334,10
15.166666666666666,10
15.25,12
15.333333333333334,11
15.416666666666666,11
15.5,10
15.583333333333334,11
15.666666666666666,9
15.75,9
15.833333333333334,11
15.916666666666666,9
16,13
16.083333333333332,12
16.166666666666668,9
16.25,10
16.333333333333332,12
16.416666666666668,12
16.5,12
16.583333333333332,11
16.666666666666668,11
16.75,10
16.833333333333332,13
16.916666666666668,11
17,10
17.083333333333332,9
17.166666666666668,11
17.25,11
17.333333333333332,9
17.416666666666668,10
17.5,11
17.583333333333332,12
17.666666666666668,11
17.75,12
17.833333333333332,11
17.916666666666668,10
18,11
18.083333333333332,12
18.166666666666668,10
18.25,12
18.333333333333332,13
18.416666666666668,10
18.5,9
18.583333333333332,12
18.666666666666668,10
18.75,11
18.833333333333332,11
18.916666666666668,10
19,11
19.083333333333332,11
19.166666666666668,11
19.25,12
19.333333333333332,11
19.416666666666668,11
19.5,10
19.583333333333332,12
19.666666666666668,11
19.75,9
19.833333333333332,12
19.916666666666668,13
20,12
20.083333333333332,10
20.166666666666668,11
20.25,11
20.333333333333332,11
20.416666666666668,14
20.5,12
20.583333333333332,11
20.666666666666668,14
20.75,13
20.833333333333332,14
20.916666666666668,11
21,12
21.083333333333332,12
21.166666666666668,12
21.25,13
21.333333333333332,13
21.416666666666668,11
21.5,14
21.583333333333332,13
21.666666666666668,11
21.75,12
21.833333333333332,11
21.916666666666668,10
22,11
22.083333333333332,12
22.166666666666668,11
22.25,11
22.333333333333332,13
22.416666666666668,12
22.5,12
22.583333333333332,13
22.666666666666668,14
22.75,13
22.833333333333332,12
22.916666666666668,12
23,12
23.083333333333332,12
23.166666666666668,13
23.25,10
23.333333333333332,12
23.416666666666668,12
23.5,13
23.583333333333332,10
23.666666666666668,11
23.75,11
23.833333333333332,13
23.916666666666668,12
24,10
24.083333333333332,11
24.166666666666668,13
24.25,14
24.333333333333332,14
24.416666666666668,14
24.5,12
24.583333333333332,13
24.666666666666668,10
24.75,13
24.833333333333332,10
24.916666666666668,11
25,14
25.083333333333332,12
25.166666666666668,11
25.25,10
25.333333333333332,10
25.416666666666668,10
25.5,10
25.583333333333332,11
25.666666666666668,13
25.75,11
25.833333333333332,14
25.916666666666668,12
26,14
26.083333333333332,11
26.166666666666668,12
26.25,11
26.333333333333332,12
26.416666666666668,13
26.5,11
26.583333333333332,14
26.666666666666668,13
26.75,12
26.833333333333332,12
26.916666666666668,14
27,12
27.083333333333332,12
27.166666666666668,12
27.25,11
27.333333333333332,12
27.416666666666668,12
27.5,12
27.583333333333332,14
27.666666666666668,14
27.75,15
27.833333333333332,13
27.916666666666668,11
28,14
28.083333333333332,14
28.166666666666668,13
28.25,14
28.333333333333332,12
28.416666666666668,14
28.5,11
28.583333333333332,12
28.666666666666668,13
28.75,14
28.833333333333332,11
28.916666666666668,11
29,13
29.083333333333332,11
29.166666666666668,13
29.25,14
29.333333333333332,12
29.416666666666668,14
29.5,12
29.583333333333332,13
29.666666666666668,13
29.75,13
29.833333333333332,14
29.916666666666668,11
30,12
30.083333333333332,13
30.166666666666668,12
30.25,14
30.333333333333332,14
30.416666666666668,14
30.5,12
30.583333333333332,15
30.666666666666668,14
30.75,12
30.833333333333332,14
30.916666666666668,14
31,15
31.083333333333332,12
31.166666666666668,14
31.25,11
31.333333333333332,13
31.416666666666668,11
31.5,14
31.583333333333332,13
31.666666666666668,15
31.75,15
31.833333333333332,13
31.916666666666668,15
32,11
32.083333333333336,13
32.166666666666664,14
32.25,15
32.333333333333336,13
32.416666666666664,14
32.5,12
32.583333333333336,14
32.666666666666664,13
32.75,14
32.833333333333336,13
32.916666666666664,11
33,12
33.083333333333336,12
33.166666666666664,13
33.25,11
33.333333333333336,13
33.416666666666664,14
33.5,12
33.583333333333336,14
33.666666666666664,14
33.75,13
33.833333333333336,14
33.916666666666664,13
34,12
34.083333333333336,15
34.166666666666664,12
34.25,12
34.333333333333336,15
34.416666666666664,13
34.5,12
34.583333333333336,12
34.666666666666664,14
34.75,14
34.833333333333336,15
34.916666666666664,13
35,14
35.083333333333336,13
35.166666666666664,11
35.25,13
35.333333333333336,15
35.416666666666664,13
35.5,13
35.583333333333336,15
