"Hours since thread went live","Jaku-Chara Tomozaki-kun 2nd Stage • Bottom-tier Character Tomozaki 2nd Stage - Episode 9 discussion"
0,1
0.08333333333333333,4
0.16666666666666666,5
0.25,10
0.3333333333333333,13
0.4166666666666667,17
0.5,19
0.5833333333333334,19
0.6666666666666666,20
0.75,26
0.8333333333333334,31
0.9166666666666666,34
1,35
1.0833333333333333,39
1.1666666666666667,42
1.25,44
1.3333333333333333,48
1.4166666666666667,55
1.5,56
1.5833333333333333,60
1.6666666666666667,65
1.75,71
1.8333333333333333,81
1.9166666666666667,80
2,85
2.0833333333333335,89
2.1666666666666665,89
2.25,90
2.3333333333333335,99
2.4166666666666665,103
2.5,108
2.5833333333333335,109
2.6666666666666665,110
2.75,114
2.8333333333333335,112
3,118
3.0833333333333335,127
3.1666666666666665,126
3.25,126
3.3333333333333335,132
3.4166666666666665,133
3.5,133
3.5833333333333335,139
3.6666666666666665,140
3.75,145
3.8333333333333335,145
3.9166666666666665,148
4,151
4.083333333333333,155
4.166666666666667,155
4.25,152
4.333333333333333,153
4.416666666666667,162
4.5,164
4.583333333333333,165
4.666666666666667,164
4.75,170
4.833333333333333,172
4.916666666666667,173
5,182
5.083333333333333,182
5.166666666666667,184
5.25,184
5.333333333333333,190
5.416666666666667,188
5.5,188
5.583333333333333,195
5.666666666666667,193
5.75,198
5.833333333333333,196
5.916666666666667,199
6,198
6.083333333333333,202
6.166666666666667,202
6.25,198
6.333333333333333,204
6.416666666666667,202
6.5,208
6.583333333333333,210
6.666666666666667,207
6.75,211
6.833333333333333,215
6.916666666666667,216
7,217
7.083333333333333,221
7.166666666666667,217
7.25,225
7.333333333333333,229
7.416666666666667,231
7.5,234
7.583333333333333,239
7.666666666666667,242
7.75,246
7.833333333333333,247
7.916666666666667,249
8,250
8.083333333333334,248
8.166666666666666,255
8.25,252
8.333333333333334,258
8.416666666666666,262
8.5,264
8.583333333333334,266
8.666666666666666,263
8.75,273
8.833333333333334,273
8.916666666666666,270
9,283
9.083333333333334,284
9.166666666666666,285
9.25,286
9.333333333333334,289
9.416666666666666,296
9.5,297
9.583333333333334,302
9.666666666666666,300
9.75,300
9.833333333333334,303
9.916666666666666,301
10,301
10.083333333333334,304
10.166666666666666,303
10.25,309
10.333333333333334,311
10.416666666666666,309
10.5,311
10.583333333333334,317
10.666666666666666,317
10.75,320
10.833333333333334,322
10.916666666666666,326
11,321
11.083333333333334,330
11.166666666666666,327
11.25,328
11.333333333333334,332
11.416666666666666,331
11.5,334
11.583333333333334,335
11.666666666666666,342
11.75,339
11.833333333333334,340
11.916666666666666,340
12,343
12.083333333333334,341
12.166666666666666,350
