"Hours since thread went live","Ishura - Episode 9 discussion"
0,1
0,1
0.08333333333333333,3
0.16666666666666666,3
0.25,5
0.3333333333333333,7
0.4166666666666667,7
0.5,7
0.5833333333333334,9
0.6666666666666666,11
0.75,13
0.8333333333333334,14
0.9166666666666666,17
1,18
1.0833333333333333,22
1.1666666666666667,25
1.25,28
1.3333333333333333,30
1.4166666666666667,31
1.5,34
1.5833333333333333,33
1.6666666666666667,35
1.75,45
1.8333333333333333,43
1.9166666666666667,48
2,48
2.1666666666666665,53
2.25,54
2.3333333333333335,56
2.4166666666666665,58
2.5,57
2.5833333333333335,59
2.6666666666666665,59
2.75,62
2.8333333333333335,63
2.9166666666666665,67
3,71
3.0833333333333335,68
3.1666666666666665,71
3.25,72
3.3333333333333335,75
3.4166666666666665,77
3.5,76
3.5833333333333335,77
3.6666666666666665,80
3.75,82
3.8333333333333335,82
3.9166666666666665,86
4,86
4.083333333333333,90
4.166666666666667,89
4.25,96
4.333333333333333,98
4.416666666666667,98
4.5,98
4.583333333333333,100
4.666666666666667,107
4.75,104
4.833333333333333,108
4.916666666666667,104
5,104
5.083333333333333,112
5.166666666666667,112
5.25,107
5.333333333333333,107
5.416666666666667,111
5.5,113
5.583333333333333,113
5.666666666666667,113
5.75,115
5.833333333333333,117
5.916666666666667,119
6,121
6.083333333333333,120
6.166666666666667,119
6.25,122
6.333333333333333,120
6.416666666666667,126
6.5,128
6.583333333333333,130
6.666666666666667,128
6.75,132
6.833333333333333,130
6.916666666666667,133
7,132
7.083333333333333,138
7.166666666666667,134
7.25,138
7.333333333333333,141
7.416666666666667,138
7.5,147
7.583333333333333,148
7.666666666666667,151
7.75,145
7.833333333333333,147
7.916666666666667,150
8,152
8.083333333333334,158
8.166666666666666,160
8.25,159
8.333333333333334,156
8.416666666666666,161
8.5,161
8.583333333333334,159
8.666666666666666,156
8.75,165
8.833333333333334,162
8.916666666666666,157
9,163
9.083333333333334,160
9.166666666666666,163
9.25,164
9.333333333333334,166
9.416666666666666,161
9.5,168
9.583333333333334,170
9.666666666666666,173
9.75,174
9.833333333333334,171
9.916666666666666,176
10,170
10.083333333333334,175
10.166666666666666,181
10.25,179
10.333333333333334,181
10.416666666666666,182
10.5,187
10.583333333333334,191
10.666666666666666,186
10.75,185
10.833333333333334,191
10.916666666666666,189
11,187
11.083333333333334,187
11.166666666666666,194
11.25,194
11.333333333333334,200
11.416666666666666,195
11.5,198
11.583333333333334,197
11.666666666666666,200
11.75,197
11.833333333333334,200
11.916666666666666,201
12,204
12.083333333333334,201
12.166666666666666,204
12.25,202
12.333333333333334,206
12.416666666666666,211
12.5,208
12.583333333333334,212
12.666666666666666,211
12.75,210
12.833333333333334,215
12.916666666666666,216
13,217
13.083333333333334,216
13.166666666666666,218
13.25,217
13.333333333333334,218
13.416666666666666,217
13.5,216
13.583333333333334,214
13.666666666666666,222
13.75,226
13.833333333333334,226
13.916666666666666,227
14,227
14.083333333333334,225
14.166666666666666,226
14.25,230
14.333333333333334,222
14.416666666666666,227
14.5,227
14.583333333333334,227
14.666666666666666,227
14.75,226
14.833333333333334,226
14.916666666666666,233
15,234
15.083333333333334,228
15.166666666666666,230
15.25,228
15.333333333333334,231
15.416666666666666,232
15.5,230
15.583333333333334,231
15.666666666666666,233
15.75,233
15.833333333333334,229
15.916666666666666,235
16,233
16.083333333333332,233
16.166666666666668,231
16.25,237
16.333333333333332,234
16.416666666666668,235
16.5,234
16.583333333333332,240
16.666666666666668,237
16.75,235
16.833333333333332,238
16.916666666666668,235
17,239
17.083333333333332,235
17.166666666666668,241
17.25,239
17.333333333333332,241
17.416666666666668,242
17.5,241
17.583333333333332,245
17.666666666666668,239
17.75,240
17.833333333333332,242
17.916666666666668,245
18,241
18.083333333333332,242
18.166666666666668,239
18.25,240
18.333333333333332,241
18.416666666666668,242
18.5,242
18.583333333333332,247
18.666666666666668,247
18.75,250
18.833333333333332,246
18.916666666666668,243
19,245
19.083333333333332,246
19.166666666666668,246
19.25,241
19.333333333333332,246
19.416666666666668,244
19.5,245
19.583333333333332,245
19.666666666666668,244
19.75,248
19.833333333333332,245
19.916666666666668,246
20,247
20.083333333333332,246
20.166666666666668,244
20.25,249
20.333333333333332,247
20.416666666666668,249
20.5,247
20.583333333333332,247
20.666666666666668,243
20.75,246
20.833333333333332,248
20.916666666666668,247
21,247
21.083333333333332,252
21.166666666666668,247
21.25,250
21.333333333333332,250
21.416666666666668,254
21.5,253
21.583333333333332,257
21.666666666666668,252
21.75,252
21.833333333333332,253
21.916666666666668,255
22,254
22.083333333333332,251
22.166666666666668,251
22.25,252
22.333333333333332,253
22.416666666666668,254
22.5,253
22.583333333333332,254
22.666666666666668,252
22.75,254
22.833333333333332,252
22.916666666666668,253
23,250
23.083333333333332,253
23.166666666666668,256
23.25,253
23.333333333333332,253
23.416666666666668,257
23.5,259
23.583333333333332,258
23.666666666666668,254
23.75,258
23.833333333333332,256
23.916666666666668,256
24,254
24.083333333333332,257
24.166666666666668,259
24.25,255
24.333333333333332,257
24.416666666666668,259
24.5,256
24.583333333333332,255
24.666666666666668,259
24.75,257
24.833333333333332,259
24.916666666666668,257
25,257
25.083333333333332,260
25.166666666666668,257
25.25,260
25.333333333333332,259
25.416666666666668,258
25.5,257
25.583333333333332,260
25.666666666666668,261
25.75,261
25.833333333333332,261
25.916666666666668,261
26,265
26.083333333333332,265
26.166666666666668,263
26.25,261
26.333333333333332,260
26.416666666666668,264
26.5,263
26.583333333333332,262
26.666666666666668,260
26.75,261
26.833333333333332,264
26.916666666666668,262
27,262
27.083333333333332,263
27.166666666666668,262
27.25,259
27.333333333333332,264
27.416666666666668,261
27.5,262
27.583333333333332,264
27.666666666666668,264
27.75,264
27.833333333333332,267
27.916666666666668,268
28,263
28.083333333333332,262
28.166666666666668,265
28.25,264
28.333333333333332,261
28.416666666666668,269
28.5,269
28.583333333333332,268
28.666666666666668,266
28.75,270
28.833333333333332,268
28.916666666666668,267
29,264
29.083333333333332,267
29.166666666666668,263
29.25,264
29.333333333333332,264
29.416666666666668,266
29.5,268
29.583333333333332,268
29.666666666666668,264
29.75,264
29.833333333333332,269
29.916666666666668,267
30,267
30.083333333333332,269
30.166666666666668,267
30.25,267
30.333333333333332,266
30.416666666666668,265
30.5,267
30.583333333333332,267
30.666666666666668,267
30.75,267
30.833333333333332,270
30.916666666666668,268
31,268
31.083333333333332,269
31.166666666666668,267
31.25,270
31.333333333333332,272
31.416666666666668,272
31.5,271
31.583333333333332,267
31.666666666666668,267
31.75,268
31.833333333333332,267
31.916666666666668,270
32,268
32.083333333333336,270
32.166666666666664,271
32.25,273
32.333333333333336,271
32.416666666666664,267
32.5,272
32.583333333333336,272
32.666666666666664,268
32.75,272
32.833333333333336,269
32.916666666666664,268
33,269
33.083333333333336,269
33.166666666666664,271
33.25,269
33.333333333333336,271
33.416666666666664,266
33.5,269
33.583333333333336,269
33.666666666666664,268
33.75,272
33.833333333333336,268
33.916666666666664,269
34,268
34.083333333333336,271
34.166666666666664,270
34.25,272
34.333333333333336,272
34.416666666666664,270
34.5,271
34.583333333333336,270
34.666666666666664,271
34.75,271
34.833333333333336,270
34.916666666666664,271
35,269
35.083333333333336,268
35.166666666666664,267
35.25,272
35.333333333333336,269
35.416666666666664,270
35.5,270
35.583333333333336,271
35.666666666666664,269
35.75,269
35.833333333333336,272
35.916666666666664,275
36,269
36.083333333333336,276
36.166666666666664,273
36.25,272
36.333333333333336,276
36.416666666666664,273
36.5,275
36.583333333333336,276
36.666666666666664,274
36.75,273
36.833333333333336,273
36.916666666666664,275
37,275
37.083333333333336,271
37.166666666666664,275
37.25,275
37.333333333333336,274
37.416666666666664,272
37.5,277
37.583333333333336,275
37.666666666666664,271
37.75,275
37.833333333333336,277
37.916666666666664,276
38,273
38.083333333333336,277
38.166666666666664,275
38.25,274
38.333333333333336,280
38.416666666666664,277
38.5,279
38.583333333333336,277
38.666666666666664,277
38.75,278
38.833333333333336,276
38.916666666666664,276
39,276
39.083333333333336,277
39.166666666666664,276
39.25,277
