"Hours since thread went live","30-sai made Doutei dato Mahoutsukai ni Nareru Rashii • Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?! - Episode 8 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,3
0.3333333333333333,4
0.4166666666666667,5
0.5,6
0.5833333333333334,8
0.6666666666666666,8
0.75,9
0.8333333333333334,10
0.9166666666666666,11
1,13
1.0833333333333333,14
1.1666666666666667,14
1.25,15
1.3333333333333333,15
1.4166666666666667,15
1.5,15
1.5833333333333333,16
1.6666666666666667,16
1.75,15
1.8333333333333333,15
1.9166666666666667,14
2,15
2.0833333333333335,14
2.1666666666666665,15
2.25,16
2.3333333333333335,17
2.4166666666666665,18
2.5,19
2.5833333333333335,19
2.6666666666666665,19
2.75,18
2.8333333333333335,20
2.9166666666666665,18
3,20
3.0833333333333335,21
3.1666666666666665,23
3.25,22
3.3333333333333335,21
3.4166666666666665,21
3.5,23
3.5833333333333335,22
3.6666666666666665,23
3.75,23
3.8333333333333335,26
3.9166666666666665,29
4,33
4.083333333333333,33
4.166666666666667,33
4.25,34
4.333333333333333,38
4.416666666666667,41
4.5,36
4.583333333333333,40
4.666666666666667,43
4.75,46
4.833333333333333,38
4.916666666666667,43
5,42
5.083333333333333,40
5.166666666666667,47
5.25,45
5.333333333333333,47
5.416666666666667,47
5.5,50
5.583333333333333,53
5.666666666666667,52
5.75,48
5.833333333333333,51
5.916666666666667,55
6,58
6.083333333333333,55
6.166666666666667,56
6.25,60
6.333333333333333,61
6.416666666666667,61
6.5,64
6.583333333333333,64
6.666666666666667,61
6.75,62
6.833333333333333,65
6.916666666666667,65
7,64
7.083333333333333,66
7.166666666666667,71
7.25,71
7.333333333333333,66
7.416666666666667,67
7.5,65
7.583333333333333,69
7.666666666666667,66
7.75,70
7.833333333333333,72
7.916666666666667,69
8,70
8.083333333333334,68
8.166666666666666,74
8.25,77
8.333333333333334,77
8.416666666666666,75
8.5,80
8.583333333333334,79
8.666666666666666,77
8.75,81
8.833333333333334,79
8.916666666666666,84
9,80
9.083333333333334,83
9.166666666666666,80
9.25,81
9.333333333333334,83
9.416666666666666,80
9.5,76
9.583333333333334,77
9.666666666666666,80
9.75,79
9.833333333333334,83
9.916666666666666,82
10,85
10.083333333333334,87
10.166666666666666,86
10.25,85
10.333333333333334,81
10.416666666666666,83
10.5,88
10.583333333333334,89
10.666666666666666,88
10.75,83
10.833333333333334,85
10.916666666666666,90
11,93
11.083333333333334,91
11.166666666666666,91
11.25,88
11.333333333333334,95
11.416666666666666,92
11.5,97
11.583333333333334,94
11.666666666666666,96
11.75,91
11.833333333333334,95
11.916666666666666,92
12,96
12.083333333333334,92
12.166666666666666,93
12.25,94
12.333333333333334,92
12.416666666666666,95
12.5,98
12.583333333333334,95
12.666666666666666,95
12.75,99
12.833333333333334,102
12.916666666666666,101
13,100
13.083333333333334,100
13.166666666666666,97
13.25,99
13.333333333333334,96
13.416666666666666,98
13.5,98
13.583333333333334,97
13.666666666666666,97
13.75,102
13.833333333333334,99
13.916666666666666,105
14,105
14.083333333333334,103
14.166666666666666,105
14.25,103
14.333333333333334,104
14.416666666666666,104
14.5,102
14.583333333333334,107
14.666666666666666,102
14.75,103
14.833333333333334,106
14.916666666666666,110
15,106
15.083333333333334,107
15.166666666666666,107
15.25,107
15.333333333333334,109
15.416666666666666,108
15.5,106
15.583333333333334,107
15.666666666666666,111
15.75,112
15.833333333333334,112
15.916666666666666,110
16,107
16.083333333333332,107
16.166666666666668,108
16.25,110
16.333333333333332,107
16.416666666666668,106
16.5,110
16.583333333333332,105
16.666666666666668,109
16.75,107
16.833333333333332,106
16.916666666666668,107
17,107
17.083333333333332,107
17.166666666666668,104
17.25,109
17.333333333333332,109
17.416666666666668,111
17.5,109
17.583333333333332,107
17.666666666666668,108
17.75,113
17.833333333333332,113
17.916666666666668,108
18,110
18.083333333333332,114
18.166666666666668,109
18.25,108
18.333333333333332,113
18.416666666666668,118
18.5,112
18.583333333333332,118
18.666666666666668,114
18.75,115
18.833333333333332,114
18.916666666666668,114
19,119
19.083333333333332,112
19.166666666666668,114
19.25,113
19.333333333333332,117
19.416666666666668,117
19.5,118
19.583333333333332,117
19.666666666666668,120
19.75,116
19.833333333333332,119
19.916666666666668,120
20,119
20.083333333333332,120
20.166666666666668,122
20.25,121
20.333333333333332,117
20.416666666666668,122
20.5,123
20.583333333333332,119
20.666666666666668,119
20.75,119
20.833333333333332,123
20.916666666666668,122
21,118
21.083333333333332,121
21.166666666666668,123
21.25,124
21.333333333333332,121
21.416666666666668,123
21.5,120
21.583333333333332,128
21.666666666666668,124
21.75,122
21.833333333333332,125
21.916666666666668,125
22,123
22.083333333333332,121
22.166666666666668,125
22.25,127
22.333333333333332,129
22.416666666666668,121
22.5,125
22.583333333333332,123
22.666666666666668,124
22.75,125
22.833333333333332,127
22.916666666666668,121
23,128
23.083333333333332,127
23.166666666666668,126
23.25,129
23.333333333333332,129
23.416666666666668,128
23.5,128
23.583333333333332,129
23.666666666666668,122
23.75,127
23.833333333333332,129
23.916666666666668,133
24,127
24.083333333333332,130
24.166666666666668,129
24.25,129
24.333333333333332,127
24.416666666666668,129
24.5,125
24.583333333333332,128
24.666666666666668,127
24.75,128
24.833333333333332,131
24.916666666666668,129
25,132
25.083333333333332,133
25.166666666666668,127
25.25,130
25.333333333333332,129
25.416666666666668,127
25.5,128
25.583333333333332,130
25.666666666666668,128
25.75,132
25.833333333333332,129
25.916666666666668,130
26,128
26.083333333333332,130
26.166666666666668,129
26.25,131
26.333333333333332,130
26.416666666666668,130
26.5,130
26.583333333333332,128
26.666666666666668,128
26.75,127
26.833333333333332,131
26.916666666666668,127
27,133
27.083333333333332,129
27.166666666666668,128
27.25,132
27.333333333333332,130
27.416666666666668,128
27.5,132
27.583333333333332,131
27.666666666666668,132
27.75,132
27.833333333333332,129
27.916666666666668,133
28,130
28.083333333333332,130
28.166666666666668,134
28.25,129
28.333333333333332,134
28.416666666666668,132
28.5,132
28.583333333333332,135
28.666666666666668,129
28.75,133
28.833333333333332,131
28.916666666666668,131
29,135
29.083333333333332,131
29.166666666666668,130
29.25,129
29.333333333333332,132
29.416666666666668,133
29.5,130
29.583333333333332,132
29.666666666666668,132
29.75,132
29.833333333333332,132
29.916666666666668,129
30,128
30.083333333333332,128
30.166666666666668,130
30.25,136
30.333333333333332,129
30.416666666666668,136
30.5,131
30.583333333333332,133
30.666666666666668,133
30.75,131
30.833333333333332,135
30.916666666666668,133
31,135
31.083333333333332,137
31.166666666666668,136
31.25,134
31.333333333333332,136
31.416666666666668,131
31.5,133
31.583333333333332,134
31.666666666666668,136
31.75,132
31.833333333333332,135
31.916666666666668,134
32,138
32.083333333333336,135
32.166666666666664,133
32.25,136
32.333333333333336,131
32.416666666666664,133
32.5,134
32.583333333333336,135
32.666666666666664,134
32.75,136
32.833333333333336,137
32.916666666666664,133
33,132
33.083333333333336,136
33.166666666666664,137
33.25,138
33.333333333333336,135
33.416666666666664,135
33.5,134
33.583333333333336,139
33.666666666666664,136
33.75,136
33.833333333333336,136
33.916666666666664,134
34,133
34.083333333333336,139
34.166666666666664,137
34.25,137
34.333333333333336,138
34.416666666666664,138
34.5,134
34.583333333333336,135
34.666666666666664,135
34.75,138
34.833333333333336,132
34.916666666666664,134
35,135
