"Hours since thread went live","Majo to Yajuu • The Witch and the Beast - Episode 7 discussion"
0,1
0,2
0.08333333333333333,4
0.16666666666666666,6
0.25,10
0.3333333333333333,15
0.4166666666666667,20
0.5,21
0.5833333333333334,24
0.6666666666666666,26
0.75,27
0.8333333333333334,31
0.9166666666666666,34
1,36
1.0833333333333333,38
1.1666666666666667,40
1.25,41
1.3333333333333333,42
1.4166666666666667,51
1.5,55
1.5833333333333333,56
1.6666666666666667,59
1.75,57
1.8333333333333333,61
1.9166666666666667,60
2,63
2.0833333333333335,69
2.1666666666666665,72
2.25,76
2.3333333333333335,77
2.4166666666666665,81
2.5,83
2.5833333333333335,84
2.6666666666666665,87
2.75,87
2.8333333333333335,89
2.9166666666666665,94
3,92
3.0833333333333335,91
3.1666666666666665,94
3.25,99
3.3333333333333335,103
3.4166666666666665,100
3.5,104
3.5833333333333335,107
3.6666666666666665,110
3.75,109
3.8333333333333335,108
3.9166666666666665,106
4,110
4.083333333333333,110
4.166666666666667,109
4.25,112
4.333333333333333,117
4.416666666666667,119
4.5,125
4.583333333333333,122
4.666666666666667,125
4.75,125
4.833333333333333,129
4.916666666666667,134
5,133
5.083333333333333,135
5.166666666666667,134
5.25,136
5.333333333333333,138
5.416666666666667,139
5.5,145
5.583333333333333,149
5.666666666666667,149
5.75,149
5.833333333333333,154
5.916666666666667,154
6,156
6.083333333333333,158
6.166666666666667,158
6.25,159
6.333333333333333,161
6.416666666666667,162
6.5,167
6.583333333333333,165
6.666666666666667,164
6.75,168
6.833333333333333,167
6.916666666666667,167
7,164
7.083333333333333,166
7.166666666666667,170
7.25,170
7.333333333333333,177
7.416666666666667,179
7.5,181
7.583333333333333,182
7.666666666666667,182
7.75,185
7.833333333333333,184
7.916666666666667,189
8,189
8.083333333333334,193
8.166666666666666,192
8.25,192
8.333333333333334,193
8.416666666666666,198
8.5,192
8.583333333333334,200
8.666666666666666,198
8.75,196
8.833333333333334,200
8.916666666666666,204
9,204
9.083333333333334,204
9.166666666666666,203
9.25,208
9.333333333333334,206
9.416666666666666,211
9.5,210
9.583333333333334,213
9.666666666666666,214
9.75,215
9.833333333333334,216
9.916666666666666,219
10,222
10.083333333333334,222
10.166666666666666,220
10.25,222
10.333333333333334,222
10.416666666666666,218
10.5,223
10.583333333333334,227
10.666666666666666,223
10.75,221
10.833333333333334,225
10.916666666666666,222
11,229
11.083333333333334,225
11.166666666666666,229
11.25,227
11.333333333333334,229
11.416666666666666,231
11.5,231
11.583333333333334,230
11.666666666666666,237
11.75,239
11.833333333333334,236
11.916666666666666,241
12,243
12.083333333333334,243
12.166666666666666,242
12.25,244
12.333333333333334,245
12.416666666666666,246
12.5,250
12.583333333333334,250
12.666666666666666,252
12.75,256
12.833333333333334,252
12.916666666666666,254
13,255
13.083333333333334,258
13.166666666666666,255
13.25,257
13.333333333333334,259
13.416666666666666,259
13.5,257
13.583333333333334,262
13.666666666666666,262
13.75,260
13.833333333333334,266
13.916666666666666,262
14,262
14.083333333333334,268
14.166666666666666,264
14.25,269
14.333333333333334,263
14.416666666666666,267
14.5,269
14.583333333333334,269
14.666666666666666,265
14.75,268
14.833333333333334,267
14.916666666666666,266
15,270
15.083333333333334,270
15.166666666666666,271
15.25,271
15.333333333333334,269
15.416666666666666,272
15.5,269
15.583333333333334,273
15.666666666666666,268
15.75,271
15.833333333333334,273
15.916666666666666,273
16,275
16.083333333333332,278
16.166666666666668,274
16.25,277
16.333333333333332,278
16.416666666666668,282
16.5,279
16.583333333333332,278
16.666666666666668,278
16.75,281
16.833333333333332,280
16.916666666666668,281
17,282
17.083333333333332,283
17.166666666666668,280
17.25,283
17.333333333333332,285
17.416666666666668,278
17.5,283
17.583333333333332,284
17.666666666666668,283
17.75,279
17.833333333333332,283
17.916666666666668,284
18,287
18.083333333333332,284
18.166666666666668,285
18.25,285
18.333333333333332,286
18.416666666666668,288
18.5,286
18.583333333333332,286
18.666666666666668,287
18.75,290
18.833333333333332,282
18.916666666666668,284
19,287
19.083333333333332,290
19.166666666666668,285
19.25,284
19.333333333333332,287
19.416666666666668,287
19.5,286
19.583333333333332,284
19.666666666666668,291
19.75,286
19.833333333333332,286
19.916666666666668,291
20,293
20.083333333333332,289
20.166666666666668,289
20.25,293
20.333333333333332,288
20.416666666666668,288
20.5,293
20.583333333333332,295
20.666666666666668,296
20.75,291
20.833333333333332,295
20.916666666666668,292
21,292
21.083333333333332,295
21.166666666666668,294
21.25,298
21.333333333333332,295
21.416666666666668,298
21.5,298
21.583333333333332,305
21.666666666666668,304
21.75,305
21.833333333333332,305
21.916666666666668,304
22,305
22.083333333333332,304
22.166666666666668,301
22.25,304
22.333333333333332,307
22.416666666666668,304
22.5,307
22.583333333333332,304
22.666666666666668,310
22.75,307
22.833333333333332,309
22.916666666666668,308
23,306
23.083333333333332,307
23.166666666666668,305
23.25,306
23.333333333333332,306
23.416666666666668,307
23.5,308
23.583333333333332,307
23.666666666666668,307
23.75,309
23.833333333333332,310
23.916666666666668,308
24,308
24.083333333333332,312
24.166666666666668,307
24.25,308
24.333333333333332,307
24.416666666666668,307
24.5,309
24.583333333333332,310
24.666666666666668,307
24.75,312
24.833333333333332,309
24.916666666666668,308
25,306
25.083333333333332,308
25.166666666666668,312
25.25,308
25.333333333333332,314
25.416666666666668,312
25.5,313
25.583333333333332,310
25.666666666666668,311
25.75,311
25.833333333333332,313
25.916666666666668,312
26,315
26.083333333333332,310
26.166666666666668,313
26.25,316
26.333333333333332,309
26.416666666666668,314
26.5,311
26.583333333333332,311
26.666666666666668,311
26.75,312
26.833333333333332,313
26.916666666666668,315
27,314
27.083333333333332,312
27.166666666666668,314
27.25,317
27.333333333333332,310
27.416666666666668,317
27.5,313
27.583333333333332,310
27.666666666666668,315
27.75,311
27.833333333333332,317
27.916666666666668,313
28,309
28.083333333333332,316
28.166666666666668,314
28.25,316
28.333333333333332,315
28.416666666666668,318
28.5,316
28.583333333333332,313
28.666666666666668,315
28.75,320
28.833333333333332,319
28.916666666666668,315
29,316
29.083333333333332,320
29.166666666666668,313
29.25,317
29.333333333333332,317
29.416666666666668,313
29.5,314
29.583333333333332,316
29.666666666666668,313
29.75,315
29.833333333333332,316
29.916666666666668,320
30,321
30.083333333333332,316
30.166666666666668,321
30.25,317
30.333333333333332,314
30.416666666666668,319
30.5,316
30.583333333333332,318
30.666666666666668,317
30.75,318
30.833333333333332,321
30.916666666666668,322
31,322
31.083333333333332,318
31.166666666666668,318
31.25,315
31.333333333333332,317
31.416666666666668,321
31.5,320
31.583333333333332,326
31.666666666666668,327
31.75,320
31.833333333333332,320
31.916666666666668,318
32,320
32.083333333333336,320
32.166666666666664,326
32.25,316
32.333333333333336,324
32.416666666666664,325
32.5,325
32.583333333333336,324
32.666666666666664,327
32.75,328
32.833333333333336,324
32.916666666666664,327
33,326
33.083333333333336,329
33.166666666666664,328
33.25,327
33.333333333333336,325
33.416666666666664,329
33.5,320
