"Hours since thread went live","Sasaki to Pii-chan • Sasaki and Peeps - Episode 9 discussion"
0,1
0.08333333333333333,3
0.16666666666666666,4
0.25,3
0.3333333333333333,3
0.4166666666666667,6
0.5,8
0.5833333333333334,10
0.6666666666666666,10
0.75,11
0.8333333333333334,12
0.9166666666666666,14
1,14
1.0833333333333333,16
1.1666666666666667,16
1.25,20
1.3333333333333333,21
1.4166666666666667,24
1.5,29
1.5833333333333333,34
1.6666666666666667,34
1.75,33
1.8333333333333333,36
1.9166666666666667,38
2,38
2.0833333333333335,40
2.1666666666666665,39
2.25,43
2.3333333333333335,46
2.4166666666666665,45
2.5,49
2.5833333333333335,52
2.6666666666666665,52
2.75,56
2.8333333333333335,57
2.9166666666666665,58
3,55
3.0833333333333335,56
3.1666666666666665,59
3.25,65
3.3333333333333335,63
3.4166666666666665,63
3.5,64
3.5833333333333335,65
3.6666666666666665,65
3.75,70
3.8333333333333335,69
3.9166666666666665,67
4,71
4.083333333333333,76
4.166666666666667,78
4.25,80
4.333333333333333,81
4.416666666666667,82
4.5,83
4.583333333333333,80
4.666666666666667,80
4.75,85
4.833333333333333,87
4.916666666666667,93
5,94
5.083333333333333,94
5.166666666666667,97
5.25,101
5.333333333333333,100
5.416666666666667,106
5.5,108
5.583333333333333,108
5.666666666666667,107
5.75,107
5.833333333333333,109
5.916666666666667,114
6,114
6.083333333333333,116
6.166666666666667,117
6.25,118
6.333333333333333,121
6.416666666666667,123
6.5,123
6.583333333333333,128
6.666666666666667,127
6.75,129
6.833333333333333,128
6.916666666666667,131
7,132
7.083333333333333,133
7.166666666666667,134
7.25,131
7.333333333333333,135
7.416666666666667,136
7.5,137
7.583333333333333,139
7.666666666666667,139
7.75,132
7.833333333333333,134
7.916666666666667,138
8,136
8.083333333333334,140
8.166666666666666,138
8.25,139
8.333333333333334,134
8.416666666666666,136
8.5,139
8.583333333333334,139
8.666666666666666,143
8.75,143
8.833333333333334,141
8.916666666666666,142
9,148
9.083333333333334,146
9.166666666666666,149
9.25,150
9.333333333333334,147
9.416666666666666,152
9.5,152
9.583333333333334,148
9.666666666666666,152
9.75,152
9.833333333333334,155
9.916666666666666,159
10,158
10.083333333333334,159
10.166666666666666,161
10.25,159
10.333333333333334,161
10.416666666666666,166
10.5,166
10.583333333333334,168
10.666666666666666,166
10.75,170
10.833333333333334,171
10.916666666666666,174
11,175
11.083333333333334,174
11.166666666666666,177
11.25,174
11.333333333333334,178
11.416666666666666,175
11.5,177
11.583333333333334,176
11.666666666666666,178
11.75,178
11.833333333333334,177
11.916666666666666,175
12,182
12.083333333333334,182
12.166666666666666,181
12.25,181
12.333333333333334,183
12.416666666666666,179
12.5,182
12.583333333333334,185
12.666666666666666,187
12.75,186
12.833333333333334,187
12.916666666666666,188
13,193
13.083333333333334,188
13.166666666666666,189
13.25,187
13.333333333333334,189
13.416666666666666,191
13.5,192
13.583333333333334,191
13.666666666666666,190
13.75,195
13.833333333333334,194
13.916666666666666,198
14,195
14.083333333333334,198
14.166666666666666,202
14.25,197
14.333333333333334,197
14.416666666666666,201
14.5,202
14.583333333333334,205
14.666666666666666,207
14.75,208
14.833333333333334,206
14.916666666666666,206
15,204
15.083333333333334,207
15.166666666666666,211
15.25,208
15.333333333333334,207
15.416666666666666,208
15.5,209
15.583333333333334,210
15.666666666666666,211
15.75,215
15.833333333333334,209
15.916666666666666,213
16,212
16.083333333333332,213
16.166666666666668,214
16.25,213
16.333333333333332,215
16.416666666666668,217
16.5,219
16.583333333333332,218
16.666666666666668,218
16.75,220
16.833333333333332,223
16.916666666666668,222
17,220
17.083333333333332,222
17.166666666666668,219
17.25,226
17.333333333333332,219
17.416666666666668,220
17.5,224
17.583333333333332,220
17.666666666666668,225
17.75,224
17.833333333333332,222
17.916666666666668,223
18,225
18.083333333333332,225
18.166666666666668,223
18.25,225
18.333333333333332,225
18.416666666666668,222
18.5,224
18.583333333333332,220
18.666666666666668,221
18.75,221
18.833333333333332,220
18.916666666666668,227
19,222
19.083333333333332,223
19.166666666666668,229
19.25,226
19.333333333333332,229
19.416666666666668,229
19.5,225
19.583333333333332,225
19.666666666666668,229
19.75,228
19.833333333333332,229
19.916666666666668,232
20,227
20.083333333333332,229
20.166666666666668,231
20.25,229
20.333333333333332,232
20.416666666666668,230
20.5,231
20.583333333333332,228
20.666666666666668,233
20.75,229
20.833333333333332,232
20.916666666666668,230
21,230
21.083333333333332,230
21.166666666666668,228
21.25,233
21.333333333333332,230
21.416666666666668,231
21.5,228
21.583333333333332,230
21.666666666666668,228
21.75,227
21.833333333333332,231
21.916666666666668,230
22,229
22.083333333333332,232
22.166666666666668,233
22.25,234
22.333333333333332,229
22.416666666666668,233
22.5,233
22.583333333333332,235
22.666666666666668,234
22.75,231
22.833333333333332,236
22.916666666666668,230
23,234
23.083333333333332,231
23.166666666666668,235
