"Hours since thread went live","Pon no Michi • The Way of Pon - Episode 9 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,2
0.25,1
0.3333333333333333,2
0.4166666666666667,3
0.5,2
0.5833333333333334,3
0.6666666666666666,3
0.75,3
0.8333333333333334,3
0.9166666666666666,3
1,4
1.0833333333333333,4
1.1666666666666667,4
1.25,4
1.3333333333333333,4
1.4166666666666667,5
1.5,5
1.5833333333333333,4
1.6666666666666667,4
1.75,7
1.8333333333333333,7
1.9166666666666667,7
2,7
2.0833333333333335,7
2.1666666666666665,8
2.25,9
2.3333333333333335,8
2.4166666666666665,9
2.5,10
2.5833333333333335,10
2.6666666666666665,9
2.75,9
2.8333333333333335,9
2.9166666666666665,10
3,10
3.0833333333333335,10
3.1666666666666665,11
3.25,11
3.3333333333333335,11
3.4166666666666665,10
3.5,9
3.5833333333333335,10
3.6666666666666665,10
3.75,10
3.8333333333333335,10
3.9166666666666665,11
4,12
4.083333333333333,12
4.166666666666667,13
4.25,12
4.333333333333333,13
4.416666666666667,11
4.5,12
4.583333333333333,10
4.666666666666667,11
4.75,14
4.833333333333333,10
4.916666666666667,15
5,15
5.083333333333333,14
5.166666666666667,16
5.25,15
5.333333333333333,14
5.416666666666667,15
5.5,16
5.583333333333333,14
5.666666666666667,18
5.75,16
5.833333333333333,16
5.916666666666667,16
6,17
6.083333333333333,15
6.166666666666667,16
6.25,15
6.333333333333333,16
6.416666666666667,14
6.5,14
6.583333333333333,15
6.666666666666667,19
6.75,15
6.833333333333333,18
6.916666666666667,16
7,17
7.083333333333333,18
7.166666666666667,19
7.25,17
7.333333333333333,18
7.416666666666667,17
7.5,18
7.583333333333333,18
7.666666666666667,17
7.75,18
7.833333333333333,16
7.916666666666667,18
8,17
8.083333333333334,18
8.166666666666666,20
8.25,19
8.333333333333334,19
8.416666666666666,18
8.5,18
8.583333333333334,20
8.666666666666666,17
8.75,18
8.833333333333334,19
8.916666666666666,22
9,21
9.083333333333334,18
9.166666666666666,22
9.25,21
9.333333333333334,21
9.416666666666666,21
9.5,20
9.583333333333334,20
9.666666666666666,22
9.75,21
9.833333333333334,22
9.916666666666666,21
10,23
10.083333333333334,23
10.166666666666666,26
10.25,25
10.333333333333334,24
10.416666666666666,22
10.5,23
10.583333333333334,26
10.666666666666666,24
10.75,26
10.833333333333334,26
10.916666666666666,27
11,25
11.083333333333334,25
11.166666666666666,25
11.25,25
11.333333333333334,25
11.416666666666666,27
11.5,27
11.583333333333334,25
11.666666666666666,28
11.75,30
11.833333333333334,26
11.916666666666666,28
12,28
12.083333333333334,27
12.166666666666666,30
12.25,30
12.333333333333334,30
12.416666666666666,27
12.5,28
12.583333333333334,30
12.666666666666666,30
12.75,28
12.833333333333334,29
12.916666666666666,27
13,28
13.083333333333334,30
13.166666666666666,27
13.25,27
13.333333333333334,29
13.416666666666666,30
13.5,26
13.583333333333334,28
13.666666666666666,27
13.75,32
13.833333333333334,29
13.916666666666666,28
14,28
14.083333333333334,28
14.166666666666666,29
14.25,28
14.333333333333334,30
14.416666666666666,32
14.5,32
14.583333333333334,30
14.666666666666666,29
14.75,28
14.833333333333334,29
14.916666666666666,29
15,30
15.083333333333334,29
15.166666666666666,27
15.25,31
15.333333333333334,30
15.416666666666666,30
15.5,32
15.583333333333334,28
15.666666666666666,32
15.75,31
15.833333333333334,31
15.916666666666666,32
16,32
16.083333333333332,28
16.166666666666668,34
16.25,32
16.333333333333332,31
16.416666666666668,30
16.5,32
16.583333333333332,31
16.666666666666668,31
16.75,34
16.833333333333332,31
16.916666666666668,29
17,30
17.083333333333332,30
17.166666666666668,30
17.25,30
17.333333333333332,32
17.416666666666668,31
17.5,29
17.583333333333332,34
17.666666666666668,31
17.75,30
17.833333333333332,31
17.916666666666668,32
18,30
18.083333333333332,30
18.166666666666668,28
18.25,33
18.333333333333332,31
18.416666666666668,32
18.5,33
18.583333333333332,29
18.666666666666668,30
18.75,31
18.833333333333332,30
18.916666666666668,31
19,33
19.083333333333332,36
19.166666666666668,34
19.25,32
19.333333333333332,33
19.416666666666668,33
19.5,37
19.583333333333332,36
19.666666666666668,33
19.75,33
19.833333333333332,34
19.916666666666668,35
20,32
20.083333333333332,32
20.166666666666668,34
20.25,38
20.333333333333332,37
20.416666666666668,32
20.5,37
20.583333333333332,33
20.666666666666668,32
20.75,34
20.833333333333332,35
20.916666666666668,35
21,34
21.083333333333332,31
21.166666666666668,34
21.25,38
21.333333333333332,39
21.416666666666668,34
21.5,33
21.583333333333332,34
21.666666666666668,31
21.75,34
21.833333333333332,37
21.916666666666668,34
22,38
22.083333333333332,35
22.166666666666668,34
22.25,34
22.333333333333332,38
22.416666666666668,37
22.5,36
22.583333333333332,41
22.666666666666668,38
22.75,37
22.833333333333332,34
22.916666666666668,39
23,37
23.083333333333332,40
23.166666666666668,38
23.25,35
23.333333333333332,35
23.416666666666668,34
23.5,37
23.583333333333332,39
23.666666666666668,33
23.75,39
23.833333333333332,35
23.916666666666668,33
24,37
24.083333333333332,38
24.166666666666668,32
24.25,35
24.333333333333332,37
24.416666666666668,38
24.5,37
24.583333333333332,35
24.666666666666668,39
24.75,38
24.833333333333332,36
24.916666666666668,36
25,36
25.083333333333332,38
25.166666666666668,37
25.25,34
25.333333333333332,34
25.416666666666668,38
25.5,39
25.583333333333332,37
25.666666666666668,35
25.75,37
25.833333333333332,37
25.916666666666668,34
26,34
26.083333333333332,38
26.166666666666668,37
26.25,37
26.333333333333332,38
26.416666666666668,35
26.5,37
26.583333333333332,35
26.666666666666668,37
26.75,38
26.833333333333332,36
26.916666666666668,37
27,39
27.083333333333332,38
27.166666666666668,38
27.25,36
27.333333333333332,39
27.416666666666668,38
27.5,34
27.583333333333332,38
27.666666666666668,41
27.75,38
27.833333333333332,36
27.916666666666668,35
28,38
28.083333333333332,37
28.166666666666668,38
28.25,39
28.333333333333332,37
28.416666666666668,41
28.5,38
28.583333333333332,38
28.666666666666668,37
28.75,38
28.833333333333332,39
28.916666666666668,36
29,38
29.083333333333332,38
29.166666666666668,41
29.25,40
29.333333333333332,38
29.416666666666668,38
29.5,39
29.583333333333332,38
29.666666666666668,38
29.75,35
29.833333333333332,34
29.916666666666668,38
30,38
30.083333333333332,38
30.166666666666668,41
30.25,42
30.333333333333332,39
30.416666666666668,40
30.5,41
30.583333333333332,43
30.666666666666668,40
30.75,39
30.833333333333332,41
30.916666666666668,44
31,42
31.083333333333332,38
31.166666666666668,39
31.25,42
31.333333333333332,41
31.416666666666668,38
31.5,40
31.583333333333332,39
31.666666666666668,43
31.75,36
31.833333333333332,36
31.916666666666668,39
32,38
32.083333333333336,37
32.166666666666664,44
32.25,37
32.333333333333336,37
32.416666666666664,40
32.5,39
32.583333333333336,41
32.666666666666664,37
32.75,41
32.833333333333336,37
32.916666666666664,40
33,40
33.083333333333336,41
33.166666666666664,41
33.25,39
33.333333333333336,39
33.416666666666664,36
33.5,39
33.583333333333336,40
33.666666666666664,40
33.75,38
33.833333333333336,42
33.916666666666664,38
34,37
34.083333333333336,43
34.166666666666664,40
34.25,40
34.333333333333336,37
34.416666666666664,43
34.5,40
34.583333333333336,38
34.666666666666664,43
34.75,38
34.833333333333336,43
34.916666666666664,40
35,42
35.083333333333336,39
35.166666666666664,41
35.25,40
35.333333333333336,41
35.416666666666664,41
35.5,41
35.583333333333336,41
35.666666666666664,43
35.75,40
35.833333333333336,39
35.916666666666664,39
36,40
36.083333333333336,43
36.166666666666664,40
36.25,41
36.333333333333336,41
36.416666666666664,42
36.5,39
36.583333333333336,39
36.666666666666664,39
36.75,43
36.833333333333336,43
36.916666666666664,41
37,39
37.083333333333336,39
37.166666666666664,43
37.25,42
37.333333333333336,42
37.416666666666664,41
37.5,40
37.583333333333336,40
37.666666666666664,42
37.75,42
37.833333333333336,38
37.916666666666664,44
38,41
38.083333333333336,39
38.166666666666664,42
38.25,44
38.333333333333336,38
38.416666666666664,39
38.5,40
38.583333333333336,43
38.666666666666664,40
38.75,45
38.833333333333336,38
38.916666666666664,43
39,38
39.083333333333336,43
