"Hours since thread went live","Kusuriya no Hitorigoto • The Apothecary Diaries - Episode 21 discussion"
0,2
0,2
0.08333333333333333,3
0.16666666666666666,3
0.25,3
0.3333333333333333,3
0.4166666666666667,3
0.5,3
0.5833333333333334,3
0.6666666666666666,3
0.75,3
0.8333333333333334,4
0.9166666666666666,4
1,4
1.0833333333333333,5
1.1666666666666667,6
1.25,6
1.3333333333333333,6
1.4166666666666667,5
1.5,7
1.5833333333333333,6
1.6666666666666667,6
1.75,6
1.8333333333333333,6
1.9166666666666667,5
2,7
2.0833333333333335,6
2.1666666666666665,6
2.25,6
2.3333333333333335,7
2.4166666666666665,7
2.5,8
2.5833333333333335,7
2.6666666666666665,7
2.75,7
2.8333333333333335,8
2.9166666666666665,8
3,7
3.0833333333333335,7
3.1666666666666665,7
3.25,7
3.3333333333333335,7
3.4166666666666665,8
3.5,7
3.5833333333333335,8
3.6666666666666665,8
3.75,7
3.8333333333333335,7
3.9166666666666665,8
4,7
4.083333333333333,7
4.166666666666667,7
4.25,8
4.333333333333333,8
4.416666666666667,7
4.5,7
4.583333333333333,7
4.666666666666667,6
4.75,8
4.833333333333333,7
4.916666666666667,6
5,6
5.083333333333333,6
5.166666666666667,7
5.25,8
5.333333333333333,7
5.416666666666667,6
5.5,6
5.583333333333333,8
5.666666666666667,8
5.75,7
5.833333333333333,7
5.916666666666667,7
6,7
6.083333333333333,7
6.166666666666667,8
6.25,7
6.333333333333333,7
6.416666666666667,7
6.5,8
6.583333333333333,6
6.666666666666667,7
6.75,6
6.833333333333333,6
6.916666666666667,6
7,7
7.083333333333333,7
7.166666666666667,8
7.25,7
7.333333333333333,6
7.416666666666667,8
7.5,8
7.583333333333333,7
7.666666666666667,7
7.75,6
7.833333333333333,7
7.916666666666667,6
8,7
8.083333333333334,7
8.166666666666666,6
8.25,7
8.333333333333334,7
8.416666666666666,6
8.5,7
8.583333333333334,6
8.666666666666666,7
8.75,7
8.833333333333334,7
8.916666666666666,7
9,6
9.083333333333334,8
9.166666666666666,7
9.25,8
9.333333333333334,7
9.416666666666666,8
9.5,7
9.583333333333334,6
9.666666666666666,8
9.75,7
9.833333333333334,7
9.916666666666666,7
10,7
10.083333333333334,8
10.166666666666666,7
10.25,8
10.333333333333334,7
10.416666666666666,6
10.5,8
10.583333333333334,7
10.666666666666666,7
10.75,7
10.833333333333334,7
10.916666666666666,7
11,7
11.083333333333334,8
11.166666666666666,7
11.25,8
11.333333333333334,8
11.416666666666666,7
11.5,6
11.583333333333334,7
11.666666666666666,7
11.75,7
11.833333333333334,8
11.916666666666666,8
12,8
12.083333333333334,7
12.166666666666666,7
12.25,7
12.333333333333334,7
12.416666666666666,8
12.5,7
12.583333333333334,6
12.666666666666666,6
12.75,7
12.833333333333334,7
12.916666666666666,7
13,7
13.083333333333334,7
13.166666666666666,7
13.25,7
13.333333333333334,8
13.416666666666666,7
13.5,8
13.583333333333334,7
13.666666666666666,7
13.75,7
13.833333333333334,9
13.916666666666666,7
14,8
14.083333333333334,8
14.166666666666666,8
14.25,8
14.333333333333334,8
14.416666666666666,8
14.5,9
14.583333333333334,9
14.666666666666666,11
14.75,10
14.833333333333334,11
14.916666666666666,9
15,10
15.083333333333334,10
15.166666666666666,10
15.25,9
15.333333333333334,11
15.416666666666666,9
15.5,10
15.583333333333334,10
15.666666666666666,10
15.75,11
15.833333333333334,10
15.916666666666666,11
16,10
16.083333333333332,11
16.166666666666668,10
16.25,11
16.333333333333332,10
16.416666666666668,10
16.5,10
16.583333333333332,11
16.666666666666668,10
16.75,9
16.833333333333332,9
16.916666666666668,10
17,10
17.083333333333332,10
17.166666666666668,9
17.25,9
