"Hours since thread went live","Saikyou Tank no Meikyuu Kouryaku: Tairyoku 9999 no Rare Skill-mochi Tank, Yuusha Party wo Tsuihou sareru • The Strongest Tank's Labyrinth Raids: A Tank with a Rare 9999 Resistance Skill Got Kicked from the Hero's Party - Episode 9 discussion"
0,1
0,2
0.08333333333333333,4
0.16666666666666666,6
0.25,9
0.3333333333333333,11
0.4166666666666667,15
0.5,19
0.5833333333333334,19
0.6666666666666666,22
0.75,24
0.8333333333333334,26
0.9166666666666666,27
1,27
1.0833333333333333,28
1.1666666666666667,28
1.25,28
1.3333333333333333,31
1.4166666666666667,34
1.5,32
1.5833333333333333,34
1.6666666666666667,36
1.75,34
1.8333333333333333,37
1.9166666666666667,36
2,37
2.0833333333333335,36
2.1666666666666665,37
2.25,39
2.3333333333333335,40
2.4166666666666665,36
2.5,41
2.5833333333333335,42
2.6666666666666665,39
2.75,41
2.8333333333333335,43
2.9166666666666665,43
3,45
3.0833333333333335,47
3.1666666666666665,47
3.25,47
3.3333333333333335,47
3.4166666666666665,44
3.5,49
3.5833333333333335,46
3.6666666666666665,52
3.75,52
3.8333333333333335,49
3.9166666666666665,51
4,52
4.083333333333333,51
4.166666666666667,50
4.25,56
4.333333333333333,56
4.416666666666667,55
4.5,56
4.583333333333333,59
4.666666666666667,57
4.75,54
4.833333333333333,57
4.916666666666667,61
5,59
5.083333333333333,58
5.166666666666667,59
5.25,59
5.333333333333333,59
5.416666666666667,60
5.5,59
5.583333333333333,61
5.666666666666667,58
5.75,64
5.833333333333333,58
5.916666666666667,62
6,61
6.083333333333333,60
6.166666666666667,63
6.25,62
6.333333333333333,67
6.416666666666667,67
6.5,67
6.583333333333333,64
6.666666666666667,66
6.75,66
6.833333333333333,66
6.916666666666667,67
7,66
7.083333333333333,66
7.166666666666667,67
7.25,66
7.333333333333333,66
7.416666666666667,69
7.5,67
7.583333333333333,67
7.666666666666667,66
7.75,68
7.833333333333333,69
7.916666666666667,70
8,69
8.083333333333334,72
8.166666666666666,71
8.25,66
8.333333333333334,73
8.416666666666666,66
8.5,70
8.583333333333334,71
8.666666666666666,69
8.75,68
8.833333333333334,69
8.916666666666666,68
9,70
9.083333333333334,70
9.166666666666666,68
9.25,72
9.333333333333334,75
9.416666666666666,72
9.5,71
9.583333333333334,70
9.666666666666666,72
9.75,71
9.833333333333334,69
9.916666666666666,72
10,73
10.083333333333334,76
10.166666666666666,73
10.25,75
10.333333333333334,79
10.416666666666666,79
10.5,74
10.583333333333334,78
10.666666666666666,81
10.75,73
10.833333333333334,75
10.916666666666666,78
11,75
11.083333333333334,81
11.166666666666666,83
11.25,77
11.333333333333334,81
11.416666666666666,81
11.5,78
11.583333333333334,84
11.666666666666666,78
11.75,82
11.833333333333334,81
11.916666666666666,84
12,85
12.083333333333334,77
12.166666666666666,82
12.25,79
12.333333333333334,81
12.416666666666666,83
12.5,80
12.583333333333334,81
12.666666666666666,80
12.75,79
12.833333333333334,85
12.916666666666666,79
13,79
13.083333333333334,81
13.166666666666666,82
13.25,82
13.333333333333334,81
13.416666666666666,79
13.5,80
13.583333333333334,86
13.666666666666666,79
13.75,81
13.833333333333334,78
13.916666666666666,84
14,84
14.083333333333334,77
14.166666666666666,83
14.25,83
14.333333333333334,80
14.416666666666666,83
14.5,80
14.583333333333334,84
14.666666666666666,81
14.75,84
14.833333333333334,81
14.916666666666666,83
15,84
15.083333333333334,80
15.166666666666666,84
15.25,82
15.333333333333334,84
15.416666666666666,86
15.5,84
15.583333333333334,83
15.666666666666666,84
15.75,84
15.833333333333334,84
15.916666666666666,88
16,83
16.083333333333332,83
16.166666666666668,84
16.25,86
16.333333333333332,86
16.416666666666668,86
16.5,87
16.583333333333332,85
16.666666666666668,87
16.75,86
16.833333333333332,90
16.916666666666668,86
17,89
17.083333333333332,88
17.166666666666668,84
17.25,89
17.333333333333332,85
17.416666666666668,85
17.5,87
17.583333333333332,86
17.666666666666668,82
17.75,81
17.833333333333332,85
17.916666666666668,85
18,84
18.083333333333332,81
18.166666666666668,87
18.25,85
18.333333333333332,88
18.416666666666668,86
18.5,86
18.583333333333332,84
18.666666666666668,86
18.75,86
18.833333333333332,89
18.916666666666668,89
19,89
19.083333333333332,91
19.166666666666668,86
19.25,88
19.333333333333332,89
19.416666666666668,86
19.5,84
19.583333333333332,90
19.666666666666668,88
19.75,89
19.833333333333332,91
19.916666666666668,86
20,90
20.083333333333332,92
20.166666666666668,89
20.25,90
20.333333333333332,86
20.416666666666668,87
20.5,87
20.583333333333332,89
20.666666666666668,93
20.75,88
20.833333333333332,90
20.916666666666668,88
21,88
21.083333333333332,93
21.166666666666668,88
21.25,89
21.333333333333332,93
21.416666666666668,91
21.5,89
21.583333333333332,86
21.666666666666668,92
21.75,90
21.833333333333332,91
21.916666666666668,87
22,92
22.083333333333332,90
22.166666666666668,87
22.25,88
22.333333333333332,91
22.416666666666668,93
22.5,87
22.583333333333332,94
22.666666666666668,88
22.75,92
22.833333333333332,90
22.916666666666668,91
23,91
23.083333333333332,87
23.166666666666668,90
23.25,91
23.333333333333332,88
23.416666666666668,92
23.5,92
23.583333333333332,94
23.666666666666668,94
23.75,91
23.833333333333332,90
23.916666666666668,93
24,94
24.083333333333332,87
24.166666666666668,94
24.25,94
24.333333333333332,91
24.416666666666668,91
24.5,90
24.583333333333332,91
24.666666666666668,89
24.75,91
24.833333333333332,92
24.916666666666668,90
25,94
25.083333333333332,93
25.166666666666668,95
25.25,94
25.333333333333332,94
25.416666666666668,91
25.5,94
25.583333333333332,89
25.666666666666668,91
25.75,92
25.833333333333332,93
25.916666666666668,96
26,93
26.083333333333332,93
26.166666666666668,92
26.25,94
26.333333333333332,94
26.416666666666668,93
26.5,92
26.583333333333332,93
26.666666666666668,95
26.75,95
26.833333333333332,93
26.916666666666668,94
27,92
27.083333333333332,89
27.166666666666668,93
27.25,91
27.333333333333332,94
27.416666666666668,90
27.5,90
27.583333333333332,90
27.666666666666668,92
27.75,94
27.833333333333332,94
27.916666666666668,93
28,94
28.083333333333332,96
28.166666666666668,92
28.25,92
28.333333333333332,97
28.416666666666668,93
28.5,91
28.583333333333332,90
28.666666666666668,93
28.75,92
28.833333333333332,92
28.916666666666668,90
29,91
29.083333333333332,94
29.166666666666668,97
29.25,96
29.333333333333332,95
29.416666666666668,93
29.5,92
29.583333333333332,92
29.666666666666668,90
29.75,94
29.833333333333332,94
29.916666666666668,94
30,97
30.083333333333332,95
30.166666666666668,96
30.25,95
30.333333333333332,96
30.416666666666668,90
30.5,94
30.583333333333332,95
30.666666666666668,96
30.75,97
30.833333333333332,91
30.916666666666668,94
31,95
31.083333333333332,91
31.166666666666668,95
31.25,94
31.333333333333332,98
31.416666666666668,96
31.5,97
31.583333333333332,96
31.666666666666668,98
31.75,95
31.833333333333332,98
31.916666666666668,93
32,94
32.083333333333336,97
32.166666666666664,92
32.25,96
32.333333333333336,96
32.416666666666664,98
32.5,97
32.583333333333336,96
