"Hours since thread went live","Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita Season 2 • Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside Season 2 - Episode 9 discussion"
0,2
0.08333333333333333,2
0.16666666666666666,2
0.25,4
0.3333333333333333,4
0.4166666666666667,9
0.5,15
0.5833333333333334,15
0.6666666666666666,16
0.75,19
0.8333333333333334,23
0.9166666666666666,26
1,28
1.0833333333333333,34
1.1666666666666667,39
1.25,39
1.3333333333333333,40
1.4166666666666667,43
1.5,49
1.5833333333333333,49
1.6666666666666667,54
1.75,56
1.8333333333333333,60
1.9166666666666667,62
2,67
2.0833333333333335,72
2.1666666666666665,72
2.25,73
2.3333333333333335,74
2.4166666666666665,78
2.5,79
2.5833333333333335,82
2.6666666666666665,83
2.75,88
2.8333333333333335,89
2.9166666666666665,92
3,97
3.0833333333333335,95
3.1666666666666665,99
3.25,101
3.3333333333333335,106
3.4166666666666665,107
3.5,108
3.5833333333333335,114
3.6666666666666665,115
3.75,115
3.8333333333333335,118
3.9166666666666665,118
4,123
4.083333333333333,122
4.166666666666667,122
4.25,127
4.333333333333333,124
4.416666666666667,130
4.5,131
4.583333333333333,138
4.666666666666667,137
4.75,141
4.833333333333333,137
4.916666666666667,142
5,145
5.083333333333333,146
5.166666666666667,146
5.25,151
5.333333333333333,150
5.416666666666667,150
5.5,151
5.583333333333333,158
5.666666666666667,154
5.75,160
5.833333333333333,161
5.916666666666667,165
6,161
6.083333333333333,161
6.166666666666667,163
6.25,166
6.333333333333333,167
6.416666666666667,165
6.5,166
6.583333333333333,171
6.666666666666667,177
6.75,176
6.833333333333333,173
6.916666666666667,177
7,178
7.083333333333333,177
7.166666666666667,180
7.25,179
7.333333333333333,184
7.416666666666667,182
7.5,187
7.583333333333333,185
7.666666666666667,189
7.75,184
7.833333333333333,193
7.916666666666667,192
8,192
8.083333333333334,195
8.166666666666666,193
8.25,198
8.333333333333334,197
8.416666666666666,198
8.5,199
8.583333333333334,198
8.666666666666666,199
8.75,201
8.833333333333334,204
8.916666666666666,205
9,211
9.083333333333334,211
9.166666666666666,206
9.25,212
9.333333333333334,210
9.416666666666666,212
9.5,211
9.583333333333334,216
9.666666666666666,218
9.75,218
9.833333333333334,217
9.916666666666666,220
10,221
10.083333333333334,219
10.166666666666666,224
10.25,222
10.333333333333334,222
10.416666666666666,225
10.5,228
10.583333333333334,222
10.666666666666666,227
10.75,224
10.833333333333334,227
10.916666666666666,225
11,230
11.083333333333334,227
11.166666666666666,233
11.25,231
11.333333333333334,231
11.416666666666666,233
11.5,233
11.583333333333334,234
11.666666666666666,236
11.75,235
11.833333333333334,237
11.916666666666666,238
12,238
12.083333333333334,237
12.166666666666666,239
12.25,242
12.333333333333334,240
12.416666666666666,240
12.5,241
12.583333333333334,243
12.666666666666666,241
12.75,243
12.833333333333334,243
12.916666666666666,242
13,245
13.083333333333334,248
13.166666666666666,246
13.25,249
13.333333333333334,249
13.416666666666666,245
13.5,247
13.583333333333334,248
13.666666666666666,249
13.75,251
13.833333333333334,253
13.916666666666666,252
14,248
14.083333333333334,254
14.166666666666666,251
14.25,256
14.333333333333334,257
14.416666666666666,258
14.5,255
14.583333333333334,262
14.666666666666666,259
14.75,264
14.833333333333334,263
14.916666666666666,261
15,259
15.083333333333334,265
15.166666666666666,267
15.25,266
15.333333333333334,262
15.416666666666666,268
15.5,270
15.583333333333334,272
15.666666666666666,268
15.75,274
15.833333333333334,268
15.916666666666666,270
16,268
16.083333333333332,270
16.166666666666668,272
16.25,277
16.333333333333332,279
16.416666666666668,272
16.5,277
16.583333333333332,278
16.666666666666668,280
16.75,279
16.833333333333332,275
16.916666666666668,279
17,278
17.083333333333332,276
17.166666666666668,275
17.25,276
17.333333333333332,278
17.416666666666668,279
17.5,278
17.583333333333332,276
17.666666666666668,275
17.75,279
17.833333333333332,272
17.916666666666668,274
18,280
18.083333333333332,275
18.166666666666668,280
18.25,277
18.333333333333332,279
18.416666666666668,276
18.5,276
18.583333333333332,275
18.666666666666668,281
18.75,280
18.833333333333332,279
18.916666666666668,282
19,282
19.083333333333332,280
19.166666666666668,282
19.25,282
19.333333333333332,282
19.416666666666668,281
19.5,281
19.583333333333332,281
19.666666666666668,283
19.75,283
19.833333333333332,283
19.916666666666668,281
20,284
20.083333333333332,285
20.166666666666668,283
20.25,285
20.333333333333332,281
20.416666666666668,284
20.5,286
20.583333333333332,287
20.666666666666668,285
20.75,283
20.833333333333332,285
20.916666666666668,288
21,287
21.083333333333332,287
21.166666666666668,289
21.25,289
21.333333333333332,290
21.416666666666668,287
21.5,287
21.583333333333332,285
21.666666666666668,288
21.75,291
21.833333333333332,290
21.916666666666668,290
22,292
22.083333333333332,291
22.166666666666668,289
22.25,291
22.333333333333332,286
22.416666666666668,294
22.5,293
22.583333333333332,291
22.666666666666668,291
22.75,289
22.833333333333332,291
22.916666666666668,293
23,291
23.083333333333332,291
23.166666666666668,289
23.25,289
23.333333333333332,289
