"Hours since thread went live","Meiji Gekken: 1874 - Episode 8 discussion"
0,1
0,1
0.08333333333333333,2
0.16666666666666666,2
0.25,2
0.3333333333333333,2
0.4166666666666667,2
0.5,2
0.5833333333333334,2
0.6666666666666666,1
0.75,1
0.8333333333333334,1
0.9166666666666666,1
1,2
1.0833333333333333,2
1.1666666666666667,2
1.25,3
1.3333333333333333,4
1.4166666666666667,3
1.5,5
1.5833333333333333,4
1.6666666666666667,5
1.75,5
1.8333333333333333,7
1.9166666666666667,7
2,7
2.0833333333333335,6
2.1666666666666665,7
2.25,8
2.3333333333333335,9
2.4166666666666665,8
2.5,10
2.5833333333333335,9
2.6666666666666665,10
2.75,10
2.8333333333333335,9
2.9166666666666665,10
3,13
3.0833333333333335,11
3.1666666666666665,14
3.25,12
3.3333333333333335,14
3.4166666666666665,16
3.5,14
3.5833333333333335,15
3.6666666666666665,16
3.75,15
3.8333333333333335,15
3.9166666666666665,19
4,17
4.083333333333333,15
4.166666666666667,18
4.25,18
4.333333333333333,18
4.416666666666667,20
4.5,17
4.583333333333333,20
4.666666666666667,18
4.75,16
4.833333333333333,18
4.916666666666667,21
5,20
5.083333333333333,20
5.166666666666667,21
5.25,20
5.333333333333333,21
5.416666666666667,19
5.5,20
5.583333333333333,21
5.666666666666667,21
5.75,23
5.833333333333333,24
5.916666666666667,24
6,23
6.083333333333333,25
6.166666666666667,26
6.25,24
6.333333333333333,26
6.416666666666667,26
6.5,26
6.583333333333333,27
6.666666666666667,28
6.75,26
6.833333333333333,25
6.916666666666667,26
7,26
7.083333333333333,25
7.166666666666667,26
7.25,26
7.333333333333333,27
7.416666666666667,25
7.5,25
7.583333333333333,26
7.666666666666667,27
7.75,25
7.833333333333333,28
7.916666666666667,29
8,27
8.083333333333334,28
8.166666666666666,27
8.25,29
8.333333333333334,28
8.416666666666666,27
8.5,28
8.583333333333334,30
8.666666666666666,27
8.75,27
8.833333333333334,28
8.916666666666666,26
9,27
9.083333333333334,26
9.166666666666666,29
9.25,28
9.333333333333334,28
9.416666666666666,27
9.5,31
9.583333333333334,29
9.666666666666666,31
9.75,32
9.833333333333334,28
9.916666666666666,29
10,29
10.083333333333334,31
10.166666666666666,32
10.25,28
10.333333333333334,33
10.416666666666666,31
10.5,31
10.583333333333334,34
10.666666666666666,31
10.75,34
10.833333333333334,32
10.916666666666666,33
11,35
11.083333333333334,34
11.166666666666666,38
11.25,32
11.333333333333334,39
11.416666666666666,37
11.5,31
11.583333333333334,34
11.666666666666666,36
11.75,38
11.833333333333334,34
11.916666666666666,34
12,35
12.083333333333334,40
12.166666666666666,34
12.25,35
12.333333333333334,40
12.416666666666666,37
12.5,38
12.583333333333334,37
12.666666666666666,36
12.75,37
12.833333333333334,35
12.916666666666666,32
13,32
13.083333333333334,38
13.166666666666666,32
13.25,39
13.333333333333334,35
13.416666666666666,40
13.5,40
13.583333333333334,36
13.666666666666666,35
13.75,37
13.833333333333334,38
13.916666666666666,36
14,37
14.083333333333334,37
14.166666666666666,37
14.25,34
14.333333333333334,40
14.416666666666666,37
14.5,38
14.583333333333334,36
14.666666666666666,40
14.75,41
14.833333333333334,40
14.916666666666666,37
15,37
15.083333333333334,37
15.166666666666666,39
15.25,37
15.333333333333334,37
15.416666666666666,39
15.5,40
15.583333333333334,37
15.666666666666666,41
15.75,36
15.833333333333334,38
15.916666666666666,42
16,40
16.083333333333332,40
16.166666666666668,37
16.25,36
16.333333333333332,38
16.416666666666668,36
16.5,41
16.583333333333332,41
16.666666666666668,39
16.75,39
16.833333333333332,39
16.916666666666668,37
17,38
17.083333333333332,40
17.166666666666668,40
17.25,40
17.333333333333332,42
17.416666666666668,35
17.5,39
17.583333333333332,38
17.666666666666668,43
17.75,39
17.833333333333332,39
17.916666666666668,36
18,38
18.083333333333332,41
18.166666666666668,35
18.25,39
18.333333333333332,39
18.416666666666668,39
18.5,41
18.583333333333332,41
18.666666666666668,39
18.75,42
18.833333333333332,43
18.916666666666668,37
19,39
19.083333333333332,41
19.166666666666668,39
19.25,40
19.333333333333332,38
19.416666666666668,40
19.5,38
19.583333333333332,39
19.666666666666668,40
19.75,41
19.833333333333332,37
19.916666666666668,39
20,43
20.083333333333332,39
20.166666666666668,41
20.25,44
20.333333333333332,41
20.416666666666668,41
20.5,39
20.583333333333332,43
20.666666666666668,39
20.75,38
20.833333333333332,43
20.916666666666668,39
21,41
21.083333333333332,37
21.166666666666668,41
21.25,41
21.333333333333332,43
21.416666666666668,41
21.5,44
21.583333333333332,41
21.666666666666668,40
21.75,42
21.833333333333332,37
21.916666666666668,45
22,40
22.083333333333332,40
22.166666666666668,47
22.25,43
22.333333333333332,48
22.416666666666668,45
22.5,45
22.583333333333332,44
22.666666666666668,43
22.75,42
22.833333333333332,42
22.916666666666668,44
23,43
23.083333333333332,45
23.166666666666668,46
23.25,46
23.333333333333332,43
23.416666666666668,45
23.5,44
23.583333333333332,46
23.666666666666668,46
23.75,48
23.833333333333332,44
23.916666666666668,43
24,46
24.083333333333332,44
24.166666666666668,45
24.25,41
24.333333333333332,48
24.416666666666668,42
24.5,41
24.583333333333332,47
24.666666666666668,44
24.75,45
24.833333333333332,43
24.916666666666668,42
25,41
25.083333333333332,43
25.166666666666668,46
25.25,46
25.333333333333332,44
25.416666666666668,46
25.5,43
25.583333333333332,45
25.666666666666668,41
25.75,44
25.833333333333332,45
25.916666666666668,44
26,46
26.083333333333332,43
26.166666666666668,44
26.25,45
26.333333333333332,43
26.416666666666668,45
26.5,44
26.583333333333332,40
26.666666666666668,46
26.75,44
26.833333333333332,42
26.916666666666668,46
27,44
27.083333333333332,46
27.166666666666668,44
27.25,42
27.333333333333332,43
27.416666666666668,48
27.5,45
27.583333333333332,41
27.666666666666668,40
27.75,45
27.833333333333332,45
27.916666666666668,41
28,40
28.083333333333332,41
28.166666666666668,45
28.25,42
28.333333333333332,45
28.416666666666668,44
28.5,44
28.583333333333332,46
28.666666666666668,42
28.75,46
28.833333333333332,43
28.916666666666668,44
29,42
29.083333333333332,43
29.166666666666668,43
29.25,44
29.333333333333332,42
29.416666666666668,40
29.5,45
29.583333333333332,46
29.666666666666668,48
29.75,43
29.833333333333332,46
29.916666666666668,47
30,44
30.083333333333332,41
30.166666666666668,46
30.25,46
30.333333333333332,40
30.416666666666668,43
30.5,42
30.583333333333332,46
30.666666666666668,45
30.75,43
30.833333333333332,40
30.916666666666668,46
31,45
31.083333333333332,45
31.166666666666668,44
31.25,40
31.333333333333332,45
31.416666666666668,45
31.5,48
31.583333333333332,43
31.666666666666668,46
31.75,46
31.833333333333332,44
31.916666666666668,41
32,46
32.083333333333336,44
32.166666666666664,45
32.25,45
32.333333333333336,48
32.416666666666664,42
32.5,45
32.583333333333336,46
32.666666666666664,48
32.75,46
32.833333333333336,44
32.916666666666664,41
33,47
33.083333333333336,43
33.166666666666664,45
33.25,43
33.333333333333336,41
33.416666666666664,44
33.5,47
33.583333333333336,45
33.666666666666664,47
33.75,45
33.833333333333336,43
33.916666666666664,44
34,44
34.083333333333336,43
34.166666666666664,41
34.25,43
34.333333333333336,48
34.416666666666664,46
34.5,40
34.583333333333336,45
34.666666666666664,42
34.75,48
34.833333333333336,45
34.916666666666664,42
35,44
35.083333333333336,47
35.166666666666664,45
35.25,43
35.333333333333336,45
35.416666666666664,48
35.5,48
35.583333333333336,45
35.666666666666664,45
35.75,43
35.833333333333336,43
35.916666666666664,44
36,43
36.083333333333336,44
36.166666666666664,45
36.25,46
36.333333333333336,42
36.416666666666664,43
36.5,44
36.583333333333336,42
36.666666666666664,48
36.75,41
36.833333333333336,45
36.916666666666664,43
37,45
37.083333333333336,41
37.166666666666664,46
37.25,46
37.333333333333336,46
37.416666666666664,49
37.5,43
37.583333333333336,43
37.666666666666664,43
37.75,47
37.833333333333336,48
37.916666666666664,41
38,44
38.083333333333336,45
38.166666666666664,44
38.25,43
38.333333333333336,48
38.416666666666664,46
38.5,43
38.583333333333336,47
38.666666666666664,46
38.75,45
38.833333333333336,43
38.916666666666664,47
39,48
39.083333333333336,45
