"Hours since thread went live","Hikari no Ou Season 2 • The Fire Hunter Season 2 - Episode 18 discussion"
0,1
0,1
0.08333333333333333,2
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,1
0.5,4
0.5833333333333334,4
0.6666666666666666,4
0.75,6
0.8333333333333334,6
0.9166666666666666,6
1,7
1.0833333333333333,8
1.1666666666666667,9
1.25,10
1.3333333333333333,11
1.4166666666666667,9
1.5,10
1.5833333333333333,14
1.6666666666666667,14
1.75,14
1.8333333333333333,14
1.9166666666666667,15
2,15
2.0833333333333335,17
2.1666666666666665,15
2.25,18
2.3333333333333335,19
2.4166666666666665,19
2.5,21
2.5833333333333335,21
2.6666666666666665,20
2.75,21
2.8333333333333335,24
2.9166666666666665,27
3,27
3.0833333333333335,27
3.1666666666666665,27
3.25,29
3.3333333333333335,29
3.4166666666666665,28
3.5,27
3.5833333333333335,28
3.6666666666666665,29
3.75,30
3.8333333333333335,31
3.9166666666666665,27
4,32
4.083333333333333,32
4.166666666666667,33
4.25,30
4.333333333333333,34
4.416666666666667,34
4.5,32
4.583333333333333,40
4.666666666666667,40
4.75,37
4.833333333333333,41
4.916666666666667,42
5,42
5.083333333333333,38
5.166666666666667,38
5.25,40
5.333333333333333,44
5.416666666666667,41
5.5,46
5.583333333333333,47
5.666666666666667,47
5.75,45
5.833333333333333,48
5.916666666666667,45
6,44
6.083333333333333,45
6.166666666666667,48
6.25,45
6.333333333333333,48
6.416666666666667,45
6.5,46
6.583333333333333,43
6.666666666666667,44
6.75,45
6.833333333333333,47
6.916666666666667,49
7,46
7.083333333333333,47
7.166666666666667,47
7.25,49
7.333333333333333,49
7.416666666666667,49
7.5,48
7.583333333333333,45
7.666666666666667,45
7.75,48
7.833333333333333,50
7.916666666666667,48
8,48
8.083333333333334,48
8.166666666666666,49
8.25,48
8.333333333333334,45
8.416666666666666,45
8.5,50
8.583333333333334,50
8.666666666666666,49
8.75,51
8.833333333333334,48
8.916666666666666,52
9,53
9.083333333333334,50
9.166666666666666,51
9.25,51
9.333333333333334,50
9.416666666666666,51
9.5,51
9.583333333333334,51
9.666666666666666,48
9.75,50
9.833333333333334,50
9.916666666666666,52
10,56
10.083333333333334,51
10.166666666666666,53
10.25,56
10.333333333333334,54
10.416666666666666,55
10.5,55
10.583333333333334,54
10.666666666666666,50
10.75,53
10.833333333333334,54
10.916666666666666,55
11,56
11.083333333333334,56
11.166666666666666,54
11.25,57
11.333333333333334,60
11.416666666666666,52
11.5,56
11.583333333333334,52
11.666666666666666,53
11.75,58
11.833333333333334,54
11.916666666666666,55
12,57
12.083333333333334,59
12.166666666666666,58
12.25,61
12.333333333333334,54
12.416666666666666,60
12.5,55
12.583333333333334,59
12.666666666666666,57
12.75,55
12.833333333333334,53
12.916666666666666,60
13,58
13.083333333333334,59
13.166666666666666,59
13.25,56
13.333333333333334,54
13.416666666666666,57
13.5,53
13.583333333333334,56
13.666666666666666,60
13.75,59
13.833333333333334,54
13.916666666666666,59
14,57
14.083333333333334,60
14.166666666666666,58
14.25,59
14.333333333333334,61
14.416666666666666,60
14.5,61
14.583333333333334,61
14.666666666666666,56
14.75,56
14.833333333333334,59
14.916666666666666,61
15,61
15.083333333333334,58
15.166666666666666,61
15.25,56
15.333333333333334,58
15.416666666666666,57
15.5,58
15.583333333333334,57
15.666666666666666,57
15.75,57
15.833333333333334,61
15.916666666666666,60
16,60
16.083333333333332,58
16.166666666666668,62
16.25,59
16.333333333333332,63
16.416666666666668,58
16.5,57
16.583333333333332,63
16.666666666666668,59
16.75,57
16.833333333333332,59
16.916666666666668,63
17,60
17.083333333333332,60
17.166666666666668,59
17.25,58
17.333333333333332,63
17.416666666666668,62
17.5,59
17.583333333333332,58
17.666666666666668,60
17.75,56
17.833333333333332,59
17.916666666666668,59
18,60
18.083333333333332,61
18.166666666666668,59
18.25,63
18.333333333333332,59
18.416666666666668,63
18.5,62
18.583333333333332,60
18.666666666666668,60
18.75,63
18.833333333333332,58
18.916666666666668,60
19,60
19.083333333333332,57
19.166666666666668,62
19.25,58
19.333333333333332,59
19.416666666666668,59
19.5,60
19.583333333333332,61
19.666666666666668,62
19.75,59
19.833333333333332,62
19.916666666666668,59
20,61
20.083333333333332,62
20.166666666666668,60
20.25,62
20.333333333333332,64
20.416666666666668,61
20.5,63
20.583333333333332,64
20.666666666666668,62
20.75,63
20.833333333333332,65
20.916666666666668,61
21,64
21.083333333333332,66
21.166666666666668,64
21.25,66
21.333333333333332,67
21.416666666666668,63
21.5,64
21.583333333333332,67
21.666666666666668,60
21.75,61
21.833333333333332,63
21.916666666666668,62
22,64
22.083333333333332,63
22.166666666666668,66
22.25,62
22.333333333333332,63
22.416666666666668,65
22.5,60
22.583333333333332,60
22.666666666666668,66
22.75,66
22.833333333333332,60
22.916666666666668,63
23,66
23.083333333333332,62
23.166666666666668,62
23.25,64
23.333333333333332,61
23.416666666666668,62
23.5,62
23.583333333333332,63
23.666666666666668,61
23.75,67
23.833333333333332,64
23.916666666666668,66
24,60
24.083333333333332,66
24.166666666666668,63
24.25,66
24.333333333333332,66
24.416666666666668,64
24.5,61
24.583333333333332,63
24.666666666666668,61
24.75,65
24.833333333333332,66
24.916666666666668,64
25,63
25.083333333333332,66
25.166666666666668,63
25.25,68
25.333333333333332,64
25.416666666666668,68
25.5,64
25.583333333333332,63
25.666666666666668,63
25.75,69
25.833333333333332,69
25.916666666666668,68
26,65
26.083333333333332,68
26.166666666666668,64
26.25,67
26.333333333333332,61
26.416666666666668,65
26.5,68
26.583333333333332,64
26.666666666666668,63
26.75,67
26.833333333333332,63
26.916666666666668,66
27,64
27.083333333333332,64
27.166666666666668,63
27.25,64
27.333333333333332,66
27.416666666666668,68
27.5,66
27.583333333333332,70
27.666666666666668,69
27.75,68
27.833333333333332,69
27.916666666666668,66
28,69
28.083333333333332,71
28.166666666666668,67
28.25,66
28.333333333333332,69
28.416666666666668,68
28.5,70
28.583333333333332,70
28.666666666666668,67
28.75,68
28.833333333333332,67
28.916666666666668,70
29,70
29.083333333333332,64
29.166666666666668,66
29.25,68
29.333333333333332,70
29.416666666666668,68
29.5,64
29.583333333333332,69
29.666666666666668,67
29.75,68
29.833333333333332,64
29.916666666666668,69
30,70
30.083333333333332,70
30.166666666666668,65
30.25,68
30.333333333333332,68
30.416666666666668,67
30.5,67
30.583333333333332,66
30.666666666666668,69
30.75,69
30.833333333333332,66
30.916666666666668,67
31,69
31.083333333333332,65
31.166666666666668,67
31.25,65
31.333333333333332,71
31.416666666666668,71
31.5,68
31.583333333333332,68
31.666666666666668,66
31.75,70
31.833333333333332,69
31.916666666666668,66
32,69
32.083333333333336,68
32.166666666666664,66
32.25,69
32.333333333333336,66
32.416666666666664,71
32.5,71
32.583333333333336,73
32.666666666666664,69
32.75,69
32.833333333333336,72
32.916666666666664,71
33,68
33.083333333333336,66
33.166666666666664,70
33.25,68
33.333333333333336,70
33.416666666666664,69
33.5,69
33.583333333333336,68
33.666666666666664,70
33.75,68
33.833333333333336,71
33.916666666666664,70
34,71
34.083333333333336,66
34.166666666666664,70
34.25,73
34.333333333333336,69
34.416666666666664,69
34.5,71
34.583333333333336,73
34.666666666666664,70
34.75,72
34.833333333333336,75
34.916666666666664,70
35,73
35.083333333333336,71
35.166666666666664,70
35.25,74
35.333333333333336,71
35.416666666666664,73
35.5,75
35.583333333333336,73
35.666666666666664,71
35.75,72
35.833333333333336,73
35.916666666666664,71
36,70
36.083333333333336,71
36.166666666666664,72
36.25,73
36.333333333333336,72
36.416666666666664,70
36.5,73
36.583333333333336,72
36.666666666666664,72
36.75,73
36.833333333333336,75
36.916666666666664,68
37,72
37.083333333333336,71
37.166666666666664,74
37.25,74
37.333333333333336,71
37.416666666666664,71
37.5,73
37.583333333333336,72
37.666666666666664,72
37.75,72
37.833333333333336,74
37.916666666666664,71
38,72
38.083333333333336,74
38.166666666666664,69
38.25,71
38.333333333333336,75
38.416666666666664,76
38.5,74
38.583333333333336,73
38.666666666666664,73
38.75,73
38.833333333333336,72
38.916666666666664,72
