"Hours since thread went live","Oroka na Tenshi wa Akuma to Odoru • The Foolish Angel Dances with the Devil - Episode 9 discussion"
0,1
0,3
0.08333333333333333,6
0.16666666666666666,12
0.25,12
0.3333333333333333,21
0.4166666666666667,25
0.5,26
0.5833333333333334,27
0.6666666666666666,29
0.75,32
0.8333333333333334,37
0.9166666666666666,39
1,37
1.0833333333333333,40
1.1666666666666667,43
1.25,46
1.3333333333333333,50
1.4166666666666667,48
1.5,51
1.5833333333333333,52
1.6666666666666667,56
1.75,59
1.8333333333333333,63
1.9166666666666667,64
2,64
2.0833333333333335,65
2.1666666666666665,72
2.25,75
2.3333333333333335,74
2.4166666666666665,76
2.5,77
2.5833333333333335,79
2.6666666666666665,84
2.75,83
2.8333333333333335,86
2.9166666666666665,86
3,87
3.0833333333333335,94
3.1666666666666665,94
3.25,96
3.3333333333333335,95
3.4166666666666665,102
3.5,103
3.5833333333333335,106
3.6666666666666665,104
3.75,106
3.8333333333333335,104
3.9166666666666665,104
4,104
4.083333333333333,114
4.166666666666667,109
4.25,115
4.333333333333333,116
4.416666666666667,114
4.5,119
4.583333333333333,120
4.666666666666667,121
4.75,119
4.833333333333333,122
4.916666666666667,123
5,126
5.083333333333333,129
5.166666666666667,130
5.25,134
5.333333333333333,135
5.416666666666667,135
5.5,139
5.583333333333333,136
5.666666666666667,137
5.75,140
5.833333333333333,137
5.916666666666667,143
6,139
6.083333333333333,140
6.166666666666667,138
6.25,142
6.333333333333333,145
6.416666666666667,140
6.5,144
6.583333333333333,148
6.666666666666667,145
6.75,146
6.833333333333333,145
6.916666666666667,147
7,148
7.083333333333333,144
7.166666666666667,150
7.25,150
7.333333333333333,157
7.416666666666667,157
7.5,156
7.583333333333333,159
7.666666666666667,159
7.75,158
7.833333333333333,160
7.916666666666667,163
8,163
8.083333333333334,163
8.166666666666666,163
8.25,166
8.333333333333334,168
8.416666666666666,166
8.5,172
8.583333333333334,174
8.666666666666666,171
8.75,171
8.833333333333334,175
8.916666666666666,174
9,174
9.083333333333334,175
9.166666666666666,173
9.25,174
9.333333333333334,178
9.416666666666666,177
9.5,179
9.583333333333334,180
9.666666666666666,180
9.75,178
9.833333333333334,177
9.916666666666666,182
10,185
10.083333333333334,180
10.166666666666666,182
10.25,187
10.333333333333334,187
10.416666666666666,190
10.5,187
10.583333333333334,189
10.666666666666666,189
10.75,185
10.833333333333334,188
10.916666666666666,189
11,186
11.083333333333334,188
11.166666666666666,193
11.25,194
11.333333333333334,195
11.416666666666666,195
11.5,192
11.583333333333334,195
11.666666666666666,190
11.75,189
11.833333333333334,193
11.916666666666666,196
12,193
12.083333333333334,192
12.166666666666666,199
12.25,201
12.333333333333334,194
12.416666666666666,196
12.5,197
12.583333333333334,198
12.666666666666666,198
12.75,200
12.833333333333334,199
12.916666666666666,199
13,201
13.083333333333334,200
13.166666666666666,200
13.25,203
13.333333333333334,199
13.416666666666666,205
13.5,198
13.583333333333334,202
13.666666666666666,204
13.75,199
13.833333333333334,199
13.916666666666666,204
14,204
14.083333333333334,206
14.166666666666666,202
14.25,203
14.333333333333334,205
14.416666666666666,208
14.5,208
14.583333333333334,205
14.666666666666666,205
14.75,202
14.833333333333334,205
14.916666666666666,204
15,206
15.083333333333334,205
15.166666666666666,206
15.25,206
15.333333333333334,203
15.416666666666666,201
15.5,202
15.583333333333334,201
15.666666666666666,202
15.75,199
15.833333333333334,206
15.916666666666666,202
16,205
16.083333333333332,206
16.166666666666668,205
16.25,207
16.333333333333332,206
16.416666666666668,207
16.5,208
16.583333333333332,205
16.666666666666668,205
16.75,201
16.833333333333332,206
16.916666666666668,208
17,205
17.083333333333332,206
17.166666666666668,207
17.25,207
17.333333333333332,209
17.416666666666668,203
17.5,204
17.583333333333332,209
17.666666666666668,209
17.75,208
17.833333333333332,208
17.916666666666668,210
18,207
18.083333333333332,207
18.166666666666668,206
18.25,206
18.333333333333332,207
18.416666666666668,212
18.5,210
18.583333333333332,208
18.666666666666668,211
18.75,212
18.833333333333332,211
18.916666666666668,208
19,216
19.083333333333332,214
19.166666666666668,216
19.25,215
19.333333333333332,210
19.416666666666668,211
19.5,214
19.583333333333332,214
19.666666666666668,215
19.75,214
19.833333333333332,217
19.916666666666668,218
20,215
20.083333333333332,213
20.166666666666668,214
20.25,216
20.333333333333332,215
20.416666666666668,219
20.5,221
20.583333333333332,215
20.666666666666668,215
20.75,220
20.833333333333332,218
20.916666666666668,220
21,218
21.083333333333332,216
21.166666666666668,216
21.25,219
21.333333333333332,221
21.416666666666668,223
21.5,223
21.583333333333332,223
21.666666666666668,223
21.75,228
21.833333333333332,223
21.916666666666668,223
22,229
22.083333333333332,224
22.166666666666668,221
22.25,228
22.333333333333332,225
22.416666666666668,228
22.5,227
22.583333333333332,225
22.666666666666668,226
22.75,226
22.833333333333332,227
22.916666666666668,227
23,226
23.083333333333332,227
23.166666666666668,225
23.25,226
23.333333333333332,225
23.416666666666668,225
23.5,225
23.583333333333332,222
23.666666666666668,227
23.75,225
23.833333333333332,225
23.916666666666668,223
24,224
24.083333333333332,226
24.166666666666668,226
24.25,226
24.333333333333332,226
24.416666666666668,223
24.5,224
24.583333333333332,223
24.666666666666668,226
24.75,227
24.833333333333332,224
24.916666666666668,227
25,229
25.083333333333332,226
25.166666666666668,223
25.25,228
25.333333333333332,229
25.416666666666668,228
25.5,228
25.583333333333332,230
25.666666666666668,231
25.75,227
25.833333333333332,229
25.916666666666668,226
26,229
26.083333333333332,227
26.166666666666668,229
