"Hours since thread went live","Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e Season 3 • Classroom of the Elite Season 3 - Episode 10 discussion"
0,2
0,2
0.08333333333333333,4
0.16666666666666666,4
0.25,6
0.3333333333333333,7
0.4166666666666667,10
0.5,13
0.5833333333333334,17
0.6666666666666666,21
0.75,24
0.8333333333333334,26
0.9166666666666666,28
1,34
1.0833333333333333,36
1.1666666666666667,39
1.25,45
1.3333333333333333,49
1.4166666666666667,53
1.5,61
1.5833333333333333,68
1.6666666666666667,77
1.75,83
1.8333333333333333,91
1.9166666666666667,95
2,101
2.0833333333333335,110
2.1666666666666665,121
2.25,122
2.3333333333333335,131
2.4166666666666665,136
2.5,143
2.5833333333333335,147
2.6666666666666665,150
2.75,150
2.8333333333333335,159
2.9166666666666665,162
3,172
3.0833333333333335,183
3.1666666666666665,186
3.25,195
3.3333333333333335,198
3.4166666666666665,200
3.5,211
3.5833333333333335,212
3.6666666666666665,218
3.75,225
3.8333333333333335,232
3.9166666666666665,230
4,239
4.083333333333333,246
4.166666666666667,252
4.25,255
4.333333333333333,259
4.416666666666667,265
4.5,267
4.583333333333333,276
4.666666666666667,278
4.75,280
4.833333333333333,290
4.916666666666667,298
5,301
5.083333333333333,305
5.166666666666667,314
5.25,309
5.333333333333333,307
5.416666666666667,311
5.5,319
5.583333333333333,319
5.666666666666667,327
5.75,327
5.833333333333333,329
5.916666666666667,334
6,338
6.083333333333333,342
6.166666666666667,343
6.25,350
6.333333333333333,356
6.416666666666667,363
6.5,360
6.583333333333333,366
6.666666666666667,366
6.75,368
6.833333333333333,368
6.916666666666667,371
7,372
7.083333333333333,376
7.166666666666667,382
7.25,389
7.333333333333333,387
7.416666666666667,389
7.5,401
7.583333333333333,408
7.666666666666667,410
7.75,412
7.833333333333333,419
7.916666666666667,425
8,435
8.083333333333334,435
8.166666666666666,445
8.25,448
8.333333333333334,455
8.416666666666666,457
8.5,458
8.583333333333334,461
8.666666666666666,463
8.75,466
8.833333333333334,466
8.916666666666666,472
9,474
9.083333333333334,478
9.166666666666666,473
9.25,485
9.333333333333334,489
9.416666666666666,488
9.5,500
9.583333333333334,501
9.666666666666666,500
9.75,506
9.833333333333334,506
9.916666666666666,517
10,511
10.083333333333334,518
10.166666666666666,512
10.25,515
10.333333333333334,521
10.416666666666666,526
10.5,526
10.583333333333334,529
10.666666666666666,529
10.75,535
10.833333333333334,533
10.916666666666666,543
11,543
11.083333333333334,550
11.166666666666666,547
11.25,554
11.333333333333334,553
11.416666666666666,555
11.5,555
11.583333333333334,561
11.666666666666666,556
11.75,568
11.833333333333334,568
11.916666666666666,573
12,574
12.083333333333334,576
12.166666666666666,577
12.25,581
12.333333333333334,583
12.416666666666666,586
12.5,586
12.583333333333334,591
12.666666666666666,591
12.75,593
12.833333333333334,596
12.916666666666666,600
13,606
13.083333333333334,602
13.166666666666666,606
13.25,605
13.333333333333334,612
13.416666666666666,611
13.5,618
13.583333333333334,613
13.666666666666666,620
13.75,616
13.833333333333334,629
13.916666666666666,622
14,626
14.083333333333334,623
14.166666666666666,632
14.25,635
14.333333333333334,646
14.416666666666666,646
14.5,642
14.583333333333334,654
14.666666666666666,647
14.75,663
14.833333333333334,659
14.916666666666666,661
15,671
15.083333333333334,670
15.166666666666666,666
15.25,668
15.333333333333334,673
15.416666666666666,676
15.5,673
15.583333333333334,672
15.666666666666666,672
15.75,682
15.833333333333334,678
15.916666666666666,678
16,681
16.083333333333332,691
16.166666666666668,684
16.25,691
16.333333333333332,686
16.416666666666668,691
16.5,699
16.583333333333332,700
16.666666666666668,696
16.75,702
16.833333333333332,699
16.916666666666668,702
17,702
