"Hours since thread went live","Metallic Rouge - Episode 9 discussion"
0,3
0,3
0.08333333333333333,4
0.16666666666666666,4
0.25,5
0.3333333333333333,6
0.4166666666666667,7
0.5,11
0.5833333333333334,14
0.6666666666666666,18
0.75,23
0.8333333333333334,25
0.9166666666666666,27
1,28
1.0833333333333333,30
1.1666666666666667,30
1.25,31
1.3333333333333333,33
1.4166666666666667,38
1.5,38
1.5833333333333333,42
1.6666666666666667,43
1.75,46
1.8333333333333333,49
1.9166666666666667,49
2,56
2.0833333333333335,57
2.1666666666666665,64
2.25,65
2.3333333333333335,70
2.4166666666666665,69
2.5,71
2.5833333333333335,73
2.6666666666666665,78
2.75,82
2.8333333333333335,85
2.9166666666666665,83
3,93
3.0833333333333335,91
3.1666666666666665,101
3.25,101
3.3333333333333335,101
3.4166666666666665,108
3.5,113
3.5833333333333335,114
3.6666666666666665,113
3.75,121
3.8333333333333335,123
3.9166666666666665,130
4,132
4.083333333333333,131
4.166666666666667,138
4.25,141
4.333333333333333,141
4.416666666666667,144
4.5,147
4.583333333333333,148
4.666666666666667,153
4.75,162
4.833333333333333,159
4.916666666666667,166
5,169
5.083333333333333,181
5.166666666666667,180
5.25,183
5.333333333333333,186
5.416666666666667,190
5.5,192
5.583333333333333,193
5.666666666666667,193
5.75,198
5.833333333333333,199
5.916666666666667,196
6,203
6.083333333333333,200
6.166666666666667,205
6.25,198
6.333333333333333,200
6.416666666666667,203
6.5,205
6.583333333333333,203
6.666666666666667,208
6.75,205
6.833333333333333,210
6.916666666666667,210
7,217
7.083333333333333,218
7.166666666666667,222
7.25,222
7.333333333333333,230
7.416666666666667,228
7.5,233
7.583333333333333,235
7.666666666666667,232
7.75,238
7.833333333333333,237
7.916666666666667,241
8,240
8.083333333333334,246
8.166666666666666,249
8.25,245
8.333333333333334,246
8.416666666666666,251
8.5,251
8.583333333333334,254
8.666666666666666,259
8.75,258
8.833333333333334,266
8.916666666666666,269
9,268
9.083333333333334,268
9.166666666666666,268
9.25,272
9.333333333333334,274
9.416666666666666,272
9.5,277
9.583333333333334,273
9.666666666666666,277
9.75,278
9.833333333333334,278
9.916666666666666,272
10,278
10.083333333333334,275
10.166666666666666,279
10.25,278
10.333333333333334,281
10.416666666666666,283
10.5,284
10.583333333333334,281
10.666666666666666,285
10.75,289
10.833333333333334,288
10.916666666666666,290
11,290
11.083333333333334,295
11.166666666666666,297
11.25,298
11.333333333333334,294
11.416666666666666,300
11.5,300
11.583333333333334,303
11.666666666666666,301
11.75,301
11.833333333333334,304
11.916666666666666,306
12,309
12.083333333333334,309
12.166666666666666,310
12.25,308
12.333333333333334,308
12.416666666666666,310
12.5,310
12.583333333333334,309
12.666666666666666,308
12.75,312
12.833333333333334,315
12.916666666666666,318
13,320
13.083333333333334,316
13.166666666666666,314
13.25,316
13.333333333333334,313
13.416666666666666,321
13.5,319
13.583333333333334,322
13.666666666666666,320
13.75,323
13.833333333333334,330
13.916666666666666,327
14,327
14.083333333333334,331
14.166666666666666,329
14.25,330
14.333333333333334,333
14.416666666666666,332
14.5,332
14.583333333333334,336
14.666666666666666,333
14.75,332
14.833333333333334,335
14.916666666666666,333
15,329
15.083333333333334,337
15.166666666666666,333
15.25,334
15.333333333333334,332
15.416666666666666,331
15.5,332
15.583333333333334,339
15.666666666666666,329
15.75,334
15.833333333333334,340
15.916666666666666,339
16,337
16.083333333333332,339
16.166666666666668,340
16.25,339
16.333333333333332,343
16.416666666666668,345
16.5,343
16.583333333333332,345
16.666666666666668,349
16.75,346
16.833333333333332,346
16.916666666666668,350
17,344
17.083333333333332,341
17.166666666666668,340
17.25,342
17.333333333333332,346
17.416666666666668,345
17.5,341
17.583333333333332,345
17.666666666666668,339
17.75,351
17.833333333333332,344
17.916666666666668,342
18,345
18.083333333333332,344
18.166666666666668,349
18.25,350
18.333333333333332,353
18.416666666666668,350
18.5,350
18.583333333333332,353
18.666666666666668,356
18.75,349
