"Hours since thread went live","30-sai made Doutei dato Mahoutsukai ni Nareru Rashii • Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?! - Episode 9 discussion"
0,1
0,1
0.08333333333333333,2
0.16666666666666666,2
0.25,5
0.3333333333333333,5
0.4166666666666667,6
0.5,8
0.5833333333333334,11
0.6666666666666666,11
0.75,11
0.8333333333333334,11
0.9166666666666666,13
1,14
1.0833333333333333,15
1.1666666666666667,15
1.25,16
1.3333333333333333,16
1.4166666666666667,18
1.5,19
1.5833333333333333,17
1.6666666666666667,20
1.75,20
1.8333333333333333,22
1.9166666666666667,23
2,22
2.0833333333333335,20
2.1666666666666665,21
2.25,22
2.3333333333333335,21
2.4166666666666665,23
2.5,22
2.5833333333333335,23
2.6666666666666665,21
2.75,25
2.8333333333333335,24
2.9166666666666665,27
3,27
3.0833333333333335,29
3.1666666666666665,28
3.25,29
3.3333333333333335,33
3.4166666666666665,31
3.5,30
3.5833333333333335,35
3.6666666666666665,33
3.75,33
3.8333333333333335,33
3.9166666666666665,37
4,35
4.083333333333333,41
4.166666666666667,40
4.25,38
4.333333333333333,44
4.416666666666667,43
4.5,43
4.583333333333333,38
4.666666666666667,44
4.75,46
4.833333333333333,46
4.916666666666667,46
5,43
5.083333333333333,48
5.166666666666667,47
5.25,52
5.333333333333333,51
5.416666666666667,54
5.5,53
5.583333333333333,50
5.666666666666667,53
5.75,54
5.833333333333333,57
5.916666666666667,59
6,56
6.083333333333333,54
6.166666666666667,54
6.25,57
6.333333333333333,60
6.416666666666667,60
6.5,57
6.583333333333333,60
6.666666666666667,62
6.75,60
6.833333333333333,58
6.916666666666667,64
7,59
7.083333333333333,62
7.166666666666667,57
7.25,60
7.333333333333333,63
7.416666666666667,64
7.5,63
7.583333333333333,66
7.666666666666667,67
7.75,66
7.833333333333333,65
7.916666666666667,69
8,66
8.083333333333334,71
8.166666666666666,66
8.25,70
8.333333333333334,70
8.416666666666666,69
8.5,72
8.583333333333334,68
8.666666666666666,67
8.75,67
8.833333333333334,69
8.916666666666666,69
9,69
9.083333333333334,69
9.166666666666666,72
9.25,71
9.333333333333334,72
9.416666666666666,72
9.5,74
9.583333333333334,75
9.666666666666666,73
9.75,76
9.833333333333334,74
9.916666666666666,74
10,74
10.083333333333334,76
10.166666666666666,76
10.25,74
10.333333333333334,70
10.416666666666666,73
10.5,75
10.583333333333334,75
10.666666666666666,75
10.75,74
10.833333333333334,77
10.916666666666666,77
11,78
11.083333333333334,79
11.166666666666666,80
11.25,77
11.333333333333334,79
11.416666666666666,76
11.5,77
11.583333333333334,78
11.666666666666666,76
11.75,75
11.833333333333334,79
11.916666666666666,79
12,80
12.083333333333334,76
12.166666666666666,77
12.25,78
12.333333333333334,83
12.416666666666666,83
12.5,79
12.583333333333334,79
12.666666666666666,82
12.75,83
12.833333333333334,86
12.916666666666666,83
13,84
13.083333333333334,80
13.166666666666666,84
13.25,81
13.333333333333334,83
13.416666666666666,84
13.5,80
13.583333333333334,84
13.666666666666666,86
13.75,80
13.833333333333334,82
13.916666666666666,87
14,88
14.083333333333334,81
14.166666666666666,88
14.25,82
14.333333333333334,82
14.416666666666666,87
14.5,84
14.583333333333334,86
14.666666666666666,86
14.75,81
14.833333333333334,81
14.916666666666666,83
15,82
15.083333333333334,84
15.166666666666666,84
15.25,84
15.333333333333334,88
15.416666666666666,86
15.5,87
15.583333333333334,88
15.666666666666666,84
15.75,87
15.833333333333334,83
15.916666666666666,83
16,83
16.083333333333332,86
16.166666666666668,85
16.25,87
16.333333333333332,82
16.416666666666668,84
16.5,86
16.583333333333332,85
16.666666666666668,85
16.75,84
16.833333333333332,86
16.916666666666668,88
17,84
17.083333333333332,84
17.166666666666668,87
17.25,87
17.333333333333332,84
17.416666666666668,90
17.5,86
17.583333333333332,84
17.666666666666668,85
17.75,89
17.833333333333332,90
17.916666666666668,92
18,87
18.083333333333332,89
18.166666666666668,91
18.25,90
18.333333333333332,85
18.416666666666668,88
18.5,91
18.583333333333332,88
18.666666666666668,89
18.75,86
18.833333333333332,87
18.916666666666668,94
19,87
19.083333333333332,93
19.166666666666668,92
19.25,92
19.333333333333332,91
19.416666666666668,96
19.5,90
19.583333333333332,92
19.666666666666668,94
19.75,94
19.833333333333332,94
19.916666666666668,97
20,94
20.083333333333332,94
20.166666666666668,90
20.25,93
20.333333333333332,94
20.416666666666668,93
20.5,94
20.583333333333332,93
20.666666666666668,91
20.75,96
20.833333333333332,95
20.916666666666668,95
21,90
21.083333333333332,94
21.166666666666668,96
21.25,93
21.333333333333332,95
21.416666666666668,92
21.5,96
21.583333333333332,95
21.666666666666668,94
21.75,97
21.833333333333332,98
21.916666666666668,95
22,93
22.083333333333332,96
22.166666666666668,96
22.25,96
22.333333333333332,100
22.416666666666668,95
22.5,97
22.583333333333332,94
22.666666666666668,97
22.75,96
22.833333333333332,96
22.916666666666668,97
23,100
23.083333333333332,97
23.166666666666668,97
23.25,95
23.333333333333332,97
23.416666666666668,94
23.5,96
23.583333333333332,96
23.666666666666668,93
23.75,94
23.833333333333332,101
23.916666666666668,94
24,95
24.083333333333332,98
24.166666666666668,98
24.25,99
24.333333333333332,100
24.416666666666668,97
24.5,97
24.583333333333332,95
24.666666666666668,95
24.75,101
24.833333333333332,97
24.916666666666668,97
25,97
25.083333333333332,98
25.166666666666668,97
25.25,96
25.333333333333332,98
25.416666666666668,98
25.5,98
25.583333333333332,102
25.666666666666668,96
25.75,98
25.833333333333332,98
25.916666666666668,97
26,99
26.083333333333332,98
26.166666666666668,101
26.25,101
26.333333333333332,97
26.416666666666668,99
26.5,104
26.583333333333332,100
26.666666666666668,104
26.75,101
26.833333333333332,100
26.916666666666668,99
27,100
27.083333333333332,97
27.166666666666668,103
27.25,103
27.333333333333332,105
27.416666666666668,103
27.5,99
27.583333333333332,98
27.666666666666668,99
27.75,99
27.833333333333332,102
27.916666666666668,100
28,103
28.083333333333332,99
28.166666666666668,104
28.25,101
28.333333333333332,105
28.416666666666668,102
28.5,101
28.583333333333332,103
28.666666666666668,105
28.75,101
28.833333333333332,103
28.916666666666668,99
29,103
29.083333333333332,101
29.166666666666668,104
29.25,101
29.333333333333332,104
29.416666666666668,103
29.5,100
29.583333333333332,100
29.666666666666668,101
29.75,104
29.833333333333332,104
29.916666666666668,104
30,99
30.083333333333332,102
30.166666666666668,103
30.25,104
30.333333333333332,103
30.416666666666668,104
30.5,105
30.583333333333332,100
30.666666666666668,103
30.75,101
30.833333333333332,104
30.916666666666668,105
31,104
31.083333333333332,103
31.166666666666668,107
31.25,101
31.333333333333332,100
31.416666666666668,103
31.5,99
31.583333333333332,104
31.666666666666668,106
31.75,99
31.833333333333332,101
31.916666666666668,101
32,102
32.083333333333336,104
32.166666666666664,102
32.25,103
32.333333333333336,102
32.416666666666664,104
32.5,99
32.583333333333336,100
32.666666666666664,103
32.75,103
32.833333333333336,102
32.916666666666664,106
33,107
33.083333333333336,105
33.166666666666664,107
33.25,103
33.333333333333336,109
33.416666666666664,107
33.5,108
33.583333333333336,105
33.666666666666664,109
33.75,103
33.833333333333336,106
33.916666666666664,107
34,105
34.083333333333336,107
34.166666666666664,107
34.25,107
34.333333333333336,109
34.416666666666664,106
34.5,105
34.583333333333336,106
34.666666666666664,104
34.75,104
34.833333333333336,106
34.916666666666664,105
35,109
35.083333333333336,105
35.166666666666664,103
35.25,105
35.333333333333336,106
35.416666666666664,105
35.5,107
35.583333333333336,104
35.666666666666664,104
35.75,105
35.833333333333336,109
35.916666666666664,108
36,106
36.083333333333336,103
36.166666666666664,108
36.25,110
36.333333333333336,106
36.416666666666664,107
36.5,108
36.583333333333336,104
36.666666666666664,107
36.75,105
36.833333333333336,104
36.916666666666664,105
37,108
37.083333333333336,106
37.166666666666664,109
37.25,107
37.333333333333336,107
37.416666666666664,107
37.5,103
37.583333333333336,107
37.666666666666664,106
37.75,103
37.833333333333336,106
37.916666666666664,107
38,106
38.083333333333336,107
38.166666666666664,108
38.25,102
38.333333333333336,109
38.416666666666664,109
38.5,107
38.583333333333336,105
