"Hours since thread went live","Majo to Yajuu • The Witch and the Beast - Episode 8 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,2
0.25,2
0.3333333333333333,4
0.4166666666666667,5
0.5,6
0.5833333333333334,5
0.6666666666666666,9
0.75,11
0.8333333333333334,13
0.9166666666666666,14
1,17
1.0833333333333333,22
1.1666666666666667,24
1.25,25
1.3333333333333333,25
1.4166666666666667,26
1.5,30
1.5833333333333333,33
1.6666666666666667,35
1.75,34
1.8333333333333333,34
1.9166666666666667,41
2,40
2.0833333333333335,42
2.1666666666666665,45
2.25,45
2.3333333333333335,49
2.4166666666666665,50
2.5,51
2.5833333333333335,55
2.6666666666666665,56
2.75,62
2.8333333333333335,61
2.9166666666666665,65
3,65
3.0833333333333335,65
3.1666666666666665,69
3.25,73
3.3333333333333335,77
3.4166666666666665,78
3.5,81
3.5833333333333335,84
3.6666666666666665,88
3.75,91
3.8333333333333335,94
3.9166666666666665,90
4,97
4.083333333333333,98
4.166666666666667,100
4.25,104
4.333333333333333,105
4.416666666666667,107
4.5,106
4.583333333333333,109
4.666666666666667,109
4.75,113
4.833333333333333,116
4.916666666666667,117
5,121
5.083333333333333,122
5.166666666666667,121
5.25,130
5.333333333333333,130
5.416666666666667,134
5.5,133
5.583333333333333,134
5.666666666666667,134
5.75,134
5.833333333333333,134
5.916666666666667,140
6,136
6.083333333333333,142
6.166666666666667,139
6.25,139
6.333333333333333,141
6.416666666666667,139
6.5,140
6.583333333333333,138
6.666666666666667,139
6.75,141
6.833333333333333,145
6.916666666666667,143
7,145
7.083333333333333,148
7.166666666666667,146
7.25,146
7.333333333333333,144
7.416666666666667,146
7.5,150
7.583333333333333,151
7.666666666666667,148
7.75,151
7.833333333333333,152
7.916666666666667,154
8,158
8.083333333333334,153
8.166666666666666,160
8.25,163
8.333333333333334,161
8.416666666666666,161
8.5,166
8.583333333333334,169
8.666666666666666,168
8.75,173
8.833333333333334,170
8.916666666666666,174
9,174
9.083333333333334,176
9.166666666666666,176
9.25,181
9.333333333333334,182
9.416666666666666,181
9.5,183
9.583333333333334,186
9.666666666666666,183
9.75,187
9.833333333333334,190
9.916666666666666,188
10,193
10.083333333333334,196
10.166666666666666,194
10.25,198
10.333333333333334,196
10.416666666666666,201
10.5,206
10.583333333333334,205
10.666666666666666,203
10.75,201
10.833333333333334,206
10.916666666666666,210
11,208
11.083333333333334,210
11.166666666666666,210
11.25,214
11.333333333333334,210
11.416666666666666,215
11.5,212
11.583333333333334,216
11.666666666666666,218
11.75,212
11.833333333333334,219
11.916666666666666,217
12,216
12.083333333333334,218
12.166666666666666,222
12.25,220
12.333333333333334,226
12.416666666666666,221
12.5,227
12.583333333333334,226
12.666666666666666,230
12.75,227
12.833333333333334,231
12.916666666666666,228
13,229
13.083333333333334,226
13.166666666666666,226
13.25,233
13.333333333333334,234
13.416666666666666,237
13.5,237
13.583333333333334,238
13.666666666666666,241
13.75,245
13.833333333333334,246
13.916666666666666,243
14,248
14.083333333333334,245
14.166666666666666,248
14.25,244
14.333333333333334,245
14.416666666666666,242
14.5,246
14.583333333333334,247
14.666666666666666,246
14.75,252
14.833333333333334,250
14.916666666666666,251
15,252
15.083333333333334,252
15.166666666666666,252
15.25,256
15.333333333333334,255
15.416666666666666,255
15.5,261
15.583333333333334,260
15.666666666666666,260
15.75,260
15.833333333333334,257
15.916666666666666,262
16,262
16.083333333333332,260
16.166666666666668,259
16.25,262
16.333333333333332,261
16.416666666666668,263
16.5,264
16.583333333333332,265
16.666666666666668,267
16.75,264
16.833333333333332,265
16.916666666666668,268
17,266
17.083333333333332,266
17.166666666666668,268
17.25,268
17.333333333333332,271
17.416666666666668,271
17.5,266
17.583333333333332,272
17.666666666666668,270
17.75,270
17.833333333333332,270
17.916666666666668,271
18,274
18.083333333333332,272
18.166666666666668,272
18.25,271
18.333333333333332,274
18.416666666666668,273
18.5,272
18.583333333333332,278
18.666666666666668,275
18.75,274
18.833333333333332,274
18.916666666666668,272
19,276
19.083333333333332,274
19.166666666666668,276
19.25,273
19.333333333333332,278
19.416666666666668,276
19.5,277
19.583333333333332,276
19.666666666666668,275
19.75,280
19.833333333333332,279
19.916666666666668,280
20,283
20.083333333333332,283
20.166666666666668,280
20.25,283
20.333333333333332,282
20.416666666666668,281
20.5,284
20.583333333333332,281
20.666666666666668,281
20.75,280
20.833333333333332,285
20.916666666666668,283
21,285
21.083333333333332,286
21.166666666666668,283
21.25,289
21.333333333333332,284
21.416666666666668,285
21.5,288
21.583333333333332,289
21.666666666666668,293
21.75,293
21.833333333333332,289
21.916666666666668,293
22,292
22.083333333333332,293
22.166666666666668,295
22.25,293
22.333333333333332,294
22.416666666666668,298
22.5,293
22.583333333333332,291
22.666666666666668,293
22.75,292
22.833333333333332,297
22.916666666666668,295
23,293
23.083333333333332,297
23.166666666666668,294
23.25,293
23.333333333333332,293
23.416666666666668,298
23.5,296
23.583333333333332,298
23.666666666666668,296
23.75,301
23.833333333333332,294
23.916666666666668,299
24,297
24.083333333333332,299
24.166666666666668,299
24.25,300
24.333333333333332,299
24.416666666666668,296
24.5,296
24.583333333333332,303
24.666666666666668,298
24.75,304
24.833333333333332,301
24.916666666666668,300
25,299
25.083333333333332,300
25.166666666666668,298
25.25,306
25.333333333333332,302
25.416666666666668,300
25.5,299
25.583333333333332,300
25.666666666666668,302
25.75,302
25.833333333333332,302
25.916666666666668,301
26,300
26.083333333333332,302
26.166666666666668,304
26.25,303
26.333333333333332,302
26.416666666666668,302
26.5,303
26.583333333333332,301
26.666666666666668,302
26.75,304
26.833333333333332,299
26.916666666666668,304
27,301
27.083333333333332,306
27.166666666666668,304
27.25,302
27.333333333333332,306
27.416666666666668,307
27.5,300
27.583333333333332,302
27.666666666666668,305
27.75,305
27.833333333333332,304
27.916666666666668,303
28,302
28.083333333333332,304
28.166666666666668,302
28.25,304
28.333333333333332,301
28.416666666666668,301
28.5,303
28.583333333333332,304
28.666666666666668,305
28.75,305
28.833333333333332,304
28.916666666666668,304
29,304
29.083333333333332,307
29.166666666666668,307
29.25,309
29.333333333333332,304
29.416666666666668,303
29.5,302
29.583333333333332,305
29.666666666666668,301
29.75,305
29.833333333333332,304
29.916666666666668,301
30,306
30.083333333333332,304
30.166666666666668,305
30.25,303
30.333333333333332,304
30.416666666666668,307
30.5,302
30.583333333333332,306
30.666666666666668,301
30.75,303
30.833333333333332,304
30.916666666666668,309
31,302
31.083333333333332,304
31.166666666666668,303
31.25,305
31.333333333333332,305
31.416666666666668,305
31.5,309
31.583333333333332,303
31.666666666666668,305
31.75,304
31.833333333333332,304
31.916666666666668,310
32,308
32.083333333333336,308
32.166666666666664,310
32.25,307
32.333333333333336,308
32.416666666666664,308
32.5,308
32.583333333333336,309
32.666666666666664,307
32.75,307
32.833333333333336,313
32.916666666666664,309
33,309
33.083333333333336,309
33.166666666666664,313
33.25,313
33.333333333333336,312
33.416666666666664,306
33.5,314
33.583333333333336,317
33.666666666666664,311
33.75,307
33.833333333333336,310
33.916666666666664,315
34,314
34.083333333333336,314
34.166666666666664,310
34.25,310
34.333333333333336,315
34.416666666666664,316
34.5,319
34.583333333333336,315
34.666666666666664,308
34.75,311
34.833333333333336,313
34.916666666666664,313
35,313
35.083333333333336,317
35.166666666666664,320
35.25,314
35.333333333333336,311
35.416666666666664,312
35.5,313
35.583333333333336,317
35.666666666666664,319
35.75,312
35.833333333333336,316
35.916666666666664,317
36,311
36.083333333333336,320
36.166666666666664,317
36.25,319
36.333333333333336,319
36.416666666666664,317
36.5,322
36.583333333333336,320
36.666666666666664,314
36.75,319
36.833333333333336,318
36.916666666666664,318
37,319
37.083333333333336,315
37.166666666666664,314
37.25,320
37.333333333333336,316
37.416666666666664,313
37.5,318
37.583333333333336,318
37.666666666666664,318
37.75,314
37.833333333333336,315
37.916666666666664,322
38,317
38.083333333333336,315
38.166666666666664,316
38.25,311
38.333333333333336,318
38.416666666666664,313
38.5,317
38.583333333333336,320
38.666666666666664,321
38.75,319
38.833333333333336,311
38.916666666666664,315
39,321
