"Hours since thread went live","Sokushi Cheat ga Saikyou Sugite, Isekai no Yatsura ga Marude Aite ni Naranaindesu ga. • My Instant Death Ability Is So Overpowered, No One in This Other World Stands a Chance Against Me! - Episode 10 discussion"
0,1
0.08333333333333333,6
0.16666666666666666,12
0.25,15
0.3333333333333333,19
0.4166666666666667,22
0.5,28
0.5833333333333334,34
0.6666666666666666,39
0.75,44
0.8333333333333334,51
0.9166666666666666,51
1,57
1.0833333333333333,60
1.1666666666666667,64
1.25,64
1.3333333333333333,67
1.4166666666666667,67
1.5,73
1.5833333333333333,73
1.6666666666666667,76
1.75,80
1.8333333333333333,82
1.9166666666666667,88
2,90
2.0833333333333335,90
2.1666666666666665,93
2.25,95
2.3333333333333335,97
2.4166666666666665,99
2.5,95
2.5833333333333335,99
2.6666666666666665,98
2.75,102
2.8333333333333335,100
2.9166666666666665,101
3,108
3.0833333333333335,109
3.1666666666666665,113
3.25,117
3.3333333333333335,119
3.4166666666666665,116
3.5,124
3.5833333333333335,121
3.6666666666666665,120
3.75,124
3.8333333333333335,130
3.9166666666666665,137
4,134
4.083333333333333,138
4.166666666666667,144
4.25,144
4.333333333333333,146
4.416666666666667,149
4.5,152
4.583333333333333,155
4.666666666666667,157
4.75,156
4.833333333333333,159
4.916666666666667,159
5,166
5.083333333333333,172
5.166666666666667,169
5.25,173
5.333333333333333,171
5.416666666666667,175
5.5,175
5.583333333333333,181
5.666666666666667,178
5.75,186
5.833333333333333,183
5.916666666666667,185
6,189
6.083333333333333,195
6.166666666666667,198
6.25,193
6.333333333333333,197
6.416666666666667,199
6.5,197
6.583333333333333,198
6.666666666666667,204
6.75,203
6.833333333333333,198
6.916666666666667,204
7,205
7.083333333333333,206
7.166666666666667,209
7.25,210
7.333333333333333,215
7.416666666666667,216
7.5,212
7.583333333333333,218
7.666666666666667,214
7.75,216
7.833333333333333,218
7.916666666666667,220
8,228
8.083333333333334,226
8.166666666666666,229
8.25,233
8.333333333333334,236
8.416666666666666,230
8.5,236
8.583333333333334,237
8.666666666666666,237
8.75,238
8.833333333333334,237
8.916666666666666,242
9,244
9.083333333333334,244
9.166666666666666,241
9.25,246
9.333333333333334,245
9.416666666666666,246
9.5,250
9.583333333333334,251
9.666666666666666,249
9.75,257
9.833333333333334,262
9.916666666666666,260
10,260
10.083333333333334,262
10.166666666666666,264
10.25,266
10.333333333333334,267
10.416666666666666,272
10.5,274
10.583333333333334,273
10.666666666666666,273
10.75,277
10.833333333333334,272
10.916666666666666,274
11,278
11.083333333333334,276
11.166666666666666,280
11.25,276
11.333333333333334,274
11.416666666666666,276
11.5,279
11.583333333333334,277
11.666666666666666,279
11.75,275
11.833333333333334,277
11.916666666666666,282
12,283
12.083333333333334,284
12.166666666666666,285
12.25,285
12.333333333333334,280
12.416666666666666,288
12.5,284
12.583333333333334,286
12.666666666666666,289
12.75,290
12.833333333333334,292
12.916666666666666,291
13,294
13.083333333333334,292
13.166666666666666,297
13.25,301
13.333333333333334,298
13.416666666666666,302
13.5,301
13.583333333333334,303
13.666666666666666,303
13.75,304
13.833333333333334,308
13.916666666666666,305
14,308
14.083333333333334,306
14.166666666666666,308
14.25,306
14.333333333333334,310
14.416666666666666,305
14.5,310
14.583333333333334,307
14.666666666666666,310
14.75,311
