"Hours since thread went live","Beyblade X - Episode 21 discussion"
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,1
0.5,1
0.5833333333333334,1
0.6666666666666666,1
0.75,1
0.8333333333333334,1
0.9166666666666666,2
1,2
1.0833333333333333,2
1.1666666666666667,2
1.25,2
1.3333333333333333,2
1.4166666666666667,2
1.5,2
1.5833333333333333,2
1.6666666666666667,2
1.75,2
1.8333333333333333,2
1.9166666666666667,2
2,2
2.0833333333333335,2
2.1666666666666665,2
2.25,2
2.3333333333333335,2
2.4166666666666665,2
2.5,2
2.5833333333333335,2
2.6666666666666665,2
2.75,2
2.8333333333333335,2
2.9166666666666665,2
3,2
3.0833333333333335,2
3.1666666666666665,2
3.25,2
3.3333333333333335,2
3.4166666666666665,2
3.5,2
3.5833333333333335,2
3.6666666666666665,2
3.75,2
3.8333333333333335,2
3.9166666666666665,2
4,2
4.083333333333333,2
4.166666666666667,2
4.25,2
4.333333333333333,2
4.416666666666667,2
4.5,2
4.583333333333333,2
4.666666666666667,2
4.75,2
4.833333333333333,2
4.916666666666667,2
5,2
5.083333333333333,2
5.166666666666667,2
5.25,2
5.333333333333333,2
5.416666666666667,2
5.5,2
5.583333333333333,2
5.666666666666667,2
5.75,2
5.833333333333333,2
5.916666666666667,2
6,3
6.083333333333333,3
6.166666666666667,3
6.25,3
6.333333333333333,3
6.416666666666667,3
6.5,3
6.583333333333333,3
6.666666666666667,3
6.75,3
6.833333333333333,3
6.916666666666667,3
7,3
7.083333333333333,3
7.166666666666667,3
7.25,3
7.333333333333333,3
7.416666666666667,3
7.5,3
7.583333333333333,3
7.666666666666667,3
7.75,3
7.833333333333333,3
7.916666666666667,3
8,3
8.083333333333334,3
8.166666666666666,3
8.25,3
8.333333333333334,3
8.416666666666666,3
8.5,3
8.583333333333334,3
8.666666666666666,3
8.75,3
8.833333333333334,3
8.916666666666666,3
9,3
9.083333333333334,3
9.166666666666666,3
9.25,3
9.333333333333334,3
9.416666666666666,3
9.5,3
9.583333333333334,3
9.666666666666666,3
9.75,3
9.833333333333334,3
9.916666666666666,3
10,3
10.083333333333334,3
10.166666666666666,3
10.25,3
10.333333333333334,3
10.416666666666666,3
10.5,3
10.583333333333334,3
10.666666666666666,3
10.75,3
10.833333333333334,3
10.916666666666666,3
11,3
11.083333333333334,3
11.166666666666666,3
11.25,4
11.333333333333334,4
11.416666666666666,4
11.5,3
11.583333333333334,6
11.666666666666666,4
11.75,6
11.833333333333334,4
11.916666666666666,4
12,3
12.083333333333334,4
12.166666666666666,4
12.25,6
12.333333333333334,4
12.416666666666666,3
12.5,3
12.583333333333334,4
12.666666666666666,5
12.75,5
12.833333333333334,4
12.916666666666666,3
13,4
13.083333333333334,3
13.166666666666666,2
13.25,3
13.333333333333334,4
13.416666666666666,5
13.5,3
13.583333333333334,5
13.666666666666666,2
13.75,5
13.833333333333334,2
13.916666666666666,5
14,4
14.083333333333334,6
14.166666666666666,5
14.25,4
14.333333333333334,5
14.416666666666666,6
14.5,3
14.583333333333334,2
14.666666666666666,2
14.75,5
14.833333333333334,4
14.916666666666666,5
15,4
15.083333333333334,4
15.166666666666666,3
15.25,4
15.333333333333334,3
15.416666666666666,4
15.5,3
15.583333333333334,4
15.666666666666666,4
15.75,4
15.833333333333334,5
15.916666666666666,5
16,5
16.083333333333332,7
16.166666666666668,6
16.25,4
16.333333333333332,5
16.416666666666668,5
16.5,6
16.583333333333332,3
16.666666666666668,3
16.75,7
16.833333333333332,7
16.916666666666668,6
17,5
17.083333333333332,4
17.166666666666668,5
17.25,6
17.333333333333332,4
17.416666666666668,5
17.5,6
17.583333333333332,6
17.666666666666668,5
17.75,5
17.833333333333332,4
17.916666666666668,7
18,4
18.083333333333332,5
18.166666666666668,4
18.25,7
18.333333333333332,7
18.416666666666668,5
18.5,4
18.583333333333332,3
18.666666666666668,4
18.75,4
18.833333333333332,5
18.916666666666668,6
19,5
19.083333333333332,4
19.166666666666668,5
19.25,5
19.333333333333332,7
19.416666666666668,3
19.5,4
19.583333333333332,6
19.666666666666668,5
19.75,5
19.833333333333332,4
19.916666666666668,5
20,5
20.083333333333332,6
20.166666666666668,7
20.25,7
20.333333333333332,7
20.416666666666668,5
20.5,6
20.583333333333332,5
20.666666666666668,5
20.75,4
20.833333333333332,4
20.916666666666668,5
21,5
21.083333333333332,5
21.166666666666668,7
21.25,5
21.333333333333332,7
21.416666666666668,3
21.5,6
21.583333333333332,6
21.666666666666668,4
21.75,6
21.833333333333332,5
21.916666666666668,7
22,3
22.083333333333332,5
22.166666666666668,5
22.25,5
22.333333333333332,4
22.416666666666668,4
22.5,6
22.583333333333332,5
22.666666666666668,6
22.75,4
22.833333333333332,5
22.916666666666668,6
23,7
23.083333333333332,6
23.166666666666668,7
23.25,6
23.333333333333332,4
23.416666666666668,3
23.5,3
23.583333333333332,5
23.666666666666668,6
23.75,5
23.833333333333332,6
23.916666666666668,4
24,4
24.083333333333332,6
24.166666666666668,6
24.25,3
24.333333333333332,4
24.416666666666668,3
24.5,5
24.583333333333332,6
24.666666666666668,5
24.75,3
24.833333333333332,6
24.916666666666668,6
25,5
25.083333333333332,5
25.166666666666668,5
25.25,6
25.333333333333332,4
25.416666666666668,5
25.5,6
25.583333333333332,3
25.666666666666668,6
25.75,5
25.833333333333332,5
25.916666666666668,7
26,6
26.083333333333332,5
26.166666666666668,6
26.25,3
26.333333333333332,7
26.416666666666668,4
26.5,6
26.583333333333332,7
26.666666666666668,6
26.75,5
26.833333333333332,4
26.916666666666668,6
27,3
27.083333333333332,6
27.166666666666668,4
27.25,7
27.333333333333332,5
27.416666666666668,6
27.5,4
27.583333333333332,4
27.666666666666668,5
27.75,7
27.833333333333332,6
27.916666666666668,4
28,6
28.083333333333332,3
28.166666666666668,6
28.25,4
28.333333333333332,5
28.416666666666668,3
28.5,3
28.583333333333332,5
28.666666666666668,5
28.75,4
28.833333333333332,5
28.916666666666668,4
29,5
29.083333333333332,4
29.166666666666668,5
29.25,5
29.333333333333332,3
29.416666666666668,6
29.5,4
29.583333333333332,4
29.666666666666668,4
29.75,7
29.833333333333332,5
29.916666666666668,5
30,4
30.083333333333332,7
30.166666666666668,6
30.25,4
30.333333333333332,5
30.416666666666668,4
30.5,6
30.583333333333332,3
30.666666666666668,4
30.75,4
30.833333333333332,3
30.916666666666668,5
31,7
31.083333333333332,3
31.166666666666668,5
31.25,6
31.333333333333332,6
31.416666666666668,3
31.5,5
31.583333333333332,5
31.666666666666668,4
31.75,4
31.833333333333332,4
31.916666666666668,5
32,5
32.083333333333336,4
32.166666666666664,4
32.25,6
32.333333333333336,4
32.416666666666664,4
32.5,6
32.583333333333336,4
32.666666666666664,7
32.75,4
32.833333333333336,8
32.916666666666664,6
33,6
33.083333333333336,4
33.166666666666664,6
33.25,6
33.333333333333336,6
33.416666666666664,6
33.5,8
33.583333333333336,6
33.666666666666664,4
33.75,5
33.833333333333336,6
33.916666666666664,6
34,5
34.083333333333336,6
34.166666666666664,8
34.25,6
34.333333333333336,6
34.416666666666664,8
34.5,6
34.583333333333336,4
34.666666666666664,4
34.75,6
34.833333333333336,6
34.916666666666664,6
35,7
35.083333333333336,7
35.166666666666664,7
35.25,5
35.333333333333336,6
35.416666666666664,5
35.5,6
35.583333333333336,7
