"Hours since thread went live","Undead Unluck - Episode 22 discussion"
0,1
0.08333333333333333,5
0.16666666666666666,11
0.25,16
0.3333333333333333,20
0.4166666666666667,23
0.5,26
0.5833333333333334,29
0.6666666666666666,35
0.75,42
0.8333333333333334,46
0.9166666666666666,53
1,57
1.0833333333333333,63
1.1666666666666667,68
1.25,71
1.3333333333333333,76
1.4166666666666667,82
1.5,89
1.5833333333333333,97
1.6666666666666667,104
1.75,114
1.8333333333333333,113
1.9166666666666667,115
2,120
2.0833333333333335,122
2.1666666666666665,129
2.25,131
2.3333333333333335,139
2.4166666666666665,145
2.5,152
2.5833333333333335,157
2.6666666666666665,164
2.75,167
2.8333333333333335,176
2.9166666666666665,179
3,183
3.0833333333333335,192
3.1666666666666665,199
3.25,202
3.3333333333333335,206
3.4166666666666665,208
3.5,220
3.5833333333333335,223
3.6666666666666665,228
3.75,233
3.8333333333333335,237
3.9166666666666665,238
4,242
4.083333333333333,244
4.166666666666667,247
4.25,253
4.333333333333333,258
4.416666666666667,258
4.5,265
4.583333333333333,269
4.666666666666667,273
4.75,279
4.833333333333333,279
4.916666666666667,282
5,285
5.083333333333333,287
5.166666666666667,289
5.25,297
5.333333333333333,293
5.416666666666667,302
5.5,309
5.583333333333333,312
5.666666666666667,315
5.75,319
5.833333333333333,321
5.916666666666667,321
6,320
6.083333333333333,326
6.166666666666667,323
6.25,329
6.333333333333333,329
6.416666666666667,335
6.5,337
6.583333333333333,332
6.666666666666667,338
6.75,342
6.833333333333333,347
6.916666666666667,345
7,344
7.083333333333333,351
7.166666666666667,351
7.25,351
7.333333333333333,354
7.416666666666667,350
7.5,362
7.583333333333333,366
7.666666666666667,370
7.75,374
7.833333333333333,380
7.916666666666667,385
8,390
8.083333333333334,391
8.166666666666666,392
8.25,394
8.333333333333334,395
8.416666666666666,401
8.5,396
8.583333333333334,400
8.666666666666666,407
8.75,410
8.833333333333334,415
8.916666666666666,412
9,413
9.083333333333334,423
9.166666666666666,420
9.25,422
9.333333333333334,423
9.416666666666666,421
9.5,427
9.583333333333334,424
9.666666666666666,427
9.75,436
9.833333333333334,434
9.916666666666666,439
10,439
10.083333333333334,440
10.166666666666666,442
10.25,444
10.333333333333334,447
10.416666666666666,448
10.5,453
10.583333333333334,454
10.666666666666666,455
10.75,454
10.833333333333334,461
10.916666666666666,455
11,457
11.083333333333334,467
11.166666666666666,466
11.25,470
11.333333333333334,473
11.416666666666666,470
11.5,479
11.583333333333334,475
11.666666666666666,478
11.75,480
11.833333333333334,477
11.916666666666666,479
12,482
12.083333333333334,481
12.166666666666666,480
12.25,479
12.333333333333334,484
12.416666666666666,491
12.5,485
12.583333333333334,491
12.666666666666666,485
12.75,492
12.833333333333334,498
12.916666666666666,498
13,505
13.083333333333334,505
13.166666666666666,500
13.25,502
13.333333333333334,508
13.416666666666666,509
13.5,510
13.583333333333334,513
13.666666666666666,510
13.75,506
13.833333333333334,511
13.916666666666666,512
14,514
14.083333333333334,510
14.166666666666666,516
14.25,523
14.333333333333334,522
14.416666666666666,523
14.5,521
14.583333333333334,523
14.666666666666666,518
14.75,526
14.833333333333334,524
14.916666666666666,532
15,526
15.083333333333334,528
15.166666666666666,532
15.25,533
15.333333333333334,533
15.416666666666666,535
15.5,537
15.583333333333334,538
15.666666666666666,535
15.75,542
15.833333333333334,540
15.916666666666666,544
16,541
16.083333333333332,545
16.166666666666668,549
16.25,546
16.333333333333332,550
16.416666666666668,557
16.5,556
16.583333333333332,558
16.666666666666668,556
16.75,566
16.833333333333332,564
16.916666666666668,565
17,563
17.083333333333332,563
17.166666666666668,562
17.25,563
17.333333333333332,569
17.416666666666668,570
17.5,567
17.583333333333332,566
17.666666666666668,568
17.75,570
17.833333333333332,572
17.916666666666668,576
18,573
18.083333333333332,582
18.166666666666668,577
18.25,577
18.333333333333332,578
18.416666666666668,574
18.5,579
18.583333333333332,588
18.666666666666668,580
18.75,582
18.833333333333332,589
18.916666666666668,580
19,583
19.083333333333332,583
19.166666666666668,584
19.25,588
19.333333333333332,591
19.416666666666668,588
19.5,591
19.583333333333332,589
19.666666666666668,599
19.75,593
19.833333333333332,593
19.916666666666668,593
20,598
20.083333333333332,603
20.166666666666668,601
20.25,598
20.333333333333332,598
20.416666666666668,602
20.5,603
20.583333333333332,597
20.666666666666668,606
20.75,597
20.833333333333332,598
20.916666666666668,602
21,601
21.083333333333332,597
21.166666666666668,606
21.25,610
21.333333333333332,607
21.416666666666668,608
21.5,612
21.583333333333332,613
21.666666666666668,615
21.75,622
21.833333333333332,621
21.916666666666668,616
22,622
22.083333333333332,618
22.166666666666668,616
22.25,623
22.333333333333332,622
22.416666666666668,626
22.5,620
22.583333333333332,618
22.666666666666668,623
22.75,625
22.833333333333332,631
22.916666666666668,630
23,628
23.083333333333332,631
23.166666666666668,632
23.25,632
23.333333333333332,630
23.416666666666668,636
23.5,627
23.583333333333332,629
23.666666666666668,632
23.75,638
23.833333333333332,632
23.916666666666668,632
24,634
24.083333333333332,640
24.166666666666668,637
24.25,633
24.333333333333332,635
24.416666666666668,632
24.5,631
24.583333333333332,635
24.666666666666668,638
24.75,640
24.833333333333332,637
24.916666666666668,642
25,633
25.083333333333332,638
25.166666666666668,640
25.25,643
25.333333333333332,644
25.416666666666668,642
25.5,645
25.583333333333332,643
25.666666666666668,651
25.75,644
25.833333333333332,644
25.916666666666668,648
26,648
26.083333333333332,653
26.166666666666668,652
26.25,652
26.333333333333332,651
26.416666666666668,655
26.5,655
26.583333333333332,657
26.666666666666668,659
26.75,653
26.833333333333332,652
26.916666666666668,654
27,654
27.083333333333332,657
27.166666666666668,652
27.25,655
27.333333333333332,660
27.416666666666668,658
27.5,661
27.583333333333332,660
27.666666666666668,660
27.75,655
27.833333333333332,660
27.916666666666668,655
28,658
28.083333333333332,659
28.166666666666668,660
28.25,660
28.333333333333332,657
28.416666666666668,663
28.5,667
28.583333333333332,666
28.666666666666668,665
28.75,665
28.833333333333332,663
28.916666666666668,663
29,663
29.083333333333332,667
29.166666666666668,666
29.25,661
29.333333333333332,670
29.416666666666668,670
29.5,668
29.583333333333332,667
29.666666666666668,667
29.75,667
29.833333333333332,669
29.916666666666668,671
30,666
30.083333333333332,663
30.166666666666668,664
