"Hours since thread went live","Pon no Michi • The Way of Pon - Episode 10 discussion"
0,1
0,1
0.08333333333333333,2
0.25,3
0.25,5
0.3333333333333333,6
0.4166666666666667,5
0.5,5
0.5833333333333334,5
0.6666666666666666,5
0.75,6
0.8333333333333334,5
0.9166666666666666,5
1,6
1.0833333333333333,5
1.25,7
1.25,6
1.3333333333333333,6
1.4166666666666667,8
1.5833333333333333,9
1.5833333333333333,9
1.6666666666666667,8
1.75,10
1.8333333333333333,11
1.9166666666666667,10
2,10
2.0833333333333335,11
2.25,10
2.25,11
2.3333333333333335,11
2.4166666666666665,10
2.5,11
2.5833333333333335,10
2.6666666666666665,12
2.75,12
2.8333333333333335,15
2.9166666666666665,14
3,15
3.0833333333333335,14
3.25,15
3.25,15
3.3333333333333335,14
3.4166666666666665,14
3.5,12
3.5833333333333335,14
3.6666666666666665,17
3.75,16
3.8333333333333335,15
3.9166666666666665,16
4,17
4.083333333333333,17
4.25,20
4.25,19
4.333333333333333,21
4.416666666666667,18
4.583333333333333,20
4.583333333333333,20
4.666666666666667,20
4.75,21
4.833333333333333,20
4.916666666666667,20
5,20
5.083333333333333,18
5.25,21
5.25,23
5.333333333333333,21
5.416666666666667,23
5.5,22
5.583333333333333,22
5.666666666666667,22
5.75,23
5.833333333333333,20
5.916666666666667,23
6,23
6.083333333333333,23
6.25,23
6.25,23
6.333333333333333,23
6.416666666666667,22
6.583333333333333,22
6.583333333333333,26
6.666666666666667,25
6.75,23
6.833333333333333,26
6.916666666666667,25
7,26
7.083333333333333,23
7.25,26
7.25,23
7.333333333333333,24
7.416666666666667,25
7.583333333333333,27
7.583333333333333,28
7.666666666666667,27
7.75,27
7.833333333333333,26
7.916666666666667,26
8,29
8.083333333333334,28
8.25,27
8.25,28
8.333333333333334,27
8.416666666666666,27
8.5,29
8.583333333333334,28
8.666666666666666,29
8.75,29
8.833333333333334,26
8.916666666666666,30
9,26
9.083333333333334,33
9.25,28
9.25,32
9.333333333333334,32
9.416666666666666,30
9.5,33
9.583333333333334,34
9.666666666666666,33
9.75,34
9.833333333333334,33
9.916666666666666,38
10,33
10.083333333333334,33
10.25,33
10.25,35
10.333333333333334,33
10.416666666666666,38
10.5,32
10.583333333333334,35
10.666666666666666,32
10.75,33
10.833333333333334,37
10.916666666666666,33
11.083333333333334,36
11.083333333333334,35
11.25,36
11.25,37
11.333333333333334,37
11.416666666666666,39
11.5,41
11.583333333333334,41
11.666666666666666,43
11.75,40
11.833333333333334,37
11.916666666666666,37
12,38
12.083333333333334,40
12.25,37
12.25,40
12.333333333333334,37
12.416666666666666,36
12.5,39
12.583333333333334,41
12.666666666666666,42
12.75,41
12.833333333333334,37
12.916666666666666,41
13,44
13.083333333333334,45
13.25,40
13.25,38
13.333333333333334,40
13.416666666666666,41
13.5,39
13.583333333333334,42
13.666666666666666,42
13.75,39
13.833333333333334,41
13.916666666666666,41
14,47
14.083333333333334,41
14.25,46
14.25,41
14.333333333333334,44
14.416666666666666,45
14.5,40
14.583333333333334,43
14.666666666666666,45
14.75,41
14.833333333333334,39
14.916666666666666,45
15,45
15.083333333333334,44
15.25,41
15.25,43
15.333333333333334,42
15.416666666666666,44
15.5,45
15.583333333333334,47
15.666666666666666,42
15.75,43
15.833333333333334,46
15.916666666666666,44
16,44
16.083333333333332,45
16.25,43
16.25,46
16.333333333333332,41
16.416666666666668,41
16.5,42
16.583333333333332,43
16.666666666666668,41
16.75,45
16.833333333333332,41
16.916666666666668,46
17,46
17.083333333333332,41
17.25,45
17.25,43
17.333333333333332,41
17.416666666666668,45
17.5,47
17.583333333333332,44
17.666666666666668,44
17.75,43
17.833333333333332,44
17.916666666666668,45
18,45
18.083333333333332,42
18.25,43
18.25,46
18.333333333333332,41
18.416666666666668,46
18.5,46
18.583333333333332,46
18.666666666666668,42
18.75,46
18.833333333333332,44
18.916666666666668,44
19,44
19.083333333333332,45
19.25,49
19.25,44
19.333333333333332,45
19.416666666666668,48
19.5,50
19.583333333333332,50
19.666666666666668,48
19.75,47
19.833333333333332,50
19.916666666666668,49
20,49
20.083333333333332,49
20.25,48
20.25,48
20.333333333333332,52
20.416666666666668,48
20.5,50
20.583333333333332,51
20.666666666666668,48
20.75,49
20.833333333333332,49
20.916666666666668,49
21,51
21.083333333333332,47
21.25,48
21.25,46
21.333333333333332,46
21.416666666666668,50
21.5,52
21.583333333333332,47
21.666666666666668,52
21.75,47
21.833333333333332,49
21.916666666666668,50
22,48
22.083333333333332,49
22.25,47
22.25,50
22.333333333333332,49
22.416666666666668,48
22.5,51
22.583333333333332,47
22.666666666666668,49
22.75,51
22.833333333333332,51
22.916666666666668,54
23,52
23.083333333333332,50
23.25,49
23.25,49
23.333333333333332,51
23.416666666666668,50
23.5,53
23.583333333333332,52
23.666666666666668,51
23.75,51
23.833333333333332,51
23.916666666666668,55
24,51
24.083333333333332,53
24.25,51
24.25,54
24.333333333333332,51
24.416666666666668,50
24.5,50
24.583333333333332,55
24.666666666666668,51
24.75,49
24.833333333333332,52
24.916666666666668,53
25,54
25.083333333333332,53
25.25,53
25.25,49
25.333333333333332,52
25.416666666666668,49
25.5,51
25.583333333333332,54
25.666666666666668,52
25.75,53
25.833333333333332,49
25.916666666666668,47
26,51
26.083333333333332,47
26.25,50
26.25,53
26.333333333333332,54
26.416666666666668,47
26.5,54
26.583333333333332,52
26.666666666666668,50
26.75,51
26.833333333333332,48
26.916666666666668,49
27,50
27.083333333333332,52
27.25,51
27.25,52
27.333333333333332,52
27.416666666666668,53
27.5,54
27.583333333333332,49
27.666666666666668,50
27.75,51
27.833333333333332,50
27.916666666666668,53
28,51
28.083333333333332,53
28.25,47
28.25,52
28.333333333333332,53
28.416666666666668,49
28.583333333333332,48
28.583333333333332,54
28.666666666666668,54
28.75,48
28.833333333333332,49
28.916666666666668,51
29,51
29.083333333333332,50
29.25,47
29.25,52
29.333333333333332,52
29.416666666666668,51
29.5,49
29.583333333333332,49
29.666666666666668,53
29.75,49
29.833333333333332,49
29.916666666666668,49
30,54
30.083333333333332,49
30.25,49
30.25,51
30.333333333333332,51
30.416666666666668,54
30.5,51
30.583333333333332,52
30.666666666666668,52
30.75,53
30.833333333333332,50
30.916666666666668,55
31,49
31.083333333333332,55
31.25,54
31.25,55
31.333333333333332,51
31.416666666666668,50
31.5,56
31.583333333333332,50
31.666666666666668,56
31.75,51
31.833333333333332,52
31.916666666666668,49
32,52
32.083333333333336,53
32.25,56
32.25,51
32.333333333333336,54
32.416666666666664,57
32.5,55
32.583333333333336,57
32.666666666666664,50
32.75,53
32.833333333333336,53
32.916666666666664,51
33,51
33.083333333333336,49
33.25,56
33.25,51
33.416666666666664,51
33.416666666666664,56
33.5,56
33.583333333333336,51
33.666666666666664,53
33.75,52
33.833333333333336,56
33.916666666666664,53
34,54
34.083333333333336,56
34.25,51
34.25,50
34.333333333333336,53
34.416666666666664,54
34.5,56
34.583333333333336,57
34.666666666666664,57
34.75,57
34.916666666666664,52
34.916666666666664,55
35,57
35.083333333333336,56
35.25,55
35.25,53
35.333333333333336,58
35.416666666666664,56
35.5,54
35.583333333333336,55
35.75,53
35.75,51
35.833333333333336,54
35.916666666666664,58
36,50
36.083333333333336,53
36.25,56
36.25,53
36.333333333333336,55
36.416666666666664,54
36.5,57
36.583333333333336,56
36.666666666666664,55
36.75,53
36.833333333333336,53
36.916666666666664,54
37,52
37.083333333333336,56
37.25,54
37.25,51
37.333333333333336,54
37.416666666666664,53
37.5,56
37.583333333333336,54
37.666666666666664,55
37.75,51
37.833333333333336,55
37.916666666666664,56
38,50
38.083333333333336,56
38.25,55
38.25,51
38.333333333333336,54
38.416666666666664,52
38.5,54
38.583333333333336,50
38.666666666666664,53
38.75,53
38.833333333333336,50
38.916666666666664,51
39,53
39.083333333333336,51
39.25,50
39.25,53
39.333333333333336,52
39.416666666666664,51
39.583333333333336,54
39.583333333333336,53
39.666666666666664,55
39.75,55
39.833333333333336,55
39.916666666666664,56
40,58
40.083333333333336,51
40.25,54
40.25,53
40.333333333333336,53
40.416666666666664,58
