"Hours since thread went live","Captain Tsubasa Season 2: Junior Youth-hen • 'Captain Tsubasa Jr. Youth Arc - Episode 23 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,1
0.5,1
0.5833333333333334,1
0.6666666666666666,1
0.75,1
0.8333333333333334,1
0.9166666666666666,1
1,1
1.0833333333333333,1
1.1666666666666667,1
1.25,1
1.3333333333333333,1
1.4166666666666667,1
1.5,1
1.5833333333333333,2
1.6666666666666667,2
1.75,2
1.8333333333333333,2
1.9166666666666667,2
2,2
2.0833333333333335,2
2.1666666666666665,2
2.25,2
2.3333333333333335,2
2.4166666666666665,3
2.5,3
2.5833333333333335,3
2.6666666666666665,3
2.75,3
2.8333333333333335,4
2.9166666666666665,5
3,3
3.0833333333333335,3
3.1666666666666665,5
3.25,3
3.3333333333333335,4
3.4166666666666665,4
3.5,5
3.5833333333333335,4
3.6666666666666665,3
3.75,3
3.8333333333333335,4
3.9166666666666665,4
4,5
4.083333333333333,4
4.166666666666667,5
4.25,4
4.333333333333333,5
4.416666666666667,5
4.5,4
4.583333333333333,5
4.666666666666667,4
4.75,4
4.833333333333333,3
4.916666666666667,4
5,5
5.083333333333333,5
5.166666666666667,5
5.25,4
5.333333333333333,4
5.416666666666667,5
5.5,4
5.583333333333333,4
5.666666666666667,5
5.75,5
5.833333333333333,5
5.916666666666667,4
6,5
6.083333333333333,5
6.166666666666667,5
6.25,5
6.333333333333333,6
6.416666666666667,4
6.5,5
6.583333333333333,5
6.666666666666667,5
6.75,7
6.833333333333333,6
6.916666666666667,6
7,4
7.083333333333333,5
7.166666666666667,5
7.25,6
7.333333333333333,5
7.416666666666667,3
7.5,6
7.583333333333333,5
7.666666666666667,5
7.75,3
7.833333333333333,7
7.916666666666667,6
8,4
8.083333333333334,4
8.166666666666666,6
8.25,6
8.333333333333334,5
8.416666666666666,5
8.5,5
8.583333333333334,5
8.666666666666666,5
8.75,5
8.833333333333334,4
8.916666666666666,4
9,4
9.083333333333334,5
9.166666666666666,5
9.25,8
9.333333333333334,8
9.416666666666666,8
9.5,7
9.583333333333334,6
9.666666666666666,6
9.75,6
9.833333333333334,6
9.916666666666666,5
10,7
10.083333333333334,6
10.166666666666666,8
10.25,5
10.333333333333334,7
10.416666666666666,6
10.5,7
10.583333333333334,8
10.666666666666666,5
10.75,8
10.833333333333334,6
10.916666666666666,6
11,5
11.083333333333334,6
11.166666666666666,5
11.25,7
11.333333333333334,6
11.416666666666666,4
11.5,8
11.583333333333334,5
11.666666666666666,4
11.75,8
11.833333333333334,7
11.916666666666666,7
12,7
12.083333333333334,6
12.166666666666666,4
12.25,8
12.333333333333334,8
12.416666666666666,7
12.5,7
12.583333333333334,6
12.666666666666666,6
12.75,4
12.833333333333334,7
12.916666666666666,7
13,6
13.083333333333334,7
13.166666666666666,6
13.25,6
13.333333333333334,7
13.416666666666666,7
13.5,5
13.583333333333334,6
13.666666666666666,5
13.75,7
13.833333333333334,7
13.916666666666666,6
14,6
14.083333333333334,5
14.166666666666666,9
14.25,9
14.333333333333334,7
14.416666666666666,5
14.5,8
14.583333333333334,5
14.666666666666666,8
14.75,8
14.833333333333334,5
14.916666666666666,8
15,5
15.083333333333334,7
15.166666666666666,7
15.25,6
15.333333333333334,6
15.416666666666666,8
15.5,8
15.583333333333334,7
15.666666666666666,8
15.75,7
15.833333333333334,5
15.916666666666666,9
16,7
16.083333333333332,5
16.166666666666668,5
16.25,8
16.333333333333332,7
16.416666666666668,7
16.5,6
16.583333333333332,7
16.666666666666668,8
16.75,9
16.833333333333332,9
16.916666666666668,7
17,8
17.083333333333332,9
17.166666666666668,8
17.25,5
17.333333333333332,10
17.416666666666668,8
17.5,7
17.583333333333332,8
17.666666666666668,7
17.75,8
17.833333333333332,7
17.916666666666668,8
18,9
18.083333333333332,8
18.166666666666668,10
18.25,10
18.333333333333332,9
18.416666666666668,8
18.5,7
18.583333333333332,9
18.666666666666668,9
18.75,9
18.833333333333332,11
18.916666666666668,9
19,8
19.083333333333332,9
19.166666666666668,11
19.25,8
19.333333333333332,8
19.416666666666668,9
19.5,10
19.583333333333332,9
19.666666666666668,10
19.75,8
19.833333333333332,10
19.916666666666668,8
20,10
20.083333333333332,8
20.166666666666668,11
20.25,8
20.333333333333332,9
20.416666666666668,9
20.5,7
20.583333333333332,8
20.666666666666668,10
20.75,10
20.833333333333332,10
20.916666666666668,10
21,8
21.083333333333332,9
21.166666666666668,12
21.25,10
21.333333333333332,9
21.416666666666668,10
21.5,11
21.583333333333332,11
21.666666666666668,12
21.75,12
21.833333333333332,8
21.916666666666668,11
22,8
22.083333333333332,9
22.166666666666668,11
22.25,10
22.333333333333332,9
22.416666666666668,10
22.5,10
22.583333333333332,9
22.666666666666668,11
22.75,8
22.833333333333332,11
22.916666666666668,10
23,11
23.083333333333332,9
23.166666666666668,10
23.25,10
23.333333333333332,10
23.416666666666668,11
23.5,12
23.583333333333332,12
23.666666666666668,11
23.75,10
23.833333333333332,12
23.916666666666668,11
24,10
24.083333333333332,11
24.166666666666668,11
24.25,12
24.333333333333332,9
24.416666666666668,13
24.5,12
24.583333333333332,10
24.666666666666668,11
24.75,9
24.833333333333332,11
24.916666666666668,10
25,9
25.083333333333332,12
25.166666666666668,12
25.25,11
25.333333333333332,12
25.416666666666668,10
25.5,10
25.583333333333332,11
25.666666666666668,10
25.75,12
25.833333333333332,11
25.916666666666668,11
26,10
26.083333333333332,10
26.166666666666668,12
26.25,12
26.333333333333332,11
26.416666666666668,10
26.5,12
26.583333333333332,10
26.666666666666668,11
26.75,11
26.833333333333332,11
26.916666666666668,11
27,11
27.083333333333332,12
27.166666666666668,11
27.25,11
27.333333333333332,12
27.416666666666668,12
27.5,12
27.583333333333332,11
27.666666666666668,13
27.75,11
27.833333333333332,11
27.916666666666668,11
28,13
28.083333333333332,11
28.166666666666668,10
28.25,11
28.333333333333332,11
28.416666666666668,12
28.5,11
28.583333333333332,11
28.666666666666668,10
28.75,13
28.833333333333332,10
28.916666666666668,10
29,11
29.083333333333332,10
29.166666666666668,11
29.25,10
29.333333333333332,9
29.416666666666668,11
29.5,11
29.583333333333332,9
29.666666666666668,11
29.75,13
29.833333333333332,12
29.916666666666668,10
30,13
30.083333333333332,11
30.166666666666668,9
30.25,11
30.333333333333332,10
30.416666666666668,13
30.5,11
30.583333333333332,12
30.666666666666668,11
30.75,11
30.833333333333332,10
30.916666666666668,10
31,10
31.083333333333332,9
31.166666666666668,11
31.25,12
31.333333333333332,10
31.416666666666668,12
31.5,12
31.583333333333332,11
31.666666666666668,12
31.75,11
31.833333333333332,11
31.916666666666668,12
32,9
32.083333333333336,11
32.166666666666664,11
32.25,10
32.333333333333336,12
32.416666666666664,12
32.5,10
32.583333333333336,11
32.666666666666664,11
32.75,11
32.833333333333336,11
32.916666666666664,12
33,11
33.083333333333336,10
33.166666666666664,9
33.25,13
33.333333333333336,13
33.416666666666664,10
33.5,10
33.583333333333336,10
33.666666666666664,9
33.75,10
33.833333333333336,13
33.916666666666664,10
34,11
34.083333333333336,10
34.166666666666664,10
34.25,11
34.333333333333336,11
34.416666666666664,13
34.5,11
34.583333333333336,9
34.666666666666664,10
34.75,11
34.833333333333336,13
34.916666666666664,11
35,13
35.083333333333336,9
35.166666666666664,9
35.25,10
35.333333333333336,12
35.416666666666664,10
35.5,10
35.583333333333336,12
35.666666666666664,12
35.75,11
35.833333333333336,11
35.916666666666664,12
36,12
36.083333333333336,14
36.166666666666664,13
36.25,10
36.333333333333336,10
36.416666666666664,12
36.5,13
36.583333333333336,10
36.666666666666664,13
36.75,11
36.833333333333336,11
36.916666666666664,12
37,12
37.083333333333336,10
37.166666666666664,11
37.25,13
37.333333333333336,14
37.416666666666664,10
37.5,11
37.583333333333336,10
37.666666666666664,12
37.75,12
37.833333333333336,12
37.916666666666664,13
38,12
38.083333333333336,13
38.166666666666664,14
38.25,10
38.333333333333336,12
38.416666666666664,12
38.5,14
38.583333333333336,11
38.666666666666664,12
38.75,11
