"Hours since thread went live","Shangri-La Frontier - Episode 22 discussion"
0,1
0,2
0.08333333333333333,3
0.16666666666666666,9
0.25,13
0.3333333333333333,21
0.4166666666666667,24
0.5,27
0.5833333333333334,34
0.6666666666666666,40
0.75,44
0.8333333333333334,56
0.9166666666666666,68
1,72
1.0833333333333333,81
1.1666666666666667,89
1.25,102
1.3333333333333333,113
1.4166666666666667,117
1.5,125
1.5833333333333333,131
1.6666666666666667,136
1.75,141
1.8333333333333333,150
1.9166666666666667,167
2,173
2.0833333333333335,179
2.1666666666666665,182
2.25,189
2.3333333333333335,198
2.4166666666666665,206
2.5,214
2.5833333333333335,218
2.6666666666666665,227
2.75,231
2.8333333333333335,237
2.9166666666666665,239
3,244
3.0833333333333335,255
3.1666666666666665,257
3.25,263
3.3333333333333335,272
3.4166666666666665,278
3.5,283
3.5833333333333335,286
3.6666666666666665,287
3.75,291
3.8333333333333335,303
3.9166666666666665,314
4,320
4.083333333333333,328
4.166666666666667,338
4.25,349
4.333333333333333,352
4.416666666666667,356
4.5,372
4.583333333333333,382
4.666666666666667,393
4.75,399
4.833333333333333,400
4.916666666666667,409
5,418
5.083333333333333,426
5.166666666666667,434
5.25,437
5.333333333333333,447
5.416666666666667,456
5.5,463
5.583333333333333,460
5.666666666666667,468
5.75,467
5.833333333333333,473
5.916666666666667,484
6,494
6.083333333333333,508
6.166666666666667,514
6.25,522
6.333333333333333,523
6.416666666666667,526
6.5,534
6.583333333333333,536
6.666666666666667,538
6.75,539
6.833333333333333,552
6.916666666666667,554
7,561
7.083333333333333,573
7.166666666666667,577
7.25,586
7.333333333333333,600
7.416666666666667,604
7.5,605
7.583333333333333,614
7.666666666666667,615
7.75,620
7.833333333333333,626
7.916666666666667,635
8,647
8.083333333333334,643
8.166666666666666,646
8.25,649
8.333333333333334,657
8.416666666666666,655
8.5,665
8.583333333333334,673
8.666666666666666,674
8.75,684
8.833333333333334,689
8.916666666666666,691
9,697
9.083333333333334,705
9.166666666666666,712
9.25,714
9.333333333333334,720
9.416666666666666,730
9.5,726
9.583333333333334,730
9.666666666666666,730
9.75,737
9.833333333333334,750
9.916666666666666,751
10,760
10.083333333333334,765
10.166666666666666,770
10.25,774
10.333333333333334,774
10.416666666666666,778
10.5,777
10.583333333333334,785
10.666666666666666,789
10.75,792
10.833333333333334,799
10.916666666666666,803
11,800
11.083333333333334,810
11.166666666666666,806
11.25,818
11.333333333333334,820
11.416666666666666,822
11.5,827
11.583333333333334,833
11.666666666666666,835
11.75,842
11.833333333333334,839
11.916666666666666,844
12,846
12.083333333333334,850
12.166666666666666,858
12.25,864
12.333333333333334,863
12.416666666666666,863
12.5,867
12.583333333333334,871
12.666666666666666,872
12.75,872
12.833333333333334,876
12.916666666666666,881
13,884
13.083333333333334,887
13.166666666666666,891
13.25,895
13.333333333333334,893
13.416666666666666,893
13.5,895
13.583333333333334,892
13.666666666666666,894
13.75,899
13.833333333333334,900
13.916666666666666,907
14,909
14.083333333333334,912
14.166666666666666,910
14.25,918
14.333333333333334,919
14.416666666666666,923
14.5,930
14.583333333333334,930
14.666666666666666,927
14.75,932
14.833333333333334,939
14.916666666666666,944
15,942
15.083333333333334,944
15.166666666666666,949
15.25,945
15.333333333333334,949
15.416666666666666,946
15.5,947
15.583333333333334,952
15.666666666666666,951
15.75,953
15.833333333333334,957
15.916666666666666,961
16,960
16.083333333333332,966
16.166666666666668,964
16.25,969
16.333333333333332,970
16.416666666666668,973
16.5,981
16.583333333333332,975
16.666666666666668,978
16.75,989
16.833333333333332,989
16.916666666666668,984
17,989
17.083333333333332,994
17.166666666666668,995
17.25,994
17.333333333333332,998
17.416666666666668,1004
17.5,999
17.583333333333332,996
17.666666666666668,997
17.75,1000
17.833333333333332,997
17.916666666666668,1006
18,1001
18.083333333333332,1003
18.166666666666668,1016
18.25,1009
18.333333333333332,1015
18.416666666666668,1015
18.5,1021
18.583333333333332,1019
18.666666666666668,1015
18.75,1025
18.833333333333332,1023
18.916666666666668,1026
19,1033
19.083333333333332,1026
19.166666666666668,1025
19.25,1034
19.333333333333332,1035
19.416666666666668,1036
19.5,1033
19.583333333333332,1041
19.666666666666668,1036
19.75,1044
19.833333333333332,1046
19.916666666666668,1046
20,1043
20.083333333333332,1047
20.166666666666668,1053
20.25,1054
20.333333333333332,1053
20.416666666666668,1054
20.5,1062
20.583333333333332,1059
20.666666666666668,1059
20.75,1060
20.833333333333332,1065
20.916666666666668,1059
21,1072
21.083333333333332,1068
21.166666666666668,1067
21.25,1072
21.333333333333332,1077
21.416666666666668,1070
21.5,1074
21.583333333333332,1074
21.666666666666668,1080
21.75,1080
21.833333333333332,1081
21.916666666666668,1076
22,1084
22.083333333333332,1088
22.166666666666668,1084
22.25,1084
22.333333333333332,1087
22.416666666666668,1089
22.5,1086
22.583333333333332,1085
22.666666666666668,1087
22.75,1088
22.833333333333332,1084
22.916666666666668,1090
23,1087
23.083333333333332,1091
23.166666666666668,1090
23.25,1088
23.333333333333332,1095
23.416666666666668,1097
23.5,1093
23.583333333333332,1096
23.666666666666668,1097
23.75,1096
23.833333333333332,1102
23.916666666666668,1096
24,1103
24.083333333333332,1098
24.166666666666668,1104
24.25,1100
24.333333333333332,1104
24.416666666666668,1094
24.5,1103
24.583333333333332,1102
24.666666666666668,1103
24.75,1104
24.833333333333332,1102
24.916666666666668,1106
25,1106
25.083333333333332,1104
25.166666666666668,1109
25.25,1109
25.333333333333332,1110
25.416666666666668,1110
25.5,1110
25.583333333333332,1114
25.666666666666668,1111
25.75,1118
25.833333333333332,1111
25.916666666666668,1111
26,1111
26.083333333333332,1115
26.166666666666668,1117
26.25,1120
26.333333333333332,1123
26.416666666666668,1115
26.5,1119
26.583333333333332,1116
26.666666666666668,1119
26.75,1121
26.833333333333332,1126
26.916666666666668,1119
27,1119
27.083333333333332,1126
27.166666666666668,1126
27.25,1127
27.333333333333332,1118
27.416666666666668,1121
27.5,1121
27.583333333333332,1132
27.666666666666668,1126
27.75,1124
27.833333333333332,1128
27.916666666666668,1125
28,1128
28.083333333333332,1130
28.166666666666668,1130
28.25,1125
28.333333333333332,1132
28.416666666666668,1131
28.5,1134
28.583333333333332,1136
28.666666666666668,1130
28.75,1131
28.833333333333332,1136
28.916666666666668,1139
29,1138
29.083333333333332,1139
29.166666666666668,1143
29.25,1134
29.333333333333332,1137
29.416666666666668,1135
29.5,1137
29.583333333333332,1137
29.666666666666668,1143
29.75,1141
29.833333333333332,1139
29.916666666666668,1145
30,1148
30.083333333333332,1144
30.166666666666668,1146
30.25,1149
30.333333333333332,1148
30.416666666666668,1152
30.5,1146
30.583333333333332,1147
30.666666666666668,1151
30.75,1157
30.833333333333332,1158
30.916666666666668,1158
31,1161
31.083333333333332,1163
31.166666666666668,1158
31.25,1160
31.333333333333332,1162
31.416666666666668,1160
31.5,1160
31.583333333333332,1165
31.666666666666668,1163
31.75,1159
31.833333333333332,1160
31.916666666666668,1163
