"Hours since thread went live","Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru • 7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! - Episode 10 discussion"
0,1
0.08333333333333333,4
0.16666666666666666,7
0.25,9
0.3333333333333333,12
0.4166666666666667,20
0.5,23
0.5833333333333334,26
0.6666666666666666,29
0.75,33
0.8333333333333334,41
0.9166666666666666,50
1,52
1.0833333333333333,58
1.1666666666666667,66
1.25,71
1.3333333333333333,73
1.4166666666666667,78
1.5,83
1.5833333333333333,88
1.6666666666666667,90
1.75,95
1.8333333333333333,100
1.9166666666666667,103
2,105
2.0833333333333335,108
2.1666666666666665,108
2.25,121
2.3333333333333335,123
2.4166666666666665,129
2.5,131
2.5833333333333335,135
2.6666666666666665,142
2.75,146
2.8333333333333335,146
2.9166666666666665,150
3,159
3.0833333333333335,157
3.1666666666666665,163
3.25,167
3.3333333333333335,167
3.4166666666666665,167
3.5,179
3.5833333333333335,188
3.6666666666666665,194
3.75,193
3.8333333333333335,196
3.9166666666666665,196
4,201
4.083333333333333,205
4.166666666666667,208
4.25,213
4.333333333333333,219
4.416666666666667,224
4.5,227
4.583333333333333,229
4.666666666666667,235
4.75,241
4.833333333333333,248
4.916666666666667,247
5,250
5.083333333333333,248
5.166666666666667,253
5.25,258
5.333333333333333,261
5.416666666666667,266
5.5,271
5.583333333333333,272
5.666666666666667,281
5.75,285
5.833333333333333,288
5.916666666666667,286
6,289
6.083333333333333,291
6.166666666666667,293
6.25,293
6.333333333333333,295
6.416666666666667,300
6.5,301
6.583333333333333,305
6.666666666666667,308
6.75,315
6.833333333333333,321
6.916666666666667,317
7,325
7.083333333333333,325
7.166666666666667,331
7.25,330
7.333333333333333,337
7.416666666666667,335
7.5,330
7.583333333333333,332
7.666666666666667,331
7.75,343
7.833333333333333,339
7.916666666666667,343
8,353
8.083333333333334,358
8.166666666666666,356
8.25,355
8.333333333333334,355
8.416666666666666,368
8.5,362
8.583333333333334,364
8.666666666666666,364
8.75,369
8.833333333333334,372
8.916666666666666,370
9,375
9.083333333333334,381
9.166666666666666,380
9.25,382
9.333333333333334,383
9.416666666666666,388
9.5,385
9.583333333333334,390
9.666666666666666,396
9.75,396
9.833333333333334,398
9.916666666666666,400
10,402
10.083333333333334,410
10.166666666666666,407
10.25,412
10.333333333333334,418
10.416666666666666,418
10.5,418
10.583333333333334,417
10.666666666666666,418
10.75,421
10.833333333333334,423
10.916666666666666,419
11,425
11.083333333333334,427
11.166666666666666,425
11.25,425
11.333333333333334,423
11.416666666666666,433
11.5,427
