"Hours since thread went live","Meiji Gekken: 1874 - Episode 9 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,2
0.25,2
0.3333333333333333,3
0.4166666666666667,3
0.5,3
0.5833333333333334,3
0.6666666666666666,3
0.75,4
0.8333333333333334,4
0.9166666666666666,4
1,4
1.0833333333333333,3
1.1666666666666667,3
1.25,3
1.3333333333333333,4
1.4166666666666667,2
1.5,3
1.5833333333333333,5
1.6666666666666667,4
1.75,4
1.8333333333333333,5
1.9166666666666667,4
2,4
2.0833333333333335,5
2.1666666666666665,4
2.25,4
2.3333333333333335,5
2.4166666666666665,4
2.5,6
2.5833333333333335,7
2.6666666666666665,4
2.75,8
2.8333333333333335,10
2.9166666666666665,8
3,10
3.0833333333333335,9
3.1666666666666665,11
3.25,10
3.3333333333333335,9
3.4166666666666665,11
3.5,9
3.5833333333333335,12
3.6666666666666665,9
3.75,10
3.8333333333333335,11
3.9166666666666665,11
4,12
4.083333333333333,13
4.166666666666667,12
4.25,13
4.333333333333333,11
4.416666666666667,15
4.5,13
4.583333333333333,12
4.666666666666667,12
4.75,12
4.833333333333333,14
4.916666666666667,13
5,11
5.083333333333333,15
5.166666666666667,16
5.25,16
5.333333333333333,17
5.416666666666667,15
5.5,13
5.583333333333333,14
5.666666666666667,15
5.75,14
5.833333333333333,15
5.916666666666667,17
6,17
6.083333333333333,14
6.166666666666667,17
6.25,16
6.333333333333333,14
6.416666666666667,16
6.5,18
6.583333333333333,17
6.666666666666667,17
6.75,19
6.833333333333333,21
6.916666666666667,20
7,23
7.083333333333333,21
7.166666666666667,22
7.25,23
7.333333333333333,23
7.416666666666667,25
7.5,24
7.583333333333333,25
7.666666666666667,26
7.75,24
7.833333333333333,23
7.916666666666667,22
8,24
8.083333333333334,24
8.166666666666666,24
8.25,23
8.333333333333334,23
8.416666666666666,24
8.5,24
8.583333333333334,23
8.666666666666666,26
8.75,24
8.833333333333334,23
8.916666666666666,24
9,23
9.083333333333334,24
9.166666666666666,24
9.25,26
9.333333333333334,24
9.416666666666666,25
9.5,24
9.583333333333334,26
9.666666666666666,27
9.75,25
9.833333333333334,26
9.916666666666666,27
10,26
10.083333333333334,27
10.166666666666666,27
10.25,27
10.333333333333334,30
10.416666666666666,26
10.5,28
10.583333333333334,28
10.666666666666666,28
10.75,29
10.833333333333334,27
10.916666666666666,29
11,31
11.083333333333334,31
11.166666666666666,30
11.25,32
11.333333333333334,31
11.416666666666666,32
11.5,31
11.583333333333334,31
11.666666666666666,33
11.75,31
11.833333333333334,32
11.916666666666666,31
12,32
12.083333333333334,32
12.166666666666666,31
12.25,31
12.333333333333334,31
12.416666666666666,30
12.5,31
12.583333333333334,33
12.666666666666666,32
12.75,34
12.833333333333334,31
12.916666666666666,33
13,33
13.083333333333334,32
13.166666666666666,34
13.25,31
13.333333333333334,31
13.416666666666666,32
13.5,31
13.583333333333334,34
13.666666666666666,32
13.75,34
13.833333333333334,32
13.916666666666666,32
14,33
14.083333333333334,31
14.166666666666666,32
14.25,31
14.333333333333334,34
14.416666666666666,32
14.5,33
14.583333333333334,34
14.666666666666666,30
14.75,33
14.833333333333334,31
14.916666666666666,31
15,31
15.083333333333334,30
15.166666666666666,33
15.25,31
15.333333333333334,31
15.416666666666666,31
15.5,31
15.583333333333334,31
15.666666666666666,32
15.75,33
15.833333333333334,32
15.916666666666666,32
16,32
16.083333333333332,31
16.166666666666668,32
16.25,32
16.333333333333332,32
16.416666666666668,32
16.5,34
16.583333333333332,29
16.666666666666668,29
16.75,33
16.833333333333332,32
16.916666666666668,34
17,33
17.083333333333332,35
17.166666666666668,38
17.25,35
17.333333333333332,35
17.416666666666668,33
17.5,38
17.583333333333332,30
17.666666666666668,38
17.75,34
17.833333333333332,35
17.916666666666668,34
18,34
18.083333333333332,36
18.166666666666668,31
18.25,31
18.333333333333332,38
18.416666666666668,33
18.5,36
18.583333333333332,35
18.666666666666668,33
18.75,31
18.833333333333332,33
18.916666666666668,34
19,31
19.083333333333332,35
19.166666666666668,35
19.25,32
19.333333333333332,32
19.416666666666668,35
19.5,30
19.583333333333332,34
19.666666666666668,36
19.75,34
19.833333333333332,33
19.916666666666668,32
20,33
20.083333333333332,32
20.166666666666668,33
20.25,34
20.333333333333332,34
20.416666666666668,36
20.5,35
20.583333333333332,32
20.666666666666668,33
20.75,34
20.833333333333332,31
20.916666666666668,35
21,33
21.083333333333332,35
21.166666666666668,31
21.25,35
21.333333333333332,34
21.416666666666668,32
21.5,36
21.583333333333332,33
21.666666666666668,33
21.75,34
21.833333333333332,35
21.916666666666668,35
22,37
22.083333333333332,32
22.166666666666668,33
22.25,34
22.333333333333332,36
22.416666666666668,36
22.5,36
22.583333333333332,35
22.666666666666668,36
22.75,35
22.833333333333332,33
22.916666666666668,31
23,37
23.083333333333332,38
23.166666666666668,36
23.25,31
23.333333333333332,35
23.416666666666668,33
23.5,36
23.583333333333332,33
23.666666666666668,35
23.75,37
23.833333333333332,32
23.916666666666668,36
24,34
24.083333333333332,33
24.166666666666668,38
24.25,32
24.333333333333332,33
24.416666666666668,34
24.5,38
24.583333333333332,37
24.666666666666668,36
24.75,38
24.833333333333332,35
24.916666666666668,36
25,34
25.083333333333332,36
25.166666666666668,35
25.25,35
25.333333333333332,34
25.416666666666668,32
25.5,40
25.583333333333332,34
25.666666666666668,35
25.75,38
25.833333333333332,38
25.916666666666668,36
26,36
26.083333333333332,38
26.166666666666668,40
26.25,34
26.333333333333332,35
26.416666666666668,35
26.5,40
26.583333333333332,37
26.666666666666668,33
26.75,37
26.833333333333332,36
26.916666666666668,38
27,40
27.083333333333332,38
27.166666666666668,33
27.25,39
27.333333333333332,34
27.416666666666668,38
27.5,34
27.583333333333332,33
27.666666666666668,40
27.75,40
27.833333333333332,38
27.916666666666668,39
28,37
28.083333333333332,37
28.166666666666668,40
28.25,34
28.333333333333332,39
28.416666666666668,37
28.5,39
28.583333333333332,40
28.666666666666668,37
28.75,36
28.833333333333332,38
28.916666666666668,39
29,38
29.083333333333332,38
29.166666666666668,36
29.25,37
29.333333333333332,41
29.416666666666668,35
29.5,40
29.583333333333332,41
29.666666666666668,36
29.75,36
29.833333333333332,35
29.916666666666668,36
30,38
30.083333333333332,33
30.166666666666668,36
30.25,38
30.333333333333332,36
30.416666666666668,35
30.5,34
30.583333333333332,35
30.666666666666668,33
30.75,35
30.833333333333332,36
30.916666666666668,35
31,35
31.083333333333332,37
31.166666666666668,37
31.25,36
31.333333333333332,38
31.416666666666668,35
31.5,38
31.583333333333332,37
31.666666666666668,39
31.75,35
31.833333333333332,39
31.916666666666668,38
32,34
32.083333333333336,39
32.166666666666664,36
32.25,38
32.333333333333336,35
32.416666666666664,41
32.5,39
32.583333333333336,37
32.666666666666664,36
32.75,37
32.833333333333336,39
32.916666666666664,39
33,37
33.083333333333336,36
33.166666666666664,38
33.25,36
33.333333333333336,34
33.416666666666664,33
33.5,36
33.583333333333336,40
33.666666666666664,33
33.75,38
33.833333333333336,36
33.916666666666664,37
34,39
34.083333333333336,38
34.166666666666664,38
34.25,38
34.333333333333336,37
34.416666666666664,36
34.5,37
34.583333333333336,41
34.666666666666664,36
34.75,37
34.833333333333336,37
34.916666666666664,40
35,37
35.083333333333336,38
35.166666666666664,41
35.25,40
35.333333333333336,42
35.416666666666664,38
35.5,35
35.583333333333336,38
35.666666666666664,38
35.75,39
35.833333333333336,39
35.916666666666664,41
36,36
36.083333333333336,39
36.166666666666664,34
36.25,40
36.333333333333336,37
36.416666666666664,36
36.5,39
36.583333333333336,39
36.666666666666664,40
36.75,41
36.833333333333336,40
36.916666666666664,42
37,36
37.083333333333336,42
37.166666666666664,37
37.25,37
37.333333333333336,39
37.416666666666664,41
37.5,37
37.583333333333336,36
37.666666666666664,40
37.75,37
37.833333333333336,35
37.916666666666664,37
38,40
38.083333333333336,39
38.166666666666664,37
38.25,36
38.333333333333336,38
38.416666666666664,37
38.5,36
38.583333333333336,40
38.666666666666664,36
38.75,38
38.833333333333336,37
38.916666666666664,40
39,36
39.083333333333336,39
