"Hours since thread went live","Dosanko Gal wa Namara Menkoi • Hokkaido Gals Are Super Adorable! - Episode 10 discussion"
0,1
0.08333333333333333,3
0.16666666666666666,5
0.25,8
0.3333333333333333,7
0.4166666666666667,9
0.5,14
0.5833333333333334,16
0.6666666666666666,16
0.75,19
0.8333333333333334,21
0.9166666666666666,23
1,26
1.0833333333333333,29
1.1666666666666667,33
1.25,35
1.3333333333333333,35
1.4166666666666667,36
1.5,37
1.5833333333333333,36
1.6666666666666667,40
1.75,41
1.8333333333333333,47
1.9166666666666667,53
2,55
2.0833333333333335,57
2.1666666666666665,57
2.25,62
2.3333333333333335,59
2.4166666666666665,63
2.5,66
2.5833333333333335,65
2.6666666666666665,70
2.75,71
2.8333333333333335,73
2.9166666666666665,75
3,80
3.0833333333333335,82
3.1666666666666665,83
3.25,84
3.3333333333333335,89
3.4166666666666665,89
3.5,90
3.5833333333333335,94
3.6666666666666665,96
3.75,98
3.8333333333333335,100
3.9166666666666665,103
4,103
4.083333333333333,105
4.166666666666667,110
4.25,110
4.333333333333333,114
4.416666666666667,109
4.5,115
4.583333333333333,114
4.666666666666667,118
4.75,118
4.833333333333333,118
4.916666666666667,122
5,123
5.083333333333333,123
5.166666666666667,122
5.25,128
5.333333333333333,127
5.416666666666667,127
5.5,129
5.583333333333333,132
5.666666666666667,129
5.75,132
5.833333333333333,132
5.916666666666667,135
6,142
6.083333333333333,143
6.166666666666667,146
6.25,144
6.333333333333333,148
6.416666666666667,151
6.5,152
6.583333333333333,156
6.666666666666667,154
6.75,153
6.833333333333333,157
6.916666666666667,159
7,159
7.083333333333333,162
7.166666666666667,160
7.25,164
7.333333333333333,170
7.416666666666667,168
7.5,170
7.583333333333333,174
7.666666666666667,171
7.75,169
7.833333333333333,174
7.916666666666667,176
8,183
8.083333333333334,185
8.166666666666666,184
8.25,190
8.333333333333334,189
8.416666666666666,194
8.5,191
8.583333333333334,192
8.666666666666666,196
8.75,196
8.833333333333334,200
8.916666666666666,202
9,197
9.083333333333334,204
9.166666666666666,199
9.25,201
9.333333333333334,203
9.416666666666666,204
9.5,204
9.583333333333334,202
9.666666666666666,207
9.75,209
9.833333333333334,211
9.916666666666666,207
10,211
10.083333333333334,210
10.166666666666666,213
10.25,212
10.333333333333334,215
10.416666666666666,214
10.5,214
10.583333333333334,215
10.666666666666666,216
10.75,214
10.833333333333334,220
10.916666666666666,217
11,218
11.083333333333334,218
11.166666666666666,222
11.25,222
11.333333333333334,224
11.416666666666666,225
11.5,223
11.583333333333334,227
11.666666666666666,223
11.75,229
11.833333333333334,229
11.916666666666666,229
12,228
12.083333333333334,229
12.166666666666666,231
12.25,231
12.333333333333334,235
12.416666666666666,236
12.5,234
12.583333333333334,234
12.666666666666666,234
12.75,238
12.833333333333334,235
12.916666666666666,238
13,238
13.083333333333334,237
13.166666666666666,241
13.25,237
13.333333333333334,242
13.416666666666666,242
13.5,240
13.583333333333334,242
13.666666666666666,241
13.75,243
13.833333333333334,244
13.916666666666666,243
14,242
14.083333333333334,247
14.166666666666666,248
14.25,243
14.333333333333334,248
14.416666666666666,250
14.5,249
14.583333333333334,250
14.666666666666666,246
14.75,248
14.833333333333334,252
14.916666666666666,254
15,251
15.083333333333334,250
15.166666666666666,246
15.25,249
15.333333333333334,249
15.416666666666666,253
15.5,251
15.583333333333334,253
15.666666666666666,253
15.75,250
15.833333333333334,253
15.916666666666666,252
16,253
16.083333333333332,256
16.166666666666668,254
16.25,253
16.333333333333332,255
16.416666666666668,254
16.5,253
16.583333333333332,251
16.666666666666668,254
16.75,258
16.833333333333332,258
16.916666666666668,256
17,257
17.083333333333332,257
17.166666666666668,257
17.25,258
17.333333333333332,257
17.416666666666668,258
17.5,259
17.583333333333332,263
17.666666666666668,267
17.75,263
17.833333333333332,262
17.916666666666668,267
18,261
18.083333333333332,265
18.166666666666668,261
18.25,266
18.333333333333332,263
18.416666666666668,267
18.5,266
18.583333333333332,267
18.666666666666668,263
18.75,263
18.833333333333332,262
18.916666666666668,265
19,264
19.083333333333332,264
19.166666666666668,264
19.25,268
19.333333333333332,269
19.416666666666668,267
19.5,272
19.583333333333332,266
19.666666666666668,271
19.75,272
19.833333333333332,268
19.916666666666668,270
20,277
20.083333333333332,271
20.166666666666668,275
20.25,275
20.333333333333332,273
20.416666666666668,275
20.5,271
20.583333333333332,275
20.666666666666668,273
20.75,275
20.833333333333332,277
20.916666666666668,277
21,274
21.083333333333332,278
21.166666666666668,275
21.25,277
21.333333333333332,280
21.416666666666668,278
21.5,278
21.583333333333332,279
21.666666666666668,277
21.75,277
21.833333333333332,276
21.916666666666668,279
22,277
22.083333333333332,278
22.166666666666668,281
22.25,276
22.333333333333332,283
22.416666666666668,282
22.5,285
22.583333333333332,282
22.666666666666668,288
22.75,290
22.833333333333332,289
22.916666666666668,290
23,284
