"Hours since thread went live","Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e Season 3 • Classroom of the Elite Season 3 - Episode 11 discussion"
0,1
0,2
0.08333333333333333,3
0.16666666666666666,4
0.25,5
0.3333333333333333,8
0.4166666666666667,14
0.5,19
0.5833333333333334,22
0.6666666666666666,28
0.75,35
0.8333333333333334,34
0.9166666666666666,39
1,46
1.0833333333333333,50
1.1666666666666667,56
1.25,61
1.3333333333333333,70
1.4166666666666667,77
1.5,80
1.5833333333333333,85
1.6666666666666667,93
1.75,95
1.8333333333333333,102
1.9166666666666667,107
2,120
2.0833333333333335,126
2.1666666666666665,130
2.25,133
2.3333333333333335,146
2.4166666666666665,152
2.5,155
2.5833333333333335,157
2.6666666666666665,166
2.75,176
2.8333333333333335,185
2.9166666666666665,189
3,203
3.0833333333333335,203
3.1666666666666665,206
3.25,214
3.3333333333333335,219
3.4166666666666665,225
3.5,226
3.5833333333333335,232
3.6666666666666665,239
3.75,240
3.8333333333333335,250
3.9166666666666665,259
4,259
4.083333333333333,268
4.166666666666667,266
4.25,271
4.333333333333333,277
4.416666666666667,279
4.5,283
4.583333333333333,283
4.666666666666667,283
4.75,293
4.833333333333333,302
4.916666666666667,304
5,307
5.083333333333333,309
5.166666666666667,318
5.25,321
5.333333333333333,321
5.416666666666667,332
5.5,337
5.583333333333333,338
5.666666666666667,349
5.75,352
5.833333333333333,355
5.916666666666667,361
6,367
6.083333333333333,368
6.166666666666667,371
6.25,368
6.333333333333333,382
6.416666666666667,387
6.5,390
6.583333333333333,390
6.666666666666667,403
6.75,411
6.833333333333333,412
6.916666666666667,421
7,417
7.083333333333333,424
7.166666666666667,430
7.25,435
7.333333333333333,445
7.416666666666667,444
7.5,449
7.583333333333333,446
7.666666666666667,460
7.75,465
7.833333333333333,469
7.916666666666667,477
8,481
8.083333333333334,482
8.166666666666666,486
8.25,492
8.333333333333334,490
8.416666666666666,499
8.5,496
8.583333333333334,505
8.666666666666666,512
8.75,511
8.833333333333334,515
8.916666666666666,521
9,529
9.083333333333334,532
9.166666666666666,536
9.25,541
9.333333333333334,542
9.416666666666666,555
9.5,554
9.583333333333334,555
9.666666666666666,558
9.75,560
9.833333333333334,566
9.916666666666666,567
10,568
10.083333333333334,575
10.166666666666666,581
10.25,581
10.333333333333334,586
10.416666666666666,590
10.5,590
10.583333333333334,600
10.666666666666666,597
10.75,604
10.833333333333334,603
10.916666666666666,604
11,612
11.083333333333334,615
11.166666666666666,618
11.25,617
11.333333333333334,623
11.416666666666666,624
11.5,624
11.583333333333334,632
11.666666666666666,628
11.75,629
11.833333333333334,641
11.916666666666666,638
12,649
12.083333333333334,649
12.166666666666666,649
12.25,657
12.333333333333334,661
12.416666666666666,663
12.5,662
12.583333333333334,663
12.666666666666666,664
12.75,665
12.833333333333334,663
12.916666666666666,668
13,670
13.083333333333334,674
13.166666666666666,665
13.25,670
13.333333333333334,678
13.416666666666666,682
13.5,675
13.583333333333334,683
13.666666666666666,688
13.75,680
13.833333333333334,686
13.916666666666666,681
14,687
14.083333333333334,690
14.166666666666666,688
14.25,694
14.333333333333334,698
14.416666666666666,698
14.5,698
14.583333333333334,700
14.666666666666666,696
14.75,699
14.833333333333334,703
14.916666666666666,710
15,706
15.083333333333334,711
15.166666666666666,710
15.25,713
15.333333333333334,721
15.416666666666666,715
15.5,719
15.583333333333334,723
15.666666666666666,719
15.75,728
15.833333333333334,727
15.916666666666666,728
16,732
16.083333333333332,734
16.166666666666668,739
16.25,742
16.333333333333332,747
16.416666666666668,744
16.5,751
16.583333333333332,747
16.666666666666668,749
16.75,750
16.833333333333332,756
16.916666666666668,759
17,750
17.083333333333332,754
17.166666666666668,759
17.25,757
17.333333333333332,762
17.416666666666668,759
17.5,763
17.583333333333332,763
17.666666666666668,759
17.75,764
17.833333333333332,760
17.916666666666668,768
18,767
18.083333333333332,764
18.166666666666668,768
18.25,770
18.333333333333332,768
18.416666666666668,769
18.5,775
18.583333333333332,780
18.666666666666668,779
18.75,777
18.833333333333332,776
18.916666666666668,778
19,775
19.083333333333332,783
19.166666666666668,786
19.25,786
19.333333333333332,790
19.416666666666668,787
19.5,787
19.583333333333332,797
19.666666666666668,794
19.75,793
19.833333333333332,790
19.916666666666668,788
20,796
20.083333333333332,801
20.166666666666668,799
20.25,795
20.333333333333332,801
20.416666666666668,795
20.5,805
20.583333333333332,805
20.666666666666668,803
20.75,808
20.833333333333332,805
20.916666666666668,808
21,810
21.083333333333332,806
21.166666666666668,808
21.25,806
21.333333333333332,808
21.416666666666668,812
21.5,809
21.583333333333332,813
21.666666666666668,811
21.75,815
21.833333333333332,819
21.916666666666668,819
22,821
22.083333333333332,822
22.166666666666668,816
22.25,818
22.333333333333332,821
22.416666666666668,819
22.5,822
22.583333333333332,820
22.666666666666668,819
22.75,821
22.833333333333332,822
22.916666666666668,820
23,823
23.083333333333332,822
23.166666666666668,822
23.25,826
23.333333333333332,827
23.416666666666668,834
23.5,838
23.583333333333332,835
23.666666666666668,835
23.75,843
23.833333333333332,840
23.916666666666668,843
24,847
24.083333333333332,847
24.166666666666668,839
24.25,838
24.333333333333332,840
24.416666666666668,842
24.5,846
24.583333333333332,845
24.666666666666668,848
24.75,845
24.833333333333332,845
24.916666666666668,838
25,841
25.083333333333332,848
25.166666666666668,851
25.25,844
25.333333333333332,847
25.416666666666668,850
25.5,846
25.583333333333332,847
25.666666666666668,851
25.75,848
25.833333333333332,850
25.916666666666668,848
26,844
26.083333333333332,851
26.166666666666668,845
26.25,851
26.333333333333332,849
26.416666666666668,851
26.5,851
26.583333333333332,857
26.666666666666668,849
26.75,850
26.833333333333332,849
26.916666666666668,851
27,855
27.083333333333332,858
27.166666666666668,856
27.25,856
27.333333333333332,856
27.416666666666668,859
27.5,858
27.583333333333332,856
27.666666666666668,857
27.75,862
27.833333333333332,857
27.916666666666668,861
28,859
28.083333333333332,865
28.166666666666668,864
28.25,864
28.333333333333332,865
28.416666666666668,867
28.5,869
28.583333333333332,867
28.666666666666668,867
28.75,868
28.833333333333332,865
28.916666666666668,868
29,865
29.083333333333332,868
29.166666666666668,870
29.25,874
29.333333333333332,870
29.416666666666668,870
29.5,877
29.583333333333332,875
29.666666666666668,872
29.75,868
29.833333333333332,873
29.916666666666668,876
30,868
30.083333333333332,876
30.166666666666668,874
30.25,879
30.333333333333332,876
30.416666666666668,877
30.5,875
30.583333333333332,876
30.666666666666668,879
30.75,872
30.833333333333332,878
30.916666666666668,880
31,877
31.083333333333332,875
31.166666666666668,875
31.25,880
31.333333333333332,874
31.416666666666668,877
31.5,875
31.583333333333332,876
31.666666666666668,882
31.75,877
31.833333333333332,877
31.916666666666668,885
32,877
32.083333333333336,876
32.166666666666664,883
32.25,886
32.333333333333336,880
32.416666666666664,883
32.5,885
32.583333333333336,884
32.666666666666664,882
32.75,881
32.833333333333336,879
32.916666666666664,883
33,879
33.083333333333336,880
33.166666666666664,878
33.25,887
