"Hours since thread went live","Metallic Rouge - Episode 10 discussion"
0,2
0,3
0.08333333333333333,6
0.16666666666666666,8
0.25,8
0.3333333333333333,11
0.4166666666666667,12
0.5,15
0.5833333333333334,15
0.6666666666666666,17
0.75,19
0.8333333333333334,22
0.9166666666666666,23
1,25
1.0833333333333333,26
1.1666666666666667,27
1.25,30
1.3333333333333333,31
1.4166666666666667,34
1.5,35
1.5833333333333333,39
1.6666666666666667,43
1.75,46
1.8333333333333333,46
1.9166666666666667,47
2,51
2.0833333333333335,54
2.1666666666666665,54
2.25,57
2.3333333333333335,61
2.4166666666666665,64
2.5,64
2.5833333333333335,66
2.6666666666666665,70
2.75,76
2.8333333333333335,77
2.9166666666666665,84
3,87
3.0833333333333335,93
3.1666666666666665,93
3.25,98
3.3333333333333335,99
3.4166666666666665,99
3.5,107
3.5833333333333335,109
3.6666666666666665,106
3.75,107
3.8333333333333335,108
3.9166666666666665,111
4,114
4.083333333333333,115
4.166666666666667,113
4.25,117
4.333333333333333,123
4.416666666666667,125
4.5,125
4.583333333333333,124
4.666666666666667,126
4.75,135
4.833333333333333,133
4.916666666666667,134
5,138
5.083333333333333,138
5.166666666666667,140
5.25,143
5.333333333333333,146
5.416666666666667,150
5.5,153
5.583333333333333,149
5.666666666666667,154
5.75,158
5.833333333333333,153
5.916666666666667,154
6,159
6.083333333333333,159
6.166666666666667,162
6.25,161
6.333333333333333,167
6.416666666666667,162
6.5,165
6.583333333333333,169
6.666666666666667,171
6.75,169
6.833333333333333,168
6.916666666666667,171
7,172
7.083333333333333,172
7.166666666666667,172
7.25,171
7.333333333333333,175
7.416666666666667,178
7.5,179
7.583333333333333,176
7.666666666666667,180
7.75,179
7.833333333333333,181
7.916666666666667,182
8,184
8.083333333333334,182
8.166666666666666,183
8.25,184
8.333333333333334,187
8.416666666666666,191
8.5,185
8.583333333333334,190
8.666666666666666,188
8.75,190
8.833333333333334,187
8.916666666666666,189
9,194
9.083333333333334,188
9.166666666666666,196
9.25,196
9.333333333333334,199
9.416666666666666,197
9.5,201
9.583333333333334,201
9.666666666666666,203
9.75,204
9.833333333333334,203
9.916666666666666,201
10,201
10.083333333333334,204
10.166666666666666,202
10.25,205
10.333333333333334,205
10.416666666666666,208
10.5,214
10.583333333333334,212
10.666666666666666,211
10.75,215
10.833333333333334,213
10.916666666666666,210
11,214
11.083333333333334,217
11.166666666666666,220
11.25,217
11.333333333333334,223
11.416666666666666,219
11.5,224
11.583333333333334,223
11.666666666666666,222
11.75,220
11.833333333333334,224
11.916666666666666,222
12,223
12.083333333333334,224
12.166666666666666,226
12.25,227
12.333333333333334,220
12.416666666666666,224
12.5,223
12.583333333333334,227
12.666666666666666,229
12.75,227
12.833333333333334,224
12.916666666666666,227
13,230
13.083333333333334,231
13.166666666666666,231
13.25,230
13.333333333333334,225
13.416666666666666,231
13.5,227
13.583333333333334,227
13.666666666666666,227
13.75,228
13.833333333333334,229
13.916666666666666,230
14,228
14.083333333333334,225
14.166666666666666,230
14.25,231
14.333333333333334,232
14.416666666666666,230
14.5,232
14.583333333333334,228
14.666666666666666,231
14.75,234
14.833333333333334,229
14.916666666666666,233
15,231
15.083333333333334,233
15.166666666666666,231
15.25,236
15.333333333333334,229
15.416666666666666,232
15.5,232
15.583333333333334,235
15.666666666666666,232
15.75,233
15.833333333333334,235
15.916666666666666,235
16,234
16.083333333333332,238
16.166666666666668,237
16.25,237
16.333333333333332,241
16.416666666666668,236
16.5,239
16.583333333333332,240
16.666666666666668,240
16.75,240
