"Hours since thread went live","Mahou Shoujo ni Akogarete • Gushing over Magical Girls - Episode 11 discussion"
0,1
0,6
0.08333333333333333,21
0.16666666666666666,35
0.25,47
0.3333333333333333,71
0.4166666666666667,84
0.5,100
0.5833333333333334,110
0.6666666666666666,134
0.75,146
0.8333333333333334,167
0.9166666666666666,183
1,196
1.0833333333333333,207
1.1666666666666667,225
1.25,235
1.3333333333333333,243
1.4166666666666667,257
1.5,272
1.5833333333333333,286
1.6666666666666667,295
1.75,303
1.8333333333333333,317
1.9166666666666667,324
2,345
2.0833333333333335,359
2.1666666666666665,371
2.25,386
2.3333333333333335,398
2.4166666666666665,414
2.5,424
2.5833333333333335,436
2.6666666666666665,441
2.75,455
2.8333333333333335,467
2.9166666666666665,482
3,488
3.0833333333333335,496
3.1666666666666665,508
3.25,515
3.3333333333333335,524
3.4166666666666665,532
3.5,545
3.5833333333333335,553
3.6666666666666665,576
3.75,587
3.8333333333333335,590
3.9166666666666665,591
4,603
4.083333333333333,613
4.166666666666667,617
4.25,626
4.333333333333333,637
4.416666666666667,643
4.5,661
4.583333333333333,667
4.666666666666667,685
4.75,688
4.833333333333333,699
4.916666666666667,696
5,707
5.083333333333333,719
5.166666666666667,723
5.25,727
5.333333333333333,741
5.416666666666667,748
5.5,751
5.583333333333333,753
5.666666666666667,760
5.75,765
5.833333333333333,770
5.916666666666667,770
6,777
6.083333333333333,779
6.166666666666667,784
6.25,789
6.333333333333333,793
6.416666666666667,792
6.5,794
6.583333333333333,804
6.666666666666667,810
6.75,813
6.833333333333333,813
6.916666666666667,826
7,828
7.083333333333333,833
7.166666666666667,832
7.25,835
7.333333333333333,844
7.416666666666667,848
7.5,855
7.583333333333333,863
7.666666666666667,866
7.75,874
7.833333333333333,881
7.916666666666667,891
8,889
8.083333333333334,894
8.166666666666666,906
8.25,906
8.333333333333334,907
8.416666666666666,912
8.5,915
8.583333333333334,922
8.666666666666666,933
8.75,932
8.833333333333334,939
8.916666666666666,944
9,948
9.083333333333334,955
9.166666666666666,961
9.25,969
9.333333333333334,966
9.416666666666666,971
9.5,972
9.583333333333334,983
9.666666666666666,983
9.75,988
9.833333333333334,994
9.916666666666666,997
10,1002
10.083333333333334,1007
10.166666666666666,1009
10.25,1010
10.333333333333334,1019
10.416666666666666,1020
10.5,1030
10.583333333333334,1026
10.666666666666666,1037
10.75,1037
10.833333333333334,1036
10.916666666666666,1041
11,1044
11.083333333333334,1052
11.166666666666666,1051
11.25,1056
11.333333333333334,1054
11.416666666666666,1051
11.5,1062
11.583333333333334,1065
11.666666666666666,1071
11.75,1069
11.833333333333334,1076
11.916666666666666,1072
12,1080
12.083333333333334,1078
12.166666666666666,1084
12.25,1078
12.333333333333334,1089
12.416666666666666,1091
12.5,1094
12.583333333333334,1094
