"Hours since thread went live","Nozomanu Fushi no Boukensha • The Unwanted Undead Adventurer - Episode 11 discussion"
0,1
0.08333333333333333,4
0.16666666666666666,10
0.25,11
0.3333333333333333,15
0.4166666666666667,16
0.5,20
0.5833333333333334,20
0.6666666666666666,24
0.75,24
0.8333333333333334,31
0.9166666666666666,34
1,37
1.0833333333333333,39
1.1666666666666667,43
1.25,47
1.3333333333333333,49
1.4166666666666667,51
1.5,56
1.5833333333333333,57
1.6666666666666667,60
1.75,68
1.8333333333333333,72
1.9166666666666667,76
2,77
2.0833333333333335,79
2.1666666666666665,85
2.25,90
2.3333333333333335,95
2.4166666666666665,97
2.5,100
2.5833333333333335,105
2.6666666666666665,106
2.75,110
2.8333333333333335,109
2.9166666666666665,113
3,117
3.0833333333333335,120
3.1666666666666665,129
3.25,130
3.3333333333333335,132
3.4166666666666665,138
3.5,144
3.5833333333333335,148
3.6666666666666665,151
3.75,152
3.8333333333333335,153
3.9166666666666665,152
4,158
4.083333333333333,160
4.166666666666667,166
4.25,167
4.333333333333333,165
4.416666666666667,167
4.5,168
4.583333333333333,172
4.666666666666667,177
4.75,179
4.833333333333333,183
4.916666666666667,182
5,186
5.083333333333333,183
5.166666666666667,189
5.25,186
5.333333333333333,193
5.416666666666667,192
5.5,192
5.583333333333333,197
5.666666666666667,197
5.75,200
5.833333333333333,198
5.916666666666667,203
6,204
6.083333333333333,209
6.166666666666667,210
6.25,212
6.333333333333333,213
6.416666666666667,217
6.5,217
6.583333333333333,227
6.666666666666667,227
6.75,232
6.833333333333333,231
6.916666666666667,233
7,237
7.083333333333333,240
7.166666666666667,242
7.25,242
7.333333333333333,252
7.416666666666667,251
7.5,254
7.583333333333333,255
7.666666666666667,254
7.75,257
7.833333333333333,257
7.916666666666667,262
8,263
8.083333333333334,265
8.166666666666666,264
8.25,272
8.333333333333334,272
8.416666666666666,275
8.5,279
8.583333333333334,277
8.666666666666666,283
8.75,287
8.833333333333334,289
8.916666666666666,293
9,288
9.083333333333334,291
9.166666666666666,292
9.25,287
9.333333333333334,293
9.416666666666666,293
9.5,300
9.583333333333334,296
9.666666666666666,298
9.75,300
9.833333333333334,299
9.916666666666666,301
10,305
10.083333333333334,307
10.166666666666666,313
10.25,312
10.333333333333334,314
10.416666666666666,318
10.5,323
10.583333333333334,323
10.666666666666666,319
10.75,322
10.833333333333334,326
10.916666666666666,327
11,322
11.083333333333334,327
11.166666666666666,328
11.25,325
11.333333333333334,333
11.416666666666666,338
11.5,339
11.583333333333334,341
11.666666666666666,340
11.75,343
11.833333333333334,343
11.916666666666666,344
12,347
12.083333333333334,345
12.166666666666666,353
12.25,350
