"Hours since thread went live","Meitantei Conan • Case Closed - Episode 1117 discussion"
0,1
0,2
0.08333333333333333,3
0.16666666666666666,3
0.25,4
0.3333333333333333,4
0.4166666666666667,6
0.5,6
0.5833333333333334,7
0.6666666666666666,7
0.75,7
0.8333333333333334,6
0.9166666666666666,7
1,7
1.0833333333333333,6
1.1666666666666667,7
1.25,7
1.3333333333333333,6
1.4166666666666667,6
1.5,6
1.5833333333333333,9
1.6666666666666667,9
1.75,7
1.8333333333333333,7
1.9166666666666667,10
2,10
2.0833333333333335,8
2.1666666666666665,9
2.25,9
2.3333333333333335,10
2.4166666666666665,7
2.5,7
2.5833333333333335,10
2.6666666666666665,9
2.75,7
2.8333333333333335,10
2.9166666666666665,8
3,9
3.0833333333333335,9
3.1666666666666665,12
3.25,10
3.3333333333333335,11
3.4166666666666665,11
3.5,11
3.5833333333333335,9
3.6666666666666665,12
3.75,9
3.8333333333333335,9
3.9166666666666665,10
4,11
4.083333333333333,9
4.166666666666667,12
4.25,9
4.333333333333333,10
4.416666666666667,9
4.5,12
4.583333333333333,10
4.666666666666667,10
4.75,8
4.833333333333333,9
4.916666666666667,12
5,10
5.083333333333333,11
5.166666666666667,8
5.25,10
5.333333333333333,10
5.416666666666667,10
5.5,10
5.583333333333333,8
5.666666666666667,10
5.75,10
5.833333333333333,11
5.916666666666667,9
6,11
6.083333333333333,11
6.166666666666667,10
6.25,11
6.333333333333333,11
6.416666666666667,12
6.5,13
6.583333333333333,11
6.666666666666667,12
6.75,12
6.833333333333333,11
6.916666666666667,11
7,9
7.083333333333333,13
7.166666666666667,12
7.25,13
7.333333333333333,12
7.416666666666667,12
7.5,12
7.583333333333333,12
7.666666666666667,11
7.75,10
7.833333333333333,11
7.916666666666667,11
8,10
8.083333333333334,14
8.166666666666666,13
8.25,14
8.333333333333334,10
8.416666666666666,12
8.5,12
8.583333333333334,14
8.666666666666666,13
8.75,12
8.833333333333334,12
8.916666666666666,13
9,10
9.083333333333334,13
9.166666666666666,13
9.25,13
9.333333333333334,15
9.416666666666666,12
9.5,14
9.583333333333334,13
9.666666666666666,12
9.75,15
9.833333333333334,11
9.916666666666666,13
10,13
10.083333333333334,15
10.166666666666666,13
10.25,12
10.333333333333334,13
10.416666666666666,14
10.5,13
10.583333333333334,12
10.666666666666666,11
10.75,13
10.833333333333334,14
10.916666666666666,15
11,14
11.083333333333334,13
11.166666666666666,12
11.25,13
11.333333333333334,13
11.416666666666666,13
11.5,14
11.583333333333334,14
11.666666666666666,13
11.75,14
11.833333333333334,13
11.916666666666666,13
12,14
12.083333333333334,14
12.166666666666666,13
12.25,14
12.333333333333334,15
12.416666666666666,15
12.5,12
12.583333333333334,14
12.666666666666666,12
12.75,11
12.833333333333334,14
12.916666666666666,11
13,13
13.083333333333334,12
13.166666666666666,13
13.25,15
13.333333333333334,15
13.416666666666666,12
13.5,13
13.583333333333334,13
13.666666666666666,11
13.75,12
13.833333333333334,14
13.916666666666666,13
14,11
14.083333333333334,11
14.166666666666666,13
14.25,13
14.333333333333334,11
14.416666666666666,12
14.5,11
14.583333333333334,12
14.666666666666666,12
14.75,10
14.833333333333334,12
14.916666666666666,14
15,12
15.083333333333334,11
15.166666666666666,12
15.25,11
15.333333333333334,14
15.416666666666666,11
15.5,14
15.583333333333334,12
15.666666666666666,12
15.75,13
15.833333333333334,13
15.916666666666666,13
16,10
16.083333333333332,12
16.166666666666668,14
16.25,13
16.333333333333332,10
16.416666666666668,10
16.5,12
16.583333333333332,13
16.666666666666668,13
16.75,12
16.833333333333332,11
16.916666666666668,10
17,11
17.083333333333332,13
17.166666666666668,10
17.25,10
17.333333333333332,13
17.416666666666668,12
17.5,12
17.583333333333332,14
17.666666666666668,15
17.75,14
17.833333333333332,12
17.916666666666668,13
18,15
18.083333333333332,11
18.166666666666668,11
18.25,11
18.333333333333332,12
18.416666666666668,13
18.5,14
18.583333333333332,13
18.666666666666668,15
18.75,14
18.833333333333332,11
18.916666666666668,14
19,13
19.083333333333332,14
19.166666666666668,15
19.25,13
19.333333333333332,14
19.416666666666668,15
19.5,15
19.583333333333332,11
19.666666666666668,12
19.75,11
19.833333333333332,12
19.916666666666668,12
20,13
20.083333333333332,13
20.166666666666668,14
20.25,14
20.333333333333332,13
20.416666666666668,14
20.5,12
20.583333333333332,15
20.666666666666668,13
20.75,13
20.833333333333332,13
20.916666666666668,12
21,14
21.083333333333332,14
21.166666666666668,12
21.25,13
21.333333333333332,15
21.416666666666668,11
21.5,12
21.583333333333332,13
21.666666666666668,13
21.75,13
21.833333333333332,13
21.916666666666668,13
22,13
22.083333333333332,11
22.166666666666668,14
22.25,12
22.333333333333332,12
22.416666666666668,15
22.5,14
22.583333333333332,13
22.666666666666668,11
22.75,12
22.833333333333332,14
22.916666666666668,14
23,14
23.083333333333332,13
23.166666666666668,11
23.25,12
23.333333333333332,15
23.416666666666668,11
23.5,13
23.583333333333332,15
23.666666666666668,15
23.75,13
23.833333333333332,12
23.916666666666668,12
24,13
24.083333333333332,11
24.166666666666668,13
24.25,12
24.333333333333332,14
24.416666666666668,13
24.5,12
24.583333333333332,12
24.666666666666668,15
24.75,13
24.833333333333332,14
24.916666666666668,11
25,11
25.083333333333332,13
25.166666666666668,13
25.25,13
25.333333333333332,12
25.416666666666668,13
25.5,13
25.583333333333332,13
25.666666666666668,12
25.75,13
25.833333333333332,14
25.916666666666668,14
26,14
26.083333333333332,13
26.166666666666668,13
26.25,14
26.333333333333332,12
26.416666666666668,13
26.5,12
26.583333333333332,13
26.666666666666668,14
26.75,15
26.833333333333332,11
26.916666666666668,12
27,13
27.083333333333332,15
27.166666666666668,12
27.25,12
27.333333333333332,11
27.416666666666668,12
27.5,12
27.583333333333332,13
27.666666666666668,11
27.75,13
27.833333333333332,13
27.916666666666668,13
28,14
28.083333333333332,13
28.166666666666668,13
28.25,13
28.333333333333332,11
28.416666666666668,13
28.5,13
28.583333333333332,15
28.666666666666668,14
28.75,15
28.833333333333332,14
28.916666666666668,11
29,14
29.083333333333332,14
29.166666666666668,12
29.25,14
29.333333333333332,11
29.416666666666668,13
29.5,13
29.583333333333332,14
29.666666666666668,13
29.75,11
29.833333333333332,13
29.916666666666668,12
30,12
30.083333333333332,14
30.166666666666668,15
30.25,13
30.333333333333332,12
30.416666666666668,14
30.5,14
30.583333333333332,13
30.666666666666668,12
30.75,13
30.833333333333332,14
30.916666666666668,12
31,14
31.083333333333332,14
31.166666666666668,13
31.25,12
31.333333333333332,14
31.416666666666668,13
31.5,13
31.583333333333332,11
31.666666666666668,12
31.75,13
31.833333333333332,13
31.916666666666668,14
32,15
32.083333333333336,12
32.166666666666664,14
32.25,11
32.333333333333336,15
32.416666666666664,14
32.5,12
32.583333333333336,11
32.666666666666664,12
32.75,14
32.833333333333336,15
32.916666666666664,14
33,11
33.083333333333336,11
33.166666666666664,12
33.25,13
33.333333333333336,13
33.416666666666664,11
33.5,12
33.583333333333336,14
