"Hours since thread went live","Yubisaki to Renren • A Sign of Affection - Episode 11 discussion"
0,1
0,3
0.08333333333333333,5
0.16666666666666666,8
0.25,8
0.3333333333333333,12
0.4166666666666667,17
0.5,22
0.5833333333333334,26
0.6666666666666666,34
0.75,38
0.8333333333333334,43
0.9166666666666666,45
1,50
1.0833333333333333,51
1.1666666666666667,54
1.25,57
1.3333333333333333,59
1.4166666666666667,64
1.5,66
1.5833333333333333,70
1.6666666666666667,77
1.75,83
1.8333333333333333,86
1.9166666666666667,89
2,91
2.0833333333333335,95
2.1666666666666665,98
2.25,104
2.3333333333333335,103
2.4166666666666665,110
2.5,115
2.5833333333333335,118
2.6666666666666665,125
2.75,126
2.8333333333333335,131
2.9166666666666665,135
3,133
3.0833333333333335,143
3.1666666666666665,145
3.25,145
3.3333333333333335,146
3.4166666666666665,149
3.5,152
3.5833333333333335,158
3.6666666666666665,164
3.75,167
3.8333333333333335,172
3.9166666666666665,176
4,180
4.083333333333333,176
4.166666666666667,182
4.25,181
4.333333333333333,187
4.416666666666667,187
4.5,192
4.583333333333333,191
4.666666666666667,195
4.75,196
4.833333333333333,203
4.916666666666667,204
5,210
5.083333333333333,216
5.166666666666667,216
5.25,219
5.333333333333333,221
5.416666666666667,219
5.5,219
5.583333333333333,223
5.666666666666667,222
5.75,224
5.833333333333333,229
5.916666666666667,230
6,231
6.083333333333333,238
6.166666666666667,244
6.25,243
6.333333333333333,249
6.416666666666667,248
6.5,248
6.583333333333333,248
6.666666666666667,251
6.75,252
6.833333333333333,253
6.916666666666667,259
7,261
7.083333333333333,262
7.166666666666667,267
7.25,268
7.333333333333333,274
7.416666666666667,278
7.5,279
7.583333333333333,281
7.666666666666667,282
7.75,285
7.833333333333333,293
7.916666666666667,294
8,295
8.083333333333334,290
8.166666666666666,293
8.25,300
8.333333333333334,303
8.416666666666666,306
8.5,306
8.583333333333334,306
8.666666666666666,306
8.75,305
8.833333333333334,305
8.916666666666666,308
9,312
9.083333333333334,309
9.166666666666666,313
9.25,315
9.333333333333334,317
9.416666666666666,312
9.5,319
9.583333333333334,320
9.666666666666666,324
9.75,322
9.833333333333334,328
9.916666666666666,322
10,324
10.083333333333334,325
10.166666666666666,326
10.25,332
10.333333333333334,331
10.416666666666666,338
10.5,338
10.583333333333334,336
10.666666666666666,334
10.75,340
10.833333333333334,337
10.916666666666666,341
11,337
11.083333333333334,344
11.166666666666666,346
11.25,348
11.333333333333334,353
11.416666666666666,354
11.5,356
11.583333333333334,363
11.666666666666666,355
11.75,356
11.833333333333334,359
11.916666666666666,363
12,360
12.083333333333334,367
12.166666666666666,368
12.25,374
12.333333333333334,374
12.416666666666666,373
12.5,377
12.583333333333334,381
12.666666666666666,379
12.75,376
12.833333333333334,382
12.916666666666666,382
13,386
13.083333333333334,388
13.166666666666666,384
13.25,389
13.333333333333334,386
13.416666666666666,387
13.5,393
13.583333333333334,391
13.666666666666666,400
13.75,390
13.833333333333334,402
13.916666666666666,397
14,397
14.083333333333334,403
14.166666666666666,403
14.25,395
14.333333333333334,406
14.416666666666666,403
14.5,405
14.583333333333334,398
14.666666666666666,402
14.75,406
14.833333333333334,408
14.916666666666666,408
15,411
15.083333333333334,411
15.166666666666666,409
15.25,417
15.333333333333334,413
15.416666666666666,410
15.5,409
15.583333333333334,417
15.666666666666666,419
15.75,415
15.833333333333334,417
15.916666666666666,419
16,424
16.083333333333332,422
16.166666666666668,422
16.25,430
16.333333333333332,428
16.416666666666668,429
16.5,430
16.583333333333332,429
16.666666666666668,429
16.75,427
16.833333333333332,431
16.916666666666668,428
17,433
17.083333333333332,429
17.166666666666668,434
17.25,437
17.333333333333332,430
17.416666666666668,438
17.5,434
17.583333333333332,436
17.666666666666668,437
17.75,431
17.833333333333332,439
17.916666666666668,441
18,439
18.083333333333332,442
18.166666666666668,441
18.25,437
18.333333333333332,440
18.416666666666668,442
18.5,441
18.583333333333332,444
18.666666666666668,445
18.75,442
18.833333333333332,447
18.916666666666668,445
19,451
19.083333333333332,445
19.166666666666668,444
19.25,453
19.333333333333332,449
19.416666666666668,454
19.5,451
19.583333333333332,449
19.666666666666668,455
19.75,450
19.833333333333332,453
19.916666666666668,454
20,453
20.083333333333332,451
20.166666666666668,461
20.25,458
20.333333333333332,456
20.416666666666668,460
20.5,458
20.583333333333332,453
20.666666666666668,453
20.75,462
20.833333333333332,456
20.916666666666668,462
21,457
21.083333333333332,456
21.166666666666668,458
21.25,459
21.333333333333332,458
21.416666666666668,459
21.5,453
21.583333333333332,456
21.666666666666668,465
21.75,461
21.833333333333332,463
21.916666666666668,460
22,468
22.083333333333332,462
22.166666666666668,458
22.25,465
22.333333333333332,463
22.416666666666668,461
22.5,463
22.583333333333332,462
22.666666666666668,463
22.75,471
22.833333333333332,468
22.916666666666668,468
23,467
23.083333333333332,471
23.166666666666668,470
23.25,471
23.333333333333332,468
23.416666666666668,471
23.5,471
23.583333333333332,470
23.666666666666668,476
23.75,478
23.833333333333332,477
23.916666666666668,472
24,475
24.083333333333332,476
24.166666666666668,474
24.25,478
24.333333333333332,473
24.416666666666668,480
24.5,471
24.583333333333332,479
24.666666666666668,475
24.75,483
24.833333333333332,484
24.916666666666668,472
25,477
25.083333333333332,480
25.166666666666668,480
25.25,475
25.333333333333332,484
25.416666666666668,479
25.5,484
25.583333333333332,475
25.666666666666668,481
25.75,482
25.833333333333332,481
25.916666666666668,480
26,483
26.083333333333332,484
26.166666666666668,481
26.25,483
26.333333333333332,484
