"Hours since thread went live","Kusuriya no Hitorigoto • The Apothecary Diaries - Episode 23 discussion"
0,6
0,10
0.08333333333333333,24
0.16666666666666666,40
0.25,60
0.3333333333333333,75
0.4166666666666667,99
0.5,136
0.5833333333333334,167
0.6666666666666666,194
0.75,221
0.8333333333333334,248
0.9166666666666666,272
1,293
1.0833333333333333,321
1.1666666666666667,348
1.25,373
1.3333333333333333,401
1.4166666666666667,429
1.5,456
1.5833333333333333,485
1.6666666666666667,511
1.75,534
1.8333333333333333,563
1.9166666666666667,583
2,607
2.0833333333333335,622
2.1666666666666665,648
2.25,672
2.3333333333333335,700
2.4166666666666665,711
2.5,737
2.5833333333333335,766
2.6666666666666665,792
2.75,808
2.8333333333333335,833
2.9166666666666665,857
3,877
3.0833333333333335,893
3.1666666666666665,914
3.25,938
3.3333333333333335,954
3.4166666666666665,978
3.5,1004
3.5833333333333335,1033
3.6666666666666665,1055
3.75,1076
3.8333333333333335,1094
3.9166666666666665,1116
4,1149
4.083333333333333,1169
4.166666666666667,1187
4.25,1207
4.333333333333333,1220
4.416666666666667,1226
4.5,1244
4.583333333333333,1280
4.666666666666667,1294
4.75,1311
4.833333333333333,1326
4.916666666666667,1340
5,1358
5.083333333333333,1362
5.166666666666667,1384
5.25,1405
5.333333333333333,1418
5.416666666666667,1436
5.5,1454
5.583333333333333,1467
5.666666666666667,1478
5.75,1493
5.833333333333333,1517
5.916666666666667,1537
6,1554
6.083333333333333,1574
6.166666666666667,1590
6.25,1601
6.333333333333333,1609
6.416666666666667,1621
6.5,1640
6.583333333333333,1642
6.666666666666667,1659
6.75,1669
6.833333333333333,1683
6.916666666666667,1691
7,1709
7.083333333333333,1713
7.166666666666667,1726
7.25,1737
7.333333333333333,1753
7.416666666666667,1768
7.5,1782
7.583333333333333,1790
7.666666666666667,1805
7.75,1815
7.833333333333333,1827
7.916666666666667,1844
8,1859
8.083333333333334,1872
8.166666666666666,1881
8.25,1891
8.333333333333334,1904
8.416666666666666,1913
8.5,1924
8.583333333333334,1930
8.666666666666666,1938
8.75,1952
8.833333333333334,1955
8.916666666666666,1963
9,1977
9.083333333333334,1988
9.166666666666666,1997
9.25,2005
9.333333333333334,2025
9.416666666666666,2029
9.5,2047
9.583333333333334,2058
9.666666666666666,2066
9.75,2084
9.833333333333334,2088
9.916666666666666,2109
10,2110
10.083333333333334,2116
10.166666666666666,2133
10.25,2138
10.333333333333334,2146
10.416666666666666,2146
10.5,2166
10.583333333333334,2173
10.666666666666666,2191
10.75,2198
10.833333333333334,2211
10.916666666666666,2216
11,2226
11.083333333333334,2244
11.166666666666666,2254
11.25,2267
11.333333333333334,2263
11.416666666666666,2278
11.5,2294
11.583333333333334,2301
11.666666666666666,2305
11.75,2315
11.833333333333334,2326
11.916666666666666,2326
12,2341
12.083333333333334,2352
12.166666666666666,2366
12.25,2371
12.333333333333334,2376
12.416666666666666,2384
12.5,2391
12.583333333333334,2394
12.666666666666666,2399
12.75,2399
12.833333333333334,2409
12.916666666666666,2412
13,2412
13.083333333333334,2424
13.166666666666666,2431
13.25,2445
13.333333333333334,2447
13.416666666666666,2455
13.5,2462
13.583333333333334,2463
13.666666666666666,2473
13.75,2478
13.833333333333334,2478
13.916666666666666,2482
14,2485
14.083333333333334,2495
14.166666666666666,2506
14.25,2513
14.333333333333334,2517
14.416666666666666,2519
14.5,2528
14.583333333333334,2534
14.666666666666666,2536
14.75,2544
14.833333333333334,2544
14.916666666666666,2554
15,2566
15.083333333333334,2569
15.166666666666666,2578
15.25,2584
15.333333333333334,2588
15.416666666666666,2602
15.5,2606
15.583333333333334,2605
15.666666666666666,2617
15.75,2619
15.833333333333334,2630
15.916666666666666,2631
16,2638
16.083333333333332,2638
16.166666666666668,2646
16.25,2656
16.333333333333332,2656
16.416666666666668,2661
16.5,2664
16.583333333333332,2669
16.666666666666668,2673
16.75,2679
16.833333333333332,2684
16.916666666666668,2687
17,2695
17.083333333333332,2699
17.166666666666668,2703
17.25,2709
17.333333333333332,2708
17.416666666666668,2716
17.5,2715
17.583333333333332,2715
17.666666666666668,2717
17.75,2719
17.833333333333332,2722
17.916666666666668,2722
18,2736
18.083333333333332,2736
18.166666666666668,2744
18.25,2745
18.333333333333332,2749
18.416666666666668,2758
18.5,2760
18.583333333333332,2755
18.666666666666668,2762
18.75,2769
18.833333333333332,2777
18.916666666666668,2776
19,2775
19.083333333333332,2777
19.166666666666668,2786
19.25,2786
19.333333333333332,2794
19.416666666666668,2796
19.5,2801
19.583333333333332,2800
19.666666666666668,2804
19.75,2815
19.833333333333332,2822
19.916666666666668,2820
20,2826
20.083333333333332,2830
20.166666666666668,2833
20.25,2833
20.333333333333332,2839
20.416666666666668,2837
20.5,2840
20.583333333333332,2841
20.666666666666668,2839
20.75,2842
20.833333333333332,2850
20.916666666666668,2858
21,2856
21.083333333333332,2858
21.166666666666668,2856
21.25,2860
21.333333333333332,2871
21.416666666666668,2867
21.5,2873
21.583333333333332,2882
21.666666666666668,2882
21.75,2884
21.833333333333332,2891
21.916666666666668,2890
22,2902
22.083333333333332,2904
22.166666666666668,2907
22.25,2910
22.333333333333332,2914
22.416666666666668,2914
22.5,2918
22.583333333333332,2924
22.666666666666668,2919
22.75,2917
22.833333333333332,2922
22.916666666666668,2928
23,2927
23.083333333333332,2935
23.166666666666668,2941
23.25,2945
23.333333333333332,2942
23.416666666666668,2947
23.5,2948
23.583333333333332,2957
23.666666666666668,2959
23.75,2960
23.833333333333332,2963
23.916666666666668,2971
24,2980
24.083333333333332,2980
24.166666666666668,2978
24.25,2986
24.333333333333332,2989
24.416666666666668,2992
24.5,2991
24.583333333333332,2996
24.666666666666668,2993
24.75,2997
24.833333333333332,2994
24.916666666666668,3002
25,3005
25.083333333333332,3006
25.166666666666668,3008
25.25,3012
25.333333333333332,3012
25.416666666666668,3018
25.5,3017
25.583333333333332,3018
25.666666666666668,3029
25.75,3019
25.833333333333332,3031
25.916666666666668,3031
26,3034
26.083333333333332,3037
26.166666666666668,3035
26.25,3043
26.333333333333332,3043
26.416666666666668,3047
26.5,3048
26.583333333333332,3052
26.666666666666668,3050
