"Hours since thread went live","Boku no Kokoro no Yabai Yatsu Season 2 • The Dangers in My Heart Season 2 - Episode 11 discussion"
0,3
0,13
0.08333333333333333,19
0.16666666666666666,31
0.25,46
0.3333333333333333,70
0.4166666666666667,92
0.5,106
0.5833333333333334,121
0.6666666666666666,136
0.75,153
0.8333333333333334,169
0.9166666666666666,187
1,206
1.0833333333333333,226
1.1666666666666667,248
1.25,268
1.3333333333333333,288
1.4166666666666667,307
1.5,331
1.5833333333333333,346
1.6666666666666667,360
1.75,377
1.8333333333333333,394
1.9166666666666667,404
2,417
2.0833333333333335,429
2.1666666666666665,444
2.25,464
2.3333333333333335,476
2.4166666666666665,484
2.5,495
2.5833333333333335,498
2.6666666666666665,507
2.75,524
2.8333333333333335,525
2.9166666666666665,533
3,540
3.0833333333333335,541
3.1666666666666665,557
3.25,568
3.3333333333333335,578
3.4166666666666665,591
3.5,597
3.5833333333333335,606
3.6666666666666665,607
3.75,617
3.8333333333333335,629
3.9166666666666665,636
4,648
4.083333333333333,647
4.166666666666667,656
4.25,667
4.333333333333333,678
4.416666666666667,680
4.5,691
4.583333333333333,694
4.666666666666667,699
4.75,712
4.833333333333333,711
4.916666666666667,717
5,726
5.083333333333333,739
5.166666666666667,738
5.25,749
5.333333333333333,757
5.416666666666667,768
5.5,778
5.583333333333333,782
5.666666666666667,794
5.75,796
5.833333333333333,807
5.916666666666667,807
6,813
6.083333333333333,812
6.166666666666667,817
6.25,828
6.333333333333333,827
6.416666666666667,833
6.5,836
6.583333333333333,852
6.666666666666667,854
6.75,867
6.833333333333333,872
6.916666666666667,876
7,884
7.083333333333333,885
7.166666666666667,897
7.25,904
7.333333333333333,903
7.416666666666667,918
7.5,919
7.583333333333333,925
7.666666666666667,931
7.75,945
7.833333333333333,944
7.916666666666667,952
8,956
8.083333333333334,969
8.166666666666666,969
8.25,977
8.333333333333334,986
8.416666666666666,984
8.5,994
8.583333333333334,997
8.666666666666666,1005
8.75,1009
8.833333333333334,1010
8.916666666666666,1006
9,1014
9.083333333333334,1024
9.166666666666666,1027
9.25,1033
9.333333333333334,1040
9.416666666666666,1045
9.5,1051
9.583333333333334,1053
9.666666666666666,1053
9.75,1061
9.833333333333334,1062
9.916666666666666,1068
10,1077
10.083333333333334,1074
10.166666666666666,1084
10.25,1089
10.333333333333334,1094
10.416666666666666,1101
10.5,1108
10.583333333333334,1107
10.666666666666666,1112
10.75,1112
10.833333333333334,1111
10.916666666666666,1122
11,1121
11.083333333333334,1125
11.166666666666666,1133
11.25,1134
11.333333333333334,1132
11.416666666666666,1139
11.5,1138
11.583333333333334,1149
11.666666666666666,1150
11.75,1153
11.833333333333334,1156
11.916666666666666,1167
12,1168
12.083333333333334,1166
12.166666666666666,1175
12.25,1173
12.333333333333334,1174
12.416666666666666,1180
12.5,1183
12.583333333333334,1191
12.666666666666666,1185
12.75,1192
12.833333333333334,1204
12.916666666666666,1207
13,1212
13.083333333333334,1217
13.166666666666666,1216
13.25,1221
13.333333333333334,1220
13.416666666666666,1224
13.5,1229
13.583333333333334,1229
13.666666666666666,1234
13.75,1237
13.833333333333334,1236
13.916666666666666,1237
14,1242
14.083333333333334,1242
14.166666666666666,1247
14.25,1242
14.333333333333334,1248
14.416666666666666,1248
14.5,1252
14.583333333333334,1260
14.666666666666666,1253
14.75,1261
14.833333333333334,1258
14.916666666666666,1264
15,1269
15.083333333333334,1268
15.166666666666666,1272
15.25,1275
15.333333333333334,1277
15.416666666666666,1286
15.5,1285
15.583333333333334,1293
15.666666666666666,1298
15.75,1300
15.833333333333334,1303
15.916666666666666,1306
16,1312
16.083333333333332,1305
16.166666666666668,1310
16.25,1309
16.333333333333332,1313
16.416666666666668,1309
16.5,1311
16.583333333333332,1314
16.666666666666668,1312
16.75,1311
16.833333333333332,1316
16.916666666666668,1318
17,1326
17.083333333333332,1318
17.166666666666668,1321
17.25,1324
17.333333333333332,1327
17.416666666666668,1326
17.5,1322
17.583333333333332,1333
17.666666666666668,1327
17.75,1329
17.833333333333332,1337
17.916666666666668,1334
18,1335
18.083333333333332,1337
18.166666666666668,1343
18.25,1348
18.333333333333332,1350
18.416666666666668,1350
18.5,1353
18.583333333333332,1351
18.666666666666668,1359
18.75,1360
18.833333333333332,1359
18.916666666666668,1360
19,1358
19.083333333333332,1361
19.166666666666668,1362
19.25,1362
19.333333333333332,1367
19.416666666666668,1370
19.5,1372
19.583333333333332,1368
19.666666666666668,1372
19.75,1378
19.833333333333332,1379
19.916666666666668,1379
20,1375
20.083333333333332,1381
20.166666666666668,1383
20.25,1386
20.333333333333332,1392
20.416666666666668,1392
20.5,1395
20.583333333333332,1394
20.666666666666668,1393
