"Hours since thread went live","Wonderful Precure! • Wonderful Pretty Cure! - Episode 7 discussion"
0,1
0.08333333333333333,3
0.16666666666666666,3
0.25,3
0.3333333333333333,4
0.4166666666666667,5
0.5,6
0.5833333333333334,6
0.6666666666666666,6
0.75,6
0.8333333333333334,7
0.9166666666666666,8
1,8
1.0833333333333333,8
1.1666666666666667,9
1.25,9
1.3333333333333333,10
1.4166666666666667,10
1.5,9
1.5833333333333333,12
1.6666666666666667,13
1.75,13
1.8333333333333333,11
1.9166666666666667,10
2,11
2.0833333333333335,12
2.1666666666666665,12
2.25,11
2.3333333333333335,11
2.4166666666666665,13
2.5,12
2.5833333333333335,11
2.6666666666666665,12
2.75,13
2.8333333333333335,13
2.9166666666666665,13
3,13
3.0833333333333335,14
3.1666666666666665,15
3.25,14
3.3333333333333335,15
3.4166666666666665,14
3.5,14
3.5833333333333335,15
3.6666666666666665,17
3.75,15
3.8333333333333335,17
3.9166666666666665,17
4,15
4.083333333333333,16
4.166666666666667,15
4.25,17
4.333333333333333,18
4.416666666666667,16
4.5,18
4.583333333333333,18
4.666666666666667,17
4.75,16
4.833333333333333,18
4.916666666666667,17
5,17
5.083333333333333,17
5.166666666666667,16
5.25,17
5.333333333333333,17
5.416666666666667,17
5.5,17
5.583333333333333,17
5.666666666666667,18
5.75,18
5.833333333333333,18
5.916666666666667,19
6,16
6.083333333333333,17
6.166666666666667,17
6.25,18
6.333333333333333,17
6.416666666666667,19
6.5,19
6.583333333333333,19
6.666666666666667,18
6.75,19
6.833333333333333,19
6.916666666666667,18
7,21
7.083333333333333,19
7.166666666666667,19
7.25,19
7.333333333333333,21
7.416666666666667,20
7.5,19
7.583333333333333,23
7.666666666666667,21
7.75,21
7.833333333333333,22
7.916666666666667,24
8,23
8.083333333333334,22
8.166666666666666,21
8.25,22
8.333333333333334,24
8.416666666666666,23
8.5,24
8.583333333333334,23
8.666666666666666,23
8.75,22
8.833333333333334,25
8.916666666666666,22
9,22
9.083333333333334,23
9.166666666666666,23
9.25,25
9.333333333333334,25
9.416666666666666,24
9.5,21
9.583333333333334,23
9.666666666666666,24
9.75,23
9.833333333333334,24
9.916666666666666,22
10,22
10.083333333333334,21
10.166666666666666,23
10.25,21
10.333333333333334,22
10.416666666666666,22
10.5,23
10.583333333333334,24
10.666666666666666,25
10.75,21
10.833333333333334,25
10.916666666666666,24
11,24
11.083333333333334,21
11.166666666666666,21
11.25,25
11.333333333333334,22
11.416666666666666,24
11.5,22
11.583333333333334,23
11.666666666666666,24
11.75,22
11.833333333333334,23
11.916666666666666,24
12,23
12.083333333333334,23
12.166666666666666,25
12.25,22
12.333333333333334,25
12.416666666666666,25
12.5,24
12.583333333333334,24
12.666666666666666,23
12.75,24
12.833333333333334,23
12.916666666666666,21
13,26
13.083333333333334,25
13.166666666666666,24
13.25,26
13.333333333333334,26
13.416666666666666,25
13.5,24
13.583333333333334,25
13.666666666666666,24
13.75,24
13.833333333333334,25
13.916666666666666,25
14,24
14.083333333333334,24
14.166666666666666,23
14.25,23
14.333333333333334,23
14.416666666666666,24
14.5,25
14.583333333333334,25
14.666666666666666,23
14.75,25
14.833333333333334,26
14.916666666666666,24
15,25
15.083333333333334,25
15.166666666666666,24
15.25,23
15.333333333333334,24
15.416666666666666,26
15.5,25
15.583333333333334,26
15.666666666666666,26
15.75,24
15.833333333333334,23
15.916666666666666,25
16,22
16.083333333333332,24
16.166666666666668,26
16.25,23
16.333333333333332,25
16.416666666666668,25
16.5,22
16.583333333333332,24
16.666666666666668,24
16.75,23
16.833333333333332,25
16.916666666666668,27
17,24
17.083333333333332,27
17.166666666666668,23
17.25,25
17.333333333333332,24
17.416666666666668,25
17.5,25
17.583333333333332,25
17.666666666666668,24
17.75,27
17.833333333333332,25
17.916666666666668,25
18,26
18.083333333333332,26
18.166666666666668,26
18.25,23
18.333333333333332,24
18.416666666666668,25
18.5,25
18.583333333333332,27
18.666666666666668,23
18.75,27
18.833333333333332,25
18.916666666666668,28
19,26
19.083333333333332,26
19.166666666666668,24
19.25,28
19.333333333333332,26
19.416666666666668,26
19.5,27
19.583333333333332,27
19.666666666666668,26
19.75,25
19.833333333333332,25
19.916666666666668,26
20,25
20.083333333333332,25
20.166666666666668,25
20.25,25
20.333333333333332,27
20.416666666666668,24
20.5,26
20.583333333333332,26
20.666666666666668,28
20.75,26
20.833333333333332,25
20.916666666666668,25
21,26
21.083333333333332,27
21.166666666666668,26
21.25,25
21.333333333333332,25
21.416666666666668,25
21.5,24
21.583333333333332,27
21.666666666666668,28
21.75,25
21.833333333333332,27
21.916666666666668,28
22,26
22.083333333333332,25
22.166666666666668,27
22.25,25
22.333333333333332,27
22.416666666666668,27
22.5,28
22.583333333333332,27
22.666666666666668,27
22.75,25
22.833333333333332,27
22.916666666666668,27
23,28
23.083333333333332,26
23.166666666666668,24
