"Hours since thread went live","Gekai Elise • Doctor Elise: The Royal Lady with the Lamp - Episode 11 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,2
0.3333333333333333,2
0.4166666666666667,4
0.5,6
0.5833333333333334,7
0.6666666666666666,10
0.75,12
0.8333333333333334,13
0.9166666666666666,13
1,18
1.0833333333333333,19
1.1666666666666667,19
1.25,20
1.3333333333333333,22
1.4166666666666667,24
1.5,26
1.5833333333333333,27
1.6666666666666667,30
1.75,31
1.8333333333333333,29
1.9166666666666667,31
2,33
2.0833333333333335,32
2.1666666666666665,35
2.25,36
2.3333333333333335,38
2.4166666666666665,39
2.5,41
2.5833333333333335,39
2.6666666666666665,45
2.75,47
2.8333333333333335,47
2.9166666666666665,44
3,49
3.0833333333333335,47
3.1666666666666665,47
3.25,46
3.3333333333333335,49
3.4166666666666665,47
3.5,50
3.5833333333333335,54
3.6666666666666665,54
3.75,52
3.8333333333333335,58
3.9166666666666665,56
4,57
4.083333333333333,59
4.166666666666667,59
4.25,59
4.333333333333333,62
4.416666666666667,60
4.5,64
4.583333333333333,67
4.666666666666667,70
4.75,67
4.833333333333333,66
4.916666666666667,68
5,69
5.083333333333333,67
5.166666666666667,70
5.25,69
5.333333333333333,71
5.416666666666667,71
5.5,74
5.583333333333333,69
5.666666666666667,71
5.75,71
5.833333333333333,72
5.916666666666667,78
6,75
6.083333333333333,80
6.166666666666667,77
6.25,78
6.333333333333333,76
6.416666666666667,80
6.5,79
6.583333333333333,75
6.666666666666667,79
6.75,85
6.833333333333333,83
6.916666666666667,84
7,88
7.083333333333333,86
7.166666666666667,89
7.25,91
7.333333333333333,90
7.416666666666667,89
7.5,96
7.583333333333333,98
7.666666666666667,94
7.75,97
7.833333333333333,97
7.916666666666667,97
8,98
8.083333333333334,99
8.166666666666666,100
8.25,101
8.333333333333334,103
8.416666666666666,103
8.5,105
8.583333333333334,103
8.666666666666666,103
8.75,100
8.833333333333334,105
8.916666666666666,105
9,105
9.083333333333334,110
9.166666666666666,109
9.25,109
9.333333333333334,113
9.416666666666666,113
9.5,113
9.583333333333334,114
9.666666666666666,117
9.75,115
9.833333333333334,118
9.916666666666666,114
10,116
10.083333333333334,122
10.166666666666666,124
10.25,121
10.333333333333334,123
10.416666666666666,124
10.5,123
10.583333333333334,124
10.666666666666666,126
10.75,129
10.833333333333334,126
10.916666666666666,129
11,131
11.083333333333334,135
11.166666666666666,133
11.25,134
11.333333333333334,136
11.416666666666666,134
11.5,137
11.583333333333334,135
11.666666666666666,137
11.75,135
11.833333333333334,136
11.916666666666666,137
12,138
12.083333333333334,138
12.166666666666666,135
12.25,136
12.333333333333334,138
12.416666666666666,138
12.5,139
12.583333333333334,136
12.666666666666666,139
12.75,141
12.833333333333334,138
12.916666666666666,139
13,140
13.083333333333334,136
13.166666666666666,140
13.25,139
13.333333333333334,140
13.416666666666666,141
13.5,142
13.583333333333334,137
13.666666666666666,139
13.75,138
13.833333333333334,145
13.916666666666666,144
14,141
14.083333333333334,143
14.166666666666666,144
14.25,144
14.333333333333334,142
14.416666666666666,143
14.5,145
14.583333333333334,145
14.666666666666666,140
14.75,143
14.833333333333334,146
14.916666666666666,141
15,143
15.083333333333334,141
15.166666666666666,143
15.25,144
15.333333333333334,141
15.416666666666666,144
15.5,144
15.583333333333334,146
15.666666666666666,145
15.75,146
15.833333333333334,147
15.916666666666666,144
16,146
16.083333333333332,144
16.166666666666668,146
16.25,146
16.333333333333332,143
16.416666666666668,144
16.5,149
16.583333333333332,146
16.666666666666668,147
16.75,142
16.833333333333332,146
16.916666666666668,147
17,143
17.083333333333332,146
17.166666666666668,148
17.25,148
17.333333333333332,147
17.416666666666668,144
17.5,146
17.583333333333332,143
17.666666666666668,144
17.75,146
17.833333333333332,147
17.916666666666668,144
18,144
18.083333333333332,148
18.166666666666668,145
18.25,143
18.333333333333332,147
18.416666666666668,145
18.5,147
18.583333333333332,146
18.666666666666668,146
18.75,148
18.833333333333332,144
18.916666666666668,145
19,144
19.083333333333332,145
19.166666666666668,146
19.25,143
19.333333333333332,143
19.416666666666668,145
19.5,147
19.583333333333332,147
19.666666666666668,151
19.75,147
19.833333333333332,147
19.916666666666668,149
20,147
20.083333333333332,147
20.166666666666668,145
20.25,144
20.333333333333332,147
20.416666666666668,151
20.5,146
20.583333333333332,150
20.666666666666668,150
20.75,147
20.833333333333332,144
20.916666666666668,148
21,148
21.083333333333332,144
21.166666666666668,146
21.25,150
21.333333333333332,151
21.416666666666668,145
21.5,146
21.583333333333332,146
21.666666666666668,150
21.75,144
21.833333333333332,149
21.916666666666668,148
22,153
22.083333333333332,148
22.166666666666668,152
22.25,150
22.333333333333332,148
22.416666666666668,150
22.5,147
22.583333333333332,151
22.666666666666668,149
22.75,147
22.833333333333332,146
22.916666666666668,152
23,152
23.083333333333332,150
23.166666666666668,149
23.25,149
23.333333333333332,151
23.416666666666668,148
23.5,149
23.583333333333332,147
23.666666666666668,149
23.75,149
23.833333333333332,151
23.916666666666668,148
24,151
24.083333333333332,155
24.166666666666668,152
24.25,148
24.333333333333332,151
24.416666666666668,155
24.5,154
24.583333333333332,151
24.666666666666668,153
24.75,152
24.833333333333332,149
24.916666666666668,154
25,150
25.083333333333332,153
25.166666666666668,155
25.25,154
25.333333333333332,152
25.416666666666668,152
25.5,152
25.583333333333332,154
25.666666666666668,151
25.75,149
25.833333333333332,150
25.916666666666668,154
26,153
26.083333333333332,153
26.166666666666668,155
26.25,151
26.333333333333332,156
26.416666666666668,156
26.5,154
26.583333333333332,153
26.666666666666668,154
26.75,153
26.833333333333332,155
26.916666666666668,156
27,156
27.083333333333332,154
27.166666666666668,155
27.25,153
27.333333333333332,155
27.416666666666668,154
27.5,157
27.583333333333332,157
27.666666666666668,153
27.75,156
27.833333333333332,155
27.916666666666668,155
28,154
28.083333333333332,154
28.166666666666668,154
28.25,154
28.333333333333332,154
28.416666666666668,154
28.5,155
28.583333333333332,152
28.666666666666668,152
28.75,154
28.833333333333332,157
28.916666666666668,157
29,154
29.083333333333332,155
29.166666666666668,154
29.25,155
29.333333333333332,154
29.416666666666668,155
29.5,154
29.583333333333332,152
29.666666666666668,156
29.75,150
29.833333333333332,155
29.916666666666668,156
30,155
30.083333333333332,157
30.166666666666668,155
30.25,155
30.333333333333332,156
30.416666666666668,155
30.5,156
30.583333333333332,152
30.666666666666668,156
30.75,152
30.833333333333332,152
30.916666666666668,158
31,154
31.083333333333332,156
31.166666666666668,153
31.25,159
31.333333333333332,158
31.416666666666668,154
31.5,154
31.583333333333332,155
31.666666666666668,154
31.75,155
31.833333333333332,154
31.916666666666668,153
32,156
32.083333333333336,154
32.166666666666664,154
32.25,154
32.333333333333336,157
32.416666666666664,154
32.5,155
32.583333333333336,156
32.666666666666664,156
32.75,153
32.833333333333336,154
32.916666666666664,153
33,155
33.083333333333336,154
33.166666666666664,156
33.25,152
33.333333333333336,158
33.416666666666664,155
33.5,155
33.583333333333336,155
33.666666666666664,154
33.75,157
33.833333333333336,156
33.916666666666664,153
34,156
34.083333333333336,156
34.166666666666664,155
34.25,152
34.333333333333336,158
34.416666666666664,154
34.5,155
34.583333333333336,154
34.666666666666664,155
34.75,153
34.833333333333336,154
34.916666666666664,155
35,154
35.083333333333336,154
35.166666666666664,155
35.25,152
35.333333333333336,151
35.416666666666664,151
35.5,153
35.583333333333336,156
35.666666666666664,158
35.75,156
35.833333333333336,159
35.916666666666664,154
36,156
36.083333333333336,151
36.166666666666664,155
36.25,157
36.333333333333336,155
36.416666666666664,158
36.5,152
36.583333333333336,154
36.666666666666664,156
36.75,151
36.833333333333336,156
36.916666666666664,154
37,158
37.083333333333336,152
37.166666666666664,153
37.25,154
37.333333333333336,155
37.416666666666664,155
37.5,160
37.583333333333336,157
37.666666666666664,156
37.75,153
37.833333333333336,155
37.916666666666664,158
38,154
38.083333333333336,153
38.166666666666664,156
38.25,158
38.333333333333336,157
38.416666666666664,156
38.5,158
38.583333333333336,156
38.666666666666664,160
38.75,158
38.833333333333336,158
38.916666666666664,158
