"Hours since thread went live","Metallic Rouge - Episode 11 discussion"
0,0
0,0
0.08333333333333333,1
0.16666666666666666,4
0.25,5
0.3333333333333333,7
0.4166666666666667,12
0.5,13
0.5833333333333334,17
0.6666666666666666,20
0.75,27
0.8333333333333334,30
0.9166666666666666,29
1,32
1.0833333333333333,34
1.1666666666666667,36
1.25,40
1.3333333333333333,41
1.4166666666666667,45
1.5,48
1.5833333333333333,50
1.6666666666666667,52
1.75,54
1.8333333333333333,58
1.9166666666666667,57
2,59
2.0833333333333335,62
2.1666666666666665,66
2.25,66
2.3333333333333335,71
2.4166666666666665,74
2.5,73
2.5833333333333335,74
2.6666666666666665,78
2.75,78
2.8333333333333335,81
2.9166666666666665,82
3,86
3.0833333333333335,91
3.1666666666666665,97
3.25,102
3.3333333333333335,98
3.4166666666666665,101
3.5,103
3.5833333333333335,102
3.6666666666666665,104
3.75,102
3.8333333333333335,105
3.9166666666666665,111
4,109
4.083333333333333,114
4.166666666666667,118
4.25,116
4.333333333333333,119
4.416666666666667,119
4.5,121
4.583333333333333,121
4.666666666666667,121
4.75,122
4.833333333333333,126
4.916666666666667,130
5,133
5.083333333333333,131
5.166666666666667,141
5.25,144
5.333333333333333,144
5.416666666666667,141
5.5,141
5.583333333333333,145
5.666666666666667,148
5.75,151
5.833333333333333,147
5.916666666666667,151
6,154
6.083333333333333,150
6.166666666666667,154
6.25,156
6.333333333333333,155
6.416666666666667,157
6.5,153
6.583333333333333,153
6.666666666666667,154
6.75,158
6.833333333333333,162
6.916666666666667,165
7,165
7.083333333333333,166
7.166666666666667,167
7.25,172
7.333333333333333,173
7.416666666666667,172
7.5,174
7.583333333333333,173
7.666666666666667,176
7.75,176
7.833333333333333,172
7.916666666666667,180
8,179
8.083333333333334,180
8.166666666666666,185
8.25,185
8.333333333333334,184
8.416666666666666,186
8.5,188
8.583333333333334,192
8.666666666666666,190
8.75,196
8.833333333333334,195
8.916666666666666,195
9,198
9.083333333333334,196
9.166666666666666,203
9.25,200
9.333333333333334,203
9.416666666666666,201
9.5,207
9.583333333333334,209
9.666666666666666,211
9.75,219
9.833333333333334,214
9.916666666666666,219
10,223
10.083333333333334,221
10.166666666666666,218
10.25,220
10.333333333333334,220
10.416666666666666,220
10.5,223
10.583333333333334,227
10.666666666666666,226
10.75,226
10.833333333333334,224
10.916666666666666,223
11,222
11.083333333333334,226
11.166666666666666,224
11.25,227
11.333333333333334,227
11.416666666666666,229
11.5,233
11.583333333333334,230
11.666666666666666,230
11.75,230
11.833333333333334,230
11.916666666666666,228
12,227
12.083333333333334,230
12.166666666666666,231
12.25,228
12.333333333333334,229
12.416666666666666,233
12.5,229
12.583333333333334,230
